Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Virginia,Maryland,0,0,0,0,0,Jump Ball won by Virginia
Virginia,Maryland,0,0,0,28,0,Anthony Gill missed Jumper.
Virginia,Maryland,0,0,0,28,0,Jon Graham Defensive Rebound.
Virginia,Maryland,0,0,1,2,0,Richaud Pack missed Three Point Jumper.
Virginia,Maryland,0,0,1,2,0,Darion Atkins Defensive Rebound.
Virginia,Maryland,0,0,1,22,0,Darion Atkins missed Jumper.
Virginia,Maryland,0,0,1,22,0,Anthony Gill Offensive Rebound.
Virginia,Maryland,0,0,1,27,0,Anthony Gill missed Layup.
Virginia,Maryland,0,0,1,27,0,Damonte Dodd Block.
Virginia,Maryland,0,0,1,27,0,Jake Layman Defensive Rebound.
Virginia,Maryland,0,0,1,34,0,Melo Trimble Turnover.
Virginia,Maryland,2,0,1,40,1,Malcolm Brogdon made Layup.
Virginia,Maryland,2,0,1,51,0,Jake Layman missed Three Point Jumper.
Virginia,Maryland,2,0,1,51,0,Malcolm Brogdon Defensive Rebound.
Virginia,Maryland,4,0,1,58,1,Malcolm Brogdon made Layup.
Virginia,Maryland,4,0,2,36,0,Melo Trimble missed Jumper.
Virginia,Maryland,4,0,2,36,0,Jake Layman Offensive Rebound.
Virginia,Maryland,4,0,2,36,0,Jake Layman missed Two Point Tip Shot.
Virginia,Maryland,4,0,2,36,0,Anthony Gill Defensive Rebound.
Virginia,Maryland,4,0,2,59,0,Darion Atkins missed Jumper.
Virginia,Maryland,4,0,2,59,0,Jon Graham Defensive Rebound.
Virginia,Maryland,4,0,3,35,0,Foul on Darion Atkins.
Virginia,Maryland,4,0,3,46,0,Foul on Anthony Gill.
Virginia,Maryland,4,2,4,12,1,Melo Trimble made Jumper.
Virginia,Maryland,4,2,4,40,0,Evan Nolte missed Three Point Jumper.
Virginia,Maryland,4,2,4,40,0,Damonte Dodd Defensive Rebound.
Virginia,Maryland,4,2,5,5,0,Melo Trimble missed Jumper.
Virginia,Maryland,4,2,5,5,0,Evan Nolte Block.
Virginia,Maryland,4,2,5,5,0,London Perrantes Defensive Rebound.
Virginia,Maryland,4,2,5,11,0,Foul on Damonte Dodd.
Virginia,Maryland,4,2,5,11,0,Official TV Timeout
Virginia,Maryland,4,2,5,11,0,Mike Tobey missed Free Throw.
Virginia,Maryland,4,2,5,11,0,Virginia Deadball Team Rebound.
Virginia,Maryland,5,2,5,11,1,Mike Tobey made Free Throw.
Virginia,Maryland,5,2,5,42,0,Foul on Evan Nolte.
Virginia,Maryland,5,2,5,51,0,Michal Cekovsky missed Layup.
Virginia,Maryland,5,2,5,51,0,Mike Tobey Block.
Virginia,Maryland,5,2,5,51,0,Virginia Defensive Rebound.
Virginia,Maryland,8,2,6,8,1,Justin Anderson made Three Point Jumper. Assisted by Marial Shayok.
Virginia,Maryland,8,4,6,28,1,Richaud Pack made Layup.
Virginia,Maryland,8,4,6,48,0,Malcolm Brogdon missed Layup.
Virginia,Maryland,8,4,6,48,0,Mike Tobey Offensive Rebound.
Virginia,Maryland,10,4,6,48,1,Mike Tobey made Two Point Tip Shot.
Virginia,Maryland,10,4,7,21,0,Richaud Pack Turnover.
Virginia,Maryland,10,4,7,21,0,Mike Tobey Steal.
Virginia,Maryland,12,4,7,27,1,Marial Shayok made Layup. Assisted by Malcolm Brogdon.
Virginia,Maryland,12,4,7,47,0,Foul on Malcolm Brogdon.
Virginia,Maryland,12,4,8,0,0,Michal Cekovsky missed Jumper.
Virginia,Maryland,12,4,8,0,0,Mike Tobey Defensive Rebound.
Virginia,Maryland,14,4,8,13,1,Mike Tobey made Jumper.
Virginia,Maryland,14,4,8,30,0,Dion Wiley Turnover.
Virginia,Maryland,14,4,8,30,0,Devon Hall Steal.
Virginia,Maryland,14,4,8,36,0,Marial Shayok missed Layup.
Virginia,Maryland,14,4,8,36,0,Michal Cekovsky Block.
Virginia,Maryland,14,4,8,36,0,Jake Layman Defensive Rebound.
Virginia,Maryland,14,6,8,42,1,Dion Wiley made Layup. Assisted by Jake Layman.
Virginia,Maryland,14,6,8,42,0,Foul on Mike Tobey.
Virginia,Maryland,14,6,8,42,0,Official TV Timeout
Virginia,Maryland,14,7,8,42,1,Dion Wiley made Free Throw.
Virginia,Maryland,14,7,9,0,0,London Perrantes missed Three Point Jumper.
Virginia,Maryland,14,7,9,0,0,Dion Wiley Defensive Rebound.
Virginia,Maryland,14,7,9,22,0,Foul on Mike Tobey.
Virginia,Maryland,14,7,9,22,0,Michal Cekovsky missed Free Throw.
Virginia,Maryland,14,7,9,22,0,Maryland Deadball Team Rebound.
Virginia,Maryland,14,7,9,22,0,Michal Cekovsky missed Free Throw.
Virginia,Maryland,14,7,9,22,0,Marial Shayok Defensive Rebound.
Virginia,Maryland,16,7,9,42,1,Anthony Gill made Jumper.
Virginia,Maryland,16,10,10,0,1,Dion Wiley made Three Point Jumper.
Virginia,Maryland,16,10,10,28,0,Devon Hall missed Jumper.
Virginia,Maryland,16,10,10,28,0,Jon Graham Defensive Rebound.
Virginia,Maryland,16,10,10,49,0,Jared Nickens missed Three Point Jumper.
Virginia,Maryland,16,10,10,49,0,Anthony Gill Defensive Rebound.
Virginia,Maryland,16,10,11,15,0,Anthony Gill Turnover.
Virginia,Maryland,16,10,11,36,0,Melo Trimble missed Jumper.
Virginia,Maryland,16,10,11,36,0,Virginia Defensive Rebound.
Virginia,Maryland,16,10,11,49,0,Foul on Richaud Pack.
Virginia,Maryland,16,10,12,3,0,Malcolm Brogdon missed Three Point Jumper.
Virginia,Maryland,16,10,12,3,0,Darion Atkins Offensive Rebound.
Virginia,Maryland,18,10,12,16,1,Anthony Gill made Jumper. Assisted by London Perrantes.
Virginia,Maryland,18,10,12,37,0,Foul on Damonte Dodd.
Virginia,Maryland,18,10,12,37,0,Damonte Dodd Turnover.
Virginia,Maryland,18,10,12,37,0,Official TV Timeout
Virginia,Maryland,20,10,13,7,1,Darion Atkins made Jumper.
Virginia,Maryland,20,13,13,20,1,Jared Nickens made Three Point Jumper. Assisted by Richaud Pack.
Virginia,Maryland,22,13,13,39,1,Darion Atkins made Layup. Assisted by London Perrantes.
Virginia,Maryland,22,13,14,1,0,Foul on Anthony Gill.
Virginia,Maryland,22,13,14,1,0,Jake Layman missed Free Throw.
Virginia,Maryland,22,13,14,1,0,Maryland Deadball Team Rebound.
Virginia,Maryland,22,14,14,1,1,Jake Layman made Free Throw.
Virginia,Maryland,22,14,14,23,0,Malcolm Brogdon Turnover.
Virginia,Maryland,22,14,14,23,0,Dion Wiley Steal.
Virginia,Maryland,22,17,14,43,1,Dion Wiley made Three Point Jumper.
Virginia,Maryland,22,17,15,3,0,Foul on Jared Nickens.
Virginia,Maryland,23,17,15,3,1,Justin Anderson made Free Throw.
Virginia,Maryland,24,17,15,3,1,Justin Anderson made Free Throw.
Virginia,Maryland,24,19,15,18,1,Jake Layman made Layup.
Virginia,Maryland,24,19,15,31,0,Foul on Jake Layman.
Virginia,Maryland,26,19,15,37,1,Justin Anderson made Layup.
Virginia,Maryland,26,19,15,52,0,Jake Layman Turnover.
Virginia,Maryland,29,19,16,8,1,Malcolm Brogdon made Three Point Jumper. Assisted by London Perrantes.
Virginia,Maryland,29,19,16,26,0,Richaud Pack missed Three Point Jumper.
Virginia,Maryland,29,19,16,26,0,London Perrantes Defensive Rebound.
Virginia,Maryland,29,19,16,36,0,Justin Anderson missed Three Point Jumper.
Virginia,Maryland,29,19,16,36,0,Jon Graham Defensive Rebound.
Virginia,Maryland,29,19,16,46,0,Foul on London Perrantes.
Virginia,Maryland,29,19,16,46,0,Official TV Timeout
Virginia,Maryland,29,20,16,46,1,Melo Trimble made Free Throw.
