Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Michigan State,Rutgers,0,0,0,9,0,Denzel Valentine missed Three Point Jumper.
Michigan State,Rutgers,0,0,0,9,0,Bryn Forbes Offensive Rebound.
Michigan State,Rutgers,0,0,0,12,0,Bryn Forbes missed Layup.
Michigan State,Rutgers,0,0,0,12,0,Greg Lewis Defensive Rebound.
Michigan State,Rutgers,0,0,0,28,0,Kadeem Jack Turnover.
Michigan State,Rutgers,0,0,0,29,0,Branden Dawson Steal.
Michigan State,Rutgers,2,0,0,31,1,Branden Dawson made Layup.
Michigan State,Rutgers,2,0,0,50,0,Greg Lewis missed Layup.
Michigan State,Rutgers,2,0,0,50,0,Gavin Schilling Block.
Michigan State,Rutgers,2,0,0,50,0,Greg Lewis missed Layup.
Michigan State,Rutgers,2,0,0,50,0,Kadeem Jack Offensive Rebound.
Michigan State,Rutgers,2,0,0,50,0,Foul on Gavin Schilling.
Michigan State,Rutgers,2,1,0,50,1,Kadeem Jack made Free Throw.
Michigan State,Rutgers,2,2,0,50,1,Kadeem Jack made Free Throw.
Michigan State,Rutgers,2,2,1,5,0,Branden Dawson missed Layup.
Michigan State,Rutgers,2,2,1,5,0,Branden Dawson Offensive Rebound.
Michigan State,Rutgers,4,2,1,7,1,Branden Dawson made Layup.
Michigan State,Rutgers,4,2,1,27,0,Myles Mack missed Three Point Jumper.
Michigan State,Rutgers,4,2,1,27,0,Matt Costello Defensive Rebound.
Michigan State,Rutgers,4,2,1,36,0,Travis Trice missed Three Point Jumper.
Michigan State,Rutgers,4,2,1,36,0,Matt Costello Offensive Rebound.
Michigan State,Rutgers,6,2,1,38,1,Matt Costello made Layup.
Michigan State,Rutgers,6,2,1,39,0,Rutgers  Timeout
Michigan State,Rutgers,6,2,1,55,0,Bishop Daniels Turnover.
Michigan State,Rutgers,6,2,1,55,0,Bryn Forbes Steal.
Michigan State,Rutgers,9,2,2,11,1,Bryn Forbes made Three Point Jumper. Assisted by Branden Dawson.
Michigan State,Rutgers,9,5,2,25,1,Bishop Daniels made Three Point Jumper. Assisted by Myles Mack.
Michigan State,Rutgers,9,5,2,25,0,Foul on Bryn Forbes.
Michigan State,Rutgers,9,6,2,25,1,Bishop Daniels made Free Throw.
Michigan State,Rutgers,9,6,2,31,0,Foul on Bishop Daniels.
Michigan State,Rutgers,9,6,2,32,0,Bryn Forbes missed Three Point Jumper.
Michigan State,Rutgers,9,6,2,32,0,Michigan St Offensive Rebound.
Michigan State,Rutgers,9,6,2,51,0,Foul on Greg Lewis.
Michigan State,Rutgers,12,6,3,3,1,Bryn Forbes made Three Point Jumper. Assisted by Travis Trice.
Michigan State,Rutgers,12,6,3,24,0,Kadeem Jack missed Jumper.
Michigan State,Rutgers,12,6,3,24,0,Denzel Valentine Defensive Rebound.
Michigan State,Rutgers,12,6,3,27,0,Travis Trice Turnover.
Michigan State,Rutgers,12,6,3,48,0,Kadeem Jack missed Jumper.
Michigan State,Rutgers,12,6,3,48,0,Denzel Valentine Defensive Rebound.
Michigan State,Rutgers,14,6,3,53,1,Branden Dawson made Dunk. Assisted by Bryn Forbes.
Michigan State,Rutgers,14,6,4,14,0,Myles Mack missed Jumper.
Michigan State,Rutgers,14,6,4,14,0,Junior Etou Offensive Rebound.
Michigan State,Rutgers,14,8,4,14,1,Junior Etou made Two Point Tip Shot.
Michigan State,Rutgers,14,8,4,15,0,Official TV Timeout
Michigan State,Rutgers,14,8,4,31,0,Bryn Forbes missed Three Point Jumper.
Michigan State,Rutgers,14,8,4,31,0,Rutgers Defensive Rebound.
Michigan State,Rutgers,14,8,4,48,0,Junior Etou missed Jumper.
Michigan State,Rutgers,14,8,4,48,0,Branden Dawson Defensive Rebound.
Michigan State,Rutgers,14,8,5,2,0,Travis Trice missed Layup.
Michigan State,Rutgers,14,8,5,2,0,Kadeem Jack Defensive Rebound.
Michigan State,Rutgers,14,8,5,11,0,Kadeem Jack missed Three Point Jumper.
Michigan State,Rutgers,14,8,5,11,0,Denzel Valentine Defensive Rebound.
Michigan State,Rutgers,14,8,5,26,0,Foul on Shaquille Doorson.
Michigan State,Rutgers,15,8,5,26,1,Branden Dawson made Free Throw.
Michigan State,Rutgers,16,8,5,26,1,Branden Dawson made Free Throw.
Michigan State,Rutgers,16,8,5,47,0,D.J. Foreman missed Layup.
Michigan State,Rutgers,16,8,5,47,0,Branden Dawson Block.
Michigan State,Rutgers,16,8,5,49,0,Lourawls Nairn Jr. Defensive Rebound.
Michigan State,Rutgers,16,8,5,54,0,Travis Trice missed Three Point Jumper.
