Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Duke,NC State,0,0,0,0,0,Jump Ball won by Duke
Duke,NC State,0,0,0,6,0,Justise Winslow missed Jumper.
Duke,NC State,0,0,0,6,0,Kyle Washington Block.
Duke,NC State,0,0,0,6,0,Trevor Lacey Defensive Rebound.
Duke,NC State,0,0,0,32,0,Abdul-Malik Abu missed Jumper.
Duke,NC State,0,0,0,32,0,Jahlil Okafor Block.
Duke,NC State,0,0,0,32,0,Quinn Cook Defensive Rebound.
Duke,NC State,2,0,0,41,1,Quinn Cook made Layup.
Duke,NC State,2,0,0,57,0,Trevor Lacey Turnover.
Duke,NC State,2,0,0,57,0,Jahlil Okafor Steal.
Duke,NC State,4,0,1,3,1,Jahlil Okafor made Layup. Assisted by Tyus Jones.
Duke,NC State,4,2,1,17,1,Abdul-Malik Abu made Dunk. Assisted by Kyle Washington.
Duke,NC State,4,2,1,39,0,Matt Jones missed Jumper.
Duke,NC State,4,2,1,39,0,Jahlil Okafor Offensive Rebound.
Duke,NC State,6,2,1,39,1,Jahlil Okafor made Dunk.
Duke,NC State,6,2,2,1,0,Abdul-Malik Abu missed Jumper.
Duke,NC State,6,2,2,1,0,Ralston Turner Offensive Rebound.
Duke,NC State,6,2,2,4,0,Foul on Quinn Cook.
Duke,NC State,6,4,2,22,1,Trevor Lacey made Jumper. Assisted by Kyle Washington.
Duke,NC State,9,4,2,41,1,Quinn Cook made Three Point Jumper. Assisted by Justise Winslow.
Duke,NC State,9,6,3,1,1,Abdul-Malik Abu made Dunk. Assisted by Kyle Washington.
Duke,NC State,9,6,3,15,0,Tyus Jones missed Jumper.
Duke,NC State,9,6,3,15,0,Tyus Jones Offensive Rebound.
Duke,NC State,9,6,3,23,0,Jahlil Okafor missed Layup.
Duke,NC State,9,6,3,23,0,Kyle Washington Defensive Rebound.
Duke,NC State,9,6,3,31,0,Foul on Anthony Barber.
Duke,NC State,9,6,3,31,0,Anthony Barber Turnover.
Duke,NC State,9,6,3,41,0,Justise Winslow missed Three Point Jumper.
Duke,NC State,9,6,3,41,0,Anthony Barber Defensive Rebound.
Duke,NC State,9,6,3,54,0,Anthony Barber missed Three Point Jumper.
