Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
CSU Bakersfield,New Mexico State,0,0,0,6,0,Foul on Ian Baker.
CSU Bakersfield,New Mexico State,0,0,0,28,0,Kevin Mays missed Layup.
CSU Bakersfield,New Mexico State,0,0,0,28,0,Pascal Siakam Defensive Rebound.
CSU Bakersfield,New Mexico State,0,0,0,47,0,Tshilidzi Nephawe missed Layup.
CSU Bakersfield,New Mexico State,0,0,0,47,0,Aly Ahmed Defensive Rebound.
CSU Bakersfield,New Mexico State,2,0,0,59,1,Aly Ahmed made Layup. Assisted by Jaylin Airington.
CSU Bakersfield,New Mexico State,2,0,1,28,0,Remi Barry missed Jumper.
CSU Bakersfield,New Mexico State,2,0,1,28,0,Tshilidzi Nephawe Offensive Rebound.
CSU Bakersfield,New Mexico State,2,2,1,31,1,Tshilidzi Nephawe made Dunk.
CSU Bakersfield,New Mexico State,2,2,1,42,0,Javonte Maynor missed Layup.
CSU Bakersfield,New Mexico State,2,2,1,42,0,Tshilidzi Nephawe Defensive Rebound.
CSU Bakersfield,New Mexico State,2,2,1,54,0,Remi Barry missed Three Point Jumper.
CSU Bakersfield,New Mexico State,2,2,1,54,0,Tyrell Corbin Defensive Rebound.
CSU Bakersfield,New Mexico State,2,2,2,15,0,Aly Ahmed missed Jumper.
CSU Bakersfield,New Mexico State,2,2,2,15,0,Kevin Mays Offensive Rebound.
CSU Bakersfield,New Mexico State,4,2,2,17,1,Kevin Mays made Layup.
CSU Bakersfield,New Mexico State,4,2,2,31,0,Pascal Siakam Turnover.
CSU Bakersfield,New Mexico State,4,2,2,34,0,Tyrell Corbin Steal.
CSU Bakersfield,New Mexico State,4,2,2,37,0,Tyrell Corbin missed Layup.
CSU Bakersfield,New Mexico State,4,2,2,37,0,Pascal Siakam Block.
CSU Bakersfield,New Mexico State,4,2,2,39,0,Ian Baker Defensive Rebound.
CSU Bakersfield,New Mexico State,4,4,2,50,1,Daniel Mullings made Layup.
CSU Bakersfield,New Mexico State,6,4,3,8,1,Kevin Mays made Jumper. Assisted by Tyrell Corbin.
CSU Bakersfield,New Mexico State,6,4,3,26,0,Foul on Jaylin Airington.
CSU Bakersfield,New Mexico State,6,4,3,43,0,Foul on Aly Ahmed.
CSU Bakersfield,New Mexico State,6,5,3,43,1,Tshilidzi Nephawe made Free Throw.
CSU Bakersfield,New Mexico State,6,6,3,43,1,Tshilidzi Nephawe made Free Throw.
CSU Bakersfield,New Mexico State,8,6,4,1,1,Kevin Mays made Layup. Assisted by Javonte Maynor.
CSU Bakersfield,New Mexico State,8,6,4,19,0,Daniel Mullings missed Three Point Jumper.
CSU Bakersfield,New Mexico State,8,6,4,19,0,Remi Barry Offensive Rebound.
CSU Bakersfield,New Mexico State,8,8,4,30,1,Remi Barry made Layup.
CSU Bakersfield,New Mexico State,11,8,4,43,1,Javonte Maynor made Three Point Jumper. Assisted by Kevin Mays.
CSU Bakersfield,New Mexico State,11,8,5,5,0,Pascal Siakam Turnover.
CSU Bakersfield,New Mexico State,11,8,5,6,0,Kevin Mays Steal.
CSU Bakersfield,New Mexico State,13,8,5,22,1,Aly Ahmed made Jumper.
CSU Bakersfield,New Mexico State,13,8,5,42,0,Tshilidzi Nephawe missed Layup.
CSU Bakersfield,New Mexico State,13,8,5,42,0,Tshilidzi Nephawe Offensive Rebound.
