Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
North Carolina,Wisconsin,0,0,0,0,0,Jump Ball won by North Carolina
North Carolina,Wisconsin,0,0,0,22,0,Kennedy Meeks missed Jumper.
North Carolina,Wisconsin,0,0,0,22,0,Josh Gasser Defensive Rebound.
North Carolina,Wisconsin,0,0,0,40,0,Frank Kaminsky missed Layup.
North Carolina,Wisconsin,0,0,0,40,0,Kennedy Meeks Defensive Rebound.
North Carolina,Wisconsin,2,0,0,47,1,Brice Johnson made Dunk. Assisted by Justin Jackson.
North Carolina,Wisconsin,2,0,1,14,0,Frank Kaminsky missed Jumper.
North Carolina,Wisconsin,2,0,1,14,0,Josh Gasser Offensive Rebound.
North Carolina,Wisconsin,2,0,1,26,0,Nigel Hayes missed Three Point Jumper.
North Carolina,Wisconsin,2,0,1,26,0,Frank Kaminsky Offensive Rebound.
North Carolina,Wisconsin,2,0,1,37,0,Frank Kaminsky missed Layup.
North Carolina,Wisconsin,2,0,1,37,0,Brice Johnson Block.
North Carolina,Wisconsin,2,0,1,37,0,Bronson Koenig Offensive Rebound.
North Carolina,Wisconsin,2,0,1,42,0,Bronson Koenig missed Three Point Jumper.
North Carolina,Wisconsin,2,0,1,42,0,Wisconsin Offensive Rebound.
North Carolina,Wisconsin,2,0,2,4,0,Nigel Hayes Turnover.
North Carolina,Wisconsin,2,0,2,4,0,J.P. Tokoto Steal.
North Carolina,Wisconsin,4,0,2,9,1,Brice Johnson made Dunk. Assisted by Justin Jackson.
North Carolina,Wisconsin,4,0,2,32,0,Foul on Brice Johnson.
North Carolina,Wisconsin,4,3,2,34,1,Sam Dekker made Three Point Jumper. Assisted by Bronson Koenig.
North Carolina,Wisconsin,4,3,2,48,0,Justin Jackson missed Jumper.
North Carolina,Wisconsin,4,3,2,48,0,Bronson Koenig Defensive Rebound.
North Carolina,Wisconsin,4,3,3,2,0,Nigel Hayes missed Jumper.
North Carolina,Wisconsin,4,3,3,2,0,Kennedy Meeks Defensive Rebound.
North Carolina,Wisconsin,4,3,3,14,0,Kennedy Meeks missed Jumper.
North Carolina,Wisconsin,4,3,3,14,0,Sam Dekker Defensive Rebound.
North Carolina,Wisconsin,4,6,3,43,1,Josh Gasser made Three Point Jumper. Assisted by Frank Kaminsky.
North Carolina,Wisconsin,4,6,3,53,0,J.P. Tokoto missed Jumper.
North Carolina,Wisconsin,4,6,3,53,0,Sam Dekker Defensive Rebound.
North Carolina,Wisconsin,4,6,4,3,0,Foul on Justin Jackson.
North Carolina,Wisconsin,4,6,4,3,0,Official TV Timeout
North Carolina,Wisconsin,4,6,4,34,0,Sam Dekker missed Three Point Jumper.
North Carolina,Wisconsin,4,6,4,34,0,J.P. Tokoto Defensive Rebound.
North Carolina,Wisconsin,6,6,4,43,1,J.P. Tokoto made Layup.
North Carolina,Wisconsin,6,6,5,15,0,Foul on Joel James.
North Carolina,Wisconsin,6,9,5,23,1,Traevon Jackson made Three Point Jumper. Assisted by Josh Gasser.
North Carolina,Wisconsin,6,9,5,33,0,J.P. Tokoto missed Jumper.
North Carolina,Wisconsin,6,9,5,33,0,Nigel Hayes Defensive Rebound.
North Carolina,Wisconsin,6,9,5,45,0,Traevon Jackson missed Jumper.
North Carolina,Wisconsin,6,9,5,45,0,Justin Jackson Defensive Rebound.
North Carolina,Wisconsin,9,9,5,58,1,Justin Jackson made Three Point Jumper. Assisted by J.P. Tokoto.
North Carolina,Wisconsin,9,9,6,31,0,Frank Kaminsky missed Jumper.
North Carolina,Wisconsin,9,9,6,31,0,Brice Johnson Defensive Rebound.
North Carolina,Wisconsin,9,9,6,50,0,Brice Johnson missed Jumper.
North Carolina,Wisconsin,9,9,6,50,0,Frank Kaminsky Defensive Rebound.
North Carolina,Wisconsin,9,11,7,4,1,Nigel Hayes made Dunk.
North Carolina,Wisconsin,11,11,7,18,1,Joel James made Jumper.
North Carolina,Wisconsin,11,11,7,34,0,Traevon Jackson Turnover.
North Carolina,Wisconsin,11,11,7,34,0,Marcus Paige Steal.
North Carolina,Wisconsin,11,11,7,39,0,Marcus Paige missed Three Point Jumper.
North Carolina,Wisconsin,11,11,7,39,0,J.P. Tokoto Offensive Rebound.
North Carolina,Wisconsin,11,11,7,45,0,Marcus Paige missed Jumper.
North Carolina,Wisconsin,11,11,7,45,0,Frank Kaminsky Defensive Rebound.
North Carolina,Wisconsin,11,11,8,6,0,Nigel Hayes missed Three Point Jumper.
North Carolina,Wisconsin,11,11,8,6,0,North Carolina Defensive Rebound.
North Carolina,Wisconsin,11,11,8,11,0,Official TV Timeout
North Carolina,Wisconsin,14,11,8,25,1,Marcus Paige made Three Point Jumper.
North Carolina,Wisconsin,14,13,8,38,1,Sam Dekker made Dunk. Assisted by Bronson Koenig.
North Carolina,Wisconsin,14,13,9,6,0,Theo Pinson missed Three Point Jumper.
North Carolina,Wisconsin,14,13,9,6,0,North Carolina Offensive Rebound.
North Carolina,Wisconsin,14,13,9,12,0,Foul on Nigel Hayes.
North Carolina,Wisconsin,14,13,9,16,0,Foul on Josh Gasser.
North Carolina,Wisconsin,16,13,9,36,1,Kennedy Meeks made Jumper.
North Carolina,Wisconsin,16,15,9,52,1,Sam Dekker made Layup. Assisted by Bronson Koenig.
North Carolina,Wisconsin,19,15,10,3,1,Joel Berry II made Three Point Jumper. Assisted by Marcus Paige.
North Carolina,Wisconsin,19,15,10,25,0,Bronson Koenig missed Jumper.
North Carolina,Wisconsin,19,15,10,25,0,Isaiah Hicks Defensive Rebound.
North Carolina,Wisconsin,19,15,10,43,0,Foul on Frank Kaminsky.
North Carolina,Wisconsin,19,15,11,5,0,Theo Pinson Turnover.
North Carolina,Wisconsin,19,15,11,5,0,Nigel Hayes Steal.
North Carolina,Wisconsin,19,17,11,20,1,Frank Kaminsky made Jumper.
North Carolina,Wisconsin,19,17,11,53,0,Nate Britt missed Three Point Jumper.
North Carolina,Wisconsin,19,17,11,53,0,Kennedy Meeks Offensive Rebound.
North Carolina,Wisconsin,19,17,12,18,0,Foul on Zak Showalter.
North Carolina,Wisconsin,19,17,12,18,0,Official TV Timeout
North Carolina,Wisconsin,19,17,12,18,0,Theo Pinson missed Free Throw.
North Carolina,Wisconsin,19,17,12,18,0,North Carolina Deadball Team Rebound.
North Carolina,Wisconsin,20,17,12,18,1,Theo Pinson made Free Throw.
