Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Omaha,Marquette,0,0,0,16,0,CJ Carter missed Three Point Jumper.
Omaha,Marquette,0,0,0,16,0,Omaha Offensive Rebound.
Omaha,Marquette,2,0,0,16,1,Marcus Tyus made Layup.
Omaha,Marquette,2,0,0,38,0,Matt Carlino missed Three Point Jumper.
Omaha,Marquette,2,0,0,38,0,Mike Rostampour Defensive Rebound.
Omaha,Marquette,2,0,0,42,0,Devin Patterson Turnover.
Omaha,Marquette,2,0,0,43,0,Matt Carlino Steal.
Omaha,Marquette,2,0,0,44,0,Foul on Devin Patterson.
Omaha,Marquette,2,0,1,3,0,Steve Taylor Jr. missed Jumper.
Omaha,Marquette,2,0,1,3,0,Steve Taylor Jr. Offensive Rebound.
Omaha,Marquette,2,0,1,23,0,Juan Anderson missed Three Point Jumper.
Omaha,Marquette,2,0,1,23,0,Marcus Tyus Defensive Rebound.
Omaha,Marquette,4,0,1,27,1,Marcus Tyus made Layup.
Omaha,Marquette,4,0,1,38,0,Jajuan Johnson missed Jumper.
Omaha,Marquette,4,0,1,38,0,Tre'Shawn Thurman Defensive Rebound.
Omaha,Marquette,4,0,1,49,0,Foul on Matt Carlino.
Omaha,Marquette,4,0,1,51,0,Devin Patterson Turnover.
Omaha,Marquette,4,0,2,7,0,Sandy Cohen III missed Jumper.
Omaha,Marquette,4,0,2,7,0,Marcus Tyus Defensive Rebound.
Omaha,Marquette,6,0,2,14,1,CJ Carter made Layup. Assisted by Tre'Shawn Thurman.
Omaha,Marquette,6,0,2,14,0,Technical Foul on CJ Carter.
Omaha,Marquette,6,0,2,14,0,Foul on CJ Carter.
Omaha,Marquette,6,1,2,14,1,Matt Carlino made Free Throw.
Omaha,Marquette,6,2,2,14,1,Matt Carlino made Free Throw.
Omaha,Marquette,6,2,2,32,0,Juan Anderson Turnover.
Omaha,Marquette,8,2,2,45,1,Devin Patterson made Jumper.
Omaha,Marquette,8,2,3,2,0,Juan Anderson missed Layup.
Omaha,Marquette,8,2,3,2,0,Tre'Shawn Thurman Defensive Rebound.
Omaha,Marquette,8,2,3,8,0,CJ Carter missed Three Point Jumper.
Omaha,Marquette,8,2,3,8,0,Marcus Tyus Offensive Rebound.
Omaha,Marquette,10,2,3,13,1,Devin Patterson made Jumper.
Omaha,Marquette,10,2,3,13,0,Marquette  Timeout
Omaha,Marquette,10,2,3,27,0,Deonte Burton missed Jumper.
Omaha,Marquette,10,2,3,27,0,Tre'Shawn Thurman Defensive Rebound.
Omaha,Marquette,10,2,3,33,0,Tre'Shawn Thurman Turnover.
Omaha,Marquette,10,2,3,34,0,Sandy Cohen III Steal.
Omaha,Marquette,10,2,3,44,0,Sandy Cohen III missed Three Point Jumper.
Omaha,Marquette,10,2,3,44,0,Tre'Shawn Thurman Defensive Rebound.
Omaha,Marquette,10,2,3,49,0,Foul on Duane Wilson.
Omaha,Marquette,11,2,3,49,1,CJ Carter made Free Throw.
Omaha,Marquette,12,2,3,49,1,CJ Carter made Free Throw.
Omaha,Marquette,12,5,4,4,1,Juan Anderson made Three Point Jumper. Assisted by Matt Carlino.
Omaha,Marquette,12,5,4,20,0,Mike Rostampour missed Jumper.
Omaha,Marquette,12,5,4,20,0,Matt Carlino Defensive Rebound.
Omaha,Marquette,12,5,4,28,0,Matt Carlino missed Three Point Jumper.
Omaha,Marquette,12,5,4,28,0,Mike Rostampour Defensive Rebound.
Omaha,Marquette,12,5,4,43,0,Mike Rostampour Turnover.
Omaha,Marquette,12,5,4,43,0,Official TV Timeout
Omaha,Marquette,12,7,4,59,1,Deonte Burton made Jumper. Assisted by Juan Anderson.
Omaha,Marquette,14,7,5,13,1,Devin Patterson made Layup.
Omaha,Marquette,14,7,5,20,0,Deonte Burton Turnover.
Omaha,Marquette,14,7,5,35,0,Mike Rostampour Turnover.
Omaha,Marquette,14,7,5,36,0,Deonte Burton Steal.
Omaha,Marquette,14,7,5,37,0,Foul on Marcus Tyus.
