Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Pittsburgh,Virginia Tech,0,0,0,0,0,Jump Ball won by Virginia Tech
Pittsburgh,Virginia Tech,0,0,0,14,0,Ahmed Hill missed Jumper.
Pittsburgh,Virginia Tech,0,0,0,14,0,Cameron Wright Defensive Rebound.
Pittsburgh,Virginia Tech,0,0,0,22,0,James Robinson missed Jumper.
Pittsburgh,Virginia Tech,0,0,0,22,0,Pittsburgh Offensive Rebound.
Pittsburgh,Virginia Tech,0,0,0,30,0,Foul on Ahmed Hill.
Pittsburgh,Virginia Tech,0,0,0,46,0,Michael Young missed Three Point Jumper.
Pittsburgh,Virginia Tech,0,0,0,46,0,Devin Wilson Defensive Rebound.
Pittsburgh,Virginia Tech,0,0,1,19,0,Foul on James Robinson.
Pittsburgh,Virginia Tech,0,1,1,19,1,Ahmed Hill made Free Throw.
Pittsburgh,Virginia Tech,0,1,1,19,0,Ahmed Hill missed Free Throw.
Pittsburgh,Virginia Tech,0,1,1,19,0,Jamel Artis Defensive Rebound.
Pittsburgh,Virginia Tech,2,1,1,46,1,Cameron Wright made Jumper.
Pittsburgh,Virginia Tech,2,1,1,55,0,Devin Wilson Turnover.
Pittsburgh,Virginia Tech,2,1,2,2,0,Cameron Wright Turnover.
Pittsburgh,Virginia Tech,2,1,2,28,0,Ahmed Hill missed Three Point Jumper.
Pittsburgh,Virginia Tech,2,1,2,28,0,James Robinson Defensive Rebound.
Pittsburgh,Virginia Tech,2,1,2,31,0,Foul on Shane Henry.
Pittsburgh,Virginia Tech,2,1,2,43,0,Foul on Adam Smith.
Pittsburgh,Virginia Tech,5,1,2,48,1,Jamel Artis made Three Point Jumper. Assisted by Cameron Wright.
Pittsburgh,Virginia Tech,5,1,3,18,0,Adam Smith Turnover.
Pittsburgh,Virginia Tech,5,1,3,28,0,Jamel Artis Turnover.
Pittsburgh,Virginia Tech,5,3,3,52,1,Adam Smith made Jumper. Assisted by Malik Muller.
Pittsburgh,Virginia Tech,7,3,4,10,1,Cameron Wright made Jumper. Assisted by Chris Jones.
Pittsburgh,Virginia Tech,7,5,4,19,1,Ahmed Hill made Layup.
Pittsburgh,Virginia Tech,9,5,4,41,1,Chris Jones made Jumper. Assisted by James Robinson.
Pittsburgh,Virginia Tech,9,5,4,56,0,Jalen Hudson Turnover.
Pittsburgh,Virginia Tech,9,5,4,56,0,Cameron Wright Steal.
Pittsburgh,Virginia Tech,11,5,5,12,1,Jamel Artis made Jumper. Assisted by Cameron Wright.
Pittsburgh,Virginia Tech,11,5,5,42,0,Foul on James Robinson.
Pittsburgh,Virginia Tech,11,5,5,42,0,Official TV Timeout
Pittsburgh,Virginia Tech,11,6,5,42,1,Adam Smith made Free Throw.
Pittsburgh,Virginia Tech,11,7,5,42,1,Adam Smith made Free Throw.
Pittsburgh,Virginia Tech,11,7,6,11,0,Aron Phillips-Nwankwo Turnover.
Pittsburgh,Virginia Tech,11,7,6,26,0,Malik Muller missed Jumper.
Pittsburgh,Virginia Tech,11,7,6,26,0,Cameron Wright Defensive Rebound.
Pittsburgh,Virginia Tech,11,7,6,35,0,Josh Newkirk Turnover.
Pittsburgh,Virginia Tech,11,10,6,41,1,Adam Smith made Three Point Jumper. Assisted by Malik Muller.
Pittsburgh,Virginia Tech,11,10,6,58,0,Chris Jones missed Three Point Jumper.
Pittsburgh,Virginia Tech,11,10,6,58,0,Satchel Pierce Defensive Rebound.
Pittsburgh,Virginia Tech,11,10,7,11,0,Foul on Malik Muller.
Pittsburgh,Virginia Tech,11,10,7,11,0,Malik Muller Turnover.
Pittsburgh,Virginia Tech,11,10,7,39,0,Chris Jones missed Layup.
Pittsburgh,Virginia Tech,11,10,7,39,0,Satchel Pierce Block.
Pittsburgh,Virginia Tech,11,10,7,39,0,Devin Wilson Defensive Rebound.
Pittsburgh,Virginia Tech,11,10,7,46,0,Foul on Cameron Wright.
Pittsburgh,Virginia Tech,11,10,7,48,0,Adam Smith missed Three Point Jumper.
Pittsburgh,Virginia Tech,11,10,7,48,0,Satchel Pierce Offensive Rebound.
Pittsburgh,Virginia Tech,11,10,7,54,0,Will Johnston missed Three Point Jumper.
Pittsburgh,Virginia Tech,11,10,7,54,0,Josh Newkirk Defensive Rebound.
Pittsburgh,Virginia Tech,11,10,7,55,0,Josh Newkirk missed Layup.
Pittsburgh,Virginia Tech,11,10,7,56,0,Jalen Hudson Defensive Rebound.
