Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Loyola Marymount,Portland,0,0,0,35,0,Chase Flint missed Jumper.
Loyola Marymount,Portland,0,0,0,35,0,Portland Deadball Team Rebound.
Loyola Marymount,Portland,0,0,0,55,0,Foul on Marin Mornar.
Loyola Marymount,Portland,0,2,1,3,1,Volodymyr Gerun made Jumper.
Loyola Marymount,Portland,0,2,1,29,0,Foul on Thomas van der Mars.
Loyola Marymount,Portland,2,2,1,57,1,Godwin Okonji made Layup. Assisted by David Humphries.
Loyola Marymount,Portland,2,2,2,16,0,Foul on Godwin Okonji.
Loyola Marymount,Portland,2,3,2,16,1,Thomas van der Mars made Free Throw.
Loyola Marymount,Portland,2,4,2,16,1,Thomas van der Mars made Free Throw.
Loyola Marymount,Portland,2,4,2,20,0,Marin Mornar Turnover.
Loyola Marymount,Portland,2,4,2,20,0,Volodymyr Gerun Steal.
Loyola Marymount,Portland,2,4,2,30,0,Volodymyr Gerun Turnover.
Loyola Marymount,Portland,2,4,2,31,0,Godwin Okonji Steal.
Loyola Marymount,Portland,5,4,2,45,1,Chase Flint made Three Point Jumper. Assisted by David Humphries.
Loyola Marymount,Portland,5,4,3,4,0,Kevin Bailey missed Three Point Jumper.
Loyola Marymount,Portland,5,4,3,4,0,Bryce Pressley Offensive Rebound.
Loyola Marymount,Portland,5,4,3,7,0,Bryce Pressley missed Jumper.
Loyola Marymount,Portland,5,4,3,7,0,David Humphries Defensive Rebound.
Loyola Marymount,Portland,5,4,3,20,0,Foul on Kevin Bailey.
Loyola Marymount,Portland,5,4,3,31,0,Ayodeji Egbeyemi missed Jumper.
Loyola Marymount,Portland,5,4,3,31,0,Kevin Bailey Block.
Loyola Marymount,Portland,5,4,3,31,0,Loyola Marymount Offensive Rebound.
Loyola Marymount,Portland,8,4,3,33,1,Ayodeji Egbeyemi made Three Point Jumper. Assisted by Godwin Okonji.
Loyola Marymount,Portland,8,7,3,46,1,Bryce Pressley made Three Point Jumper. Assisted by Alec Wintering.
Loyola Marymount,Portland,8,7,4,2,0,Marin Mornar missed Jumper.
Loyola Marymount,Portland,8,7,4,2,0,Bryce Pressley Defensive Rebound.
Loyola Marymount,Portland,8,7,4,15,0,Thomas van der Mars missed Jumper.
Loyola Marymount,Portland,8,7,4,15,0,Marin Mornar Defensive Rebound.
Loyola Marymount,Portland,8,7,4,28,0,Foul on Alec Wintering.
Loyola Marymount,Portland,8,7,4,28,0,Official TV Timeout
Loyola Marymount,Portland,8,7,4,46,0,David Humphries missed Layup.
Loyola Marymount,Portland,8,7,4,46,0,Volodymyr Gerun Defensive Rebound.
Loyola Marymount,Portland,8,7,4,54,0,Alec Wintering Turnover.
Loyola Marymount,Portland,8,7,4,55,0,Chase Flint Steal.
Loyola Marymount,Portland,8,7,5,0,0,Marin Mornar missed Three Point Jumper.
Loyola Marymount,Portland,8,7,5,0,0,Alec Wintering Defensive Rebound.
Loyola Marymount,Portland,8,9,5,27,1,Gabe Taylor made Jumper. Assisted by Jason Todd.
Loyola Marymount,Portland,11,9,6,4,1,Ayodeji Egbeyemi made Three Point Jumper. Assisted by Godwin Okonji.
Loyola Marymount,Portland,11,9,6,24,0,Gabe Taylor missed Jumper.
Loyola Marymount,Portland,11,9,6,24,0,Bryce Pressley Offensive Rebound.
Loyola Marymount,Portland,11,9,6,33,0,Jason Todd missed Three Point Jumper.
Loyola Marymount,Portland,11,9,6,33,0,Ayodeji Egbeyemi Defensive Rebound.
Loyola Marymount,Portland,11,9,6,43,0,David Humphries missed Jumper.
Loyola Marymount,Portland,11,9,6,43,0,Marin Mornar Offensive Rebound.
Loyola Marymount,Portland,11,9,7,6,0,Godwin Okonji missed Layup.
Loyola Marymount,Portland,11,9,7,6,0,Godwin Okonji Offensive Rebound.
Loyola Marymount,Portland,11,9,7,8,0,Godwin Okonji missed Layup.
Loyola Marymount,Portland,11,9,7,8,0,Volodymyr Gerun Defensive Rebound.
Loyola Marymount,Portland,11,12,7,21,1,Bryce Pressley made Three Point Jumper. Assisted by Jason Todd.
Loyola Marymount,Portland,11,12,7,40,0,Marin Mornar Turnover.
Loyola Marymount,Portland,11,12,8,2,0,Kevin Bailey missed Jumper.
Loyola Marymount,Portland,11,12,8,2,0,Thomas van der Mars Offensive Rebound.
Loyola Marymount,Portland,11,12,8,6,0,Official TV Timeout
Loyola Marymount,Portland,11,12,8,26,0,Foul on Godwin Okonji.
Loyola Marymount,Portland,11,12,8,26,0,Kevin Bailey missed Free Throw.
Loyola Marymount,Portland,11,12,8,26,0,Portland Deadball Team Rebound.
Loyola Marymount,Portland,11,13,8,26,1,Kevin Bailey made Free Throw.
Loyola Marymount,Portland,11,13,8,56,0,Foul on Jason Todd.
Loyola Marymount,Portland,11,13,8,56,0,David Humphries missed Free Throw.
Loyola Marymount,Portland,11,13,8,56,0,Loyola Marymount Deadball Team Rebound.
Loyola Marymount,Portland,12,13,8,56,1,David Humphries made Free Throw.
Loyola Marymount,Portland,12,13,9,19,0,Kevin Bailey missed Layup.
Loyola Marymount,Portland,12,13,9,19,0,David Humphries Block.
Loyola Marymount,Portland,12,13,9,21,0,Loyola Marymount Defensive Rebound.
Loyola Marymount,Portland,12,13,9,47,0,Chase Flint Turnover.
Loyola Marymount,Portland,12,13,9,47,0,Volodymyr Gerun Steal.
Loyola Marymount,Portland,12,15,9,47,1,Volodymyr Gerun made Layup. Assisted by Alec Wintering.
Loyola Marymount,Portland,12,15,9,47,0,Foul on Chase Flint.
Loyola Marymount,Portland,12,16,9,47,1,Volodymyr Gerun made Free Throw.
Loyola Marymount,Portland,12,16,9,53,0,Foul on Kevin Bailey.
Loyola Marymount,Portland,12,16,10,6,0,Ayodeji Egbeyemi missed Jumper.
Loyola Marymount,Portland,12,16,10,6,0,Evan Payne Offensive Rebound.
Loyola Marymount,Portland,12,16,10,10,0,Evan Payne Turnover.
Loyola Marymount,Portland,12,16,10,11,0,Foul on David Humphries.
Loyola Marymount,Portland,12,19,10,25,1,Bobby Sharp made Three Point Jumper. Assisted by Jason Todd.
Loyola Marymount,Portland,12,19,10,31,0,Loyola Marymount  Timeout
Loyola Marymount,Portland,14,19,10,51,1,Godwin Okonji made Layup. Assisted by Marin Mornar.
Loyola Marymount,Portland,14,19,10,51,0,Foul on Volodymyr Gerun.
Loyola Marymount,Portland,15,19,10,51,1,Godwin Okonji made Free Throw.
Loyola Marymount,Portland,15,21,11,15,1,Gabe Taylor made Layup. Assisted by Thomas van der Mars.
