Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Rhode Island,Southern Miss,0,0,0,23,0,Matt Bingaya Turnover.
Rhode Island,Southern Miss,0,0,0,23,0,Matt Bingaya Turnover.
Rhode Island,Southern Miss,0,0,0,25,0,Jared Terrell Steal.
Rhode Island,Southern Miss,0,0,0,25,0,Jared Terrell Steal.
Rhode Island,Southern Miss,0,0,0,30,0,E.C. Matthews missed Jumper.
Rhode Island,Southern Miss,0,0,0,30,0,E.C. Matthews Offensive Rebound.
Rhode Island,Southern Miss,0,0,0,44,0,E.C. Matthews missed Three Point Jumper.
Rhode Island,Southern Miss,0,0,0,44,0,Chip Armelin Defensive Rebound.
Rhode Island,Southern Miss,0,0,0,59,0,Jeremiah Eason Turnover.
Rhode Island,Southern Miss,0,0,1,12,0,Jared Terrell missed Jumper.
Rhode Island,Southern Miss,0,0,1,12,0,Gilvydas Biruta Offensive Rebound.
Rhode Island,Southern Miss,0,0,1,14,0,Foul on Matt Bingaya.
Rhode Island,Southern Miss,2,0,1,16,1,Hassan Martin made Jumper. Assisted by Biggie Minnis.
Rhode Island,Southern Miss,2,0,1,25,0,Chip Armelin missed Layup.
Rhode Island,Southern Miss,2,0,1,25,0,Southern Miss Offensive Rebound.
Rhode Island,Southern Miss,2,0,1,29,0,Jeremiah Eason missed Jumper.
Rhode Island,Southern Miss,2,0,1,29,0,Hassan Martin Block.
Rhode Island,Southern Miss,2,0,1,30,0,Hassan Martin Defensive Rebound.
Rhode Island,Southern Miss,2,0,1,37,0,Foul on Shadell Millinghaus.
Rhode Island,Southern Miss,2,0,1,37,0,Hassan Martin missed Free Throw.
Rhode Island,Southern Miss,2,0,1,37,0,Rhode Island Deadball Team Rebound.
Rhode Island,Southern Miss,3,0,1,37,1,Hassan Martin made Free Throw.
Rhode Island,Southern Miss,3,0,1,48,0,Shadell Millinghaus missed Jumper.
Rhode Island,Southern Miss,3,0,1,48,0,Shadell Millinghaus missed Jumper.
Rhode Island,Southern Miss,3,0,1,48,0,Jeremiah Eason Offensive Rebound.
Rhode Island,Southern Miss,3,0,1,48,0,Jeremiah Eason Offensive Rebound.
Rhode Island,Southern Miss,3,0,1,58,0,Shadell Millinghaus missed Three Point Jumper.
Rhode Island,Southern Miss,3,0,1,58,0,Biggie Minnis Defensive Rebound.
Rhode Island,Southern Miss,5,0,2,8,1,Hassan Martin made Layup.
Rhode Island,Southern Miss,5,0,2,39,0,Chip Armelin Turnover.
Rhode Island,Southern Miss,5,0,2,41,0,Biggie Minnis Steal.
Rhode Island,Southern Miss,7,0,2,43,1,Jared Terrell made Dunk. Assisted by Biggie Minnis.
Rhode Island,Southern Miss,7,3,3,3,1,Matt Bingaya made Three Point Jumper. Assisted by Chip Armelin.
Rhode Island,Southern Miss,7,3,3,21,0,Foul on Hassan Martin.
Rhode Island,Southern Miss,7,3,3,21,0,Hassan Martin Turnover.
Rhode Island,Southern Miss,7,3,3,39,0,Matt Bingaya missed Three Point Jumper.
Rhode Island,Southern Miss,7,3,3,39,0,Gilvydas Biruta Defensive Rebound.
Rhode Island,Southern Miss,9,3,3,53,1,Hassan Martin made Jumper. Assisted by E.C. Matthews.
Rhode Island,Southern Miss,9,3,4,21,0,Foul on Biggie Minnis.
Rhode Island,Southern Miss,9,3,4,21,0,Official TV Timeout
Rhode Island,Southern Miss,9,5,4,36,1,Shadell Millinghaus made Layup.
Rhode Island,Southern Miss,9,5,5,1,0,Gilvydas Biruta missed Jumper.
Rhode Island,Southern Miss,9,5,5,1,0,Southern Miss Defensive Rebound.
Rhode Island,Southern Miss,9,5,5,13,0,Rasham Suarez Turnover.
Rhode Island,Southern Miss,9,5,5,14,0,Biggie Minnis Steal.
Rhode Island,Southern Miss,11,5,5,16,1,Biggie Minnis made Layup.
Rhode Island,Southern Miss,11,5,5,39,0,Foul on Biggie Minnis.
Rhode Island,Southern Miss,11,5,5,39,0,Rasham Suarez missed Three Point Jumper.
Rhode Island,Southern Miss,11,5,5,39,0,Rhode Island Defensive Rebound.
Rhode Island,Southern Miss,14,5,6,3,1,E.C. Matthews made Three Point Jumper. Assisted by Jarvis Garrett.
Rhode Island,Southern Miss,14,7,6,20,1,Shadell Millinghaus made Layup.
Rhode Island,Southern Miss,14,7,6,20,0,Foul on T.J. Buchanan.
Rhode Island,Southern Miss,14,7,6,20,0,Shadell Millinghaus missed Free Throw.
Rhode Island,Southern Miss,14,7,6,20,0,Shadell Millinghaus Offensive Rebound.
Rhode Island,Southern Miss,14,7,6,20,0,Shadell Millinghaus Offensive Rebound.
Rhode Island,Southern Miss,14,7,6,24,0,Matt Bingaya Turnover.
Rhode Island,Southern Miss,14,7,6,24,0,Matt Bingaya Turnover.
Rhode Island,Southern Miss,14,7,6,47,0,Foul on Shadell Millinghaus.
Rhode Island,Southern Miss,14,7,7,10,0,Jarvis Garrett missed Jumper.
Rhode Island,Southern Miss,14,7,7,10,0,Earl Watson Offensive Rebound.
Rhode Island,Southern Miss,16,7,7,14,1,Jarvis Garrett made Jumper. Assisted by Earl Watson.
Rhode Island,Southern Miss,16,9,7,39,1,Norville Carey made Jumper.
Rhode Island,Southern Miss,16,9,8,5,0,T.J. Buchanan Turnover.
Rhode Island,Southern Miss,16,9,8,5,0,Official TV Timeout
Rhode Island,Southern Miss,16,9,8,15,0,Foul on Jarelle Reischel.
Rhode Island,Southern Miss,16,9,8,27,0,Davon Hayes Turnover.
Rhode Island,Southern Miss,16,9,8,27,0,Jarelle Reischel missed Jumper.
Rhode Island,Southern Miss,16,9,8,27,0,Jarelle Reischel Offensive Rebound.
Rhode Island,Southern Miss,16,9,8,30,0,Foul on Davon Hayes.
Rhode Island,Southern Miss,16,9,8,30,0,Jared Terrell missed Jumper.
Rhode Island,Southern Miss,16,9,8,30,0,Keljin Blevins Defensive Rebound.
