Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Murray State,SIU-Edwardsville,0,0,0,21,0,Jeffery Moss missed Jumper.
Murray State,SIU-Edwardsville,0,0,0,21,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,0,3,0,33,1,Michael Messer made Three Point Jumper. Assisted by Rozell Nunn.
Murray State,SIU-Edwardsville,0,3,0,56,0,Jarvis Williams missed Layup.
Murray State,SIU-Edwardsville,0,3,0,56,0,Keaton Jackson Defensive Rebound.
Murray State,SIU-Edwardsville,0,3,1,26,0,Kris Davis missed Jumper.
Murray State,SIU-Edwardsville,0,3,1,26,0,Murray St Defensive Rebound.
Murray State,SIU-Edwardsville,0,3,1,26,0,Foul on Keaton Jackson.
Murray State,SIU-Edwardsville,0,3,1,42,0,Jeffery Moss missed Three Point Jumper.
Murray State,SIU-Edwardsville,0,3,1,42,0,Donivine Stewart Defensive Rebound.
Murray State,SIU-Edwardsville,0,3,1,48,0,Donivine Stewart Turnover.
Murray State,SIU-Edwardsville,0,3,1,50,0,T.J. Sapp Steal.
Murray State,SIU-Edwardsville,0,3,1,51,0,Foul on Grant Fiorentinos.
Murray State,SIU-Edwardsville,1,3,1,51,1,T.J. Sapp made Free Throw.
Murray State,SIU-Edwardsville,2,3,1,51,1,T.J. Sapp made Free Throw.
Murray State,SIU-Edwardsville,2,3,2,5,0,Michael Messer missed Jumper.
Murray State,SIU-Edwardsville,2,3,2,5,0,Grant Fiorentinos Offensive Rebound.
Murray State,SIU-Edwardsville,2,3,2,5,0,Foul on Jonathan Fairell.
Murray State,SIU-Edwardsville,2,6,2,15,1,Kris Davis made Three Point Jumper. Assisted by Donivine Stewart.
Murray State,SIU-Edwardsville,2,6,2,39,0,Jonathan Fairell Turnover.
Murray State,SIU-Edwardsville,2,6,2,40,0,Rozell Nunn Steal.
Murray State,SIU-Edwardsville,2,6,2,59,0,Kris Davis missed Three Point Jumper.
Murray State,SIU-Edwardsville,2,6,2,59,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,4,6,3,7,1,Jarvis Williams made Layup. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,4,6,3,41,0,Kris Davis missed Three Point Jumper.
Murray State,SIU-Edwardsville,4,6,3,41,0,Jarvis Williams Defensive Rebound.
Murray State,SIU-Edwardsville,6,6,3,56,1,T.J. Sapp made Jumper.
Murray State,SIU-Edwardsville,6,6,4,24,0,Donivine Stewart missed Three Point Jumper.
Murray State,SIU-Edwardsville,6,6,4,24,0,T.J. Sapp Defensive Rebound.
Murray State,SIU-Edwardsville,8,6,4,27,1,Jeffery Moss made Dunk. Assisted by T.J. Sapp.
Murray State,SIU-Edwardsville,8,6,4,58,0,Kris Davis Turnover.
Murray State,SIU-Edwardsville,8,6,4,58,0,Jeffery Moss Steal.
Murray State,SIU-Edwardsville,8,6,5,2,0,T.J. Sapp Turnover.
Murray State,SIU-Edwardsville,8,6,5,2,0,Official TV Timeout
Murray State,SIU-Edwardsville,8,6,5,31,0,Rozell Nunn missed Jumper.
Murray State,SIU-Edwardsville,8,6,5,31,0,Jarvis Williams Defensive Rebound.
Murray State,SIU-Edwardsville,10,6,5,35,1,Jeffery Moss made Layup. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,10,6,6,11,0,Donivine Stewart missed Three Point Jumper.
Murray State,SIU-Edwardsville,10,6,6,11,0,C.J. Carr Offensive Rebound.
Murray State,SIU-Edwardsville,10,9,6,36,1,C.J. Carr made Three Point Jumper. Assisted by Maurice Wiltz.
Murray State,SIU-Edwardsville,12,9,6,44,1,Jarvis Williams made Layup. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,12,11,7,3,1,Rozell Nunn made Layup.
Murray State,SIU-Edwardsville,12,11,7,11,0,Jarvis Williams missed Dunk.
Murray State,SIU-Edwardsville,12,11,7,11,0,Cameron Payne Offensive Rebound.
Murray State,SIU-Edwardsville,12,11,7,12,0,Cameron Payne missed Layup.
Murray State,SIU-Edwardsville,12,11,7,12,0,Jarvis Williams Offensive Rebound.
Murray State,SIU-Edwardsville,12,11,7,26,0,Jarvis Williams Turnover.
Murray State,SIU-Edwardsville,12,11,7,46,0,Jake Newton missed Layup.
Murray State,SIU-Edwardsville,12,11,7,46,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,12,11,7,46,0,Foul on Jalen Henry.
Murray State,SIU-Edwardsville,15,11,7,58,1,Cameron Payne made Three Point Jumper.
Murray State,SIU-Edwardsville,15,13,8,12,1,C.J. Carr made Jumper.
Murray State,SIU-Edwardsville,15,13,8,33,0,Cameron Payne missed Three Point Jumper.
Murray State,SIU-Edwardsville,15,13,8,33,0,Michael Messer Defensive Rebound.
Murray State,SIU-Edwardsville,15,16,8,49,1,Jake Newton made Three Point Jumper. Assisted by C.J. Carr.
Murray State,SIU-Edwardsville,15,16,9,8,0,Justin Seymour missed Three Point Jumper.
Murray State,SIU-Edwardsville,15,16,9,8,0,Jake Newton Defensive Rebound.
Murray State,SIU-Edwardsville,15,18,9,35,1,Michael Messer made Layup.
Murray State,SIU-Edwardsville,15,18,9,50,0,Foul on Jake Newton.
Murray State,SIU-Edwardsville,15,18,9,50,0,Official TV Timeout
Murray State,SIU-Edwardsville,16,18,9,50,1,Jonathan Fairell made Free Throw.
Murray State,SIU-Edwardsville,16,18,9,50,0,Jonathan Fairell missed Free Throw.
Murray State,SIU-Edwardsville,16,18,9,50,0,Jake Newton Defensive Rebound.
Murray State,SIU-Edwardsville,16,18,10,6,0,Foul on Jarvis Williams.
Murray State,SIU-Edwardsville,16,18,10,19,0,Kris Davis Turnover.
Murray State,SIU-Edwardsville,16,18,10,29,0,Cameron Payne missed Layup.
Murray State,SIU-Edwardsville,16,18,10,29,0,Jalen Henry Block.
Murray State,SIU-Edwardsville,16,18,10,30,0,Murray St Offensive Rebound.
Murray State,SIU-Edwardsville,16,18,10,32,0,T.J. Sapp Turnover.
Murray State,SIU-Edwardsville,16,18,10,45,0,Maurice Wiltz missed Three Point Jumper.
Murray State,SIU-Edwardsville,16,18,10,45,0,Jarvis Williams Defensive Rebound.
Murray State,SIU-Edwardsville,18,18,10,57,1,Cameron Payne made Jumper.
Murray State,SIU-Edwardsville,18,18,11,19,0,Donivine Stewart Turnover.
Murray State,SIU-Edwardsville,18,18,11,20,0,Cameron Payne Steal.
Murray State,SIU-Edwardsville,18,18,11,40,0,Cameron Payne missed Jumper.
Murray State,SIU-Edwardsville,18,18,11,40,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,18,21,11,51,1,Donivine Stewart made Three Point Jumper. Assisted by Rozell Nunn.
Murray State,SIU-Edwardsville,18,21,12,20,0,T.J. Sapp missed Jumper.
Murray State,SIU-Edwardsville,18,21,12,20,0,Kris Davis Defensive Rebound.
Murray State,SIU-Edwardsville,18,21,12,33,0,Maurice Wiltz missed Jumper.
Murray State,SIU-Edwardsville,18,21,12,33,0,Jalen Henry Offensive Rebound.
Murray State,SIU-Edwardsville,18,21,12,35,0,Jalen Henry missed Layup.
Murray State,SIU-Edwardsville,18,21,12,35,0,Jalen Henry Offensive Rebound.
Murray State,SIU-Edwardsville,18,23,12,38,1,Jalen Henry made Two Point Tip Shot.
Murray State,SIU-Edwardsville,18,23,12,41,0,Murray St  Timeout
Murray State,SIU-Edwardsville,18,23,12,54,0,T.J. Sapp missed Jumper.
Murray State,SIU-Edwardsville,18,23,12,54,0,Maurice Wiltz Block.
Murray State,SIU-Edwardsville,18,23,12,55,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,18,23,13,10,0,Rozell Nunn missed Three Point Jumper.
Murray State,SIU-Edwardsville,18,23,13,10,0,Michael Chandler Offensive Rebound.
Murray State,SIU-Edwardsville,18,23,13,13,0,Michael Chandler Turnover.
Murray State,SIU-Edwardsville,18,23,13,15,0,Justin Seymour Steal.
Murray State,SIU-Edwardsville,21,23,13,31,1,Justin Seymour made Three Point Jumper. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,21,25,13,56,1,Rozell Nunn made Layup.
Murray State,SIU-Edwardsville,21,25,14,12,0,T.J. Sapp missed Three Point Jumper.
Murray State,SIU-Edwardsville,21,25,14,12,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,21,25,14,49,0,Maurice Wiltz missed Layup.
Murray State,SIU-Edwardsville,21,25,14,49,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,21,25,14,56,0,Foul on Michael Chandler.
Murray State,SIU-Edwardsville,21,25,14,56,0,Official TV Timeout
Murray State,SIU-Edwardsville,22,25,14,56,1,Tyler Rambo made Free Throw.
Murray State,SIU-Edwardsville,23,25,14,56,1,Tyler Rambo made Free Throw.
Murray State,SIU-Edwardsville,23,25,15,31,0,Maurice Wiltz missed Jumper.
Murray State,SIU-Edwardsville,23,25,15,31,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,26,25,16,0,1,Cameron Payne made Three Point Jumper. Assisted by Jonathan Fairell.
Murray State,SIU-Edwardsville,26,25,16,12,0,C.J. Carr Turnover.
Murray State,SIU-Edwardsville,26,25,16,13,0,Official TV Timeout
Murray State,SIU-Edwardsville,26,25,16,22,0,Cameron Payne Turnover.
Murray State,SIU-Edwardsville,26,27,16,49,1,Kris Davis made Jumper.
Murray State,SIU-Edwardsville,26,27,17,0,0,Jeffery Moss missed Three Point Jumper.
Murray State,SIU-Edwardsville,26,27,17,0,0,Wayne Langston Offensive Rebound.
Murray State,SIU-Edwardsville,26,27,17,1,0,Foul on Michael Messer.
Murray State,SIU-Edwardsville,26,27,17,14,0,Cameron Payne missed Three Point Jumper.
Murray State,SIU-Edwardsville,26,27,17,14,0,Jonathan Fairell Offensive Rebound.
Murray State,SIU-Edwardsville,28,27,17,19,1,Jonathan Fairell made Layup.
Murray State,SIU-Edwardsville,28,27,17,27,0,Donivine Stewart missed Three Point Jumper.
Murray State,SIU-Edwardsville,28,27,17,27,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,28,27,17,39,0,Cameron Payne missed Jumper.
Murray State,SIU-Edwardsville,28,27,17,39,0,SIU-Edwardsville Defensive Rebound.
Murray State,SIU-Edwardsville,28,27,18,3,0,Rozell Nunn Turnover.
Murray State,SIU-Edwardsville,28,27,18,30,0,T.J. Sapp missed Three Point Jumper.
Murray State,SIU-Edwardsville,28,27,18,30,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,28,29,18,51,1,Rozell Nunn made Layup.
Murray State,SIU-Edwardsville,28,29,18,59,0,Cameron Payne missed Jumper.
Murray State,SIU-Edwardsville,28,29,18,59,0,Jonathan Fairell Offensive Rebound.
Murray State,SIU-Edwardsville,28,29,19,1,0,Jonathan Fairell missed Layup.
Murray State,SIU-Edwardsville,28,29,19,1,0,Keaton Jackson Block.
Murray State,SIU-Edwardsville,28,29,19,2,0,Kris Davis Defensive Rebound.
Murray State,SIU-Edwardsville,28,29,19,6,0,Foul on T.J. Sapp.
Murray State,SIU-Edwardsville,28,30,19,6,1,Jake Newton made Free Throw.
Murray State,SIU-Edwardsville,28,31,19,6,1,Jake Newton made Free Throw.
Murray State,SIU-Edwardsville,28,31,19,18,0,T.J. Sapp missed Jumper.
Murray State,SIU-Edwardsville,28,31,19,18,0,Keaton Jackson Block.
Murray State,SIU-Edwardsville,28,31,19,18,0,Murray St Offensive Rebound.
Murray State,SIU-Edwardsville,28,31,19,20,0,Jonathan Fairell missed Layup.
Murray State,SIU-Edwardsville,28,31,19,20,0,Rozell Nunn Defensive Rebound.
Murray State,SIU-Edwardsville,28,31,19,30,0,Rozell Nunn missed Three Point Jumper.
Murray State,SIU-Edwardsville,28,31,19,30,0,T.J. Sapp Defensive Rebound.
Murray State,SIU-Edwardsville,31,31,19,57,1,Jeffery Moss made Three Point Jumper. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,31,31,20,0,0,End of 1st half
Murray State,SIU-Edwardsville,31,31,20,10,0,Foul on Michael Messer.
Murray State,SIU-Edwardsville,31,31,20,20,0,Jeffery Moss missed Jumper.
Murray State,SIU-Edwardsville,31,31,20,20,0,Kris Davis Defensive Rebound.
Murray State,SIU-Edwardsville,31,31,20,32,0,Michael Messer missed Jumper.
Murray State,SIU-Edwardsville,31,31,20,32,0,Cameron Payne Defensive Rebound.
Murray State,SIU-Edwardsville,31,31,20,40,0,Jeffery Moss missed Layup.
Murray State,SIU-Edwardsville,31,31,20,40,0,Kris Davis Defensive Rebound.
Murray State,SIU-Edwardsville,31,31,20,52,0,Donivine Stewart Turnover.
Murray State,SIU-Edwardsville,33,31,21,12,1,Cameron Payne made Layup.
Murray State,SIU-Edwardsville,33,34,21,28,1,Donivine Stewart made Three Point Jumper. Assisted by Rozell Nunn.
Murray State,SIU-Edwardsville,33,34,21,42,0,Foul on Jonathan Fairell.
Murray State,SIU-Edwardsville,33,34,21,42,0,Jonathan Fairell Turnover.
Murray State,SIU-Edwardsville,33,34,22,8,0,Donivine Stewart missed Layup.
Murray State,SIU-Edwardsville,33,34,22,9,0,Keaton Jackson Offensive Rebound.
Murray State,SIU-Edwardsville,33,36,22,9,1,Keaton Jackson made Two Point Tip Shot.
Murray State,SIU-Edwardsville,33,36,22,21,0,Jonathan Fairell missed Layup.
Murray State,SIU-Edwardsville,33,36,22,21,0,Jarvis Williams Offensive Rebound.
Murray State,SIU-Edwardsville,33,36,22,27,0,Foul on Keaton Jackson.
Murray State,SIU-Edwardsville,34,36,22,27,1,Jonathan Fairell made Free Throw.
Murray State,SIU-Edwardsville,35,36,22,27,1,Jonathan Fairell made Free Throw.
Murray State,SIU-Edwardsville,35,36,22,55,0,Kris Davis missed Jumper.
Murray State,SIU-Edwardsville,35,36,22,55,0,Murray St Defensive Rebound.
Murray State,SIU-Edwardsville,35,36,22,55,0,Foul on Jalen Henry.
Murray State,SIU-Edwardsville,35,36,23,12,0,Jeffery Moss missed Three Point Jumper.
Murray State,SIU-Edwardsville,35,36,23,12,0,Jalen Henry Defensive Rebound.
Murray State,SIU-Edwardsville,35,36,23,45,0,Rozell Nunn missed Layup.
Murray State,SIU-Edwardsville,35,36,23,45,0,Jonathan Fairell Defensive Rebound.
Murray State,SIU-Edwardsville,35,36,23,45,0,Foul on Rozell Nunn.
Murray State,SIU-Edwardsville,37,36,24,4,1,Jarvis Williams made Layup. Assisted by T.J. Sapp.
Murray State,SIU-Edwardsville,37,36,24,28,0,Jalen Henry missed Jumper.
Murray State,SIU-Edwardsville,37,36,24,28,0,Jeffery Moss Defensive Rebound.
Murray State,SIU-Edwardsville,39,36,24,32,1,T.J. Sapp made Layup. Assisted by Cameron Payne.
Murray State,SIU-Edwardsville,39,36,24,41,0,SIU-Edwardsville  Timeout
Murray State,SIU-Edwardsville,39,36,25,3,0,Maurice Wiltz missed Three Point Jumper.
Murray State,SIU-Edwardsville,39,36,25,3,0,Jarvis Williams Defensive Rebound.
Murray State,SIU-Edwardsville,39,36,25,4,0,Foul on Keaton Jackson.
Murray State,SIU-Edwardsville,39,36,25,4,0,Official TV Timeout
Murray State,SIU-Edwardsville,39,36,25,21,0,Jarvis Williams missed Layup.
Murray State,SIU-Edwardsville,39,36,25,21,0,Jonathan Fairell Offensive Rebound.
Murray State,SIU-Edwardsville,39,36,25,28,0,Jonathan Fairell missed Layup.
Murray State,SIU-Edwardsville,39,36,25,28,0,Jarvis Williams Offensive Rebound.
Murray State,SIU-Edwardsville,39,36,25,28,0,Foul on Maurice Wiltz.
Murray State,SIU-Edwardsville,39,36,25,28,0,Jarvis Williams missed Free Throw.
Murray State,SIU-Edwardsville,39,36,25,28,0,Jonathan Fairell Offensive Rebound.
Murray State,SIU-Edwardsville,39,36,25,53,0,Foul on Keaton Jackson.
Murray State,SIU-Edwardsville,39,36,25,53,0,Jonathan Fairell missed Free Throw.
Murray State,SIU-Edwardsville,39,36,25,53,0,Murray St Deadball Team Rebound.
Murray State,SIU-Edwardsville,39,36,25,53,0,Jonathan Fairell missed Free Throw.
Murray State,SIU-Edwardsville,39,36,25,53,0,Michael Messer Defensive Rebound.
Murray State,SIU-Edwardsville,39,36,26,3,0,Michael Messer Turnover.
Murray State,SIU-Edwardsville,39,36,26,4,0,Jeffery Moss Steal.
Murray State,SIU-Edwardsville,42,36,26,10,1,Cameron Payne made Three Point Jumper.
Murray State,SIU-Edwardsville,42,36,26,37,0,Foul on Jeffery Moss.
Murray State,SIU-Edwardsville,42,37,26,37,1,C.J. Carr made Free Throw.
Murray State,SIU-Edwardsville,42,37,26,37,0,C.J. Carr missed Free Throw.
Murray State,SIU-Edwardsville,42,37,26,37,0,Jeffery Moss Defensive Rebound.
