Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Saint Peter's,Cornell,0,0,0,9,0,Shonn Miller missed Jumper.
Saint Peter's,Cornell,0,0,0,9,0,Wyche Trevis Defensive Rebound.
Saint Peter's,Cornell,0,0,0,25,0,Welton Quadir missed Jumper.
Saint Peter's,Cornell,0,0,0,25,0,Shonn Miller Defensive Rebound.
Saint Peter's,Cornell,0,0,0,46,0,Shonn Miller missed Jumper.
Saint Peter's,Cornell,0,0,0,46,0,Welton Quadir Defensive Rebound.
Saint Peter's,Cornell,0,0,1,1,0,Wyche Trevis Turnover.
Saint Peter's,Cornell,0,0,1,20,0,Galal Cancer missed Jumper.
Saint Peter's,Cornell,0,0,1,20,0,Washington Desi Defensive Rebound.
Saint Peter's,Cornell,0,0,1,27,0,Washington Desi missed Layup.
Saint Peter's,Cornell,0,0,1,27,0,Galal Cancer Block.
Saint Peter's,Cornell,0,0,1,30,0,Shonn Miller Defensive Rebound.
Saint Peter's,Cornell,0,0,1,55,0,Devin Cherry Turnover.
Saint Peter's,Cornell,0,0,1,57,0,Welton Quadir Steal.
Saint Peter's,Cornell,0,0,2,2,0,Dominique Marvin missed Three Point Jumper.
Saint Peter's,Cornell,0,0,2,2,0,Robert Hatter Defensive Rebound.
Saint Peter's,Cornell,0,2,2,9,1,Robert Hatter made Layup.
Saint Peter's,Cornell,0,2,2,33,0,Dominique Marvin missed Jumper.
Saint Peter's,Cornell,0,2,2,33,0,Shonn Miller Defensive Rebound.
Saint Peter's,Cornell,0,2,3,6,0,Shonn Miller Turnover.
Saint Peter's,Cornell,0,2,3,14,0,Dominique Marvin Turnover.
Saint Peter's,Cornell,0,2,3,35,0,Galal Cancer Turnover.
Saint Peter's,Cornell,0,2,4,3,0,Washington Desi Turnover.
Saint Peter's,Cornell,0,2,4,3,0,Official TV Timeout
Saint Peter's,Cornell,0,4,4,25,1,Dave LaMore made Layup. Assisted by Galal Cancer.
Saint Peter's,Cornell,0,4,5,4,0,Dominique Marvin missed Jumper.
Saint Peter's,Cornell,0,4,5,4,0,Shonn Miller Defensive Rebound.
Saint Peter's,Cornell,0,4,5,17,0,Darryl Smith Turnover.
Saint Peter's,Cornell,0,4,5,17,0,Chazz Patterson Steal.
Saint Peter's,Cornell,0,4,5,43,0,Hester Travis missed Three Point Jumper.
Saint Peter's,Cornell,0,4,5,43,0,Cornell Defensive Rebound.
Saint Peter's,Cornell,0,4,5,56,0,JoJo Fallas Turnover.
Saint Peter's,Cornell,0,4,6,25,0,Desport Elias missed Jumper.
Saint Peter's,Cornell,0,4,6,25,0,Darryl Smith Defensive Rebound.
Saint Peter's,Cornell,0,4,6,46,0,Devin Cherry missed Jumper.
Saint Peter's,Cornell,0,4,6,46,0,Hawkins Rodney Defensive Rebound.
Saint Peter's,Cornell,0,4,7,21,0,Hester Travis missed Three Point Jumper.
Saint Peter's,Cornell,0,4,7,21,0,Cornell Defensive Rebound.
Saint Peter's,Cornell,0,4,7,27,0,Devin Cherry Turnover.
Saint Peter's,Cornell,0,4,7,44,0,Washington Desi missed Layup.
Saint Peter's,Cornell,0,4,7,44,0,Shonn Miller Block.
Saint Peter's,Cornell,0,4,7,46,0,Wyche Trevis Offensive Rebound.
Saint Peter's,Cornell,3,4,7,50,1,Hawkins Rodney made Three Point Jumper. Assisted by Hester Travis.
Saint Peter's,Cornell,3,4,8,2,0,Robert Hatter missed Three Point Jumper.
