Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Samford,Chattanooga,3,0,0,34,1,Tyler Hood made Three Point Jumper. Assisted by Christen Cunningham.
Samford,Chattanooga,3,3,1,8,1,Greg Pryor made Three Point Jumper. Assisted by Tre' McLean.
Samford,Chattanooga,3,3,1,33,0,Christen Cunningham missed Jumper.
Samford,Chattanooga,3,3,1,33,0,Casey Jones Block.
Samford,Chattanooga,3,3,1,36,0,Justin Tuoyo Defensive Rebound.
Samford,Chattanooga,3,3,1,53,0,Greg Pryor missed Three Point Jumper.
Samford,Chattanooga,3,3,1,53,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,3,3,1,56,0,Foul on Michael Bradley.
Samford,Chattanooga,3,3,1,56,0,Justin Tuoyo missed Free Throw.
Samford,Chattanooga,3,3,1,56,0,Chattanooga Deadball Team Rebound.
Samford,Chattanooga,3,3,1,56,0,Justin Tuoyo missed Free Throw.
Samford,Chattanooga,3,3,1,56,0,Tyler Hood Defensive Rebound.
Samford,Chattanooga,6,3,2,10,1,Evan Taylor made Three Point Jumper. Assisted by Tyler Hood.
Samford,Chattanooga,6,5,2,21,1,Justin Tuoyo made Layup. Assisted by Greg Pryor.
Samford,Chattanooga,6,5,2,35,0,Evan Taylor missed Layup.
Samford,Chattanooga,6,5,2,35,0,Justin Tuoyo Block.
Samford,Chattanooga,6,5,2,35,0,Samford Offensive Rebound.
Samford,Chattanooga,6,5,2,35,0,Samford  Turnover.
Samford,Chattanooga,6,5,2,52,0,Greg Pryor missed Jumper.
Samford,Chattanooga,6,5,2,52,0,Samford Defensive Rebound.
Samford,Chattanooga,8,5,3,8,1,Alex Peters made Layup. Assisted by Darius Jones-Gibson.
Samford,Chattanooga,8,5,3,24,0,Tre' McLean missed Layup.
Samford,Chattanooga,8,5,3,24,0,Tyler Hood Defensive Rebound.
Samford,Chattanooga,8,5,3,44,0,Darius Jones-Gibson missed Layup.
Samford,Chattanooga,8,5,3,44,0,Chuck Ester Defensive Rebound.
Samford,Chattanooga,8,5,4,1,0,Justin Tuoyo missed Layup.
Samford,Chattanooga,8,5,4,1,0,Alex Peters Block.
Samford,Chattanooga,8,5,4,3,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,8,5,4,13,0,Chuck Ester missed Jumper.
Samford,Chattanooga,8,5,4,13,0,Evan Taylor Defensive Rebound.
Samford,Chattanooga,8,5,4,21,0,Evan Taylor Turnover.
Samford,Chattanooga,8,5,4,21,0,Official TV Timeout
Samford,Chattanooga,8,5,4,23,0,Foul on Ronrico White.
Samford,Chattanooga,8,5,4,23,0,Ronrico White Turnover.
Samford,Chattanooga,8,5,4,34,0,Foul on Casey Jones.
Samford,Chattanooga,10,5,4,34,1,Marcus Johnson made Layup.
Samford,Chattanooga,10,5,4,37,0,Casey Jones Turnover.
Samford,Chattanooga,12,5,4,56,1,Evan Taylor made Layup. Assisted by Tyler Hood.
Samford,Chattanooga,12,7,5,26,1,Tre' McLean made Jumper. Assisted by Casey Jones.
Samford,Chattanooga,12,7,5,26,0,Foul on Alex Peters.
Samford,Chattanooga,12,7,5,32,0,Tre' McLean missed Free Throw.
Samford,Chattanooga,12,7,5,32,0,Chattanooga Offensive Rebound.
Samford,Chattanooga,12,7,5,44,0,Casey Jones missed Jumper.
Samford,Chattanooga,12,7,5,44,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,12,7,5,47,0,Justin Tuoyo missed Layup.
Samford,Chattanooga,12,7,5,47,0,Casey Jones Offensive Rebound.
Samford,Chattanooga,12,9,5,49,1,Casey Jones made Layup.
Samford,Chattanooga,15,9,6,4,1,Tyler Hood made Three Point Jumper. Assisted by Marcus Johnson.
Samford,Chattanooga,15,11,6,18,1,Eric Robertson made Jumper. Assisted by Casey Jones.
Samford,Chattanooga,15,11,6,33,0,Foul on Eric Robertson.
Samford,Chattanooga,15,11,6,57,0,Michael Bradley missed Jumper.
Samford,Chattanooga,15,11,6,57,0,Duke Ethridge Defensive Rebound.
Samford,Chattanooga,15,11,7,28,0,Greg Pryor Turnover.
Samford,Chattanooga,15,11,7,46,0,Marcus Johnson missed Layup.
Samford,Chattanooga,15,11,7,46,0,Martynas Bareika Defensive Rebound.
Samford,Chattanooga,15,11,8,2,0,Foul on Michael Bradley.
Samford,Chattanooga,15,11,8,2,0,Official TV Timeout
Samford,Chattanooga,15,12,8,2,1,Duke Ethridge made Free Throw.
Samford,Chattanooga,15,13,8,2,1,Duke Ethridge made Free Throw.
Samford,Chattanooga,15,13,8,25,0,Darius Jones-Gibson missed Layup.
Samford,Chattanooga,15,13,8,25,0,Casey Jones Block.
Samford,Chattanooga,15,13,8,27,0,Tre' McLean Defensive Rebound.
Samford,Chattanooga,15,13,8,33,0,Martynas Bareika missed Three Point Jumper.
Samford,Chattanooga,15,13,8,33,0,Evan Taylor Defensive Rebound.
Samford,Chattanooga,15,13,8,41,0,Tre' McLean Defensive Rebound.
Samford,Chattanooga,15,13,8,41,0,Christen Cunningham missed Layup.
Samford,Chattanooga,15,13,8,42,0,Foul on Tre' McLean.
Samford,Chattanooga,17,13,8,49,1,Tyler Hood made Jumper.
Samford,Chattanooga,17,15,9,5,1,Casey Jones made Jumper.
Samford,Chattanooga,17,15,9,25,0,Foul on Alex Peters.
Samford,Chattanooga,17,15,9,25,0,Alex Peters Turnover.
Samford,Chattanooga,17,15,9,31,0,Greg Pryor Turnover.
Samford,Chattanooga,17,15,9,32,0,Christen Cunningham Steal.
Samford,Chattanooga,17,15,9,36,0,Christen Cunningham Turnover.
Samford,Chattanooga,17,15,9,42,0,Casey Jones Turnover.
Samford,Chattanooga,17,15,10,11,0,Jamal Shabazz Turnover.
Samford,Chattanooga,17,18,10,36,1,Eric Robertson made Three Point Jumper. Assisted by Justin Tuoyo.
Samford,Chattanooga,20,18,11,9,1,Darius Jones-Gibson made Three Point Jumper. Assisted by Jamal Shabazz.
Samford,Chattanooga,20,18,11,26,0,Eric Robertson missed Jumper.
Samford,Chattanooga,20,18,11,26,0,Tyler Hood Block.
Samford,Chattanooga,20,18,11,26,0,Chattanooga Offensive Rebound.
Samford,Chattanooga,20,18,11,33,0,Justin Tuoyo missed Jumper.
Samford,Chattanooga,20,18,11,33,0,Casey Jones Offensive Rebound.
Samford,Chattanooga,20,20,11,36,1,Casey Jones made Two Point Tip Shot.
Samford,Chattanooga,20,20,11,49,0,Brandon Roberts missed Layup.
Samford,Chattanooga,20,20,11,49,0,Casey Jones Defensive Rebound.
Samford,Chattanooga,20,20,11,58,0,Foul on Brandon Roberts.
Samford,Chattanooga,20,20,12,9,0,Eric Robertson missed Three Point Jumper.
Samford,Chattanooga,20,20,12,9,0,Marcus Johnson Defensive Rebound.
Samford,Chattanooga,20,20,12,13,0,Marcus Johnson Turnover.
Samford,Chattanooga,20,20,12,13,0,Duke Ethridge Steal.
Samford,Chattanooga,20,20,12,14,0,Official TV Timeout
Samford,Chattanooga,20,22,12,21,1,Justin Tuoyo made Dunk. Assisted by Eric Robertson.
Samford,Chattanooga,20,22,12,33,0,Brandon Roberts missed Jumper.
Samford,Chattanooga,20,22,12,33,0,Justin Tuoyo Block.
Samford,Chattanooga,20,22,12,34,0,Greg Pryor Defensive Rebound.
Samford,Chattanooga,20,25,12,46,1,Eric Robertson made Three Point Jumper. Assisted by Greg Pryor.
Samford,Chattanooga,20,25,13,5,0,Tyler Hood missed Layup.
Samford,Chattanooga,20,25,13,5,0,Tyler Hood Offensive Rebound.
Samford,Chattanooga,22,25,13,8,1,Tyler Hood made Two Point Tip Shot.
Samford,Chattanooga,22,25,13,13,0,Greg Pryor Turnover.
Samford,Chattanooga,22,25,13,14,0,Evan Taylor Steal.
Samford,Chattanooga,22,25,13,16,0,Evan Taylor missed Layup.
Samford,Chattanooga,22,25,13,16,0,Casey Jones Defensive Rebound.
Samford,Chattanooga,22,25,13,39,0,Foul on Tyler Hood.
Samford,Chattanooga,22,25,13,39,0,Chuck Ester missed Free Throw.
Samford,Chattanooga,22,25,13,39,0,Chattanooga Deadball Team Rebound.
Samford,Chattanooga,22,25,13,39,0,Chuck Ester missed Free Throw.
Samford,Chattanooga,22,25,13,39,0,Lance Stokes Offensive Rebound.
Samford,Chattanooga,22,25,13,50,0,Foul on Tyler Hood.
Samford,Chattanooga,22,25,13,50,0,Tre' McLean missed Free Throw.
Samford,Chattanooga,22,25,13,50,0,Chattanooga Deadball Team Rebound.
Samford,Chattanooga,22,25,13,50,0,Tre' McLean missed Free Throw.
Samford,Chattanooga,22,25,13,50,0,Christen Cunningham Defensive Rebound.
Samford,Chattanooga,22,25,14,21,0,Evan Taylor missed Three Point Jumper.
Samford,Chattanooga,22,25,14,21,0,Casey Jones Defensive Rebound.
Samford,Chattanooga,22,25,14,27,0,Ronrico White Turnover.
Samford,Chattanooga,22,25,14,28,0,Alex Peters Steal.
Samford,Chattanooga,22,25,14,32,0,Marcus Johnson missed Layup.
Samford,Chattanooga,22,25,14,32,0,Marcus Johnson Offensive Rebound.
Samford,Chattanooga,22,25,14,50,0,Foul on Lance Stokes.
Samford,Chattanooga,24,25,15,15,1,Darius Jones-Gibson made Layup.
Samford,Chattanooga,24,27,15,28,1,Casey Jones made Layup.
Samford,Chattanooga,24,27,15,37,0,Foul on Tre' McLean.
Samford,Chattanooga,24,27,15,55,0,Evan Taylor missed Three Point Jumper.
Samford,Chattanooga,24,27,15,55,0,Greg Pryor Defensive Rebound.
Samford,Chattanooga,24,27,16,28,0,Foul on Justin Tuoyo.
Samford,Chattanooga,24,27,16,28,0,Justin Tuoyo Turnover.
Samford,Chattanooga,24,27,16,28,0,Official TV Timeout
Samford,Chattanooga,24,27,16,57,0,Foul on Duke Ethridge.
Samford,Chattanooga,25,27,16,57,1,Evan Taylor made Free Throw.
Samford,Chattanooga,25,27,16,57,0,Evan Taylor missed Free Throw.
Samford,Chattanooga,25,27,16,57,0,Duke Ethridge Defensive Rebound.
Samford,Chattanooga,25,27,17,9,0,Casey Jones Turnover.
Samford,Chattanooga,25,27,17,9,0,Nnamdi Enechionyia Steal.
Samford,Chattanooga,27,27,17,27,1,Darius Jones-Gibson made Layup. Assisted by Christen Cunningham.
Samford,Chattanooga,27,27,17,42,0,Casey Jones missed Jumper.
Samford,Chattanooga,27,27,17,42,0,Greg Pryor Offensive Rebound.
Samford,Chattanooga,27,27,17,47,0,Ronrico White missed Three Point Jumper.
Samford,Chattanooga,27,27,17,47,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,27,29,17,54,1,Greg Pryor made Layup.
Samford,Chattanooga,30,29,18,9,1,Evan Taylor made Three Point Jumper. Assisted by Christen Cunningham.
Samford,Chattanooga,30,29,18,45,0,Foul on Evan Taylor.
Samford,Chattanooga,30,30,18,45,1,Justin Tuoyo made Free Throw.
Samford,Chattanooga,30,30,18,45,0,Lance Stokes Turnover.
Samford,Chattanooga,32,30,19,8,1,Evan Taylor made Layup.
Samford,Chattanooga,32,32,19,21,1,Greg Pryor made Jumper.
Samford,Chattanooga,32,32,19,25,0,Samford  Timeout
Samford,Chattanooga,32,32,19,55,0,Marcus Johnson missed Three Point Jumper.
Samford,Chattanooga,32,32,19,55,0,Ronrico White Defensive Rebound.
Samford,Chattanooga,32,32,19,58,0,Chattanooga  Timeout
Samford,Chattanooga,32,32,20,0,0,End of 1st half
Samford,Chattanooga,32,32,20,31,0,Darius Jones-Gibson missed Layup.
Samford,Chattanooga,32,32,20,31,0,Justin Tuoyo Block.
Samford,Chattanooga,32,32,20,33,0,Casey Jones Defensive Rebound.
Samford,Chattanooga,32,32,20,37,0,Casey Jones Turnover.
Samford,Chattanooga,32,32,20,39,0,Darius Jones-Gibson Steal.
Samford,Chattanooga,32,32,20,41,0,Darius Jones-Gibson missed Layup.
Samford,Chattanooga,32,32,20,41,0,Christen Cunningham Offensive Rebound.
Samford,Chattanooga,32,32,20,44,0,Christen Cunningham Turnover.
Samford,Chattanooga,32,32,20,45,0,Tre' McLean Steal.
Samford,Chattanooga,32,32,21,3,0,Justin Tuoyo missed Layup.
Samford,Chattanooga,32,32,21,3,0,Casey Jones Offensive Rebound.
Samford,Chattanooga,32,32,21,5,0,Foul on Alex Peters.
Samford,Chattanooga,32,33,21,5,1,Casey Jones made Free Throw.
Samford,Chattanooga,32,34,21,5,1,Casey Jones made Free Throw.
Samford,Chattanooga,32,34,21,10,0,Foul on Greg Pryor.
Samford,Chattanooga,34,34,21,29,1,Michael Bradley made Jumper.
Samford,Chattanooga,34,34,21,42,0,Foul on Christen Cunningham.
Samford,Chattanooga,34,34,21,54,0,Tre' McLean missed Layup.
Samford,Chattanooga,34,34,21,54,0,Tre' McLean Offensive Rebound.
Samford,Chattanooga,34,36,21,57,1,Tre' McLean made Layup.
Samford,Chattanooga,37,36,22,18,1,Evan Taylor made Three Point Jumper. Assisted by Christen Cunningham.
Samford,Chattanooga,37,39,22,31,1,Eric Robertson made Three Point Jumper. Assisted by Tre' McLean.
Samford,Chattanooga,37,39,22,51,0,Evan Taylor missed Jumper.
Samford,Chattanooga,37,39,22,51,0,Eric Robertson Block.
Samford,Chattanooga,37,39,22,56,0,Justin Tuoyo Defensive Rebound.
Samford,Chattanooga,37,39,23,9,0,Casey Jones missed Jumper.
Samford,Chattanooga,37,39,23,9,0,Tyler Hood Defensive Rebound.
Samford,Chattanooga,37,39,23,16,0,Darius Jones-Gibson missed Layup.
Samford,Chattanooga,37,39,23,16,0,Michael Bradley Offensive Rebound.
Samford,Chattanooga,39,39,23,18,1,Michael Bradley made Layup.
Samford,Chattanooga,39,39,23,23,0,Foul on Darius Jones-Gibson.
Samford,Chattanooga,39,39,23,40,0,Casey Jones missed Jumper.
Samford,Chattanooga,39,39,23,40,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,39,41,23,43,1,Justin Tuoyo made Dunk.
Samford,Chattanooga,39,41,24,11,0,Michael Bradley missed Jumper.
Samford,Chattanooga,39,41,24,11,0,Ronrico White Defensive Rebound.
Samford,Chattanooga,39,44,24,19,1,Eric Robertson made Three Point Jumper. Assisted by Casey Jones.
Samford,Chattanooga,39,44,24,46,0,Foul on Ronrico White.
Samford,Chattanooga,39,44,24,46,0,Official TV Timeout
Samford,Chattanooga,39,44,24,46,0,Christen Cunningham missed Free Throw.
Samford,Chattanooga,39,44,24,46,0,Samford Deadball Team Rebound.
Samford,Chattanooga,40,44,24,46,1,Christen Cunningham made Free Throw.
Samford,Chattanooga,40,44,24,57,0,Foul on Michael Bradley.
Samford,Chattanooga,40,45,24,57,1,Justin Tuoyo made Free Throw.
Samford,Chattanooga,40,45,24,57,0,Justin Tuoyo missed Free Throw.
Samford,Chattanooga,40,45,24,57,0,Evan Taylor Defensive Rebound.
Samford,Chattanooga,40,45,25,13,0,Evan Taylor Turnover.
Samford,Chattanooga,40,45,25,13,0,Justin Tuoyo Steal.
Samford,Chattanooga,40,45,25,18,0,Foul on Evan Taylor.
Samford,Chattanooga,40,46,25,18,1,Casey Jones made Free Throw.
Samford,Chattanooga,40,47,25,18,1,Casey Jones made Free Throw.
Samford,Chattanooga,40,47,25,44,0,Evan Taylor missed Jumper.
Samford,Chattanooga,40,47,25,44,0,Tyler Hood Offensive Rebound.
Samford,Chattanooga,40,47,25,46,0,Foul on Casey Jones.
Samford,Chattanooga,41,47,25,46,1,Tyler Hood made Free Throw.
Samford,Chattanooga,42,47,25,46,1,Tyler Hood made Free Throw.
Samford,Chattanooga,42,47,26,8,0,Casey Jones missed Jumper.
Samford,Chattanooga,42,47,26,8,0,Alex Peters Block.
Samford,Chattanooga,42,47,26,9,0,Brandon Roberts Defensive Rebound.
Samford,Chattanooga,42,47,26,14,0,Marcus Johnson missed Three Point Jumper.
Samford,Chattanooga,42,47,26,14,0,Brandon Roberts Offensive Rebound.
Samford,Chattanooga,44,47,26,18,1,Tyler Hood made Layup. Assisted by Brandon Roberts.
Samford,Chattanooga,44,47,26,35,0,Foul on Alex Peters.
Samford,Chattanooga,44,48,26,35,1,Tre' McLean made Free Throw.
Samford,Chattanooga,44,49,26,35,1,Tre' McLean made Free Throw.
Samford,Chattanooga,47,49,26,52,1,Evan Taylor made Three Point Jumper. Assisted by Marcus Johnson.
Samford,Chattanooga,47,49,27,18,0,Foul on Jamal Shabazz.
Samford,Chattanooga,47,50,27,18,1,Justin Tuoyo made Free Throw.
Samford,Chattanooga,47,51,27,18,1,Justin Tuoyo made Free Throw.
Samford,Chattanooga,47,51,27,31,0,Evan Taylor missed Layup.
Samford,Chattanooga,47,51,27,31,0,Evan Taylor Offensive Rebound.
Samford,Chattanooga,49,51,27,35,1,Evan Taylor made Layup.
Samford,Chattanooga,49,51,27,44,0,Foul on Brandon Roberts.
Samford,Chattanooga,49,51,27,44,0,Ronrico White missed Free Throw.
Samford,Chattanooga,49,51,27,44,0,Justin Tuoyo Offensive Rebound.
Samford,Chattanooga,49,51,27,48,0,Eric Robertson missed Three Point Jumper.
Samford,Chattanooga,49,51,27,48,0,Samford Defensive Rebound.
Samford,Chattanooga,49,51,28,20,0,Jamal Shabazz missed Three Point Jumper.
Samford,Chattanooga,49,51,28,20,0,Eric Robertson Defensive Rebound.
Samford,Chattanooga,49,53,28,28,1,Duke Ethridge made Dunk. Assisted by Ronrico White.
Samford,Chattanooga,49,53,28,50,0,Foul on Justin Tuoyo.
Samford,Chattanooga,49,53,28,53,0,Official TV Timeout
Samford,Chattanooga,51,53,29,9,1,Michael Bradley made Jumper.
Samford,Chattanooga,51,55,29,25,1,Tre' McLean made Layup.
Samford,Chattanooga,51,55,29,42,0,Evan Taylor missed Jumper.
Samford,Chattanooga,51,55,29,42,0,Casey Jones Defensive Rebound.
Samford,Chattanooga,51,58,29,51,1,Eric Robertson made Three Point Jumper. Assisted by Ronrico White.
Samford,Chattanooga,51,58,30,29,0,Foul on Duke Ethridge.
Samford,Chattanooga,51,58,30,34,0,Tyler Hood missed Three Point Jumper.
Samford,Chattanooga,51,58,30,34,0,Brandon Roberts Offensive Rebound.
Samford,Chattanooga,51,58,30,52,0,Brandon Roberts Turnover.
Samford,Chattanooga,51,58,30,53,0,Duke Ethridge Steal.
Samford,Chattanooga,51,60,31,15,1,Justin Tuoyo made Layup. Assisted by Casey Jones.
Samford,Chattanooga,51,60,31,42,0,Brandon Roberts missed Three Point Jumper.
Samford,Chattanooga,51,60,31,42,0,Michael Bradley Offensive Rebound.
Samford,Chattanooga,51,60,31,55,0,Foul on Justin Tuoyo.
Samford,Chattanooga,51,60,31,55,0,Christen Cunningham missed Free Throw.
Samford,Chattanooga,51,60,31,55,0,Samford Deadball Team Rebound.
Samford,Chattanooga,51,60,31,55,0,Christen Cunningham missed Free Throw.
Samford,Chattanooga,51,60,31,55,0,Justin Tuoyo Defensive Rebound.
Samford,Chattanooga,51,60,32,27,0,Ronrico White missed Three Point Jumper.
Samford,Chattanooga,51,60,32,27,0,Marcus Johnson Defensive Rebound.
Samford,Chattanooga,53,60,32,32,1,Christen Cunningham made Jumper.
Samford,Chattanooga,53,60,32,42,0,Chattanooga  Timeout
Samford,Chattanooga,53,60,32,50,0,Eric Robertson missed Three Point Jumper.
Samford,Chattanooga,53,60,32,50,0,Darius Jones-Gibson Defensive Rebound.
Samford,Chattanooga,53,60,33,19,0,Christen Cunningham missed Layup.
Samford,Chattanooga,53,60,33,19,0,Ronrico White Defensive Rebound.
Samford,Chattanooga,53,62,33,45,1,Ronrico White made Layup.
Samford,Chattanooga,53,62,33,46,0,Foul on Christen Cunningham.
Samford,Chattanooga,53,62,33,46,0,Official TV Timeout
Samford,Chattanooga,53,63,33,46,1,Ronrico White made Free Throw.
Samford,Chattanooga,55,63,34,4,1,Marcus Johnson made Layup.
Samford,Chattanooga,55,63,34,4,0,Foul on Ronrico White.
Samford,Chattanooga,56,63,34,4,1,Marcus Johnson made Free Throw.
Samford,Chattanooga,56,63,34,39,0,Foul on Michael Bradley.
Samford,Chattanooga,56,64,34,39,1,Casey Jones made Free Throw.
Samford,Chattanooga,56,64,34,39,0,Casey Jones missed Free Throw.
Samford,Chattanooga,56,64,34,39,0,Casey Jones Offensive Rebound.
Samford,Chattanooga,56,64,35,5,0,Casey Jones missed Jumper.
Samford,Chattanooga,56,64,35,5,0,Casey Jones Offensive Rebound.
Samford,Chattanooga,56,66,35,5,1,Casey Jones made Jumper.
Samford,Chattanooga,56,66,35,5,0,Foul on Tyler Hood.
Samford,Chattanooga,56,66,35,7,0,Casey Jones missed Free Throw.
Samford,Chattanooga,56,66,35,7,0,Tyler Hood Defensive Rebound.
Samford,Chattanooga,56,66,35,28,0,Foul on Eric Robertson.
Samford,Chattanooga,57,66,35,28,1,Evan Taylor made Free Throw.
Samford,Chattanooga,58,66,35,28,1,Evan Taylor made Free Throw.
Samford,Chattanooga,58,66,35,28,0,Samford  Timeout
Samford,Chattanooga,58,68,35,45,1,Casey Jones made Layup. Assisted by Tre' McLean.
Samford,Chattanooga,58,68,35,45,0,Foul on Tyler Hood.
Samford,Chattanooga,58,69,35,45,1,Casey Jones made Free Throw.
Samford,Chattanooga,58,69,36,3,0,Christen Cunningham missed Jumper.
Samford,Chattanooga,58,69,36,3,0,Casey Jones Block.
Samford,Chattanooga,58,69,36,4,0,Greg Pryor Defensive Rebound.
Samford,Chattanooga,58,69,36,22,0,Foul on Casey Jones.
Samford,Chattanooga,58,69,36,22,0,Casey Jones Turnover.
Samford,Chattanooga,58,69,36,22,0,Official TV Timeout
Samford,Chattanooga,58,69,36,34,0,Marcus Johnson missed Jumper.
Samford,Chattanooga,58,69,36,34,0,Eric Robertson Block.
Samford,Chattanooga,58,69,36,36,0,Darius Jones-Gibson Offensive Rebound.
