Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Samford,Purdue,0,0,0,13,0,Foul on Michael Bradley.
Samford,Purdue,0,0,0,34,0,Kendall Stephens missed Jumper.
Samford,Purdue,0,0,0,34,0,Michael Bradley Defensive Rebound.
Samford,Purdue,0,0,0,51,0,Michael Bradley missed Jumper.
Samford,Purdue,0,0,0,51,0,Kendall Stephens Defensive Rebound.
Samford,Purdue,0,2,1,1,1,Vince Edwards made Layup. Assisted by Rapheal Davis.
Samford,Purdue,3,2,1,16,1,Tyler Hood made Three Point Jumper. Assisted by Darius Jones-Gibson.
Samford,Purdue,3,5,1,35,1,Kendall Stephens made Three Point Jumper. Assisted by Vince Edwards.
Samford,Purdue,3,5,2,4,0,Michael Bradley Turnover.
Samford,Purdue,3,5,2,5,0,A.J. Hammons Steal.
Samford,Purdue,3,5,2,10,0,Kendall Stephens missed Three Point Jumper.
Samford,Purdue,3,5,2,10,0,Brandon Hayman Defensive Rebound.
Samford,Purdue,3,5,2,21,0,Darius Jones-Gibson missed Layup.
Samford,Purdue,3,5,2,21,0,Purdue Defensive Rebound.
Samford,Purdue,3,7,2,36,1,Rapheal Davis made Jumper. Assisted by Basil Smotherman.
Samford,Purdue,3,7,3,14,0,Darius Jones-Gibson Turnover.
Samford,Purdue,3,7,3,16,0,Kendall Stephens Steal.
Samford,Purdue,3,7,3,22,0,Basil Smotherman missed Three Point Jumper.
Samford,Purdue,3,7,3,22,0,Christen Cunningham Defensive Rebound.
Samford,Purdue,3,7,3,28,0,Foul on Rapheal Davis.
Samford,Purdue,3,7,3,30,0,Darius Jones-Gibson missed Three Point Jumper.
Samford,Purdue,3,7,3,30,0,Kendall Stephens Defensive Rebound.
Samford,Purdue,3,9,3,42,1,A.J. Hammons made Jumper. Assisted by Dakota Mathias.
Samford,Purdue,3,9,4,0,0,Evan Taylor missed Jumper.
Samford,Purdue,3,9,4,0,0,Dakota Mathias Defensive Rebound.
Samford,Purdue,3,11,4,7,1,Jon Octeus made Layup.
Samford,Purdue,3,11,4,41,0,Tyler Hood missed Jumper.
Samford,Purdue,3,11,4,41,0,Tyler Hood Offensive Rebound.
Samford,Purdue,5,11,4,56,1,Christen Cunningham made Jumper.
Samford,Purdue,5,11,5,14,0,Rapheal Davis Turnover.
Samford,Purdue,5,11,5,14,0,Evan Taylor Steal.
Samford,Purdue,5,11,5,14,0,Official TV Timeout
Samford,Purdue,5,11,5,30,0,Brandon Roberts missed Three Point Jumper.
Samford,Purdue,5,11,5,30,0,Bryson Scott Defensive Rebound.
Samford,Purdue,5,11,5,42,0,A.J. Hammons Turnover.
Samford,Purdue,5,11,6,0,0,Alex Peters missed Jumper.
Samford,Purdue,5,11,6,0,0,A.J. Hammons Block.
Samford,Purdue,5,11,6,12,0,Vince Edwards Defensive Rebound.
Samford,Purdue,5,11,6,15,0,Foul on A.J. Hammons.
Samford,Purdue,5,11,6,15,0,A.J. Hammons Turnover.
Samford,Purdue,5,11,6,38,0,Jamal Shabazz missed Three Point Jumper.
Samford,Purdue,5,11,6,38,0,Vince Edwards Defensive Rebound.
Samford,Purdue,5,14,6,47,1,Dakota Mathias made Three Point Jumper. Assisted by A.J. Hammons.
Samford,Purdue,5,14,7,8,0,Samford  Timeout
Samford,Purdue,5,14,7,13,0,Jamal Shabazz missed Jumper.
Samford,Purdue,5,14,7,13,0,Vince Edwards Defensive Rebound.
Samford,Purdue,5,16,7,21,1,Isaac Haas made Layup. Assisted by Dakota Mathias.
Samford,Purdue,7,16,7,34,1,Evan Taylor made Jumper.
Samford,Purdue,7,16,7,48,0,P.J. Thompson Turnover.
Samford,Purdue,7,16,7,49,0,Evan Taylor Steal.
Samford,Purdue,9,16,7,58,1,Christen Cunningham made Jumper.
Samford,Purdue,9,16,8,7,0,Bryson Scott Turnover.
Samford,Purdue,9,16,8,8,0,Evan Taylor Steal.
Samford,Purdue,11,16,8,9,1,Jamal Shabazz made Dunk. Assisted by Evan Taylor.
Samford,Purdue,11,16,8,23,0,Dakota Mathias missed Three Point Jumper.
Samford,Purdue,11,16,8,23,0,Christen Cunningham Defensive Rebound.
Samford,Purdue,11,16,8,36,0,Christen Cunningham missed Jumper.
Samford,Purdue,11,16,8,36,0,Vince Edwards Defensive Rebound.
Samford,Purdue,11,19,8,57,1,Vince Edwards made Three Point Jumper. Assisted by Bryson Scott.
Samford,Purdue,11,19,9,34,0,Evan Taylor missed Jumper.
Samford,Purdue,11,19,9,34,0,Vince Edwards Defensive Rebound.
Samford,Purdue,11,19,9,45,0,Official TV Timeout
Samford,Purdue,11,22,9,46,1,Kendall Stephens made Three Point Jumper. Assisted by P.J. Thompson.
Samford,Purdue,11,22,10,5,0,Brandon Roberts missed Jumper.
Samford,Purdue,11,22,10,5,0,Vince Edwards Defensive Rebound.
Samford,Purdue,11,24,10,20,1,Vince Edwards made Jumper.
Samford,Purdue,11,24,10,43,0,Nnamdi Enechionyia missed Three Point Jumper.
Samford,Purdue,11,24,10,43,0,Samford Deadball Team Rebound.
Samford,Purdue,11,24,10,45,0,Foul on Jon Octeus.
Samford,Purdue,11,24,11,7,0,Darius Jones-Gibson missed Layup.
Samford,Purdue,11,24,11,7,0,Jon Octeus Defensive Rebound.
Samford,Purdue,11,27,11,15,1,Kendall Stephens made Three Point Jumper. Assisted by Basil Smotherman.
Samford,Purdue,11,27,11,47,0,Marcus Johnson Turnover.
Samford,Purdue,11,27,11,49,0,P.J. Thompson Steal.
Samford,Purdue,11,27,11,59,0,Foul on Michael Bradley.
Samford,Purdue,11,27,12,3,0,Foul on Alex Peters.
Samford,Purdue,11,27,12,3,0,Official TV Timeout
Samford,Purdue,11,29,12,7,1,A.J. Hammons made Jumper. Assisted by Dakota Mathias.
Samford,Purdue,11,29,12,31,0,Gerald Smith missed Jumper.
Samford,Purdue,11,29,12,31,0,Rapheal Davis Defensive Rebound.
Samford,Purdue,11,29,12,50,0,Jon Octeus missed Jumper.
Samford,Purdue,11,29,12,50,0,Alex Peters Defensive Rebound.
Samford,Purdue,11,29,13,11,0,Darius Jones-Gibson missed Jumper.
Samford,Purdue,11,29,13,11,0,A.J. Hammons Block.
Samford,Purdue,11,29,13,11,0,Samford Offensive Rebound.
Samford,Purdue,11,29,13,13,0,Evan Taylor missed Layup.
Samford,Purdue,11,29,13,13,0,Dakota Mathias Defensive Rebound.
Samford,Purdue,11,29,13,36,0,A.J. Hammons missed Three Point Jumper.
Samford,Purdue,11,29,13,36,0,Jon Octeus Offensive Rebound.
Samford,Purdue,11,31,13,43,1,Rapheal Davis made Layup. Assisted by Jon Octeus.
Samford,Purdue,11,31,14,17,0,Darius Jones-Gibson missed Three Point Jumper.
Samford,Purdue,11,31,14,17,0,Dakota Mathias Defensive Rebound.
Samford,Purdue,11,31,14,27,0,Basil Smotherman Turnover.
Samford,Purdue,11,31,14,28,0,Darius Jones-Gibson Steal.
Samford,Purdue,11,31,14,33,0,Evan Taylor missed Layup.
Samford,Purdue,11,31,14,33,0,Basil Smotherman Defensive Rebound.
Samford,Purdue,11,31,14,38,0,Foul on Alex Peters.
Samford,Purdue,11,31,14,38,0,Basil Smotherman missed Free Throw.
Samford,Purdue,11,31,14,38,0,Purdue Deadball Team Rebound.
Samford,Purdue,11,31,14,38,0,Basil Smotherman missed Free Throw.
Samford,Purdue,11,31,14,38,0,Evan Taylor Defensive Rebound.
Samford,Purdue,11,31,14,53,0,Foul on P.J. Thompson.
Samford,Purdue,11,31,15,18,0,Tyler Hood missed Jumper.
Samford,Purdue,11,31,15,18,0,Jacquil Taylor Defensive Rebound.
Samford,Purdue,11,31,15,20,0,Foul on Tyler Hood.
Samford,Purdue,11,31,15,33,0,Foul on Tyler Hood.
Samford,Purdue,11,32,15,33,1,Isaac Haas made Free Throw.
Samford,Purdue,11,33,15,33,1,Isaac Haas made Free Throw.
Samford,Purdue,11,33,15,55,0,Darius Jones-Gibson missed Three Point Jumper.
Samford,Purdue,11,33,15,55,0,Purdue Defensive Rebound.
Samford,Purdue,11,33,16,6,0,P.J. Thompson missed Three Point Jumper.
Samford,Purdue,11,33,16,6,0,Christen Cunningham Defensive Rebound.
Samford,Purdue,11,33,16,13,0,Darius Jones-Gibson Turnover.
Samford,Purdue,11,33,16,13,0,Official TV Timeout
Samford,Purdue,11,35,16,28,1,Bryson Scott made Jumper.
Samford,Purdue,14,35,16,52,1,Nnamdi Enechionyia made Three Point Jumper. Assisted by Evan Taylor.
Samford,Purdue,14,35,17,7,0,Foul on Evan Taylor.
Samford,Purdue,14,36,17,7,1,Isaac Haas made Free Throw.
Samford,Purdue,14,36,17,7,0,Isaac Haas missed Free Throw.
Samford,Purdue,14,36,17,7,0,Evan Taylor Defensive Rebound.
Samford,Purdue,14,36,17,23,0,Brandon Roberts missed Three Point Jumper.
Samford,Purdue,14,36,17,23,0,Basil Smotherman Defensive Rebound.
Samford,Purdue,14,39,17,39,1,Bryson Scott made Three Point Jumper. Assisted by P.J. Thompson.
Samford,Purdue,14,39,18,3,0,Christen Cunningham Turnover.
Samford,Purdue,14,39,18,15,0,Jacquil Taylor Turnover.
Samford,Purdue,14,39,18,16,0,Nnamdi Enechionyia Steal.
Samford,Purdue,14,39,18,21,0,Nnamdi Enechionyia missed Three Point Jumper.
Samford,Purdue,14,39,18,21,0,Isaac Haas Defensive Rebound.
Samford,Purdue,14,39,18,26,0,Foul on Nnamdi Enechionyia.
Samford,Purdue,14,40,18,26,1,Jacquil Taylor made Free Throw.
Samford,Purdue,14,40,18,26,0,Jacquil Taylor missed Free Throw.
Samford,Purdue,14,40,18,26,0,Evan Taylor Defensive Rebound.
Samford,Purdue,14,40,18,32,0,Foul on Basil Smotherman.
Samford,Purdue,15,40,18,32,1,Christen Cunningham made Free Throw.
Samford,Purdue,16,40,18,32,1,Christen Cunningham made Free Throw.
Samford,Purdue,16,43,18,46,1,Dakota Mathias made Three Point Jumper. Assisted by Isaac Haas.
Samford,Purdue,16,43,18,57,0,Jamal Shabazz Turnover.
Samford,Purdue,16,43,19,8,0,Purdue  Turnover.
Samford,Purdue,16,43,19,23,0,Christen Cunningham missed Three Point Jumper.
Samford,Purdue,16,43,19,23,0,A.J. Hammons Defensive Rebound.
Samford,Purdue,16,43,19,55,0,Dakota Mathias missed Three Point Jumper.
Samford,Purdue,16,43,19,55,0,Samford Defensive Rebound.
Samford,Purdue,16,43,20,0,0,End of 1st half
Samford,Purdue,16,43,20,17,0,Vince Edwards missed Jumper.
Samford,Purdue,16,43,20,17,0,Vince Edwards Offensive Rebound.
Samford,Purdue,16,45,20,20,1,Vince Edwards made Jumper.
Samford,Purdue,16,45,20,20,0,Foul on Tyler Hood.
Samford,Purdue,16,46,20,20,1,Vince Edwards made Free Throw.
Samford,Purdue,16,46,20,48,0,Michael Bradley Turnover.
Samford,Purdue,16,46,20,55,0,Rapheal Davis missed Three Point Jumper.
Samford,Purdue,16,46,20,55,0,A.J. Hammons Offensive Rebound.
Samford,Purdue,16,46,21,0,0,A.J. Hammons missed Jumper.
Samford,Purdue,16,46,21,0,0,Purdue Offensive Rebound.
Samford,Purdue,16,48,21,15,1,Rapheal Davis made Layup. Assisted by A.J. Hammons.
Samford,Purdue,16,48,21,33,0,Michael Bradley missed Jumper.
Samford,Purdue,16,48,21,33,0,Rapheal Davis Defensive Rebound.
Samford,Purdue,16,51,21,49,1,Rapheal Davis made Three Point Jumper. Assisted by A.J. Hammons.
Samford,Purdue,16,51,22,13,0,Brandon Hayman missed Jumper.
Samford,Purdue,16,51,22,13,0,A.J. Hammons Block.
Samford,Purdue,16,51,22,15,0,Vince Edwards Defensive Rebound.
Samford,Purdue,16,53,22,19,1,Jon Octeus made Layup. Assisted by Rapheal Davis.
Samford,Purdue,16,53,22,34,0,Foul on Jon Octeus.
Samford,Purdue,18,53,22,36,1,Christen Cunningham made Jumper.
Samford,Purdue,18,53,22,52,0,Vince Edwards Turnover.
Samford,Purdue,18,53,23,19,0,Michael Bradley missed Jumper.
Samford,Purdue,18,53,23,19,0,Purdue Deadball Team Rebound.
Samford,Purdue,18,53,23,19,0,Foul on Brandon Hayman.
Samford,Purdue,18,55,23,32,1,Rapheal Davis made Jumper. Assisted by Kendall Stephens.
Samford,Purdue,18,55,23,54,0,Michael Bradley missed Jumper.
Samford,Purdue,18,55,23,54,0,Jamal Shabazz Offensive Rebound.
Samford,Purdue,18,55,24,2,0,Jamal Shabazz missed Jumper.
