Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Seattle,New Mexico State,0,0,0,0,0,Jump Ball won by New Mexico St
Seattle,New Mexico State,0,0,0,24,0,Daniel Mullings Turnover.
Seattle,New Mexico State,0,0,0,24,0,Isiah Umipig Steal.
Seattle,New Mexico State,0,0,0,47,0,Jack Crook Turnover.
Seattle,New Mexico State,0,3,1,10,1,Remi Barry made Three Point Jumper. Assisted by Ian Baker.
Seattle,New Mexico State,0,3,1,52,0,Jack Crook missed Layup.
Seattle,New Mexico State,0,3,1,52,0,Ian Baker Defensive Rebound.
Seattle,New Mexico State,0,6,2,13,1,Remi Barry made Three Point Jumper. Assisted by Ian Baker.
Seattle,New Mexico State,0,6,2,30,0,William Powell Turnover.
Seattle,New Mexico State,0,6,2,30,0,Daniel Mullings Steal.
Seattle,New Mexico State,0,6,2,35,0,Daniel Mullings missed Three Point Jumper.
Seattle,New Mexico State,0,6,2,35,0,William Powell Defensive Rebound.
Seattle,New Mexico State,0,6,2,52,0,Jack Crook missed Jumper.
Seattle,New Mexico State,0,6,2,52,0,Pascal Siakam Defensive Rebound.
Seattle,New Mexico State,0,9,3,9,1,Ian Baker made Three Point Jumper. Assisted by Daniel Mullings.
Seattle,New Mexico State,0,9,3,15,0,Seattle  Timeout
Seattle,New Mexico State,0,9,3,26,0,Jump Ball won by Seattle
Seattle,New Mexico State,0,9,3,42,0,Jarell Flora missed Jumper.
Seattle,New Mexico State,0,9,3,42,0,Tshilidzi Nephawe Defensive Rebound.
Seattle,New Mexico State,0,9,4,6,0,Tshilidzi Nephawe Turnover.
Seattle,New Mexico State,0,9,4,6,0,William Powell Steal.
Seattle,New Mexico State,3,9,4,16,1,Jarell Flora made Three Point Jumper. Assisted by Emerson Murray.
Seattle,New Mexico State,3,9,4,40,0,Foul on Isiah Umipig.
Seattle,New Mexico State,3,9,4,40,0,Official TV Timeout
Seattle,New Mexico State,3,10,4,40,1,Tshilidzi Nephawe made Free Throw.
Seattle,New Mexico State,3,11,4,40,1,Tshilidzi Nephawe made Free Throw.
Seattle,New Mexico State,5,11,4,58,1,William Powell made Layup. Assisted by Shore Adenekan.
Seattle,New Mexico State,5,11,5,33,0,Daniel Mullings missed Jumper.
Seattle,New Mexico State,5,11,5,33,0,Tshilidzi Nephawe Offensive Rebound.
Seattle,New Mexico State,5,13,5,39,1,Tshilidzi Nephawe made Jumper.
Seattle,New Mexico State,5,13,5,46,0,Foul on Ian Baker.
Seattle,New Mexico State,7,13,5,54,1,Shore Adenekan made Dunk. Assisted by William Powell.
Seattle,New Mexico State,7,16,6,15,1,DK Eldridge made Three Point Jumper. Assisted by Pascal Siakam.
Seattle,New Mexico State,7,16,6,40,0,Jarell Flora missed Three Point Jumper.
Seattle,New Mexico State,7,16,6,40,0,Tshilidzi Nephawe Defensive Rebound.
Seattle,New Mexico State,7,18,7,10,1,Pascal Siakam made Jumper. Assisted by Daniel Mullings.
Seattle,New Mexico State,7,18,7,24,0,William Powell missed Jumper.
Seattle,New Mexico State,7,18,7,24,0,William Powell Offensive Rebound.
Seattle,New Mexico State,7,18,7,28,0,William Powell Turnover.
Seattle,New Mexico State,7,18,7,47,0,Remi Barry missed Jumper.
Seattle,New Mexico State,7,18,7,47,0,New Mexico St Offensive Rebound.
Seattle,New Mexico State,7,18,7,48,0,Foul on Shore Adenekan.
Seattle,New Mexico State,7,20,8,9,1,Daniel Mullings made Jumper.
Seattle,New Mexico State,9,20,8,31,1,Shore Adenekan made Dunk. Assisted by Jadon Cohee.
Seattle,New Mexico State,9,20,8,54,0,DK Eldridge Turnover.
Seattle,New Mexico State,9,20,8,54,0,Jarell Flora Steal.
Seattle,New Mexico State,12,20,9,6,1,Isiah Umipig made Three Point Jumper. Assisted by Shore Adenekan.
Seattle,New Mexico State,12,20,9,32,0,Foul on Shore Adenekan.
Seattle,New Mexico State,12,20,9,32,0,Official TV Timeout
Seattle,New Mexico State,12,21,9,32,1,Pascal Siakam made Free Throw.
Seattle,New Mexico State,12,22,9,32,1,Pascal Siakam made Free Throw.
Seattle,New Mexico State,12,22,9,49,0,Isiah Umipig missed Jumper.
Seattle,New Mexico State,12,22,9,49,0,Pascal Siakam Defensive Rebound.
Seattle,New Mexico State,12,22,10,1,0,Pascal Siakam missed Jumper.
Seattle,New Mexico State,12,22,10,1,0,Tshilidzi Nephawe Offensive Rebound.
Seattle,New Mexico State,12,22,10,3,0,Foul on Jadon Cohee.
Seattle,New Mexico State,12,22,10,3,0,Tshilidzi Nephawe missed Free Throw.
Seattle,New Mexico State,12,22,10,3,0,New Mexico St Deadball Team Rebound.
Seattle,New Mexico State,12,23,10,3,1,Tshilidzi Nephawe made Free Throw.
Seattle,New Mexico State,12,23,10,8,0,Foul on Remi Barry.
Seattle,New Mexico State,12,23,10,17,0,Jadon Cohee missed Jumper.
Seattle,New Mexico State,12,23,10,17,0,Tshilidzi Nephawe Defensive Rebound.
Seattle,New Mexico State,12,23,10,47,0,Remi Barry missed Jumper.
Seattle,New Mexico State,12,23,10,47,0,Seattle Defensive Rebound.
Seattle,New Mexico State,14,23,11,16,1,Jack Crook made Layup. Assisted by Isiah Umipig.
Seattle,New Mexico State,14,23,11,36,0,Foul on Emerson Murray.
Seattle,New Mexico State,14,24,11,36,1,Ian Baker made Free Throw.
Seattle,New Mexico State,14,24,11,36,0,Ian Baker missed Free Throw.
Seattle,New Mexico State,14,24,11,36,0,New Mexico St Deadball Team Rebound.
Seattle,New Mexico State,14,25,11,36,1,Ian Baker made Free Throw.
Seattle,New Mexico State,16,25,11,53,1,Jadon Cohee made Jumper. Assisted by Emerson Murray.
Seattle,New Mexico State,16,25,12,24,0,Ian Baker missed Three Point Jumper.
Seattle,New Mexico State,16,25,12,24,0,Seattle Defensive Rebound.
Seattle,New Mexico State,16,25,12,28,0,Official TV Timeout
Seattle,New Mexico State,16,25,12,44,0,Emerson Murray Turnover.
Seattle,New Mexico State,16,25,12,44,0,Daniel Mullings Steal.
Seattle,New Mexico State,16,25,13,21,0,Daniel Mullings missed Jumper.
