Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
St. Bonaventure,Davidson,3,0,0,17,1,Marcus Posley made Three Point Jumper. Assisted by Jaylen Adams.
St. Bonaventure,Davidson,3,2,0,47,1,Tyler Kalinoski made Jumper. Assisted by Brian Sullivan.
St. Bonaventure,Davidson,5,2,1,1,1,Youssou Ndoye made Jumper.
St. Bonaventure,Davidson,5,2,1,11,0,Brian Sullivan missed Layup.
St. Bonaventure,Davidson,5,2,1,11,0,Andell Cumberbatch Defensive Rebound.
St. Bonaventure,Davidson,5,2,1,23,0,Youssou Ndoye missed Jumper.
St. Bonaventure,Davidson,5,2,1,23,0,Brian Sullivan Defensive Rebound.
St. Bonaventure,Davidson,5,2,1,39,0,Oskar Michelsen Turnover.
St. Bonaventure,Davidson,5,2,1,40,0,Andell Cumberbatch Steal.
St. Bonaventure,Davidson,7,2,1,43,1,Andell Cumberbatch made Dunk.
St. Bonaventure,Davidson,7,2,2,6,0,Peyton Aldridge Turnover.
St. Bonaventure,Davidson,7,2,2,7,0,Andell Cumberbatch Steal.
St. Bonaventure,Davidson,7,2,2,21,0,Youssou Ndoye Turnover.
St. Bonaventure,Davidson,7,2,2,44,0,Brian Sullivan Turnover.
St. Bonaventure,Davidson,7,2,2,45,0,Youssou Ndoye Steal.
St. Bonaventure,Davidson,7,2,2,47,0,Youssou Ndoye Turnover.
St. Bonaventure,Davidson,7,2,2,48,0,Andrew McAuliffe Steal.
St. Bonaventure,Davidson,7,2,2,50,0,Brian Sullivan missed Three Point Jumper.
St. Bonaventure,Davidson,7,2,2,50,0,Andell Cumberbatch Defensive Rebound.
St. Bonaventure,Davidson,7,2,2,55,0,Jaylen Adams missed Three Point Jumper.
St. Bonaventure,Davidson,7,2,2,55,0,Youssou Ndoye Offensive Rebound.
St. Bonaventure,Davidson,7,2,3,26,0,Marcus Posley missed Three Point Jumper.
St. Bonaventure,Davidson,7,2,3,26,0,Davidson Defensive Rebound.
St. Bonaventure,Davidson,7,2,3,29,0,Foul on Youssou Ndoye.
St. Bonaventure,Davidson,7,2,3,40,0,Tyler Kalinoski missed Jumper.
St. Bonaventure,Davidson,7,2,3,40,0,Davidson Offensive Rebound.
St. Bonaventure,Davidson,7,2,3,53,0,Nathan Ekwu Turnover.
St. Bonaventure,Davidson,7,2,4,12,0,Andell Cumberbatch missed Jumper.
St. Bonaventure,Davidson,7,2,4,16,0,St. Bonaventure Offensive Rebound.
St. Bonaventure,Davidson,7,2,4,16,0,Official TV Timeout
St. Bonaventure,Davidson,7,2,4,22,0,Foul on Nathan Ekwu.
St. Bonaventure,Davidson,10,2,4,31,1,Marcus Posley made Three Point Jumper. Assisted by Youssou Ndoye.
St. Bonaventure,Davidson,10,2,4,55,0,Tyler Kalinoski missed Three Point Jumper.
St. Bonaventure,Davidson,10,2,4,55,0,Peyton Aldridge Offensive Rebound.
St. Bonaventure,Davidson,10,2,5,0,0,Peyton Aldridge missed Layup.
St. Bonaventure,Davidson,10,2,5,0,0,Youssou Ndoye Block.
St. Bonaventure,Davidson,10,2,5,2,0,Youssou Ndoye Defensive Rebound.
St. Bonaventure,Davidson,10,2,5,33,0,Marcus Posley Turnover.
St. Bonaventure,Davidson,10,5,5,51,1,Tyler Kalinoski made Three Point Jumper. Assisted by Jordan Watkins.
St. Bonaventure,Davidson,10,5,6,9,0,Dion Wright missed Layup.
St. Bonaventure,Davidson,10,5,6,9,0,Jordan Barham Block.
St. Bonaventure,Davidson,10,5,6,12,0,Brian Sullivan Defensive Rebound.
St. Bonaventure,Davidson,10,5,6,18,0,Jordan Watkins missed Jumper.
St. Bonaventure,Davidson,10,5,6,18,0,Denzel Gregg Defensive Rebound.
St. Bonaventure,Davidson,10,5,6,19,0,Foul on Jordan Barham.
St. Bonaventure,Davidson,10,5,6,32,0,Jaylen Adams missed Jumper.
St. Bonaventure,Davidson,10,5,6,32,0,Davidson Defensive Rebound.
St. Bonaventure,Davidson,10,7,6,46,1,Jordan Barham made Layup. Assisted by Tyler Kalinoski.
St. Bonaventure,Davidson,10,7,6,46,0,Foul on Denzel Gregg.
St. Bonaventure,Davidson,10,7,6,46,0,Jordan Barham missed Free Throw.
St. Bonaventure,Davidson,10,7,6,46,0,Youssou Ndoye Defensive Rebound.
St. Bonaventure,Davidson,10,7,7,0,0,Youssou Ndoye Turnover.
St. Bonaventure,Davidson,10,7,7,14,0,Foul on Marcus Posley.
St. Bonaventure,Davidson,10,7,7,14,0,Tyler Kalinoski Turnover.
St. Bonaventure,Davidson,12,7,7,45,1,Youssou Ndoye made Layup.
St. Bonaventure,Davidson,12,7,7,53,0,Foul on Dion Wright.
St. Bonaventure,Davidson,12,7,8,4,0,Jordan Barham missed Jumper.
St. Bonaventure,Davidson,12,7,8,4,0,Chris Dees Block.
St. Bonaventure,Davidson,12,7,8,5,0,Jordan Barham Offensive Rebound.
St. Bonaventure,Davidson,12,7,8,8,0,Jordan Barham missed Layup.
St. Bonaventure,Davidson,12,7,8,8,0,Jaylen Adams Defensive Rebound.
St. Bonaventure,Davidson,12,7,8,9,0,Foul on Oskar Michelsen.
St. Bonaventure,Davidson,12,7,8,9,0,Official TV Timeout
St. Bonaventure,Davidson,12,7,8,23,0,Andell Cumberbatch Turnover.
St. Bonaventure,Davidson,12,10,8,44,1,Tyler Kalinoski made Three Point Jumper. Assisted by Peyton Aldridge.
