Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Delaware,Stanford,0,3,0,20,1,Chasson Randle made Three Point Jumper. Assisted by Stefan Nastic.
Delaware,Stanford,0,3,0,50,0,Cazmon Hayes missed Jumper.
Delaware,Stanford,0,3,0,50,0,Reid Travis Defensive Rebound.
Delaware,Stanford,0,3,1,0,0,Rosco Allen missed Jumper.
Delaware,Stanford,0,3,1,0,0,Devonne Pinkard Defensive Rebound.
Delaware,Stanford,2,3,1,16,1,Kory Holden made Jumper.
Delaware,Stanford,2,3,1,49,0,Reid Travis missed Jumper.
Delaware,Stanford,2,3,1,49,0,Barnett Harris Block.
Delaware,Stanford,2,3,1,50,0,Reid Travis Offensive Rebound.
Delaware,Stanford,2,3,1,51,0,Reid Travis missed Jumper.
Delaware,Stanford,2,3,1,51,0,Maurice Jeffers Defensive Rebound.
Delaware,Stanford,2,3,1,59,0,Kory Holden missed Layup.
Delaware,Stanford,2,3,1,59,0,Stefan Nastic Defensive Rebound.
Delaware,Stanford,2,3,2,8,0,Foul on Barnett Harris.
Delaware,Stanford,2,3,2,9,0,Anthony Brown missed Jumper.
Delaware,Stanford,2,3,2,9,0,Barnett Harris Defensive Rebound.
Delaware,Stanford,2,3,2,17,0,Kory Holden missed Three Point Jumper.
Delaware,Stanford,2,3,2,17,0,Anthony Brown Defensive Rebound.
Delaware,Stanford,2,3,2,26,0,Chasson Randle missed Three Point Jumper.
Delaware,Stanford,2,3,2,26,0,Stanford Deadball Team Rebound.
Delaware,Stanford,2,3,2,29,0,Foul on Maurice Jeffers.
Delaware,Stanford,2,5,2,39,1,Reid Travis made Dunk. Assisted by Chasson Randle.
Delaware,Stanford,2,5,2,55,0,Cazmon Hayes missed Three Point Jumper.
Delaware,Stanford,2,5,2,55,0,Stefan Nastic Defensive Rebound.
Delaware,Stanford,2,7,3,15,1,Anthony Brown made Layup. Assisted by Chasson Randle.
Delaware,Stanford,2,7,3,28,0,Foul on Barnett Harris.
Delaware,Stanford,2,7,3,28,0,Barnett Harris Turnover.
Delaware,Stanford,2,9,3,37,1,Stefan Nastic made Jumper.
Delaware,Stanford,2,9,3,52,0,Kory Holden missed Jumper.
Delaware,Stanford,2,9,3,52,0,Reid Travis Defensive Rebound.
Delaware,Stanford,2,9,3,59,0,Chasson Randle missed Layup.
Delaware,Stanford,2,9,3,59,0,Kory Holden Defensive Rebound.
Delaware,Stanford,2,9,4,14,0,Devonne Pinkard missed Jumper.
Delaware,Stanford,2,9,4,14,0,Reid Travis Defensive Rebound.
Delaware,Stanford,2,12,4,32,1,Rosco Allen made Three Point Jumper. Assisted by Anthony Brown.
Delaware,Stanford,2,12,4,52,0,Cazmon Hayes missed Layup.
Delaware,Stanford,2,12,4,52,0,Rosco Allen Defensive Rebound.
Delaware,Stanford,2,12,5,0,0,Rosco Allen missed Three Point Jumper.
Delaware,Stanford,2,12,5,0,0,Kory Holden Defensive Rebound.
Delaware,Stanford,2,12,5,25,0,Foul on Kory Holden.
Delaware,Stanford,2,12,5,25,0,Kory Holden Turnover.
Delaware,Stanford,2,12,5,27,0,Official TV Timeout
