Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Wake Forest,Syracuse,0,0,0,0,0,Jump Ball won by Syracuse
Wake Forest,Syracuse,0,0,0,12,0,Michael Gbinije missed Three Point Jumper.
Wake Forest,Syracuse,0,0,0,12,0,Devin Thomas Defensive Rebound.
Wake Forest,Syracuse,0,0,0,18,0,Mitchell Wilbekin missed Three Point Jumper.
Wake Forest,Syracuse,0,0,0,18,0,Michael Gbinije Defensive Rebound.
Wake Forest,Syracuse,0,3,0,25,1,Trevor Cooney made Three Point Jumper. Assisted by Michael Gbinije.
Wake Forest,Syracuse,0,3,0,51,0,Greg McClinton missed Jumper.
Wake Forest,Syracuse,0,3,0,51,0,Tyler Roberson Defensive Rebound.
Wake Forest,Syracuse,0,3,1,19,0,Trevor Cooney missed Three Point Jumper.
Wake Forest,Syracuse,0,3,1,19,0,Darius Leonard Defensive Rebound.
Wake Forest,Syracuse,2,3,1,27,1,Codi Miller-McIntyre made Jumper.
Wake Forest,Syracuse,2,5,1,47,1,Trevor Cooney made Jumper.
Wake Forest,Syracuse,4,5,2,10,1,Codi Miller-McIntyre made Layup.
Wake Forest,Syracuse,4,7,2,25,1,Rakeem Christmas made Layup.
Wake Forest,Syracuse,4,7,2,32,0,Codi Miller-McIntyre missed Jumper.
Wake Forest,Syracuse,4,7,2,32,0,Rakeem Christmas Defensive Rebound.
Wake Forest,Syracuse,4,7,2,45,0,Rakeem Christmas missed Jumper.
Wake Forest,Syracuse,4,7,2,45,0,Wake Forest Defensive Rebound.
Wake Forest,Syracuse,4,7,2,52,0,Codi Miller-McIntyre Turnover.
Wake Forest,Syracuse,4,7,2,52,0,Rakeem Christmas Steal.
Wake Forest,Syracuse,4,9,3,1,1,Kaleb Joseph made Dunk. Assisted by Rakeem Christmas.
Wake Forest,Syracuse,4,9,3,8,0,Darius Leonard missed Jumper.
Wake Forest,Syracuse,4,9,3,8,0,Rakeem Christmas Defensive Rebound.
Wake Forest,Syracuse,4,9,3,25,0,Tyler Roberson missed Jumper.
Wake Forest,Syracuse,4,9,3,25,0,Greg McClinton Defensive Rebound.
Wake Forest,Syracuse,4,9,3,36,0,Foul on Michael Gbinije.
Wake Forest,Syracuse,4,9,3,36,0,Codi Miller-McIntyre missed Free Throw.
Wake Forest,Syracuse,4,9,3,36,0,Wake Forest Deadball Team Rebound.
Wake Forest,Syracuse,5,9,3,36,1,Codi Miller-McIntyre made Free Throw.
Wake Forest,Syracuse,5,11,3,48,1,Rakeem Christmas made Dunk. Assisted by Tyler Roberson.
Wake Forest,Syracuse,5,11,4,4,0,Mitchell Wilbekin Turnover.
Wake Forest,Syracuse,5,11,4,4,0,Rakeem Christmas Steal.
Wake Forest,Syracuse,5,11,4,9,0,Foul on Devin Thomas.
Wake Forest,Syracuse,5,11,4,9,0,Official TV Timeout
Wake Forest,Syracuse,5,12,4,9,1,Trevor Cooney made Free Throw.
Wake Forest,Syracuse,5,13,4,9,1,Trevor Cooney made Free Throw.
Wake Forest,Syracuse,5,13,4,26,0,Codi Miller-McIntyre Turnover.
Wake Forest,Syracuse,5,13,4,26,0,Trevor Cooney Steal.
Wake Forest,Syracuse,5,13,4,37,0,Tyler Roberson missed Jumper.
Wake Forest,Syracuse,5,13,4,37,0,Michael Gbinije Offensive Rebound.
Wake Forest,Syracuse,5,13,4,37,0,Michael Gbinije missed Two Point Tip Shot.
Wake Forest,Syracuse,5,13,4,37,0,Cornelius Hudson Block.
Wake Forest,Syracuse,5,13,4,37,0,Wake Forest Defensive Rebound.
Wake Forest,Syracuse,5,13,4,45,0,Konstantinos Mitoglou Turnover.
Wake Forest,Syracuse,5,13,4,45,0,Tyler Roberson Steal.
Wake Forest,Syracuse,5,15,5,0,1,Rakeem Christmas made Dunk. Assisted by Kaleb Joseph.
Wake Forest,Syracuse,5,15,5,15,0,Cornelius Hudson missed Three Point Jumper.
Wake Forest,Syracuse,5,15,5,15,0,Devin Thomas Offensive Rebound.
Wake Forest,Syracuse,5,15,5,29,0,Mitchell Wilbekin missed Three Point Jumper.
Wake Forest,Syracuse,5,15,5,29,0,Wake Forest Offensive Rebound.
Wake Forest,Syracuse,5,15,5,40,0,Foul on Trevor Cooney.
Wake Forest,Syracuse,6,15,5,40,1,Konstantinos Mitoglou made Free Throw.
Wake Forest,Syracuse,7,15,5,40,1,Konstantinos Mitoglou made Free Throw.
Wake Forest,Syracuse,7,15,5,46,0,Foul on Madison Jones.
Wake Forest,Syracuse,7,15,6,1,0,Kaleb Joseph Turnover.
Wake Forest,Syracuse,7,15,6,1,0,Konstantinos Mitoglou Steal.
Wake Forest,Syracuse,7,15,6,6,0,Konstantinos Mitoglou Turnover.
Wake Forest,Syracuse,7,15,6,6,0,Trevor Cooney Steal.
Wake Forest,Syracuse,7,17,6,12,1,Kaleb Joseph made Jumper. Assisted by Trevor Cooney.
Wake Forest,Syracuse,9,17,6,30,1,Konstantinos Mitoglou made Jumper. Assisted by Codi Miller-McIntyre.
Wake Forest,Syracuse,9,19,6,45,1,Rakeem Christmas made Layup.
Wake Forest,Syracuse,11,19,7,4,1,Konstantinos Mitoglou made Jumper. Assisted by Codi Miller-McIntyre.
Wake Forest,Syracuse,11,19,7,27,0,Tyler Roberson missed Jumper.
Wake Forest,Syracuse,11,19,7,27,0,Codi Miller-McIntyre Defensive Rebound.
Wake Forest,Syracuse,14,19,7,35,1,Konstantinos Mitoglou made Three Point Jumper. Assisted by Madison Jones.
Wake Forest,Syracuse,14,19,7,37,0,Syracuse  Timeout
Wake Forest,Syracuse,14,19,7,47,0,Rakeem Christmas missed Jumper.
Wake Forest,Syracuse,14,19,7,47,0,Devin Thomas Defensive Rebound.
Wake Forest,Syracuse,14,19,8,2,0,Codi Miller-McIntyre missed Three Point Jumper.
Wake Forest,Syracuse,14,19,8,2,0,Kaleb Joseph Defensive Rebound.
Wake Forest,Syracuse,14,19,8,13,0,B.J. Johnson missed Jumper.
Wake Forest,Syracuse,14,19,8,13,0,Madison Jones Defensive Rebound.
Wake Forest,Syracuse,14,19,8,28,0,Cornelius Hudson missed Three Point Jumper.
Wake Forest,Syracuse,14,19,8,28,0,Michael Gbinije Defensive Rebound.
Wake Forest,Syracuse,14,21,8,39,1,Rakeem Christmas made Dunk. Assisted by Trevor Cooney.
Wake Forest,Syracuse,16,21,9,3,1,Devin Thomas made Layup. Assisted by Madison Jones.
Wake Forest,Syracuse,16,21,9,20,0,Rakeem Christmas missed Jumper.
Wake Forest,Syracuse,16,21,9,20,0,Devin Thomas Defensive Rebound.
Wake Forest,Syracuse,19,21,9,27,1,Konstantinos Mitoglou made Three Point Jumper. Assisted by Cornelius Hudson.
Wake Forest,Syracuse,19,21,9,48,0,Trevor Cooney missed Layup.
Wake Forest,Syracuse,19,21,9,48,0,Devin Thomas Defensive Rebound.
Wake Forest,Syracuse,19,21,10,2,0,Devin Thomas missed Jumper.
Wake Forest,Syracuse,19,21,10,2,0,B.J. Johnson Defensive Rebound.
Wake Forest,Syracuse,19,21,10,18,0,Rakeem Christmas missed Jumper.
Wake Forest,Syracuse,19,21,10,18,0,Cornelius Hudson Defensive Rebound.
Wake Forest,Syracuse,19,21,10,36,0,Foul on B.J. Johnson.
Wake Forest,Syracuse,20,21,10,36,1,Devin Thomas made Free Throw.
Wake Forest,Syracuse,21,21,10,36,1,Devin Thomas made Free Throw.
Wake Forest,Syracuse,21,21,11,9,0,Kaleb Joseph missed Jumper.
Wake Forest,Syracuse,21,21,11,9,0,Tyler Roberson Offensive Rebound.
Wake Forest,Syracuse,21,21,11,9,0,Tyler Roberson missed Two Point Tip Shot.
Wake Forest,Syracuse,21,21,11,9,0,Konstantinos Mitoglou Defensive Rebound.
Wake Forest,Syracuse,21,21,11,30,0,Darius Leonard missed Jumper.
Wake Forest,Syracuse,21,21,11,30,0,Tyler Roberson Defensive Rebound.
Wake Forest,Syracuse,21,21,11,45,0,Foul on Darius Leonard.
Wake Forest,Syracuse,21,21,11,50,0,Rakeem Christmas missed Jumper.
Wake Forest,Syracuse,21,21,11,50,0,Michael Gbinije Offensive Rebound.
Wake Forest,Syracuse,21,21,12,10,0,Rakeem Christmas Turnover.
Wake Forest,Syracuse,21,21,12,10,0,Official TV Timeout
Wake Forest,Syracuse,21,21,12,29,0,Codi Miller-McIntyre missed Jumper.
Wake Forest,Syracuse,21,21,12,29,0,Kaleb Joseph Defensive Rebound.
Wake Forest,Syracuse,21,21,12,53,0,Kaleb Joseph missed Jumper.
Wake Forest,Syracuse,21,21,12,53,0,Codi Miller-McIntyre Defensive Rebound.
Wake Forest,Syracuse,23,21,13,1,1,Codi Miller-McIntyre made Layup. Assisted by Mitchell Wilbekin.
Wake Forest,Syracuse,23,21,13,17,0,Michael Gbinije Turnover.
Wake Forest,Syracuse,23,21,13,17,0,Codi Miller-McIntyre Steal.
Wake Forest,Syracuse,23,21,13,17,0,Codi Miller-McIntyre missed Layup.
Wake Forest,Syracuse,23,21,13,17,0,Michael Gbinije Block.
Wake Forest,Syracuse,23,21,13,17,0,Wake Forest Offensive Rebound.
Wake Forest,Syracuse,23,21,13,28,0,Cornelius Hudson missed Three Point Jumper.
Wake Forest,Syracuse,23,21,13,28,0,Michael Gbinije Defensive Rebound.
Wake Forest,Syracuse,23,23,13,35,1,Tyler Roberson made Dunk. Assisted by Michael Gbinije.
Wake Forest,Syracuse,23,23,13,44,0,Darius Leonard missed Three Point Jumper.
Wake Forest,Syracuse,23,23,13,44,0,Tyler Roberson Defensive Rebound.
Wake Forest,Syracuse,23,23,14,0,0,Foul on Darius Leonard.
Wake Forest,Syracuse,23,26,14,4,1,Trevor Cooney made Three Point Jumper. Assisted by Tyler Roberson.
Wake Forest,Syracuse,25,26,14,23,1,Greg McClinton made Jumper.
Wake Forest,Syracuse,25,26,14,41,0,Trevor Cooney missed Jumper.
Wake Forest,Syracuse,25,26,14,41,0,Mitchell Wilbekin Defensive Rebound.
Wake Forest,Syracuse,25,26,14,47,0,Greg McClinton missed Jumper.
Wake Forest,Syracuse,25,26,14,47,0,Devin Thomas Offensive Rebound.
Wake Forest,Syracuse,27,26,14,47,1,Devin Thomas made Two Point Tip Shot.
Wake Forest,Syracuse,27,26,15,10,0,Foul on Greg McClinton.
Wake Forest,Syracuse,27,26,15,10,0,Michael Gbinije missed Free Throw.
Wake Forest,Syracuse,27,26,15,10,0,Syracuse Deadball Team Rebound.
Wake Forest,Syracuse,27,27,15,10,1,Michael Gbinije made Free Throw.
Wake Forest,Syracuse,29,27,15,26,1,Greg McClinton made Layup. Assisted by Devin Thomas.
Wake Forest,Syracuse,29,27,15,26,0,Foul on Michael Gbinije.
Wake Forest,Syracuse,30,27,15,26,1,Greg McClinton made Free Throw.
Wake Forest,Syracuse,30,29,15,33,1,Rakeem Christmas made Jumper.
Wake Forest,Syracuse,30,29,16,1,0,Jump Ball won by Wake Forest
Wake Forest,Syracuse,30,29,16,1,0,Official TV Timeout
Wake Forest,Syracuse,30,29,16,15,0,Wake Forest  Turnover.
Wake Forest,Syracuse,30,31,16,28,1,Rakeem Christmas made Layup. Assisted by Michael Gbinije.
Wake Forest,Syracuse,30,31,16,42,0,Mitchell Wilbekin missed Three Point Jumper.
Wake Forest,Syracuse,30,31,16,42,0,Michael Gbinije Defensive Rebound.
Wake Forest,Syracuse,30,33,16,59,1,Tyler Roberson made Jumper. Assisted by Michael Gbinije.
Wake Forest,Syracuse,30,33,17,31,0,Devin Thomas missed Jumper.
Wake Forest,Syracuse,30,33,17,31,0,Konstantinos Mitoglou Offensive Rebound.
Wake Forest,Syracuse,32,33,17,40,1,Konstantinos Mitoglou made Layup.
