Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas Southern,Eastern Washington,0,0,0,4,0,Venky Jois missed Layup.
Texas Southern,Eastern Washington,0,0,0,4,0,Nick Shepherd Block.
Texas Southern,Eastern Washington,0,0,0,8,0,Deverell Biggs Defensive Rebound.
Texas Southern,Eastern Washington,0,0,0,14,0,Chris Thomas Turnover.
Texas Southern,Eastern Washington,0,0,0,15,0,Drew Brandon Steal.
Texas Southern,Eastern Washington,0,0,0,18,0,Venky Jois missed Layup.
Texas Southern,Eastern Washington,0,0,0,18,0,Drew Brandon Offensive Rebound.
Texas Southern,Eastern Washington,0,0,0,20,0,Foul on Nick Shepherd.
Texas Southern,Eastern Washington,0,0,0,52,0,Drew Brandon missed Three Point Jumper.
Texas Southern,Eastern Washington,0,0,0,52,0,Ognjen Miljkovic Offensive Rebound.
Texas Southern,Eastern Washington,0,0,1,1,0,Ognjen Miljkovic Turnover.
Texas Southern,Eastern Washington,0,0,1,2,0,Chris Thomas Steal.
Texas Southern,Eastern Washington,2,0,1,5,1,Chris Thomas made Layup. Assisted by Nevin Johnson.
Texas Southern,Eastern Washington,2,0,1,22,0,Ognjen Miljkovic missed Three Point Jumper.
Texas Southern,Eastern Washington,2,0,1,22,0,Deverell Biggs Defensive Rebound.
Texas Southern,Eastern Washington,5,0,1,31,1,Chris Thomas made Three Point Jumper. Assisted by David Blanks.
Texas Southern,Eastern Washington,5,3,1,47,1,Tyler Harvey made Three Point Jumper. Assisted by Drew Brandon.
Texas Southern,Eastern Washington,5,3,2,5,0,Chris Thomas missed Layup.
Texas Southern,Eastern Washington,5,3,2,5,0,Drew Brandon Block.
Texas Southern,Eastern Washington,5,3,2,7,0,Texas Southern Offensive Rebound.
Texas Southern,Eastern Washington,7,3,2,20,1,Deverell Biggs made Layup.
Texas Southern,Eastern Washington,7,3,2,27,0,Tyler Harvey missed Three Point Jumper.
Texas Southern,Eastern Washington,7,3,2,27,0,Parker Kelly Offensive Rebound.
Texas Southern,Eastern Washington,7,3,2,35,0,Venky Jois Turnover.
Texas Southern,Eastern Washington,7,3,2,35,0,Deverell Biggs Steal.
Texas Southern,Eastern Washington,7,3,2,39,0,Deverell Biggs Turnover.
Texas Southern,Eastern Washington,7,3,2,50,0,Venky Jois missed Layup.
Texas Southern,Eastern Washington,7,3,2,50,0,Nick Shepherd Defensive Rebound.
Texas Southern,Eastern Washington,7,3,3,0,0,Chris Thomas missed Jumper.
Texas Southern,Eastern Washington,7,3,3,0,0,Ognjen Miljkovic Block.
Texas Southern,Eastern Washington,7,3,3,1,0,Tyler Harvey Defensive Rebound.
Texas Southern,Eastern Washington,7,3,3,6,0,Foul on Nevin Johnson.
Texas Southern,Eastern Washington,7,3,3,10,0,Venky Jois missed Layup.
Texas Southern,Eastern Washington,7,3,3,10,0,Chris Thomas Defensive Rebound.
Texas Southern,Eastern Washington,7,3,3,18,0,Deverell Biggs missed Three Point Jumper.
Texas Southern,Eastern Washington,7,3,3,18,0,Venky Jois Defensive Rebound.
Texas Southern,Eastern Washington,7,6,3,58,1,Tyler Harvey made Three Point Jumper.
Texas Southern,Eastern Washington,7,6,4,30,0,Chris Thomas Turnover.
Texas Southern,Eastern Washington,7,6,4,30,0,Foul on Chris Thomas.
Texas Southern,Eastern Washington,7,6,4,30,0,Official TV Timeout
Texas Southern,Eastern Washington,7,6,4,44,0,Venky Jois missed Layup.
Texas Southern,Eastern Washington,7,6,4,44,0,Nevin Johnson Defensive Rebound.
Texas Southern,Eastern Washington,7,6,4,47,0,Foul on Ognjen Miljkovic.
Texas Southern,Eastern Washington,7,6,5,2,0,Deverell Biggs missed Layup.
Texas Southern,Eastern Washington,7,6,5,3,0,Deverell Biggs Offensive Rebound.
Texas Southern,Eastern Washington,9,6,5,9,1,Deverell Biggs made Two Point Tip Shot.
Texas Southern,Eastern Washington,9,6,5,26,0,Drew Brandon missed Three Point Jumper.
Texas Southern,Eastern Washington,9,6,5,26,0,Eastern Washington Offensive Rebound.
Texas Southern,Eastern Washington,9,6,5,29,0,Eastern Washington  Timeout
