Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ole Miss,Troy,0,0,0,20,0,Foul on Martavious Newby.
Ole Miss,Troy,0,0,0,29,0,Kevin Thomas Turnover.
Ole Miss,Troy,0,0,0,47,0,Sebastian Saiz Turnover.
Ole Miss,Troy,0,0,0,48,0,Kevin Thomas Steal.
Ole Miss,Troy,0,0,0,53,0,Chris Bilbo missed Three Point Jumper.
Ole Miss,Troy,0,0,0,53,0,Sebastian Saiz Defensive Rebound.
Ole Miss,Troy,0,0,1,7,0,Martavious Newby missed Three Point Jumper.
Ole Miss,Troy,0,0,1,7,0,Stefan Moody Offensive Rebound.
Ole Miss,Troy,0,0,1,12,0,Jarvis Summers missed Three Point Jumper.
Ole Miss,Troy,0,0,1,12,0,Kevin Thomas Defensive Rebound.
Ole Miss,Troy,0,0,1,20,0,Foul on Stefan Moody.
Ole Miss,Troy,0,0,1,27,0,John Walton Iii missed Layup.
Ole Miss,Troy,0,0,1,27,0,M.J. Rhett Defensive Rebound.
Ole Miss,Troy,0,0,1,36,0,Foul on Chris Bilbo.
Ole Miss,Troy,2,0,1,49,1,Sebastian Saiz made Jumper.
Ole Miss,Troy,2,2,2,8,1,Kevin Thomas made Layup.
Ole Miss,Troy,2,2,2,20,0,Martavious Newby missed Layup.
Ole Miss,Troy,2,2,2,20,0,M.J. Rhett Offensive Rebound.
Ole Miss,Troy,4,2,2,23,1,M.J. Rhett made Layup.
Ole Miss,Troy,4,2,2,40,0,Foul on Jarvis Summers.
Ole Miss,Troy,4,2,2,40,0,John Walton Iii missed Free Throw.
Ole Miss,Troy,4,2,2,40,0,Troy Deadball Team Rebound.
Ole Miss,Troy,4,2,2,40,0,John Walton Iii missed Free Throw.
Ole Miss,Troy,4,2,2,40,0,Sebastian Saiz Defensive Rebound.
Ole Miss,Troy,4,2,3,7,0,Jarvis Summers missed Three Point Jumper.
Ole Miss,Troy,4,2,3,7,0,Kevin Thomas Defensive Rebound.
Ole Miss,Troy,4,2,3,13,0,Chris Bilbo missed Three Point Jumper.
Ole Miss,Troy,4,2,3,13,0,M.J. Rhett Defensive Rebound.
Ole Miss,Troy,4,2,3,25,0,Jarvis Summers missed Layup.
Ole Miss,Troy,4,2,3,25,0,M.J. Rhett Offensive Rebound.
Ole Miss,Troy,4,2,3,27,0,M.J. Rhett missed Layup.
Ole Miss,Troy,4,2,3,27,0,Kevin Thomas Block.
Ole Miss,Troy,4,2,3,29,0,Martavious Newby Offensive Rebound.
Ole Miss,Troy,4,2,3,35,0,Stefan Moody Turnover.
Ole Miss,Troy,4,2,3,35,0,Foul on Stefan Moody.
Ole Miss,Troy,4,2,3,47,0,John Walton Iii Turnover.
Ole Miss,Troy,4,2,3,47,0,Foul on John Walton Iii.
Ole Miss,Troy,4,2,4,10,0,Foul on Kevin Thomas.
Ole Miss,Troy,4,2,4,10,0,Official TV Timeout
Ole Miss,Troy,4,2,4,12,0,Jarvis Summers Turnover.
Ole Miss,Troy,4,2,4,12,0,Kelton Ford Steal.
Ole Miss,Troy,4,2,4,20,0,Kelton Ford missed Layup.
Ole Miss,Troy,4,2,4,20,0,LaDarius White Defensive Rebound.
Ole Miss,Troy,6,2,4,31,1,Jarvis Summers made Layup.
Ole Miss,Troy,6,4,4,59,1,Kevin Thomas made Jumper. Assisted by Kelton Ford.
Ole Miss,Troy,8,4,5,17,1,Terence Smith made Jumper. Assisted by Jarvis Summers.
Ole Miss,Troy,8,4,5,50,0,Wesley Person Jr. missed Three Point Jumper.
Ole Miss,Troy,8,4,5,50,0,Kevin Thomas Offensive Rebound.
Ole Miss,Troy,8,6,5,58,1,Chris Bilbo made Layup.
Ole Miss,Troy,8,6,6,11,0,LaDarius White missed Jumper.
Ole Miss,Troy,8,6,6,11,0,Chris Bilbo Defensive Rebound.
Ole Miss,Troy,8,6,6,17,0,Chris Bilbo Turnover.
Ole Miss,Troy,8,6,6,18,0,LaDarius White Steal.
Ole Miss,Troy,8,6,6,21,0,Foul on Kelton Ford.
Ole Miss,Troy,9,6,6,21,1,Jarvis Summers made Free Throw.
Ole Miss,Troy,10,6,6,21,1,Jarvis Summers made Free Throw.
Ole Miss,Troy,10,6,6,40,0,Kevin Thomas missed Layup.
Ole Miss,Troy,10,6,6,40,0,LaDarius White Defensive Rebound.
Ole Miss,Troy,10,6,6,54,0,LaDarius White missed Layup.
Ole Miss,Troy,10,6,6,54,0,LaDarius White Offensive Rebound.
Ole Miss,Troy,12,6,6,57,1,LaDarius White made Two Point Tip Shot.
Ole Miss,Troy,12,6,7,10,0,Foul on Terence Smith.
Ole Miss,Troy,12,6,7,19,0,Kelton Ford missed Layup.
Ole Miss,Troy,12,6,7,19,0,Kevin Thomas Offensive Rebound.
Ole Miss,Troy,12,6,7,39,0,Kevin Thomas missed Layup.
Ole Miss,Troy,12,6,7,39,0,Kevin Thomas Offensive Rebound.
Ole Miss,Troy,12,6,7,44,0,Musa Abdul-Aleem missed Three Point Jumper.
Ole Miss,Troy,12,6,7,44,0,Dwight Coleby Defensive Rebound.
Ole Miss,Troy,12,6,8,4,0,LaDarius White Turnover.
Ole Miss,Troy,12,6,8,5,0,Musa Abdul-Aleem Steal.
Ole Miss,Troy,12,6,8,8,0,Foul on Terence Smith.
Ole Miss,Troy,12,6,8,8,0,Official TV Timeout
Ole Miss,Troy,12,6,8,8,0,Musa Abdul-Aleem missed Free Throw.
Ole Miss,Troy,12,6,8,8,0,Troy Deadball Team Rebound.
Ole Miss,Troy,12,7,8,8,1,Musa Abdul-Aleem made Free Throw.
Ole Miss,Troy,12,7,8,30,0,Jarvis Summers missed Three Point Jumper.
Ole Miss,Troy,12,7,8,30,0,Roderick Lawrence Offensive Rebound.
Ole Miss,Troy,12,7,8,34,0,Foul on Jaro Marovek.
Ole Miss,Troy,12,7,8,38,0,Roderick Lawrence missed Three Point Jumper.
Ole Miss,Troy,12,7,8,38,0,Troy Defensive Rebound.
Ole Miss,Troy,12,7,8,56,0,Musa Abdul-Aleem missed Jumper.
Ole Miss,Troy,12,7,8,56,0,Jaro Marovek Offensive Rebound.
Ole Miss,Troy,12,7,9,7,0,Wesley Person Jr. Turnover.
Ole Miss,Troy,15,7,9,19,1,Jarvis Summers made Three Point Jumper.
Ole Miss,Troy,15,7,9,35,0,Wesley Person Jr. missed Three Point Jumper.
Ole Miss,Troy,15,7,9,35,0,John Walton Iii Offensive Rebound.
Ole Miss,Troy,15,7,9,40,0,John Walton Iii Turnover.
Ole Miss,Troy,17,7,9,44,1,LaDarius White made Dunk. Assisted by Roderick Lawrence.
Ole Miss,Troy,17,7,9,45,0,Troy  Timeout
Ole Miss,Troy,17,7,10,0,0,Musa Abdul-Aleem missed Three Point Jumper.
Ole Miss,Troy,17,7,10,0,0,Sebastian Saiz Defensive Rebound.
Ole Miss,Troy,17,7,10,28,0,Jarvis Summers missed Three Point Jumper.
Ole Miss,Troy,17,7,10,28,0,Musa Abdul-Aleem Defensive Rebound.
Ole Miss,Troy,17,10,10,43,1,Musa Abdul-Aleem made Three Point Jumper.
Ole Miss,Troy,17,10,11,0,0,Jarvis Summers missed Three Point Jumper.
Ole Miss,Troy,17,10,11,0,0,Troy Defensive Rebound.
Ole Miss,Troy,17,10,11,19,0,Foul on Martavious Newby.
Ole Miss,Troy,17,11,11,19,1,John Walton Iii made Free Throw.
Ole Miss,Troy,17,12,11,19,1,John Walton Iii made Free Throw.
Ole Miss,Troy,17,12,11,40,0,M.J. Rhett missed Layup.
Ole Miss,Troy,17,12,11,40,0,John Walton Iii Block.
Ole Miss,Troy,17,12,11,41,0,M.J. Rhett Offensive Rebound.
