Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UC Davis,UC Irvine,2,0,0,11,1,Josh Ritchart made Layup. Assisted by Darius Graham.
UC Davis,UC Irvine,2,0,0,42,0,Luke Nelson missed Three Point Jumper.
UC Davis,UC Irvine,2,0,0,42,0,Will Davis II Offensive Rebound.
UC Davis,UC Irvine,2,0,0,54,0,Travis Souza missed Three Point Jumper.
UC Davis,UC Irvine,2,0,0,54,0,Darius Graham Defensive Rebound.
UC Davis,UC Irvine,2,0,1,2,0,J.T. Adenrele missed Layup.
UC Davis,UC Irvine,2,0,1,2,0,John Ryan Block.
UC Davis,UC Irvine,2,0,1,4,0,John Ryan Defensive Rebound.
UC Davis,UC Irvine,2,0,1,13,0,Will Davis II missed Layup.
UC Davis,UC Irvine,2,0,1,13,0,Avery Johnson Block.
UC Davis,UC Irvine,2,0,1,14,0,Darius Graham Defensive Rebound.
UC Davis,UC Irvine,2,0,1,35,0,Darius Graham missed Layup.
UC Davis,UC Irvine,2,0,1,35,0,Luke Nelson Defensive Rebound.
UC Davis,UC Irvine,2,0,1,45,0,Luke Nelson Turnover.
UC Davis,UC Irvine,2,0,1,45,0,J.T. Adenrele Steal.
UC Davis,UC Irvine,2,0,1,45,0,Foul on Will Davis II.
UC Davis,UC Irvine,2,0,2,9,0,J.T. Adenrele missed Jumper.
UC Davis,UC Irvine,2,0,2,9,0,UC Davis Offensive Rebound.
UC Davis,UC Irvine,2,0,2,20,0,Darius Graham missed Layup.
UC Davis,UC Irvine,2,0,2,20,0,John Ryan Block.
UC Davis,UC Irvine,2,0,2,21,0,John Ryan Defensive Rebound.
UC Davis,UC Irvine,2,3,2,26,1,Luke Nelson made Three Point Jumper. Assisted by Alex Young.
UC Davis,UC Irvine,4,3,2,52,1,Brynton Lemar made Jumper.
UC Davis,UC Irvine,4,3,3,7,0,Will Davis II missed Jumper.
UC Davis,UC Irvine,4,3,3,7,0,John Ryan Offensive Rebound.
UC Davis,UC Irvine,4,3,3,11,0,Alex Young missed Three Point Jumper.
UC Davis,UC Irvine,4,3,3,11,0,John Ryan Offensive Rebound.
UC Davis,UC Irvine,4,5,3,32,1,Will Davis II made Jumper.
UC Davis,UC Irvine,4,5,3,58,0,Josh Ritchart Turnover.
UC Davis,UC Irvine,4,5,4,12,0,Foul on J.T. Adenrele.
UC Davis,UC Irvine,4,5,4,12,0,Official TV Timeout
UC Davis,UC Irvine,4,6,4,12,1,John Ryan made Free Throw.
UC Davis,UC Irvine,4,6,4,12,0,John Ryan missed Free Throw.
UC Davis,UC Irvine,4,6,4,12,0,Josh Ritchart Defensive Rebound.
UC Davis,UC Irvine,4,6,4,42,0,Josh Ritchart Turnover.
UC Davis,UC Irvine,4,6,5,1,0,Mike Best missed Jumper.
UC Davis,UC Irvine,4,6,5,1,0,Avery Johnson Defensive Rebound.
UC Davis,UC Irvine,4,6,5,8,0,Avery Johnson Turnover.
UC Davis,UC Irvine,4,6,5,9,0,Luke Nelson Steal.
