Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas State,UL Monroe,0,3,0,30,1,Chinedu Amajoyi made Three Point Jumper. Assisted by Nick Coppola.
Texas State,UL Monroe,3,3,0,51,1,Wesley Davis made Three Point Jumper. Assisted by D.J. Brown.
Texas State,UL Monroe,3,5,1,16,1,Majok Deng made Jumper. Assisted by Jamaal Samuel.
Texas State,UL Monroe,3,5,1,44,0,Wesley Davis missed Jumper.
Texas State,UL Monroe,3,5,1,44,0,Majok Deng Defensive Rebound.
Texas State,UL Monroe,3,5,2,2,0,Jamaal Samuel missed Jumper.
Texas State,UL Monroe,3,5,2,2,0,Emani Gant Defensive Rebound.
Texas State,UL Monroe,3,5,2,9,0,Foul on Chinedu Amajoyi.
Texas State,UL Monroe,4,5,2,9,1,Kavin Gilder-Tilbury made Free Throw.
Texas State,UL Monroe,5,5,2,9,1,Kavin Gilder-Tilbury made Free Throw.
Texas State,UL Monroe,5,5,2,22,0,Foul on D.J. Brown.
Texas State,UL Monroe,5,7,2,51,1,Nick Coppola made Jumper.
Texas State,UL Monroe,8,7,3,5,1,D.J. Brown made Three Point Jumper. Assisted by Emani Gant.
Texas State,UL Monroe,8,7,3,28,0,Tylor Ongwae missed Jumper.
Texas State,UL Monroe,8,7,3,28,0,Kavin Gilder-Tilbury Defensive Rebound.
Texas State,UL Monroe,8,7,3,47,0,Wesley Davis missed Three Point Jumper.
Texas State,UL Monroe,8,7,3,47,0,Nick Coppola Defensive Rebound.
Texas State,UL Monroe,8,7,3,50,0,UL Monroe  Timeout
Texas State,UL Monroe,8,7,4,7,0,Foul on Kavin Gilder-Tilbury.
Texas State,UL Monroe,8,7,4,7,0,Official TV Timeout
Texas State,UL Monroe,8,7,4,19,0,Nick Coppola Turnover.
Texas State,UL Monroe,8,7,4,19,0,Kavin Gilder-Tilbury Steal.
Texas State,UL Monroe,8,7,4,36,0,Cameron Naylor Turnover.
Texas State,UL Monroe,8,7,4,55,0,Majok Deng missed Jumper.
Texas State,UL Monroe,8,7,4,55,0,Emani Gant Defensive Rebound.
Texas State,UL Monroe,8,7,5,15,0,Kavin Gilder-Tilbury missed Three Point Jumper.
Texas State,UL Monroe,8,7,5,15,0,Jamaal Samuel Defensive Rebound.
Texas State,UL Monroe,8,9,5,24,1,Justin Roberson made Jumper.
Texas State,UL Monroe,8,9,5,47,0,Ojai Black missed Three Point Jumper.
Texas State,UL Monroe,8,9,5,47,0,Emani Gant Offensive Rebound.
Texas State,UL Monroe,8,9,6,2,0,Emani Gant missed Layup.
Texas State,UL Monroe,8,9,6,2,0,Jamaal Samuel Block.
Texas State,UL Monroe,8,9,6,3,0,Texas State Offensive Rebound.
Texas State,UL Monroe,8,9,6,14,0,Emani Gant missed Jumper.
Texas State,UL Monroe,8,9,6,14,0,Nick Coppola Defensive Rebound.
Texas State,UL Monroe,8,9,6,21,0,Foul on Wesley Davis.
Texas State,UL Monroe,8,9,6,21,0,Jamaal Samuel missed Free Throw.
Texas State,UL Monroe,8,9,6,21,0,UL Monroe Deadball Team Rebound.
Texas State,UL Monroe,8,9,6,21,0,Jamaal Samuel missed Free Throw.
Texas State,UL Monroe,8,9,6,21,0,Kendall Ramlal Defensive Rebound.
Texas State,UL Monroe,8,9,6,49,0,Kavin Gilder-Tilbury missed Three Point Jumper.
Texas State,UL Monroe,8,9,6,49,0,Cameron Naylor Offensive Rebound.
Texas State,UL Monroe,10,9,6,52,1,Cameron Naylor made Layup.
Texas State,UL Monroe,10,9,7,13,0,Tylor Ongwae missed Layup.
Texas State,UL Monroe,10,9,7,13,0,DeMondre Harvey Offensive Rebound.
Texas State,UL Monroe,10,11,7,15,1,DeMondre Harvey made Layup.
Texas State,UL Monroe,10,11,7,46,0,Kavin Gilder-Tilbury missed Jumper.
Texas State,UL Monroe,10,11,7,46,0,Jamaal Samuel Defensive Rebound.
Texas State,UL Monroe,10,13,8,3,1,Justin Roberson made Layup. Assisted by Jamaal Samuel.
Texas State,UL Monroe,12,13,8,39,1,Cameron Naylor made Jumper. Assisted by Kendall Ramlal.
Texas State,UL Monroe,12,13,8,55,0,Nick Coppola Turnover.
Texas State,UL Monroe,12,13,8,55,0,Official TV Timeout
Texas State,UL Monroe,14,13,9,16,1,Wesley Davis made Jumper.
Texas State,UL Monroe,14,13,9,16,0,Foul on Justin Roberson.
Texas State,UL Monroe,14,13,9,16,0,Wesley Davis missed Free Throw.
Texas State,UL Monroe,14,13,9,16,0,Tylor Ongwae Defensive Rebound.
Texas State,UL Monroe,14,15,9,23,1,Justin Roberson made Jumper. Assisted by Nick Coppola.
Texas State,UL Monroe,14,15,9,36,0,Ethan Montalvo missed Jumper.
Texas State,UL Monroe,14,15,9,36,0,DeMondre Harvey Defensive Rebound.
Texas State,UL Monroe,14,15,9,43,0,Tylor Ongwae missed Jumper.
Texas State,UL Monroe,14,15,9,43,0,Cameron Naylor Defensive Rebound.
Texas State,UL Monroe,14,15,9,56,0,Ethan Montalvo missed Jumper.
Texas State,UL Monroe,14,15,9,56,0,Justin Roberson Defensive Rebound.
Texas State,UL Monroe,14,15,10,3,0,Foul on Ojai Black.
Texas State,UL Monroe,14,16,10,3,1,Justin Roberson made Free Throw.
Texas State,UL Monroe,14,17,10,3,1,Justin Roberson made Free Throw.
Texas State,UL Monroe,14,17,10,23,0,Cameron Naylor missed Jumper.
Texas State,UL Monroe,14,17,10,23,0,Nick Coppola Defensive Rebound.
Texas State,UL Monroe,14,17,10,38,0,Nick Coppola missed Three Point Jumper.
Texas State,UL Monroe,14,17,10,38,0,Mack Foster Offensive Rebound.
Texas State,UL Monroe,14,17,10,41,0,Mack Foster missed Dunk.
Texas State,UL Monroe,14,17,10,41,0,Majok Deng Offensive Rebound.
Texas State,UL Monroe,14,17,10,43,0,Majok Deng missed Two Point Tip Shot.
Texas State,UL Monroe,14,17,10,43,0,Majok Deng Offensive Rebound.
Texas State,UL Monroe,14,19,10,46,1,Majok Deng made Two Point Tip Shot.
Texas State,UL Monroe,14,19,11,3,0,Ojai Black missed Jumper.
Texas State,UL Monroe,14,19,11,3,0,JaMarcus Weatherspoon Offensive Rebound.
Texas State,UL Monroe,14,19,11,8,0,Emani Gant missed Jumper.
Texas State,UL Monroe,14,19,11,8,0,Majok Deng Defensive Rebound.
Texas State,UL Monroe,14,19,11,12,0,Foul on JaMarcus Weatherspoon.
Texas State,UL Monroe,14,19,11,25,0,Justin Roberson Turnover.
Texas State,UL Monroe,14,19,11,27,0,JaMarcus Weatherspoon Steal.
Texas State,UL Monroe,14,19,11,31,0,Foul on DeMondre Harvey.
Texas State,UL Monroe,14,19,12,4,0,Ojai Black Turnover.
Texas State,UL Monroe,14,19,12,4,0,Official TV Timeout
Texas State,UL Monroe,14,19,12,24,0,Chinedu Amajoyi missed Three Point Jumper.
Texas State,UL Monroe,14,19,12,24,0,Texas State Deadball Team Rebound.
Texas State,UL Monroe,14,19,12,26,0,Foul on Chinedu Amajoyi.
Texas State,UL Monroe,14,19,12,44,0,Emani Gant missed Layup.
Texas State,UL Monroe,14,19,12,44,0,Chinedu Amajoyi Defensive Rebound.
Texas State,UL Monroe,14,19,12,55,0,Tylor Ongwae Turnover.
Texas State,UL Monroe,14,19,13,24,0,D.J. Brown missed Three Point Jumper.
Texas State,UL Monroe,14,19,13,24,0,Majok Deng Defensive Rebound.
Texas State,UL Monroe,14,21,13,38,1,Mack Foster made Layup. Assisted by Justin Roberson.
Texas State,UL Monroe,14,21,13,54,0,Emani Gant missed Jumper.
Texas State,UL Monroe,14,21,13,54,0,JaMarcus Weatherspoon Offensive Rebound.
Texas State,UL Monroe,14,21,13,57,0,JaMarcus Weatherspoon Turnover.
