Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UNLV,Arizona State,0,0,0,16,0,Jelan Kendrick missed Three Point Jumper.
UNLV,Arizona State,0,0,0,16,0,Kodi Justice Defensive Rebound.
UNLV,Arizona State,0,0,0,21,0,Willie Atwood missed Jumper.
UNLV,Arizona State,0,0,0,21,0,Goodluck Okonoboh Defensive Rebound.
UNLV,Arizona State,2,0,0,37,1,Jelan Kendrick made Jumper.
UNLV,Arizona State,2,2,1,6,1,Gerry Blakes made Layup. Assisted by Eric Jacobsen.
UNLV,Arizona State,5,2,1,22,1,Cody Doolin made Three Point Jumper. Assisted by Jelan Kendrick.
UNLV,Arizona State,5,2,1,37,0,Eric Jacobsen missed Jumper.
UNLV,Arizona State,5,2,1,37,0,Jelan Kendrick Defensive Rebound.
UNLV,Arizona State,7,2,1,51,1,Goodluck Okonoboh made Layup. Assisted by Cody Doolin.
UNLV,Arizona State,7,2,1,58,0,Arizona St  Timeout
UNLV,Arizona State,7,2,2,14,0,Kodi Justice missed Three Point Jumper.
UNLV,Arizona State,7,2,2,14,0,UNLV Defensive Rebound.
UNLV,Arizona State,7,2,2,31,0,Rashad Vaughn missed Three Point Jumper.
UNLV,Arizona State,7,2,2,31,0,Gerry Blakes Defensive Rebound.
UNLV,Arizona State,7,2,2,49,0,Eric Jacobsen Turnover.
UNLV,Arizona State,9,2,3,6,1,Goodluck Okonoboh made Jumper. Assisted by Cody Doolin.
UNLV,Arizona State,9,2,3,16,0,Foul on Christian Wood.
UNLV,Arizona State,9,3,3,16,1,Willie Atwood made Free Throw.
UNLV,Arizona State,9,4,3,16,1,Willie Atwood made Free Throw.
UNLV,Arizona State,9,4,3,43,0,Goodluck Okonoboh missed Layup.
UNLV,Arizona State,9,4,3,43,0,Eric Jacobsen Block.
UNLV,Arizona State,9,4,3,44,0,UNLV Offensive Rebound.
UNLV,Arizona State,9,4,3,45,0,Foul on Gerry Blakes.
UNLV,Arizona State,11,4,3,46,1,Christian Wood made Jumper. Assisted by Cody Doolin.
UNLV,Arizona State,11,4,3,56,0,Willie Atwood missed Layup.
UNLV,Arizona State,11,4,3,56,0,Christian Wood Block.
UNLV,Arizona State,11,4,3,58,0,Christian Wood Defensive Rebound.
UNLV,Arizona State,11,4,4,7,0,Christian Wood missed Three Point Jumper.
UNLV,Arizona State,11,4,4,7,0,Goodluck Okonoboh Offensive Rebound.
UNLV,Arizona State,13,4,4,12,1,Rashad Vaughn made Layup. Assisted by Goodluck Okonoboh.
UNLV,Arizona State,13,4,4,38,0,Willie Atwood missed Three Point Jumper.
UNLV,Arizona State,13,4,4,38,0,Cody Doolin Defensive Rebound.
UNLV,Arizona State,13,4,4,42,0,Foul on Willie Atwood.
UNLV,Arizona State,13,4,4,42,0,Official TV Timeout
UNLV,Arizona State,15,4,4,50,1,Goodluck Okonoboh made Dunk. Assisted by Patrick McCaw.
UNLV,Arizona State,15,4,5,7,0,Gerry Blakes Turnover.
UNLV,Arizona State,15,4,5,9,0,Dwayne Morgan Steal.
UNLV,Arizona State,15,4,5,29,0,Foul on Dwayne Morgan.
UNLV,Arizona State,15,4,5,29,0,Dwayne Morgan Turnover.
UNLV,Arizona State,15,6,5,43,1,Eric Jacobsen made Layup. Assisted by Tra Holder.
UNLV,Arizona State,18,6,5,51,1,Patrick McCaw made Three Point Jumper. Assisted by Dwayne Morgan.
UNLV,Arizona State,18,6,6,7,0,Foul on Cody Doolin.
UNLV,Arizona State,18,6,6,29,0,Roosevelt Scott Turnover.
UNLV,Arizona State,18,6,6,29,0,Cody Doolin Steal.
UNLV,Arizona State,18,6,6,29,0,Foul on Roosevelt Scott.
