Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UNLV,Stanford,0,0,0,10,0,Jelan Kendrick missed Jumper.
UNLV,Stanford,0,0,0,10,0,Rosco Allen Block.
UNLV,Stanford,0,0,0,11,0,Stefan Nastic Defensive Rebound.
UNLV,Stanford,0,3,0,23,1,Chasson Randle made Three Point Jumper. Assisted by Stefan Nastic.
UNLV,Stanford,0,3,0,42,0,Christian Wood missed Three Point Jumper.
UNLV,Stanford,0,3,0,42,0,Rosco Allen Defensive Rebound.
UNLV,Stanford,0,3,0,58,0,Stefan Nastic missed Jumper.
UNLV,Stanford,0,3,0,58,0,Christian Wood Defensive Rebound.
UNLV,Stanford,0,3,1,8,0,Goodluck Okonoboh missed Jumper.
UNLV,Stanford,0,3,1,8,0,Anthony Brown Defensive Rebound.
UNLV,Stanford,0,3,1,20,0,Rosco Allen missed Jumper.
UNLV,Stanford,0,3,1,20,0,Stanford Offensive Rebound.
UNLV,Stanford,0,6,1,39,1,Anthony Brown made Three Point Jumper. Assisted by Stefan Nastic.
UNLV,Stanford,0,6,1,45,0,Christian Wood missed Jumper.
UNLV,Stanford,0,6,1,45,0,Reid Travis Defensive Rebound.
UNLV,Stanford,0,9,1,57,1,Rosco Allen made Three Point Jumper. Assisted by Anthony Brown.
UNLV,Stanford,0,9,1,57,0,UNLV  Timeout
UNLV,Stanford,0,9,2,15,0,Goodluck Okonoboh Turnover.
UNLV,Stanford,0,9,2,30,0,Stefan Nastic Turnover.
UNLV,Stanford,0,9,2,31,0,Goodluck Okonoboh Steal.
UNLV,Stanford,0,9,2,34,0,Rashad Vaughn missed Three Point Jumper.
UNLV,Stanford,0,9,2,34,0,Rosco Allen Defensive Rebound.
UNLV,Stanford,0,9,2,42,0,Foul on Cody Doolin.
UNLV,Stanford,0,9,2,47,0,Anthony Brown missed Three Point Jumper.
UNLV,Stanford,0,9,2,47,0,Christian Wood Defensive Rebound.
UNLV,Stanford,0,9,2,57,0,Christian Wood missed Three Point Jumper.
UNLV,Stanford,0,9,2,57,0,Anthony Brown Defensive Rebound.
UNLV,Stanford,0,9,3,18,0,Chasson Randle missed Three Point Jumper.
UNLV,Stanford,0,9,3,18,0,Stanford Offensive Rebound.
UNLV,Stanford,0,12,3,24,1,Chasson Randle made Three Point Jumper. Assisted by Rosco Allen.
UNLV,Stanford,0,12,3,36,0,Cody Doolin missed Layup.
UNLV,Stanford,0,12,3,36,0,Goodluck Okonoboh Offensive Rebound.
UNLV,Stanford,2,12,3,39,1,Goodluck Okonoboh made Layup.
UNLV,Stanford,2,14,4,5,1,Stefan Nastic made Jumper.
UNLV,Stanford,2,14,4,17,0,Foul on Anthony Brown.
UNLV,Stanford,2,14,4,17,0,Official TV Timeout
