Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Portland St,USC,0,0,0,13,0,Nikola Jovanovic Turnover.
Portland St,USC,3,0,0,38,1,Tim Douglas made Three Point Jumper. Assisted by Gary Winston.
Portland St,USC,3,2,0,52,1,Jordan McLaughlin made Layup.
Portland St,USC,3,2,1,1,0,Gary Winston missed Jumper.
Portland St,USC,3,2,1,1,0,Malik Martin Defensive Rebound.
Portland St,USC,3,4,1,9,1,Malik Martin made Layup. Assisted by Jordan McLaughlin.
Portland St,USC,3,4,1,15,0,Bryce White missed Three Point Jumper.
Portland St,USC,3,4,1,15,0,Julian Jacobs Defensive Rebound.
Portland St,USC,3,6,1,49,1,Malik Martin made Layup. Assisted by Jordan McLaughlin.
Portland St,USC,5,6,2,11,1,Tiegbe Bamba made Layup.
Portland St,USC,5,6,2,41,0,Jordan McLaughlin Turnover.
Portland St,USC,5,6,2,42,0,Braxton Tucker Steal.
Portland St,USC,7,6,2,44,1,Bryce White made Layup. Assisted by Braxton Tucker.
Portland St,USC,7,6,2,44,0,Foul on Julian Jacobs.
Portland St,USC,7,6,2,44,0,Bryce White missed Free Throw.
Portland St,USC,7,6,2,44,0,Malik Martin Defensive Rebound.
Portland St,USC,7,8,3,6,1,Jordan McLaughlin made Jumper.
Portland St,USC,10,8,3,25,1,Tim Douglas made Three Point Jumper. Assisted by Gary Winston.
Portland St,USC,10,10,3,38,1,Katin Reinhardt made Jumper.
Portland St,USC,13,10,4,0,1,Tiegbe Bamba made Three Point Jumper. Assisted by Tim Douglas.
Portland St,USC,13,10,4,11,0,Nikola Jovanovic missed Three Point Jumper.
Portland St,USC,13,10,4,11,0,Tiegbe Bamba Defensive Rebound.
Portland St,USC,15,10,4,33,1,Braxton Tucker made Jumper. Assisted by Bryce White.
Portland St,USC,15,10,4,53,0,Katin Reinhardt missed Jumper.
Portland St,USC,15,10,4,53,0,Malik Martin Offensive Rebound.
Portland St,USC,15,10,4,55,0,Malik Martin missed Two Point Tip Shot.
Portland St,USC,15,10,4,55,0,Malik Martin Offensive Rebound.
Portland St,USC,15,12,4,56,1,Malik Martin made Two Point Tip Shot.
Portland St,USC,15,12,5,3,0,Gary Winston missed Three Point Jumper.
Portland St,USC,15,12,5,3,0,Julian Jacobs Defensive Rebound.
Portland St,USC,15,12,5,37,0,Malik Martin missed Three Point Jumper.
Portland St,USC,15,12,5,37,0,Portland St Deadball Team Rebound.
Portland St,USC,15,12,5,38,0,Foul on Nikola Jovanovic.
Portland St,USC,17,12,6,10,1,Collin Spickerman made Layup. Assisted by Gary Winston.
Portland St,USC,17,12,6,29,0,Foul on Collin Spickerman.
Portland St,USC,17,12,6,29,0,Nikola Jovanovic missed Free Throw.
Portland St,USC,17,12,6,29,0,USC Deadball Team Rebound.
Portland St,USC,17,12,6,29,0,Nikola Jovanovic missed Free Throw.
Portland St,USC,17,12,6,29,0,Braxton Tucker Defensive Rebound.
Portland St,USC,17,12,6,56,0,Gary Winston missed Jumper.
Portland St,USC,17,12,6,56,0,Nikola Jovanovic Defensive Rebound.
Portland St,USC,17,12,7,3,0,Darion Clark missed Dunk.
Portland St,USC,17,12,7,3,0,Collin Spickerman Defensive Rebound.
Portland St,USC,17,12,7,16,0,Foul on Elijah Stewart.
Portland St,USC,19,12,7,20,1,DaShaun Wiggins made Layup.
Portland St,USC,19,14,7,38,1,Elijah Stewart made Layup. Assisted by Jordan McLaughlin.
Portland St,USC,19,14,7,52,0,Gary Winston missed Layup.
Portland St,USC,19,14,7,52,0,Jordan McLaughlin Block.
Portland St,USC,19,14,7,52,0,USC Defensive Rebound.
Portland St,USC,19,14,8,10,0,Julian Jacobs missed Jumper.
Portland St,USC,19,14,8,10,0,Tim Douglas Defensive Rebound.
Portland St,USC,19,14,8,37,0,Foul on Malik Marquetti.
Portland St,USC,19,14,8,37,0,Official TV Timeout
Portland St,USC,19,14,8,51,0,DaShaun Wiggins missed Layup.
Portland St,USC,19,14,8,51,0,Strahinja Gavrilovic Defensive Rebound.
Portland St,USC,19,14,8,57,0,Elijah Stewart missed Three Point Jumper.
Portland St,USC,19,14,8,57,0,DaShaun Wiggins Defensive Rebound.
Portland St,USC,19,14,9,2,0,DaShaun Wiggins missed Layup.
Portland St,USC,19,14,9,2,0,DaShaun Wiggins Offensive Rebound.
Portland St,USC,19,14,9,5,0,DaShaun Wiggins missed Layup.
Portland St,USC,19,14,9,5,0,Julian Jacobs Block.
Portland St,USC,19,14,9,7,0,Darion Clark Defensive Rebound.
Portland St,USC,19,14,9,12,0,Julian Jacobs Turnover.
Portland St,USC,19,14,9,12,0,Collin Spickerman Steal.
Portland St,USC,19,14,9,30,0,DaShaun Wiggins missed Jumper.
Portland St,USC,19,14,9,30,0,Malik Marquetti Block.
Portland St,USC,19,14,9,32,0,Malik Marquetti Defensive Rebound.
Portland St,USC,19,14,9,48,0,Foul on DaShaun Wiggins.
Portland St,USC,19,14,10,12,0,Darion Clark missed Jumper.
Portland St,USC,19,14,10,12,0,Julian Jacobs Offensive Rebound.
Portland St,USC,19,16,10,16,1,Malik Martin made Layup. Assisted by Julian Jacobs.
Portland St,USC,19,16,10,46,0,Foul on Malik Marquetti.
Portland St,USC,19,16,11,7,0,Foul on Darion Clark.
Portland St,USC,22,16,11,10,1,Tiegbe Bamba made Three Point Jumper. Assisted by Gary Winston.
Portland St,USC,22,16,11,30,0,Foul on DaShaun Wiggins.
Portland St,USC,22,18,11,34,1,Nikola Jovanovic made Layup. Assisted by Jordan McLaughlin.
Portland St,USC,22,18,11,52,0,Gary Winston missed Jumper.
Portland St,USC,22,18,11,52,0,Julian Jacobs Defensive Rebound.
Portland St,USC,22,18,11,57,0,Foul on Gary Winston.
Portland St,USC,22,19,11,57,1,Jordan McLaughlin made Free Throw.
Portland St,USC,22,20,11,57,1,Jordan McLaughlin made Free Throw.
Portland St,USC,22,20,12,28,0,Braxton Tucker missed Jumper.
Portland St,USC,22,20,12,28,0,Nikola Jovanovic Defensive Rebound.
Portland St,USC,22,23,12,39,1,Jordan McLaughlin made Three Point Jumper. Assisted by Katin Reinhardt.
Portland St,USC,25,23,13,0,1,Tim Douglas made Three Point Jumper.
Portland St,USC,25,23,13,3,0,USC  Timeout
Portland St,USC,25,23,13,15,0,Jordan McLaughlin Turnover.
Portland St,USC,25,23,13,37,0,Braxton Tucker missed Layup.
Portland St,USC,25,23,13,37,0,Tiegbe Bamba Offensive Rebound.
Portland St,USC,27,23,13,40,1,Tiegbe Bamba made Layup.
Portland St,USC,27,23,13,49,0,Nikola Jovanovic Turnover.
Portland St,USC,27,23,13,49,0,Official TV Timeout
Portland St,USC,30,23,14,7,1,Tim Douglas made Three Point Jumper.
Portland St,USC,30,23,14,26,0,Elijah Stewart missed Jumper.
Portland St,USC,30,23,14,26,0,Tiegbe Bamba Defensive Rebound.
Portland St,USC,30,23,14,42,0,Foul on Julian Jacobs.
Portland St,USC,31,23,14,42,1,Gary Winston made Free Throw.
Portland St,USC,31,23,14,42,0,Gary Winston missed Free Throw.
Portland St,USC,31,23,14,42,0,Jordan McLaughlin Defensive Rebound.
Portland St,USC,31,23,14,59,0,Jordan McLaughlin Turnover.
Portland St,USC,31,23,14,59,0,Tiegbe Bamba Steal.
Portland St,USC,31,23,15,2,0,Foul on Elijah Stewart.
Portland St,USC,31,23,15,2,0,Bryce White missed Free Throw.
Portland St,USC,31,23,15,2,0,Portland St Deadball Team Rebound.
Portland St,USC,31,23,15,2,0,Bryce White missed Free Throw.
Portland St,USC,31,23,15,2,0,Malik Martin Defensive Rebound.
Portland St,USC,31,23,15,24,0,Nikola Jovanovic missed Jumper.
Portland St,USC,31,23,15,24,0,Portland St Defensive Rebound.
Portland St,USC,31,23,15,37,0,Tim Douglas missed Three Point Jumper.
Portland St,USC,31,23,15,37,0,Portland St Deadball Team Rebound.
Portland St,USC,31,23,15,38,0,Foul on Malik Martin.
Portland St,USC,32,23,15,38,1,Braxton Tucker made Free Throw.
Portland St,USC,33,23,15,38,1,Braxton Tucker made Free Throw.
Portland St,USC,33,23,15,48,0,Nikola Jovanovic Turnover.
Portland St,USC,33,23,15,49,0,Tiegbe Bamba Steal.
Portland St,USC,35,23,15,51,1,Tiegbe Bamba made Dunk.
Portland St,USC,35,23,15,54,0,USC  Timeout
Portland St,USC,35,25,16,10,1,Jordan McLaughlin made Jumper.
Portland St,USC,35,25,16,46,0,Tiegbe Bamba Turnover.
Portland St,USC,35,25,16,46,0,Official TV Timeout
Portland St,USC,35,25,17,3,0,Katin Reinhardt missed Jumper.
Portland St,USC,35,25,17,3,0,Darion Clark Offensive Rebound.
Portland St,USC,35,25,17,3,0,Foul on Collin Spickerman.
Portland St,USC,35,26,17,3,1,Darion Clark made Free Throw.
Portland St,USC,35,26,17,3,0,Darion Clark missed Free Throw.
Portland St,USC,35,26,17,3,0,Strahinja Gavrilovic Offensive Rebound.
Portland St,USC,35,26,17,7,0,Malik Marquetti missed Three Point Jumper.
Portland St,USC,35,26,17,7,0,Collin Spickerman Defensive Rebound.
Portland St,USC,35,26,17,28,0,Tim Douglas Turnover.
Portland St,USC,35,26,17,49,0,Jordan McLaughlin missed Three Point Jumper.
Portland St,USC,35,26,17,49,0,Strahinja Gavrilovic Offensive Rebound.
Portland St,USC,35,28,17,53,1,Strahinja Gavrilovic made Two Point Tip Shot.
Portland St,USC,35,28,18,4,0,Foul on Nikola Jovanovic.
Portland St,USC,36,28,18,4,1,Braxton Tucker made Free Throw.
Portland St,USC,37,28,18,4,1,Braxton Tucker made Free Throw.
Portland St,USC,37,28,18,18,0,Foul on DaShaun Wiggins.
Portland St,USC,37,28,18,18,0,Jordan McLaughlin Turnover.
Portland St,USC,37,28,18,30,0,Gary Winston missed Three Point Jumper.
Portland St,USC,37,28,18,30,0,Jordan McLaughlin Defensive Rebound.
Portland St,USC,37,28,18,40,0,Foul on Tim Douglas.
Portland St,USC,37,28,18,40,0,Jordan McLaughlin missed Free Throw.
Portland St,USC,37,28,18,40,0,Strahinja Gavrilovic Offensive Rebound.
Portland St,USC,37,30,18,43,1,Jordan McLaughlin made Jumper.
Portland St,USC,39,30,18,59,1,Braxton Tucker made Jumper. Assisted by Gary Winston.
Portland St,USC,39,32,19,14,1,Darion Clark made Layup. Assisted by Jordan McLaughlin.
Portland St,USC,39,32,19,31,0,Portland St  Timeout
Portland St,USC,39,32,19,47,0,Gary Winston missed Jumper.
Portland St,USC,39,32,19,47,0,Darion Clark Defensive Rebound.
Portland St,USC,39,32,19,55,0,Malik Marquetti missed Three Point Jumper.
Portland St,USC,39,32,19,55,0,Tiegbe Bamba Defensive Rebound.
Portland St,USC,39,32,20,0,0,End of 1st half
Portland St,USC,39,32,20,22,0,Tiegbe Bamba Turnover.
Portland St,USC,39,32,20,35,0,Malik Martin Turnover.
Portland St,USC,39,32,20,36,0,Gary Winston Steal.
Portland St,USC,39,32,20,43,0,Gary Winston missed Layup.
Portland St,USC,39,32,20,43,0,Nikola Jovanovic Defensive Rebound.
Portland St,USC,39,32,20,48,0,Foul on Tim Douglas.
Portland St,USC,39,32,20,54,0,Julian Jacobs missed Jumper.
Portland St,USC,39,32,20,54,0,Malik Martin Offensive Rebound.
Portland St,USC,39,34,20,56,1,Malik Martin made Layup.
Portland St,USC,39,34,21,14,0,Bryce White missed Jumper.
Portland St,USC,39,34,21,14,0,USC Defensive Rebound.
Portland St,USC,39,34,21,26,0,Malik Martin Turnover.
Portland St,USC,39,34,21,26,0,Foul on Malik Martin.
Portland St,USC,39,34,21,41,0,Braxton Tucker missed Jumper.
Portland St,USC,39,34,21,41,0,Tiegbe Bamba Offensive Rebound.
Portland St,USC,39,34,21,45,0,Tiegbe Bamba missed Jumper.
Portland St,USC,39,34,21,45,0,Nikola Jovanovic Defensive Rebound.
Portland St,USC,39,34,21,45,0,Nikola Jovanovic Turnover.
Portland St,USC,39,34,22,11,0,Gary Winston missed Jumper.
Portland St,USC,39,34,22,11,0,Jordan McLaughlin Defensive Rebound.
Portland St,USC,39,34,22,17,0,Foul on Bryce White.
Portland St,USC,39,34,22,17,0,Jordan McLaughlin missed Free Throw.
Portland St,USC,39,34,22,17,0,USC Deadball Team Rebound.
Portland St,USC,39,35,22,17,1,Jordan McLaughlin made Free Throw.
Portland St,USC,41,35,22,34,1,Tiegbe Bamba made Layup.
Portland St,USC,41,35,22,42,0,Jordan McLaughlin Turnover.
