Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UT San Antonio,Southern Miss,2,0,0,17,1,Keon Lewis made Jumper.
UT San Antonio,Southern Miss,2,0,0,29,0,Chip Armelin missed Jumper.
UT San Antonio,Southern Miss,2,0,0,29,0,Ryan Bowie Defensive Rebound.
UT San Antonio,Southern Miss,4,0,0,47,1,Lucas O'Brien made Jumper. Assisted by Keon Lewis.
UT San Antonio,Southern Miss,4,2,0,58,1,Chip Armelin made Layup. Assisted by Matt Bingaya.
UT San Antonio,Southern Miss,4,2,1,7,0,Jeromie Hill missed Three Point Jumper.
UT San Antonio,Southern Miss,4,2,1,7,0,Keljin Blevins Defensive Rebound.
UT San Antonio,Southern Miss,4,2,1,20,0,Kevin Holland missed Three Point Jumper.
UT San Antonio,Southern Miss,4,2,1,20,0,Gino Littles Defensive Rebound.
UT San Antonio,Southern Miss,6,2,1,33,1,Lucas O'Brien made Jumper. Assisted by Keon Lewis.
UT San Antonio,Southern Miss,6,2,1,55,0,Kevin Holland missed Three Point Jumper.
UT San Antonio,Southern Miss,6,2,1,55,0,Lucas O'Brien Defensive Rebound.
UT San Antonio,Southern Miss,6,2,1,58,0,Foul on Norville Carey.
UT San Antonio,Southern Miss,6,2,2,11,0,Lucas O'Brien Turnover.
UT San Antonio,Southern Miss,6,2,2,13,0,Keljin Blevins Steal.
UT San Antonio,Southern Miss,6,4,2,18,1,Keljin Blevins made Dunk.
UT San Antonio,Southern Miss,8,4,2,29,1,Lucas O'Brien made Jumper. Assisted by Ryan Bowie.
UT San Antonio,Southern Miss,8,4,3,2,0,Matt Bingaya missed Three Point Jumper.
UT San Antonio,Southern Miss,8,4,3,2,0,Ryan Bowie Defensive Rebound.
UT San Antonio,Southern Miss,10,4,3,19,1,Keon Lewis made Jumper.
UT San Antonio,Southern Miss,10,4,3,36,0,Norville Carey missed Jumper.
UT San Antonio,Southern Miss,10,4,3,36,0,Gino Littles Defensive Rebound.
UT San Antonio,Southern Miss,10,4,3,36,0,Gino Littles Defensive Rebound.
