Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Bristol University,Utah Valley,0,2,0,10,1,Boston Gubler made Layup. Assisted by Cory Cardwell.
Bristol University,Utah Valley,0,2,0,43,0,Brandon Chavers missed Jumper.
Bristol University,Utah Valley,0,2,0,43,0,Cory Cardwell Defensive Rebound.
Bristol University,Utah Valley,0,2,1,9,0,Foul on Brandon Chavers.
Bristol University,Utah Valley,0,2,1,28,0,Eli Robison Turnover.
Bristol University,Utah Valley,0,2,1,29,0,Tade Keshishyan Steal.
Bristol University,Utah Valley,2,2,1,32,1,Tade Keshishyan made Layup.
Bristol University,Utah Valley,2,2,1,50,0,Boston Gubler Turnover.
Bristol University,Utah Valley,2,2,1,50,0,Foul on Boston Gubler.
Bristol University,Utah Valley,2,2,2,2,0,Alex Mendiola Turnover.
Bristol University,Utah Valley,2,2,2,20,0,Eli Robison missed Three Point Jumper.
Bristol University,Utah Valley,2,2,2,20,0,Brandon Chavers Defensive Rebound.
Bristol University,Utah Valley,2,2,2,28,0,Brandon Chavers missed Three Point Jumper.
Bristol University,Utah Valley,2,2,2,28,0,Cory Cardwell Defensive Rebound.
Bristol University,Utah Valley,2,2,2,38,0,Eli Robison Turnover.
Bristol University,Utah Valley,4,2,2,48,1,Michael Johnson made Layup. Assisted by Brandon Chavers.
Bristol University,Utah Valley,4,2,2,49,0,Foul on Boston Gubler.
Bristol University,Utah Valley,5,2,2,49,1,Michael Johnson made Free Throw.
Bristol University,Utah Valley,5,2,3,5,0,Alex Carr missed Jumper.
Bristol University,Utah Valley,5,2,3,5,0,Michael Johnson Block.
Bristol University,Utah Valley,5,2,3,7,0,Brandon Chavers Defensive Rebound.
Bristol University,Utah Valley,8,2,3,10,1,Tade Keshishyan made Three Point Jumper.
Bristol University,Utah Valley,8,4,3,29,1,Jaden Jackson made Jumper.
Bristol University,Utah Valley,8,4,3,55,0,Brandon Chavers missed Jumper.
Bristol University,Utah Valley,8,4,3,55,0,Eli Robison Defensive Rebound.
Bristol University,Utah Valley,8,6,4,9,1,Darrious Hamilton made Layup. Assisted by Dayon Goodman.
Bristol University,Utah Valley,8,6,4,24,0,Adrian Brown missed Three Point Jumper.
Bristol University,Utah Valley,8,6,4,24,0,Darrious Hamilton Defensive Rebound.
Bristol University,Utah Valley,8,6,4,54,0,Darrious Hamilton Turnover.
Bristol University,Utah Valley,8,6,4,55,0,Official TV Timeout
Bristol University,Utah Valley,8,6,5,9,0,Michael Johnson missed Jumper.
Bristol University,Utah Valley,8,6,5,9,0,Chad Ross Defensive Rebound.
Bristol University,Utah Valley,8,6,5,20,0,Jaden Jackson missed Jumper.
Bristol University,Utah Valley,8,6,5,20,0,Darrious Hamilton Offensive Rebound.
Bristol University,Utah Valley,8,8,5,23,1,Darrious Hamilton made Layup.
Bristol University,Utah Valley,8,8,5,35,0,Tade Keshishyan missed Jumper.
Bristol University,Utah Valley,8,8,5,35,0,Jaden Jackson Defensive Rebound.
Bristol University,Utah Valley,8,8,5,41,0,Eli Robison missed Layup.
Bristol University,Utah Valley,8,8,5,41,0,Tade Keshishyan Defensive Rebound.
Bristol University,Utah Valley,10,8,5,58,1,Alex Mendiola made Layup. Assisted by Adrian Brown.
Bristol University,Utah Valley,10,8,6,15,0,Alex Carr missed Three Point Jumper.
Bristol University,Utah Valley,10,8,6,15,0,Alex Mendiola Defensive Rebound.
Bristol University,Utah Valley,10,8,6,23,0,Alex Mendiola missed Jumper.
Bristol University,Utah Valley,10,8,6,23,0,Jaden Jackson Defensive Rebound.
Bristol University,Utah Valley,10,10,6,35,1,Chad Ross made Jumper.
Bristol University,Utah Valley,10,10,6,53,0,Foul on Alex Carr.
Bristol University,Utah Valley,10,10,7,2,0,Alex Mendiola missed Jumper.
Bristol University,Utah Valley,10,10,7,2,0,Darrious Hamilton Defensive Rebound.
Bristol University,Utah Valley,10,10,7,12,0,Foul on Joseph Sankey.
Bristol University,Utah Valley,10,10,7,12,0,Alex Carr missed Free Throw.
Bristol University,Utah Valley,10,10,7,12,0,Utah Valley Deadball Team Rebound.
Bristol University,Utah Valley,10,10,7,12,0,Alex Carr missed Free Throw.
Bristol University,Utah Valley,10,10,7,12,0,Brandon Chavers Defensive Rebound.
Bristol University,Utah Valley,10,10,7,32,0,Brandon Chavers missed Jumper.
Bristol University,Utah Valley,10,10,7,32,0,Eli Robison Defensive Rebound.
Bristol University,Utah Valley,10,10,7,41,0,Jaden Jackson Turnover.
Bristol University,Utah Valley,12,10,7,58,1,Joseph Sankey made Layup. Assisted by Brandon Chavers.
