Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Vanderbilt,Stanford,0,0,0,0,0,Jump Ball won by Vanderbilt
Vanderbilt,Stanford,0,0,0,8,0,Matthew Fisher-Davis missed Jumper.
Vanderbilt,Stanford,0,0,0,8,0,Anthony Brown Defensive Rebound.
Vanderbilt,Stanford,0,0,0,35,0,Chasson Randle missed Jumper.
Vanderbilt,Stanford,0,0,0,35,0,Damian Jones Defensive Rebound.
Vanderbilt,Stanford,0,0,0,58,0,Damian Jones missed Jumper.
Vanderbilt,Stanford,0,0,0,58,0,James Siakam Offensive Rebound.
Vanderbilt,Stanford,0,0,1,18,0,James Siakam missed Layup.
Vanderbilt,Stanford,0,0,1,18,0,Rosco Allen Defensive Rebound.
Vanderbilt,Stanford,0,0,1,28,0,Rosco Allen missed Three Point Jumper.
Vanderbilt,Stanford,0,0,1,28,0,Riley LaChance Defensive Rebound.
Vanderbilt,Stanford,2,0,1,38,1,Damian Jones made Layup. Assisted by James Siakam.
Vanderbilt,Stanford,2,2,2,4,1,Chasson Randle made Layup.
Vanderbilt,Stanford,4,2,2,19,1,Riley LaChance made Jumper.
Vanderbilt,Stanford,4,2,2,33,0,Anthony Brown missed Three Point Jumper.
Vanderbilt,Stanford,4,2,2,33,0,Stefan Nastic Offensive Rebound.
Vanderbilt,Stanford,4,2,2,45,0,Anthony Brown missed Layup.
Vanderbilt,Stanford,4,2,2,45,0,Riley LaChance Defensive Rebound.
Vanderbilt,Stanford,4,2,2,56,0,Matthew Fisher-Davis Turnover.
Vanderbilt,Stanford,4,2,2,56,0,Anthony Brown Steal.
Vanderbilt,Stanford,4,4,3,0,1,Anthony Brown made Dunk.
Vanderbilt,Stanford,4,4,3,19,0,Riley LaChance missed Layup.
Vanderbilt,Stanford,4,4,3,19,0,Rosco Allen Defensive Rebound.
Vanderbilt,Stanford,4,4,3,23,0,Foul on James Siakam.
Vanderbilt,Stanford,4,4,3,42,0,Stefan Nastic missed Jumper.
Vanderbilt,Stanford,4,4,3,42,0,James Siakam Defensive Rebound.
Vanderbilt,Stanford,4,4,3,49,0,Wade Baldwin IV missed Three Point Jumper.
Vanderbilt,Stanford,4,4,3,49,0,James Siakam Offensive Rebound.
Vanderbilt,Stanford,4,4,4,3,0,Official TV Timeout
Vanderbilt,Stanford,4,4,4,15,0,Matthew Fisher-Davis missed Three Point Jumper.
Vanderbilt,Stanford,4,4,4,18,0,Vanderbilt Offensive Rebound.
Vanderbilt,Stanford,4,4,4,44,0,Wade Baldwin IV missed Layup.
Vanderbilt,Stanford,4,4,4,44,0,James Siakam Offensive Rebound.
Vanderbilt,Stanford,4,4,4,52,0,Wade Baldwin IV missed Jumper.
Vanderbilt,Stanford,4,4,4,52,0,Wade Baldwin IV Offensive Rebound.
Vanderbilt,Stanford,6,4,5,0,1,Riley LaChance made Jumper.
Vanderbilt,Stanford,6,4,5,11,0,Reid Travis Turnover.
Vanderbilt,Stanford,6,4,5,11,0,James Siakam Steal.
Vanderbilt,Stanford,6,4,5,20,0,Riley LaChance missed Jumper.
Vanderbilt,Stanford,6,4,5,20,0,Anthony Brown Defensive Rebound.
Vanderbilt,Stanford,6,4,5,37,0,Foul on Damian Jones.
Vanderbilt,Stanford,6,4,5,37,0,Stefan Nastic missed Free Throw.
Vanderbilt,Stanford,6,4,5,37,0,Stanford Deadball Team Rebound.
Vanderbilt,Stanford,6,4,5,37,0,Stefan Nastic missed Free Throw.
Vanderbilt,Stanford,6,4,5,37,0,Reid Travis Offensive Rebound.
Vanderbilt,Stanford,6,4,5,46,0,Chasson Randle missed Jumper.
Vanderbilt,Stanford,6,4,5,46,0,Rosco Allen Offensive Rebound.
Vanderbilt,Stanford,6,7,5,53,1,Anthony Brown made Three Point Jumper. Assisted by Chasson Randle.
Vanderbilt,Stanford,8,7,6,13,1,Luke Kornet made Layup. Assisted by Riley LaChance.
Vanderbilt,Stanford,8,10,6,32,1,Chasson Randle made Three Point Jumper. Assisted by Anthony Brown.
Vanderbilt,Stanford,10,10,7,2,1,Luke Kornet made Jumper.
Vanderbilt,Stanford,10,10,7,18,0,Foul on Matthew Fisher-Davis.
Vanderbilt,Stanford,10,10,7,41,0,Robert Cartwright missed Three Point Jumper.
Vanderbilt,Stanford,10,10,7,41,0,Jeff Roberson Defensive Rebound.
Vanderbilt,Stanford,13,10,7,50,1,Luke Kornet made Three Point Jumper. Assisted by Shelton Mitchell.
Vanderbilt,Stanford,13,10,8,14,0,Chasson Randle missed Three Point Jumper.
Vanderbilt,Stanford,13,10,8,14,0,James Siakam Defensive Rebound.
Vanderbilt,Stanford,13,10,8,27,0,Luke Kornet missed Layup.
Vanderbilt,Stanford,13,10,8,27,0,Luke Kornet Offensive Rebound.
Vanderbilt,Stanford,13,10,8,27,0,Luke Kornet missed Two Point Tip Shot.
Vanderbilt,Stanford,13,10,8,27,0,Robert Cartwright Defensive Rebound.
Vanderbilt,Stanford,13,12,8,44,1,Reid Travis made Layup.
Vanderbilt,Stanford,13,12,9,10,0,Foul on Robert Cartwright.
Vanderbilt,Stanford,13,12,9,10,0,Official TV Timeout
Vanderbilt,Stanford,13,12,9,14,0,Damian Jones Turnover.
Vanderbilt,Stanford,13,12,9,14,0,Chasson Randle Steal.
Vanderbilt,Stanford,13,14,9,37,1,Stefan Nastic made Jumper. Assisted by Anthony Brown.
Vanderbilt,Stanford,13,14,10,0,0,Luke Kornet missed Three Point Jumper.
Vanderbilt,Stanford,13,14,10,0,0,Stefan Nastic Defensive Rebound.
Vanderbilt,Stanford,13,16,10,10,1,Chasson Randle made Jumper.
Vanderbilt,Stanford,13,16,10,23,0,Shelton Mitchell missed Layup.
Vanderbilt,Stanford,13,16,10,23,0,Rosco Allen Defensive Rebound.
Vanderbilt,Stanford,13,16,10,33,0,Anthony Brown missed Three Point Jumper.
Vanderbilt,Stanford,13,16,10,33,0,Luke Kornet Defensive Rebound.
Vanderbilt,Stanford,13,16,10,40,0,Riley LaChance missed Three Point Jumper.
Vanderbilt,Stanford,13,16,10,40,0,Stefan Nastic Defensive Rebound.
Vanderbilt,Stanford,13,18,11,4,1,Stefan Nastic made Jumper. Assisted by Chasson Randle.
Vanderbilt,Stanford,13,18,11,29,0,Shelton Mitchell missed Three Point Jumper.
Vanderbilt,Stanford,13,18,11,29,0,Anthony Brown Defensive Rebound.
Vanderbilt,Stanford,13,18,11,39,0,Rosco Allen missed Layup.
Vanderbilt,Stanford,13,18,11,39,0,Damian Jones Defensive Rebound.
