Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Binghamton,Vermont,0,0,0,19,0,Hector Harold Turnover.
Binghamton,Vermont,0,0,0,20,0,Bobby Ahearn Steal.
Binghamton,Vermont,0,0,0,45,0,Bobby Ahearn missed Jumper.
Binghamton,Vermont,0,0,0,45,0,Dre Wills Defensive Rebound.
Binghamton,Vermont,0,3,1,7,1,Hector Harold made Three Point Jumper. Assisted by Trae Bell-Haynes.
Binghamton,Vermont,2,3,1,43,1,Romello Walker made Jumper.
Binghamton,Vermont,2,5,2,7,1,Dre Wills made Layup.
Binghamton,Vermont,2,5,2,21,0,Willie Rodriguez missed Jumper.
Binghamton,Vermont,2,5,2,21,0,Romello Walker Offensive Rebound.
Binghamton,Vermont,2,5,2,26,0,Foul on Hector Harold.
Binghamton,Vermont,2,5,2,26,0,Romello Walker missed Free Throw.
Binghamton,Vermont,2,5,2,26,0,Binghamton Deadball Team Rebound.
Binghamton,Vermont,3,5,2,26,1,Romello Walker made Free Throw.
Binghamton,Vermont,3,5,2,44,0,Trae Bell-Haynes missed Layup.
Binghamton,Vermont,3,5,2,44,0,Hector Harold Offensive Rebound.
Binghamton,Vermont,3,7,2,46,1,Hector Harold made Layup.
Binghamton,Vermont,3,7,3,10,0,Romello Walker missed Three Point Jumper.
Binghamton,Vermont,3,7,3,10,0,Trae Bell-Haynes Defensive Rebound.
Binghamton,Vermont,3,9,3,19,1,Ethan O'Day made Layup. Assisted by Dre Wills.
Binghamton,Vermont,3,9,3,42,0,Foul on Kurt Steidl.
Binghamton,Vermont,4,9,3,42,1,Bobby Ahearn made Free Throw.
Binghamton,Vermont,4,9,3,42,0,Bobby Ahearn missed Free Throw.
Binghamton,Vermont,4,9,3,42,0,Dre Wills Defensive Rebound.
Binghamton,Vermont,4,9,4,4,0,Official TV Timeout
Binghamton,Vermont,4,9,4,15,0,Ethan O'Day missed Layup.
Binghamton,Vermont,4,9,4,15,0,Willie Rodriguez Defensive Rebound.
Binghamton,Vermont,4,9,4,18,0,Willie Rodriguez Turnover.
