Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Florida Atlantic,Western Kentucky,0,0,0,11,0,Nigel Snipes missed Jumper.
Florida Atlantic,Western Kentucky,0,0,0,11,0,George Fant Offensive Rebound.
Florida Atlantic,Western Kentucky,0,2,0,13,1,George Fant made Two Point Tip Shot.
Florida Atlantic,Western Kentucky,2,2,0,33,1,Solomon Poole made Jumper. Assisted by Kelvin Penn.
Florida Atlantic,Western Kentucky,2,4,1,2,1,Trency Jackson made Layup.
Florida Atlantic,Western Kentucky,2,4,1,42,0,Marquan Botley missed Jumper.
Florida Atlantic,Western Kentucky,2,4,1,42,0,Kelvin Penn Offensive Rebound.
Florida Atlantic,Western Kentucky,4,4,1,45,1,Kelvin Penn made Layup.
Florida Atlantic,Western Kentucky,4,7,2,4,1,Chris Harrison-Docks made Three Point Jumper. Assisted by Nigel Snipes.
Florida Atlantic,Western Kentucky,4,7,2,34,0,Solomon Poole Turnover.
Florida Atlantic,Western Kentucky,4,7,2,47,0,Nigel Snipes missed Three Point Jumper.
Florida Atlantic,Western Kentucky,4,7,2,47,0,Justin Raffington Defensive Rebound.
Florida Atlantic,Western Kentucky,6,7,3,15,1,Kelvin Penn made Layup.
Florida Atlantic,Western Kentucky,6,9,3,26,1,George Fant made Layup. Assisted by Trency Jackson.
Florida Atlantic,Western Kentucky,6,9,3,54,0,Justin Raffington Turnover.
Florida Atlantic,Western Kentucky,6,9,4,7,0,T.J. Price missed Layup.
Florida Atlantic,Western Kentucky,6,9,4,7,0,Jackson Trapp Defensive Rebound.
Florida Atlantic,Western Kentucky,9,9,4,20,1,Marquan Botley made Three Point Jumper. Assisted by Kelvin Penn.
Florida Atlantic,Western Kentucky,9,11,4,41,1,Trency Jackson made Layup.
Florida Atlantic,Western Kentucky,9,11,5,7,0,Official TV Timeout
Florida Atlantic,Western Kentucky,9,11,5,19,0,Foul on Trency Jackson.
Florida Atlantic,Western Kentucky,10,11,5,19,1,Jackson Trapp made Free Throw.
Florida Atlantic,Western Kentucky,11,11,5,19,1,Jackson Trapp made Free Throw.
Florida Atlantic,Western Kentucky,12,11,5,19,1,Jackson Trapp made Free Throw.
Florida Atlantic,Western Kentucky,12,11,5,42,0,T.J. Price missed Three Point Jumper.
Florida Atlantic,Western Kentucky,12,11,5,42,0,Solomon Poole Defensive Rebound.
Florida Atlantic,Western Kentucky,12,11,5,49,0,Foul on Solomon Poole.
Florida Atlantic,Western Kentucky,12,11,5,49,0,Solomon Poole Turnover.
Florida Atlantic,Western Kentucky,12,11,6,0,0,George Fant missed Layup.
Florida Atlantic,Western Kentucky,12,11,6,0,0,Justin Raffington Block.
