Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Western State Colorado University,Air Force,0,3,0,20,1,Trevor Lyons made Three Point Jumper. Assisted by Zach Kocur.
Western State Colorado University,Air Force,2,3,0,35,1,James Thomas made Jumper. Assisted by Robert Romero.
Western State Colorado University,Air Force,2,3,1,3,0,Kyle Broekhuis missed Three Point Jumper.
Western State Colorado University,Air Force,2,3,1,3,0,Danny Hopkins Defensive Rebound.
Western State Colorado University,Air Force,2,3,1,11,0,Foul on James Thomas.
Western State Colorado University,Air Force,2,3,1,11,0,James Thomas Turnover.
Western State Colorado University,Air Force,2,3,1,27,0,Zach Kocur missed Jumper.
Western State Colorado University,Air Force,2,3,1,27,0,Robert Romero Defensive Rebound.
Western State Colorado University,Air Force,2,3,1,40,0,Ben Beauchamp Turnover.
Western State Colorado University,Air Force,2,3,1,41,0,Zach Kocur Steal.
Western State Colorado University,Air Force,2,5,1,44,1,Hayden Graham made Dunk. Assisted by Zach Kocur.
Western State Colorado University,Air Force,2,5,2,16,0,Danny Hopkins missed Three Point Jumper.
Western State Colorado University,Air Force,2,5,2,16,0,James Thomas Offensive Rebound.
Western State Colorado University,Air Force,4,5,2,21,1,Robert Romero made Layup.
Western State Colorado University,Air Force,4,7,2,30,1,Zach Moer made Jumper. Assisted by Zach Kocur.
Western State Colorado University,Air Force,4,7,2,58,0,Foul on Trevor Lyons.
Western State Colorado University,Air Force,4,7,2,59,0,Danny Hopkins missed Jumper.
Western State Colorado University,Air Force,4,7,2,59,0,Zach Kocur Defensive Rebound.
Western State Colorado University,Air Force,4,9,3,21,1,Trevor Lyons made Layup. Assisted by Hayden Graham.
Western State Colorado University,Air Force,4,9,3,21,0,Foul on Will Duggan.
Western State Colorado University,Air Force,4,9,3,21,0,Trevor Lyons missed Free Throw.
Western State Colorado University,Air Force,4,9,3,21,0,Danny Hopkins Defensive Rebound.
Western State Colorado University,Air Force,4,9,3,43,0,Ray Beresford missed Three Point Jumper.
Western State Colorado University,Air Force,4,9,3,43,0,Zach Moer Defensive Rebound.
Western State Colorado University,Air Force,4,9,3,43,0,Foul on Tom Folsom.
Western State Colorado University,Air Force,4,9,3,55,0,Zach Kocur missed Three Point Jumper.
Western State Colorado University,Air Force,4,9,3,55,0,Ray Beresford Defensive Rebound.
Western State Colorado University,Air Force,6,9,4,4,1,Tom Folsom made Dunk. Assisted by Danny Hopkins.
Western State Colorado University,Air Force,6,9,4,28,0,Hayden Graham missed Jumper.
Western State Colorado University,Air Force,6,9,4,28,0,Robert Romero Defensive Rebound.
Western State Colorado University,Air Force,8,9,4,55,1,Ray Beresford made Layup. Assisted by James Willis.
Western State Colorado University,Air Force,8,12,5,23,1,Hayden Graham made Three Point Jumper. Assisted by Zach Moer.
Western State Colorado University,Air Force,8,12,5,41,0,James Willis missed Three Point Jumper.
Western State Colorado University,Air Force,8,12,5,41,0,Zach Moer Defensive Rebound.
Western State Colorado University,Air Force,8,12,5,48,0,Foul on James Willis.
Western State Colorado University,Air Force,8,12,5,48,0,Official TV Timeout
Western State Colorado University,Air Force,8,13,5,48,1,Trevor Lyons made Free Throw.
Western State Colorado University,Air Force,8,14,5,48,1,Trevor Lyons made Free Throw.
Western State Colorado University,Air Force,8,14,6,19,0,Tom Folsom missed Jumper.
Western State Colorado University,Air Force,8,14,6,19,0,Hayden Graham Defensive Rebound.
Western State Colorado University,Air Force,8,14,6,25,0,Zach Kocur missed Three Point Jumper.
Western State Colorado University,Air Force,8,14,6,25,0,James Willis Defensive Rebound.
Western State Colorado University,Air Force,8,14,6,56,0,Zach Moer Defensive Rebound.
Western State Colorado University,Air Force,8,14,6,56,0,James Willis missed Jumper.
Western State Colorado University,Air Force,8,16,7,9,1,Trevor Lyons made Layup.
Western State Colorado University,Air Force,8,16,7,36,0,James Willis missed Jumper.
Western State Colorado University,Air Force,8,16,7,36,0,Zach Kocur Defensive Rebound.
Western State Colorado University,Air Force,8,16,7,43,0,Foul on Ray Beresford.
Western State Colorado University,Air Force,8,18,7,54,1,Zach Moer made Dunk.
Western State Colorado University,Air Force,8,18,8,10,0,Danny Hopkins Turnover.
Western State Colorado University,Air Force,8,18,8,13,0,Official TV Timeout
Western State Colorado University,Air Force,8,21,8,43,1,Hayden Graham made Three Point Jumper. Assisted by Zach Moer.
Western State Colorado University,Air Force,8,21,8,54,0,Brady Subart Turnover.
Western State Colorado University,Air Force,8,21,8,56,0,Jacob Van Steal.
Western State Colorado University,Air Force,8,23,8,59,1,Jacob Van made Layup.
Western State Colorado University,Air Force,8,23,9,21,0,Danny Hopkins missed Three Point Jumper.
Western State Colorado University,Air Force,8,23,9,21,0,Trevor Lyons Defensive Rebound.
Western State Colorado University,Air Force,8,23,9,27,0,Foul on Brady Subart.
Western State Colorado University,Air Force,8,24,9,27,1,Trevor Lyons made Free Throw.
Western State Colorado University,Air Force,8,25,9,27,1,Trevor Lyons made Free Throw.
Western State Colorado University,Air Force,8,25,9,31,0,Will Duggan Turnover.
Western State Colorado University,Air Force,8,25,9,33,0,Jacob Van Steal.
Western State Colorado University,Air Force,8,27,9,44,1,Jacob Van made Jumper.
Western State Colorado University,Air Force,10,27,10,7,1,James Thomas made Jumper. Assisted by Robert Romero.
Western State Colorado University,Air Force,10,27,10,21,0,Kyle Broekhuis missed Three Point Jumper.
Western State Colorado University,Air Force,10,27,10,21,0,Pablo Barreiro Defensive Rebound.
Western State Colorado University,Air Force,10,27,10,38,0,Pablo Barreiro missed Three Point Jumper.
Western State Colorado University,Air Force,10,27,10,38,0,Western State College Colorado Offensive Rebound.
Western State Colorado University,Air Force,12,27,10,43,1,Robert Romero made Layup. Assisted by Ben Beauchamp.
Western State Colorado University,Air Force,12,27,10,58,0,Jacob Van Turnover.
Western State Colorado University,Air Force,14,27,11,9,1,Robert Romero made Layup.
Western State Colorado University,Air Force,14,27,11,9,0,Foul on Kyle Broekhuis.
Western State Colorado University,Air Force,14,27,11,9,0,Robert Romero missed Free Throw.
Western State Colorado University,Air Force,14,27,11,9,0,Kyle Broekhuis Defensive Rebound.
Western State Colorado University,Air Force,14,29,11,21,1,CJ Siples made Layup. Assisted by Dezmond James.
Western State Colorado University,Air Force,16,29,11,43,1,Robert Romero made Jumper. Assisted by Ben Beauchamp.
Western State Colorado University,Air Force,16,29,12,5,0,Joe Tuss missed Three Point Jumper.
Western State Colorado University,Air Force,16,29,12,14,0,Tom Folsom Defensive Rebound.
Western State Colorado University,Air Force,16,29,12,21,0,Tom Folsom missed Jumper.
Western State Colorado University,Air Force,16,29,12,21,0,Danny Hopkins Offensive Rebound.
Western State Colorado University,Air Force,16,29,12,28,0,Robert Romero missed Three Point Jumper.
Western State Colorado University,Air Force,16,29,12,28,0,Danny Hopkins Offensive Rebound.
