Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Alabama A&M;,Saint Louis,0,0,0,20,0,Milik Yarbrough missed Jumper.
Alabama A&M;,Saint Louis,0,0,0,20,0,Arthur Wade Defensive Rebound.
Alabama A&M;,Saint Louis,0,0,0,43,0,Nicholas West missed Jumper.
Alabama A&M;,Saint Louis,0,0,0,43,0,Alabama A&M; Offensive Rebound.
Alabama A&M;,Saint Louis,0,0,1,12,0,Arthur Wade missed Layup.
Alabama A&M;,Saint Louis,0,0,1,12,0,Nicholas West Offensive Rebound.
Alabama A&M;,Saint Louis,0,0,1,15,0,Nicholas West missed Two Point Tip Shot.
Alabama A&M;,Saint Louis,0,0,1,15,0,Nicholas West Offensive Rebound.
Alabama A&M;,Saint Louis,2,0,1,22,1,Nicholas West made Two Point Tip Shot.
Alabama A&M;,Saint Louis,2,3,1,34,1,Mike Crawford made Three Point Jumper. Assisted by Milik Yarbrough.
Alabama A&M;,Saint Louis,2,3,1,51,0,Rakiya Battle missed Jumper.
Alabama A&M;,Saint Louis,2,3,1,51,0,Milik Yarbrough Defensive Rebound.
Alabama A&M;,Saint Louis,2,5,2,2,1,Milik Yarbrough made Layup. Assisted by Davell Roby.
Alabama A&M;,Saint Louis,4,5,2,11,1,Christopher Thomas made Jumper. Assisted by Arthur Wade.
Alabama A&M;,Saint Louis,4,7,2,22,1,Austin Gillmann made Layup. Assisted by Miles Reynolds.
Alabama A&M;,Saint Louis,4,7,2,32,0,Foul on Austin Gillmann.
Alabama A&M;,Saint Louis,7,7,2,50,1,Nicholas West made Three Point Jumper. Assisted by Rakiya Battle.
Alabama A&M;,Saint Louis,7,7,3,2,0,Davell Roby missed Three Point Jumper.
Alabama A&M;,Saint Louis,7,7,3,2,0,Christopher Thomas Defensive Rebound.
Alabama A&M;,Saint Louis,10,7,3,26,1,Nicholas West made Three Point Jumper. Assisted by Christopher Thomas.
Alabama A&M;,Saint Louis,10,7,3,44,0,Davell Roby Turnover.
Alabama A&M;,Saint Louis,10,7,3,45,0,Arthur Wade Steal.
Alabama A&M;,Saint Louis,10,7,3,47,0,Arthur Wade Turnover.
Alabama A&M;,Saint Louis,10,9,3,53,1,Milik Yarbrough made Layup.
Alabama A&M;,Saint Louis,10,9,4,12,0,Christopher Thomas missed Jumper.
Alabama A&M;,Saint Louis,10,9,4,12,0,Ash Yacoubou Defensive Rebound.
Alabama A&M;,Saint Louis,10,9,4,19,0,Milik Yarbrough missed Layup.
Alabama A&M;,Saint Louis,10,9,4,19,0,Nicholas West Block.
Alabama A&M;,Saint Louis,10,9,4,22,0,Miles Reynolds Offensive Rebound.
Alabama A&M;,Saint Louis,10,9,4,23,0,Miles Reynolds missed Layup.
Alabama A&M;,Saint Louis,10,9,4,23,0,Nicholas West Defensive Rebound.
Alabama A&M;,Saint Louis,10,9,4,30,0,Official TV Timeout
Alabama A&M;,Saint Louis,10,9,4,32,0,Nicholas West missed Jumper.
Alabama A&M;,Saint Louis,10,9,4,32,0,Matt Neufeld Defensive Rebound.
Alabama A&M;,Saint Louis,10,11,4,39,1,Milik Yarbrough made Layup. Assisted by Miles Reynolds.
Alabama A&M;,Saint Louis,12,11,4,54,1,Christopher Thomas made Layup.
Alabama A&M;,Saint Louis,12,11,5,5,0,Milik Yarbrough missed Jumper.
Alabama A&M;,Saint Louis,12,11,5,5,0,Alabama A&M; Defensive Rebound.
Alabama A&M;,Saint Louis,12,11,5,7,0,Foul on Matt Neufeld.
Alabama A&M;,Saint Louis,12,11,5,18,0,Nicholas West Turnover.
Alabama A&M;,Saint Louis,12,11,5,19,0,Miles Reynolds Steal.
Alabama A&M;,Saint Louis,12,13,5,23,1,Matt Neufeld made Layup. Assisted by Miles Reynolds.
Alabama A&M;,Saint Louis,14,13,5,42,1,Nicholas West made Dunk. Assisted by Rakiya Battle.
Alabama A&M;,Saint Louis,14,15,6,11,1,Ash Yacoubou made Jumper. Assisted by Miles Reynolds.
Alabama A&M;,Saint Louis,14,15,6,28,0,Ladarius Tabb missed Three Point Jumper.
Alabama A&M;,Saint Louis,14,15,6,28,0,Milik Yarbrough Defensive Rebound.
Alabama A&M;,Saint Louis,14,15,6,36,0,Miles Reynolds missed Layup.
Alabama A&M;,Saint Louis,14,15,6,36,0,Milik Yarbrough Offensive Rebound.
Alabama A&M;,Saint Louis,14,17,6,38,1,Milik Yarbrough made Layup.
Alabama A&M;,Saint Louis,14,17,6,38,0,Foul on Nicholas West.
Alabama A&M;,Saint Louis,14,17,6,38,0,Milik Yarbrough missed Free Throw.
Alabama A&M;,Saint Louis,14,17,6,38,0,Ladarius Tabb Defensive Rebound.
Alabama A&M;,Saint Louis,17,17,6,59,1,Arthur Wade made Three Point Jumper. Assisted by Rakiya Battle.
Alabama A&M;,Saint Louis,17,17,7,0,0,Foul on Marcus Bartley.
Alabama A&M;,Saint Louis,18,17,7,0,1,Arthur Wade made Free Throw.
Alabama A&M;,Saint Louis,18,17,7,23,0,Milik Yarbrough missed Layup.
Alabama A&M;,Saint Louis,18,17,7,23,0,Nicholas West Defensive Rebound.
Alabama A&M;,Saint Louis,18,17,7,31,0,Jacob Perry Turnover.
Alabama A&M;,Saint Louis,18,17,7,32,0,Milik Yarbrough Steal.
Alabama A&M;,Saint Louis,18,17,7,40,0,Milik Yarbrough Turnover.
Alabama A&M;,Saint Louis,18,17,7,41,0,Nicholas West Steal.
Alabama A&M;,Saint Louis,18,17,7,54,0,Foul on Milik Yarbrough.
Alabama A&M;,Saint Louis,18,17,7,54,0,Jacob Perry missed Free Throw.
Alabama A&M;,Saint Louis,18,17,7,54,0,Alabama A&M; Deadball Team Rebound.
Alabama A&M;,Saint Louis,18,17,7,54,0,Jacob Perry missed Free Throw.
Alabama A&M;,Saint Louis,18,17,7,54,0,Ash Yacoubou Defensive Rebound.
Alabama A&M;,Saint Louis,18,17,8,13,0,Ash Yacoubou missed Three Point Jumper.
Alabama A&M;,Saint Louis,18,17,8,13,0,Matt Neufeld Offensive Rebound.
Alabama A&M;,Saint Louis,18,17,8,17,0,Matt Neufeld Turnover.
Alabama A&M;,Saint Louis,18,17,8,18,0,Jacob Perry Steal.
Alabama A&M;,Saint Louis,18,17,8,28,0,Foul on Matt Neufeld.
Alabama A&M;,Saint Louis,18,17,8,28,0,Official TV Timeout
Alabama A&M;,Saint Louis,18,17,8,56,0,Nicholas West missed Jumper.
Alabama A&M;,Saint Louis,18,17,8,56,0,Saint Louis Defensive Rebound.
Alabama A&M;,Saint Louis,18,17,9,26,0,Davell Roby missed Jumper.
Alabama A&M;,Saint Louis,18,17,9,26,0,Ash Yacoubou Offensive Rebound.
Alabama A&M;,Saint Louis,18,17,9,30,0,Foul on Adrian Edwards.
Alabama A&M;,Saint Louis,18,18,9,30,1,Ash Yacoubou made Free Throw.
Alabama A&M;,Saint Louis,18,19,9,30,1,Ash Yacoubou made Free Throw.
Alabama A&M;,Saint Louis,18,19,9,48,0,Nicholas West missed Jumper.
Alabama A&M;,Saint Louis,18,19,9,48,0,Mike Crawford Defensive Rebound.
Alabama A&M;,Saint Louis,18,19,10,0,0,Mike Crawford missed Three Point Jumper.
Alabama A&M;,Saint Louis,18,19,10,0,0,Zachary Johnson Defensive Rebound.
Alabama A&M;,Saint Louis,20,19,10,12,1,Jacob Perry made Layup.
Alabama A&M;,Saint Louis,20,19,10,23,0,Foul on Tyler Davis.
Alabama A&M;,Saint Louis,20,22,10,29,1,Mike Crawford made Three Point Jumper. Assisted by Miles Reynolds.
Alabama A&M;,Saint Louis,20,22,10,52,0,Baryn Houston missed Jumper.
Alabama A&M;,Saint Louis,20,22,10,52,0,Austin Gillmann Defensive Rebound.
Alabama A&M;,Saint Louis,20,24,11,6,1,Milik Yarbrough made Jumper. Assisted by Mike Crawford.
Alabama A&M;,Saint Louis,20,24,11,26,0,Jacob Perry missed Three Point Jumper.
Alabama A&M;,Saint Louis,20,24,11,26,0,Milik Yarbrough Defensive Rebound.
Alabama A&M;,Saint Louis,20,24,11,32,0,Ash Yacoubou missed Layup.
Alabama A&M;,Saint Louis,20,24,11,32,0,Baryn Houston Defensive Rebound.
Alabama A&M;,Saint Louis,20,24,11,35,0,Foul on Austin Gillmann.
Alabama A&M;,Saint Louis,20,24,11,46,0,Jacob Perry Turnover.
Alabama A&M;,Saint Louis,20,24,11,48,0,Mike Crawford Steal.
Alabama A&M;,Saint Louis,20,24,12,1,0,Mike Crawford missed Three Point Jumper.
Alabama A&M;,Saint Louis,20,24,12,1,0,Reggie Agbeko Offensive Rebound.
Alabama A&M;,Saint Louis,20,24,12,6,0,Reggie Agbeko missed Layup.
Alabama A&M;,Saint Louis,20,24,12,6,0,Zachary Johnson Block.
Alabama A&M;,Saint Louis,20,24,12,8,0,Reggie Agbeko Offensive Rebound.
Alabama A&M;,Saint Louis,20,24,12,10,0,Reggie Agbeko missed Layup.
Alabama A&M;,Saint Louis,20,24,12,10,0,Ladarius Tabb Defensive Rebound.
Alabama A&M;,Saint Louis,23,24,12,31,1,Jacob Perry made Three Point Jumper.
Alabama A&M;,Saint Louis,23,24,12,43,0,Mike Crawford missed Three Point Jumper.
Alabama A&M;,Saint Louis,23,24,12,43,0,Tyler Davis Defensive Rebound.
Alabama A&M;,Saint Louis,23,24,12,58,0,Jacob Perry missed Jumper.
Alabama A&M;,Saint Louis,23,24,12,58,0,Reggie Agbeko Defensive Rebound.
Alabama A&M;,Saint Louis,23,24,13,2,0,Reggie Agbeko Turnover.
Alabama A&M;,Saint Louis,23,24,13,4,0,Tyler Davis Steal.
Alabama A&M;,Saint Louis,25,24,13,5,1,Tyler Davis made Layup.
Alabama A&M;,Saint Louis,25,26,13,19,1,Milik Yarbrough made Jumper. Assisted by Mike Crawford.
Alabama A&M;,Saint Louis,25,26,13,50,0,Zachary Johnson missed Jumper.
Alabama A&M;,Saint Louis,25,26,13,50,0,Milik Yarbrough Block.
Alabama A&M;,Saint Louis,25,26,13,51,0,Jacob Perry Offensive Rebound.
Alabama A&M;,Saint Louis,25,26,13,54,0,Jacob Perry missed Three Point Jumper.
Alabama A&M;,Saint Louis,25,26,13,54,0,Zachary Johnson Offensive Rebound.
Alabama A&M;,Saint Louis,25,26,13,59,0,Zachary Johnson missed Layup.
Alabama A&M;,Saint Louis,25,26,13,59,0,Ash Yacoubou Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,14,4,0,Ash Yacoubou Turnover.
Alabama A&M;,Saint Louis,25,26,14,5,0,Jacob Perry Steal.
Alabama A&M;,Saint Louis,25,26,14,12,0,Foul on Milik Yarbrough.
Alabama A&M;,Saint Louis,25,26,14,12,0,Jacob Perry missed Free Throw.
Alabama A&M;,Saint Louis,25,26,14,12,0,Reggie Agbeko Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,14,30,0,Davell Roby missed Jumper.
Alabama A&M;,Saint Louis,25,26,14,30,0,Christopher Thomas Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,14,42,0,Foul on Ladarius Tabb.
Alabama A&M;,Saint Louis,25,26,14,42,0,Ladarius Tabb Turnover.
Alabama A&M;,Saint Louis,25,26,15,1,0,Marcus Bartley missed Three Point Jumper.
Alabama A&M;,Saint Louis,25,26,15,1,0,Tyler Davis Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,15,23,0,Rakiya Battle Turnover.
Alabama A&M;,Saint Louis,25,26,15,24,0,Miles Reynolds Steal.
Alabama A&M;,Saint Louis,25,26,15,24,0,Foul on Rakiya Battle.
Alabama A&M;,Saint Louis,25,26,15,43,0,Marcus Bartley missed Three Point Jumper.
Alabama A&M;,Saint Louis,25,26,15,43,0,Nicholas West Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,16,8,0,Tyler Davis missed Three Point Jumper.
Alabama A&M;,Saint Louis,25,26,16,8,0,Davell Roby Defensive Rebound.
Alabama A&M;,Saint Louis,25,26,16,24,0,Foul on Miles Reynolds.
Alabama A&M;,Saint Louis,25,26,16,24,0,Miles Reynolds Turnover.
Alabama A&M;,Saint Louis,25,26,16,24,0,Official TV Timeout
Alabama A&M;,Saint Louis,25,26,16,40,0,Arthur Wade missed Three Point Jumper.
Alabama A&M;,Saint Louis,25,26,16,40,0,Christopher Thomas Offensive Rebound.
Alabama A&M;,Saint Louis,25,26,16,43,0,Foul on Miles Reynolds.
Alabama A&M;,Saint Louis,26,26,16,43,1,Christopher Thomas made Free Throw.
Alabama A&M;,Saint Louis,26,26,16,43,0,Christopher Thomas missed Free Throw.
Alabama A&M;,Saint Louis,26,26,16,43,0,Ash Yacoubou Defensive Rebound.
Alabama A&M;,Saint Louis,26,26,16,58,0,Foul on Arthur Wade.
Alabama A&M;,Saint Louis,26,26,17,8,0,Miles Reynolds Turnover.
Alabama A&M;,Saint Louis,26,26,17,9,0,Arthur Wade Steal.
Alabama A&M;,Saint Louis,28,26,17,11,1,Christopher Thomas made Dunk. Assisted by Rakiya Battle.
Alabama A&M;,Saint Louis,28,28,17,30,1,Miles Reynolds made Jumper. Assisted by Ash Yacoubou.
Alabama A&M;,Saint Louis,28,28,17,47,0,Ladarius Tabb missed Three Point Jumper.
