Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Arizona State,UCLA,0,0,0,0,0,Jump Ball won by UCLA
Arizona State,UCLA,0,2,0,22,1,Tony Parker made Layup. Assisted by Bryce Alford.
Arizona State,UCLA,0,2,0,41,0,Foul on Thomas Welsh.
Arizona State,UCLA,1,2,0,41,1,Eric Jacobsen made Free Throw.
Arizona State,UCLA,1,2,0,41,0,Eric Jacobsen missed Free Throw.
Arizona State,UCLA,1,2,0,41,0,Tony Parker Defensive Rebound.
Arizona State,UCLA,1,2,0,55,0,Aaron Holiday missed Jumper.
Arizona State,UCLA,1,2,0,55,0,Tony Parker Offensive Rebound.
Arizona State,UCLA,1,2,0,59,0,Tony Parker missed Layup.
Arizona State,UCLA,1,2,1,0,0,Willie Atwood Defensive Rebound.
Arizona State,UCLA,1,2,1,25,0,Willie Atwood missed Jumper.
Arizona State,UCLA,1,2,1,25,0,Eric Jacobsen Offensive Rebound.
Arizona State,UCLA,3,2,1,27,1,Eric Jacobsen made Layup.
Arizona State,UCLA,3,2,1,47,0,Isaac Hamilton missed Jumper.
Arizona State,UCLA,3,2,1,47,0,Gerry Blakes Defensive Rebound.
Arizona State,UCLA,6,2,2,4,1,Tra Holder made Three Point Jumper.
Arizona State,UCLA,6,4,2,28,1,Tony Parker made Layup.
Arizona State,UCLA,6,4,2,42,0,Willie Atwood missed Three Point Jumper.
Arizona State,UCLA,6,4,2,42,0,Arizona St Offensive Rebound.
Arizona State,UCLA,6,4,3,2,0,Arizona St  Turnover.
Arizona State,UCLA,6,4,3,12,0,Thomas Welsh missed Jumper.
Arizona State,UCLA,6,4,3,12,0,Thomas Welsh Offensive Rebound.
Arizona State,UCLA,6,6,3,16,1,Thomas Welsh made Jumper.
Arizona State,UCLA,6,6,3,36,0,Tra Holder Turnover.
Arizona State,UCLA,6,6,3,45,0,Thomas Welsh missed Jumper.
Arizona State,UCLA,6,6,3,45,0,Kodi Justice Defensive Rebound.
Arizona State,UCLA,6,6,3,53,0,Tra Holder missed Three Point Jumper.
Arizona State,UCLA,6,6,3,53,0,Aaron Holiday Defensive Rebound.
Arizona State,UCLA,6,6,4,8,0,Foul on Eric Jacobsen.
Arizona State,UCLA,6,6,4,8,0,Official TV Timeout
Arizona State,UCLA,6,8,4,27,1,Bryce Alford made Jumper.
Arizona State,UCLA,6,8,4,41,0,Savon Goodman missed Layup.
Arizona State,UCLA,6,8,4,41,0,Tony Parker Block.
Arizona State,UCLA,6,8,4,45,0,Thomas Welsh Defensive Rebound.
Arizona State,UCLA,6,8,4,58,0,Bryce Alford missed Three Point Jumper.
Arizona State,UCLA,6,8,4,58,0,Savon Goodman Defensive Rebound.
Arizona State,UCLA,6,8,5,9,0,Foul on Aaron Holiday.
Arizona State,UCLA,6,8,5,18,0,Maurice O'Field missed Layup.
Arizona State,UCLA,6,8,5,18,0,Tony Parker Block.
Arizona State,UCLA,6,8,5,18,0,Isaac Hamilton Defensive Rebound.
Arizona State,UCLA,6,10,5,25,1,Tony Parker made Layup. Assisted by Isaac Hamilton.
Arizona State,UCLA,8,10,5,45,1,Savon Goodman made Layup.
Arizona State,UCLA,8,10,6,11,0,Foul on Tony Parker.
Arizona State,UCLA,8,10,6,11,0,Tony Parker Turnover.
Arizona State,UCLA,8,10,6,30,0,Savon Goodman missed Layup.
Arizona State,UCLA,8,10,6,30,0,Maurice O'Field Offensive Rebound.
Arizona State,UCLA,10,10,6,30,1,Maurice O'Field made Two Point Tip Shot.
Arizona State,UCLA,10,10,6,48,0,Tony Parker missed Jumper.
Arizona State,UCLA,10,10,6,48,0,Andre Spight Defensive Rebound.
Arizona State,UCLA,10,10,6,58,0,Eric Jacobsen Turnover.
Arizona State,UCLA,10,10,7,17,0,Foul on Kodi Justice.
Arizona State,UCLA,10,10,7,21,0,Jonah Bolden missed Three Point Jumper.
Arizona State,UCLA,10,10,7,21,0,Kodi Justice Defensive Rebound.
Arizona State,UCLA,10,10,7,30,0,Kodi Justice Turnover.
Arizona State,UCLA,10,10,7,30,0,Bryce Alford Steal.
Arizona State,UCLA,10,10,7,46,0,Thomas Welsh missed Jumper.
Arizona State,UCLA,10,10,7,46,0,Maurice O'Field Defensive Rebound.
Arizona State,UCLA,10,10,7,59,0,Andre Spight missed Three Point Jumper.
Arizona State,UCLA,10,10,7,59,0,UCLA Defensive Rebound.
Arizona State,UCLA,10,10,8,1,0,Official TV Timeout
Arizona State,UCLA,10,12,8,25,1,Thomas Welsh made Dunk. Assisted by Isaac Hamilton.
Arizona State,UCLA,12,12,8,47,1,Savon Goodman made Layup.
Arizona State,UCLA,12,14,9,1,1,Thomas Welsh made Dunk. Assisted by Jonah Bolden.
Arizona State,UCLA,12,14,9,25,0,Maurice O'Field missed Three Point Jumper.
Arizona State,UCLA,12,14,9,25,0,Prince Ali Defensive Rebound.
Arizona State,UCLA,12,14,9,30,0,Foul on Andre Spight.
