Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ball State,Miami (OH),2,0,0,15,1,Franko House made Jumper.
Ball State,Miami (OH),2,2,0,47,1,Chris Bryant made Jumper.
Ball State,Miami (OH),2,2,1,1,0,Foul on Franko House.
Ball State,Miami (OH),2,2,1,1,0,Franko House Turnover.
Ball State,Miami (OH),2,2,1,29,0,Rod Mills missed Three Point Jumper.
Ball State,Miami (OH),2,2,1,29,0,Chris Bryant Offensive Rebound.
Ball State,Miami (OH),2,4,1,31,1,Chris Bryant made Jumper.
Ball State,Miami (OH),2,4,1,45,0,Bo Calhoun missed Jumper.
Ball State,Miami (OH),2,4,1,45,0,Chris Bryant Block.
Ball State,Miami (OH),2,4,1,47,0,Geovonie McKnight Defensive Rebound.
Ball State,Miami (OH),2,4,1,55,0,Eric Washington missed Three Point Jumper.
Ball State,Miami (OH),2,4,1,55,0,Bo Calhoun Defensive Rebound.
Ball State,Miami (OH),2,4,2,8,0,Ryan Weber Turnover.
Ball State,Miami (OH),2,4,2,28,0,Geovonie McKnight Turnover.
Ball State,Miami (OH),2,4,2,51,0,Franko House missed Jumper.
Ball State,Miami (OH),2,4,2,51,0,Rod Mills Defensive Rebound.
Ball State,Miami (OH),2,4,3,0,0,Chris Bryant Turnover.
Ball State,Miami (OH),2,4,3,1,0,Bo Calhoun Steal.
Ball State,Miami (OH),2,4,3,25,0,Franko House missed Jumper.
Ball State,Miami (OH),2,4,3,25,0,Chris Bryant Defensive Rebound.
Ball State,Miami (OH),2,4,3,51,0,Eric Washington Turnover.
Ball State,Miami (OH),2,4,4,3,0,Foul on Rod Mills.
Ball State,Miami (OH),2,4,4,3,0,Official TV Timeout
Ball State,Miami (OH),3,4,4,3,1,Ryan Weber made Free Throw.
Ball State,Miami (OH),4,4,4,3,1,Ryan Weber made Free Throw.
Ball State,Miami (OH),4,4,4,22,0,Chris Bryant missed Layup.
Ball State,Miami (OH),4,4,4,22,0,Trey Moses Block.
Ball State,Miami (OH),4,4,4,23,0,Bo Calhoun Defensive Rebound.
Ball State,Miami (OH),7,4,4,39,1,Bo Calhoun made Three Point Jumper. Assisted by Ryan Weber.
Ball State,Miami (OH),7,4,4,59,0,Dion Wade missed Three Point Jumper.
