Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Boise State,Utah State,0,0,0,16,0,James Webb III missed Jumper.
Boise State,Utah State,0,0,0,16,0,Jalen Moore Block.
Boise State,Utah State,0,0,0,20,0,Chris Smith Defensive Rebound.
Boise State,Utah State,0,2,0,33,1,Lew Evans made Jumper.
Boise State,Utah State,0,2,0,51,0,Anthony Drmic missed Jumper.
Boise State,Utah State,0,2,0,51,0,Darius Perkins Defensive Rebound.
Boise State,Utah State,0,2,1,13,0,Jalen Moore missed Three Point Jumper.
Boise State,Utah State,0,2,1,13,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,0,2,1,25,0,Lonnie Jackson Turnover.
Boise State,Utah State,0,2,1,26,0,Chris Smith Steal.
Boise State,Utah State,0,4,1,31,1,Chris Smith made Layup.
Boise State,Utah State,0,4,1,47,0,James Webb III missed Three Point Jumper.
Boise State,Utah State,0,4,1,47,0,Jalen Moore Defensive Rebound.
Boise State,Utah State,0,4,2,14,0,Lew Evans missed Three Point Jumper.
Boise State,Utah State,0,4,2,14,0,Jalen Moore Offensive Rebound.
Boise State,Utah State,0,4,2,18,0,Jalen Moore missed Layup.
Boise State,Utah State,0,4,2,18,0,Jalen Moore Offensive Rebound.
Boise State,Utah State,0,6,2,22,1,Jalen Moore made Two Point Tip Shot.
Boise State,Utah State,2,6,2,43,1,James Webb III made Jumper. Assisted by Mikey Thompson.
Boise State,Utah State,2,8,3,3,1,Chris Smith made Layup. Assisted by Darius Perkins.
Boise State,Utah State,2,8,3,9,0,Mikey Thompson Turnover.
Boise State,Utah State,2,8,3,25,0,Lew Evans missed Layup.
Boise State,Utah State,2,8,3,25,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,2,8,3,39,0,Nick Duncan Turnover.
Boise State,Utah State,2,8,3,51,0,Jalen Moore missed Three Point Jumper.
Boise State,Utah State,2,8,3,51,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,5,8,4,1,1,Montigo Alford made Three Point Jumper. Assisted by Mikey Thompson.
Boise State,Utah State,5,8,4,23,0,Shane Rector missed Three Point Jumper.
Boise State,Utah State,5,8,4,23,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,5,8,4,36,0,Nick Duncan missed Three Point Jumper.
Boise State,Utah State,5,8,4,36,0,Chris Smith Defensive Rebound.
Boise State,Utah State,5,8,4,47,0,Lew Evans missed Three Point Jumper.
Boise State,Utah State,5,8,4,47,0,James Webb III Defensive Rebound.
Boise State,Utah State,5,8,5,0,0,Anthony Drmic Turnover.
Boise State,Utah State,5,8,5,0,0,Foul on Anthony Drmic.
Boise State,Utah State,5,10,5,13,1,Jalen Moore made Dunk. Assisted by Grayson Moore.
Boise State,Utah State,7,10,5,24,1,Chandler Hutchison made Dunk.
Boise State,Utah State,7,13,5,42,1,Jalen Moore made Three Point Jumper. Assisted by Grayson Moore.
Boise State,Utah State,7,13,5,59,0,Foul on Shane Rector.
Boise State,Utah State,10,13,6,8,1,Nick Duncan made Three Point Jumper. Assisted by Chandler Hutchison.
Boise State,Utah State,10,13,6,28,0,Darius Perkins missed Three Point Jumper.
Boise State,Utah State,10,13,6,28,0,Mikey Thompson Defensive Rebound.
Boise State,Utah State,10,13,6,39,0,Nick Duncan Turnover.
Boise State,Utah State,10,13,6,49,0,Julion Pearre Turnover.
Boise State,Utah State,10,13,6,50,0,Montigo Alford Steal.
Boise State,Utah State,10,13,6,55,0,Zach Haney Turnover.
Boise State,Utah State,10,13,7,26,0,Jalen Moore missed Three Point Jumper.
Boise State,Utah State,10,13,7,26,0,James Webb III Defensive Rebound.
Boise State,Utah State,12,13,7,36,1,James Webb III made Dunk. Assisted by Montigo Alford.
Boise State,Utah State,12,15,7,58,1,Chris Smith made Layup.
Boise State,Utah State,12,15,8,17,0,Foul on Julion Pearre.
Boise State,Utah State,12,15,8,17,0,Official TV Timeout
Boise State,Utah State,13,15,8,17,1,Mikey Thompson made Free Throw.
Boise State,Utah State,14,15,8,17,1,Mikey Thompson made Free Throw.
Boise State,Utah State,14,15,8,25,0,Foul on Chandler Hutchison.
Boise State,Utah State,14,15,8,34,0,Chris Smith missed Jumper.
Boise State,Utah State,14,15,8,34,0,Nick Duncan Defensive Rebound.
Boise State,Utah State,14,15,8,36,0,Foul on Grayson Moore.
Boise State,Utah State,14,15,8,49,0,Nick Duncan missed Three Point Jumper.
Boise State,Utah State,14,15,8,49,0,Chandler Hutchison Offensive Rebound.
Boise State,Utah State,16,15,8,59,1,Montigo Alford made Layup.
Boise State,Utah State,16,15,9,10,0,Darius Perkins Turnover.
Boise State,Utah State,16,15,9,11,0,Nick Duncan Steal.
Boise State,Utah State,16,15,9,22,0,Lonnie Jackson missed Three Point Jumper.
Boise State,Utah State,16,15,9,22,0,Chandler Hutchison Offensive Rebound.
Boise State,Utah State,18,15,9,25,1,Chandler Hutchison made Two Point Tip Shot.
Boise State,Utah State,18,17,9,40,1,Jalen Moore made Layup. Assisted by Chris Smith.
Boise State,Utah State,18,17,9,40,0,Foul on James Webb III.
Boise State,Utah State,18,17,9,40,0,Jalen Moore missed Free Throw.
Boise State,Utah State,18,17,9,40,0,Mikey Thompson Defensive Rebound.
Boise State,Utah State,18,17,9,56,0,James Webb III missed Jumper.
Boise State,Utah State,18,17,9,56,0,Darius Perkins Defensive Rebound.
Boise State,Utah State,18,17,10,4,0,Darius Perkins missed Jumper.
Boise State,Utah State,18,17,10,4,0,Nick Duncan Defensive Rebound.
Boise State,Utah State,18,17,10,22,0,Mikey Thompson missed Three Point Jumper.
Boise State,Utah State,18,17,10,22,0,Lew Evans Defensive Rebound.
Boise State,Utah State,18,20,10,32,1,Jalen Moore made Three Point Jumper. Assisted by Shane Rector.
Boise State,Utah State,18,20,10,44,0,Chandler Hutchison missed Jumper.
Boise State,Utah State,18,20,10,44,0,Lew Evans Defensive Rebound.
Boise State,Utah State,18,20,10,58,0,Shane Rector Turnover.
Boise State,Utah State,18,20,11,17,0,Mikey Thompson missed Layup.
Boise State,Utah State,18,20,11,17,0,Shane Rector Defensive Rebound.
Boise State,Utah State,18,20,11,29,0,Grayson Moore Turnover.
Boise State,Utah State,18,20,11,30,0,Lonnie Jackson Steal.
Boise State,Utah State,20,20,11,36,1,James Webb III made Dunk. Assisted by Chandler Hutchison.
Boise State,Utah State,20,20,11,49,0,Lew Evans missed Jumper.
Boise State,Utah State,20,20,11,49,0,Lonnie Jackson Defensive Rebound.
Boise State,Utah State,20,20,12,15,0,Anthony Drmic missed Three Point Jumper.
Boise State,Utah State,20,20,12,15,0,Shane Rector Defensive Rebound.
Boise State,Utah State,20,20,12,40,0,Julion Pearre missed Jumper.
Boise State,Utah State,20,20,12,40,0,Grayson Moore Offensive Rebound.
Boise State,Utah State,20,20,12,45,0,Foul on Chandler Hutchison.
Boise State,Utah State,20,20,12,45,0,Official TV Timeout
Boise State,Utah State,20,22,12,46,1,Quinn Taylor made Layup. Assisted by Shane Rector.
Boise State,Utah State,20,22,13,5,0,Montigo Alford Turnover.
Boise State,Utah State,20,22,13,6,0,Lew Evans Steal.
Boise State,Utah State,20,22,13,23,0,Grayson Moore Turnover.
Boise State,Utah State,23,22,13,34,1,James Webb III made Three Point Jumper. Assisted by Nick Duncan.
Boise State,Utah State,23,22,13,59,0,Foul on Montigo Alford.
Boise State,Utah State,23,22,14,3,0,Lew Evans Turnover.
Boise State,Utah State,23,22,14,14,0,Mikey Thompson Turnover.
Boise State,Utah State,23,22,14,15,0,Julion Pearre Steal.
Boise State,Utah State,23,22,14,16,0,Foul on Mikey Thompson.
Boise State,Utah State,23,22,14,20,0,Jalen Moore missed Jumper.
Boise State,Utah State,23,22,14,20,0,Chris Smith Offensive Rebound.
Boise State,Utah State,23,22,14,26,0,Chris Smith Turnover.
Boise State,Utah State,23,22,14,28,0,Nick Duncan Steal.
Boise State,Utah State,23,22,14,35,0,Montigo Alford Turnover.
Boise State,Utah State,23,22,14,58,0,Elston Jones missed Jumper.
Boise State,Utah State,23,22,14,58,0,Elston Jones Offensive Rebound.
Boise State,Utah State,23,24,15,1,1,Elston Jones made Layup.
Boise State,Utah State,25,24,15,14,1,Nick Duncan made Layup.
Boise State,Utah State,25,24,15,31,0,Elston Jones missed Layup.
Boise State,Utah State,25,24,15,31,0,Elston Jones Offensive Rebound.
Boise State,Utah State,25,24,15,33,0,Foul on James Webb III.
Boise State,Utah State,25,25,15,33,1,Elston Jones made Free Throw.
Boise State,Utah State,25,25,15,33,0,Elston Jones missed Free Throw.
Boise State,Utah State,25,25,15,33,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,25,25,15,57,0,Foul on Elston Jones.
Boise State,Utah State,25,25,15,57,0,Mikey Thompson missed Free Throw.
Boise State,Utah State,25,25,15,57,0,Boise State Deadball Team Rebound.
Boise State,Utah State,26,25,15,57,1,Mikey Thompson made Free Throw.
Boise State,Utah State,26,25,16,11,0,Jalen Moore missed Three Point Jumper.
Boise State,Utah State,26,25,16,11,0,Mikey Thompson Defensive Rebound.
Boise State,Utah State,26,25,16,42,0,Foul on Darius Perkins.
Boise State,Utah State,26,25,16,42,0,Official TV Timeout
Boise State,Utah State,27,25,16,42,1,Mikey Thompson made Free Throw.
Boise State,Utah State,28,25,16,42,1,Mikey Thompson made Free Throw.
Boise State,Utah State,28,25,16,54,0,Elston Jones Turnover.
Boise State,Utah State,28,25,17,18,0,Foul on Julion Pearre.
Boise State,Utah State,28,25,17,18,0,Boise State  Timeout
Boise State,Utah State,28,25,17,29,0,Anthony Drmic missed Three Point Jumper.
Boise State,Utah State,28,25,17,29,0,Darius Perkins Defensive Rebound.
Boise State,Utah State,28,25,17,45,0,Shane Rector Turnover.
Boise State,Utah State,28,25,17,55,0,Paris Austin Turnover.
Boise State,Utah State,28,25,18,13,0,Foul on Lonnie Jackson.
Boise State,Utah State,28,26,18,13,1,Chris Smith made Free Throw.
Boise State,Utah State,28,26,18,13,0,Chris Smith missed Free Throw.
Boise State,Utah State,28,26,18,13,0,Nick Duncan Defensive Rebound.
Boise State,Utah State,31,26,18,30,1,Zach Haney made Three Point Jumper. Assisted by Mikey Thompson.
Boise State,Utah State,31,26,18,45,0,Lew Evans missed Three Point Jumper.
Boise State,Utah State,31,26,18,45,0,Mikey Thompson Defensive Rebound.
Boise State,Utah State,31,26,18,56,0,Anthony Drmic Turnover.
Boise State,Utah State,31,26,19,7,0,Jalen Moore missed Three Point Jumper.
Boise State,Utah State,31,26,19,7,0,Chris Smith Offensive Rebound.
Boise State,Utah State,31,29,19,22,1,Darius Perkins made Three Point Jumper. Assisted by Chris Smith.
Boise State,Utah State,31,29,19,34,0,Zach Haney Turnover.
Boise State,Utah State,31,29,19,34,0,Foul on Zach Haney.
Boise State,Utah State,31,29,19,34,0,Utah State  Timeout
Boise State,Utah State,31,29,19,58,0,Jalen Moore missed Jumper.
Boise State,Utah State,31,29,19,58,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,31,29,20,0,0,End of 1st half
Boise State,Utah State,31,32,20,21,1,Lew Evans made Three Point Jumper. Assisted by Darius Perkins.
Boise State,Utah State,31,32,20,37,0,Nick Duncan Turnover.
Boise State,Utah State,31,32,20,38,0,Darius Perkins Steal.
Boise State,Utah State,31,32,20,41,0,Darius Perkins missed Layup.
Boise State,Utah State,31,32,20,41,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,31,32,20,48,0,Foul on Lew Evans.
Boise State,Utah State,31,32,21,8,0,Nick Duncan Turnover.
Boise State,Utah State,31,32,21,9,0,Jalen Moore Steal.
Boise State,Utah State,31,32,21,24,0,Foul on James Webb III.
Boise State,Utah State,31,32,21,26,0,Chris Smith missed Three Point Jumper.
Boise State,Utah State,31,32,21,26,0,Anthony Drmic Defensive Rebound.
Boise State,Utah State,33,32,21,37,1,Lonnie Jackson made Layup.
Boise State,Utah State,33,32,21,37,0,Foul on Lew Evans.
Boise State,Utah State,34,32,21,37,1,Lonnie Jackson made Free Throw.
Boise State,Utah State,34,32,21,56,0,Julion Pearre Turnover.
Boise State,Utah State,34,32,21,57,0,Nick Duncan Steal.
Boise State,Utah State,37,32,22,6,1,Nick Duncan made Three Point Jumper. Assisted by Mikey Thompson.
Boise State,Utah State,37,32,22,27,0,Foul on Nick Duncan.
Boise State,Utah State,37,32,22,36,0,Chris Smith Turnover.
Boise State,Utah State,39,32,22,48,1,Mikey Thompson made Layup.
Boise State,Utah State,39,34,23,6,1,Shane Rector made Layup.
Boise State,Utah State,41,34,23,21,1,Chandler Hutchison made Layup.
Boise State,Utah State,41,34,23,21,0,Foul on Chris Smith.
Boise State,Utah State,41,34,23,21,0,Utah State  Timeout
Boise State,Utah State,42,34,23,21,1,Chandler Hutchison made Free Throw.
Boise State,Utah State,42,37,23,33,1,Grayson Moore made Three Point Jumper. Assisted by Darius Perkins.
Boise State,Utah State,42,37,23,51,0,Foul on Jalen Moore.
Boise State,Utah State,43,37,23,51,1,Chandler Hutchison made Free Throw.
Boise State,Utah State,44,37,23,51,1,Chandler Hutchison made Free Throw.
Boise State,Utah State,44,37,24,8,0,Jalen Moore missed Jumper.
Boise State,Utah State,44,37,24,8,0,Grayson Moore Offensive Rebound.
Boise State,Utah State,44,37,24,12,0,Foul on Montigo Alford.
