Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Willamette,Boise State,0,3,0,23,1,James Webb III made Three Point Jumper. Assisted by Paris Austin.
Willamette,Boise State,0,3,0,44,0,Brendon McCullough Turnover.
Willamette,Boise State,0,3,0,45,0,James Webb III Steal.
Willamette,Boise State,0,3,0,55,0,Nick Duncan missed Three Point Jumper.
Willamette,Boise State,0,3,0,55,0,James Webb III Offensive Rebound.
Willamette,Boise State,0,6,1,14,1,James Webb III made Three Point Jumper. Assisted by Mikey Thompson.
Willamette,Boise State,3,6,1,30,1,Nico Troplent made Three Point Jumper. Assisted by Brendon McCullough.
Willamette,Boise State,3,6,1,49,0,James Webb III missed Three Point Jumper.
Willamette,Boise State,3,6,1,49,0,Nick Duncan Offensive Rebound.
Willamette,Boise State,3,6,1,59,0,James Webb III missed Jumper.
Willamette,Boise State,3,6,1,59,0,Willamette Defensive Rebound.
Willamette,Boise State,5,6,2,7,1,Brendon McCullough made Layup. Assisted by Bridger Harlington.
Willamette,Boise State,5,9,2,19,1,Paris Austin made Three Point Jumper. Assisted by Mikey Thompson.
Willamette,Boise State,5,9,2,33,0,Brandon Luedtke Turnover.
Willamette,Boise State,5,9,2,47,0,Anthony Drmic missed Three Point Jumper.
Willamette,Boise State,5,9,2,47,0,Nick Duncan Offensive Rebound.
Willamette,Boise State,5,9,2,50,0,Nick Duncan missed Layup.
Willamette,Boise State,5,9,2,50,0,Nico Troplent Defensive Rebound.
Willamette,Boise State,5,9,3,15,0,Nico Troplent missed Three Point Jumper.
Willamette,Boise State,5,9,3,15,0,Paris Austin Defensive Rebound.
Willamette,Boise State,5,9,3,26,0,Foul on Brandon Luedtke.
Willamette,Boise State,5,10,3,26,1,Anthony Drmic made Free Throw.
Willamette,Boise State,5,11,3,26,1,Anthony Drmic made Free Throw.
Willamette,Boise State,5,11,3,44,0,Alex Brown missed Jumper.
Willamette,Boise State,5,11,3,44,0,Anthony Drmic Defensive Rebound.
Willamette,Boise State,5,11,3,52,0,Anthony Drmic missed Three Point Jumper.
Willamette,Boise State,5,11,3,52,0,Brandon Luedtke Defensive Rebound.
Willamette,Boise State,5,11,4,11,0,Alex Brown missed Three Point Jumper.
Willamette,Boise State,5,11,4,11,0,James Webb III Defensive Rebound.
Willamette,Boise State,5,11,4,30,0,Paris Austin missed Three Point Jumper.
Willamette,Boise State,5,11,4,30,0,Bridger Harlington Defensive Rebound.
Willamette,Boise State,5,11,4,58,0,Bridger Harlington missed Jumper.
Willamette,Boise State,5,11,4,58,0,James Webb III Defensive Rebound.
Willamette,Boise State,5,13,5,7,1,James Webb III made Dunk. Assisted by Paris Austin.
Willamette,Boise State,5,13,5,12,0,Official TV Timeout
Willamette,Boise State,5,13,5,35,0,Brendon McCullough missed Three Point Jumper.
Willamette,Boise State,5,13,5,35,0,James Webb III Defensive Rebound.
Willamette,Boise State,5,15,5,45,1,Lonnie Jackson made Layup. Assisted by Montigo Alford.
Willamette,Boise State,5,15,6,10,0,Alex Brown missed Three Point Jumper.
Willamette,Boise State,5,15,6,10,0,Jared Baumgartner Offensive Rebound.
Willamette,Boise State,5,15,6,15,0,Brandon Luedtke Turnover.
Willamette,Boise State,5,15,6,15,0,Foul on Brandon Luedtke.
Willamette,Boise State,5,17,6,30,1,Chandler Hutchison made Layup.
Willamette,Boise State,5,17,6,43,0,Jared Baumgartner missed Jumper.
Willamette,Boise State,5,17,6,43,0,James Webb III Defensive Rebound.
Willamette,Boise State,5,17,7,3,0,Montigo Alford Turnover.
Willamette,Boise State,5,17,7,3,0,Jared Baumgartner Steal.
Willamette,Boise State,5,17,7,13,0,Conin Oishi Turnover.
Willamette,Boise State,5,17,7,14,0,Chandler Hutchison Steal.
Willamette,Boise State,5,17,7,18,0,Nick Duncan missed Three Point Jumper.
Willamette,Boise State,5,17,7,18,0,James Webb III Offensive Rebound.
Willamette,Boise State,5,19,7,31,1,Chandler Hutchison made Layup.
Willamette,Boise State,5,19,7,31,0,Foul on Hayden Russell.
Willamette,Boise State,5,19,7,31,0,Willamette  Timeout
Willamette,Boise State,5,19,7,31,0,Official TV Timeout
Willamette,Boise State,5,20,7,31,1,Chandler Hutchison made Free Throw.
Willamette,Boise State,5,20,7,53,0,Dylan Critchfield missed Jumper.
Willamette,Boise State,5,20,7,53,0,Lonnie Jackson Defensive Rebound.
Willamette,Boise State,5,20,7,58,0,Lonnie Jackson Turnover.
Willamette,Boise State,5,20,7,58,0,Jared Baumgartner Steal.
Willamette,Boise State,5,20,8,5,0,Foul on Montigo Alford.
Willamette,Boise State,7,20,8,20,1,Nico Troplent made Layup. Assisted by Conin Oishi.
Willamette,Boise State,7,20,8,27,0,Foul on Brandon Luedtke.
Willamette,Boise State,7,21,8,27,1,Montigo Alford made Free Throw.
Willamette,Boise State,7,22,8,27,1,Montigo Alford made Free Throw.
Willamette,Boise State,7,22,8,40,0,Alex Brown Turnover.
Willamette,Boise State,7,22,8,41,0,Montigo Alford Steal.
Willamette,Boise State,7,25,8,43,1,Lonnie Jackson made Three Point Jumper. Assisted by Montigo Alford.
Willamette,Boise State,10,25,8,53,1,Casey Thornton made Three Point Jumper. Assisted by Nico Troplent.
Willamette,Boise State,10,25,9,18,0,Lonnie Jackson missed Three Point Jumper.
Willamette,Boise State,10,25,9,18,0,Chandler Hutchison Offensive Rebound.
Willamette,Boise State,10,25,9,27,0,Anthony Drmic Turnover.
Willamette,Boise State,10,25,9,44,0,Alex Brown Turnover.
Willamette,Boise State,10,25,9,45,0,Chandler Hutchison Steal.
Willamette,Boise State,10,27,9,48,1,Chandler Hutchison made Layup.
Willamette,Boise State,10,27,9,55,0,Foul on Anthony Drmic.
Willamette,Boise State,12,27,10,5,1,Jameson Willems made Layup. Assisted by Nico Troplent.
Willamette,Boise State,12,27,10,16,0,Mikey Thompson Turnover.
Willamette,Boise State,12,27,10,33,0,Casey Thornton Turnover.
Willamette,Boise State,12,27,10,35,0,Foul on Casey Thornton.
