Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Loyola (MD),Bucknell,0,0,0,19,0,Stephen Brown Turnover.
Loyola (MD),Bucknell,0,0,0,44,0,Andre Walker missed Jumper.
Loyola (MD),Bucknell,0,0,0,44,0,Bucknell Defensive Rebound.
Loyola (MD),Bucknell,0,0,1,0,0,Stephen Brown missed Layup.
Loyola (MD),Bucknell,0,0,1,0,0,Franz Rassman Block.
Loyola (MD),Bucknell,0,0,1,2,0,Eric Laster Defensive Rebound.
Loyola (MD),Bucknell,0,0,1,5,0,Foul on Eric Laster.
Loyola (MD),Bucknell,0,0,1,5,0,Eric Laster Turnover.
Loyola (MD),Bucknell,0,0,1,30,0,Ryan Frazier Turnover.
Loyola (MD),Bucknell,2,0,1,43,1,Franz Rassman made Jumper.
Loyola (MD),Bucknell,2,0,1,54,0,Foul on Franz Rassman.
Loyola (MD),Bucknell,2,0,1,54,0,Nana Foulland missed Free Throw.
Loyola (MD),Bucknell,2,0,1,54,0,Bucknell Deadball Team Rebound.
Loyola (MD),Bucknell,2,1,1,54,1,Nana Foulland made Free Throw.
Loyola (MD),Bucknell,2,1,2,9,0,Franz Rassman missed Jumper.
Loyola (MD),Bucknell,2,1,2,9,0,Nana Foulland Defensive Rebound.
Loyola (MD),Bucknell,2,3,2,15,1,Dom Hoffman made Layup. Assisted by Stephen Brown.
Loyola (MD),Bucknell,2,3,2,36,0,Eric Laster missed Three Point Jumper.
Loyola (MD),Bucknell,2,3,2,36,0,Nana Foulland Defensive Rebound.
Loyola (MD),Bucknell,2,3,2,55,0,Chris Hass Turnover.
Loyola (MD),Bucknell,2,3,3,19,0,Tyler Hubbard missed Three Point Jumper.
Loyola (MD),Bucknell,2,3,3,19,0,Dom Hoffman Defensive Rebound.
Loyola (MD),Bucknell,2,3,3,39,0,Ryan Frazier Turnover.
Loyola (MD),Bucknell,5,3,3,56,1,Tyler Hubbard made Three Point Jumper. Assisted by Eric Laster.
Loyola (MD),Bucknell,5,5,4,18,1,Nana Foulland made Jumper. Assisted by Chris Hass.
Loyola (MD),Bucknell,5,5,4,43,0,Tyler Hubbard Turnover.
Loyola (MD),Bucknell,5,5,4,44,0,Ryan Frazier Steal.
Loyola (MD),Bucknell,5,5,4,44,0,Foul on Tyler Hubbard.
Loyola (MD),Bucknell,5,5,4,44,0,Official TV Timeout
Loyola (MD),Bucknell,5,5,5,14,0,Chris Hass missed Three Point Jumper.
Loyola (MD),Bucknell,5,5,5,14,0,Jarred Jones Defensive Rebound.
Loyola (MD),Bucknell,5,5,5,39,0,Cam Gregory missed Layup.
Loyola (MD),Bucknell,5,5,5,39,0,John Azzinaro Block.
Loyola (MD),Bucknell,5,5,5,39,0,Bucknell Defensive Rebound.
Loyola (MD),Bucknell,5,7,5,58,1,D.J. MacLeay made Layup.
Loyola (MD),Bucknell,5,7,6,4,0,Foul on D.J. MacLeay.
Loyola (MD),Bucknell,5,7,6,9,0,Foul on John Azzinaro.
Loyola (MD),Bucknell,6,7,6,9,1,Cam Gregory made Free Throw.
Loyola (MD),Bucknell,7,7,6,9,1,Cam Gregory made Free Throw.
Loyola (MD),Bucknell,7,7,6,24,0,Zach Thomas missed Layup.
Loyola (MD),Bucknell,7,7,6,24,0,Cam Gregory Block.
Loyola (MD),Bucknell,7,7,6,24,0,D.J. MacLeay Offensive Rebound.
Loyola (MD),Bucknell,7,7,6,25,0,Foul on Jarred Jones.
Loyola (MD),Bucknell,7,7,6,30,0,Zach Thomas missed Three Point Jumper.
Loyola (MD),Bucknell,7,7,6,30,0,Jarred Jones Defensive Rebound.
Loyola (MD),Bucknell,9,7,6,48,1,Cam Gregory made Layup. Assisted by Jarred Jones.
Loyola (MD),Bucknell,9,7,6,48,0,Foul on John Azzinaro.
Loyola (MD),Bucknell,10,7,6,48,1,Cam Gregory made Free Throw.
Loyola (MD),Bucknell,10,10,7,2,1,Zach Thomas made Three Point Jumper. Assisted by Nate Jones.
Loyola (MD),Bucknell,12,10,7,15,1,Cam Gregory made Layup.
Loyola (MD),Bucknell,12,10,7,24,0,Foul on Matt Staubi.
