Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
SE Louisiana,Central Arkansas,0,0,0,18,0,Zay Jackson Turnover.
SE Louisiana,Central Arkansas,0,0,0,19,0,Derreck Brooks Steal.
SE Louisiana,Central Arkansas,0,2,0,30,1,Mathieu Kamba made Jumper.
SE Louisiana,Central Arkansas,0,2,0,57,0,Zay Jackson missed Three Point Jumper.
SE Louisiana,Central Arkansas,0,2,0,57,0,Justin Foreman Defensive Rebound.
SE Louisiana,Central Arkansas,0,2,1,4,0,Foul on Marlain Veal.
SE Louisiana,Central Arkansas,0,2,1,13,0,Foul on Marlain Veal.
SE Louisiana,Central Arkansas,0,4,1,31,1,Mathieu Kamba made Layup.
SE Louisiana,Central Arkansas,3,4,1,53,1,Dimi Cook made Three Point Jumper. Assisted by Zay Jackson.
SE Louisiana,Central Arkansas,3,4,2,4,0,Jordan Howard missed Three Point Jumper.
SE Louisiana,Central Arkansas,3,4,2,4,0,Joshua Filmore Defensive Rebound.
SE Louisiana,Central Arkansas,3,4,2,15,0,Dominic Nelson missed Layup.
SE Louisiana,Central Arkansas,3,4,2,15,0,C. Arkansas Defensive Rebound.
SE Louisiana,Central Arkansas,3,7,2,31,1,Derreck Brooks made Three Point Jumper. Assisted by Jordan Howard.
SE Louisiana,Central Arkansas,3,7,2,58,0,Joshua Filmore missed Three Point Jumper.
SE Louisiana,Central Arkansas,3,7,2,58,0,Jake Zuilhof Defensive Rebound.
SE Louisiana,Central Arkansas,3,7,3,9,0,Foul on Jordan Capps.
SE Louisiana,Central Arkansas,3,7,3,9,0,Mathieu Kamba missed Free Throw.
SE Louisiana,Central Arkansas,3,7,3,9,0,C. Arkansas Deadball Team Rebound.
SE Louisiana,Central Arkansas,3,8,3,9,1,Mathieu Kamba made Free Throw.
SE Louisiana,Central Arkansas,3,8,3,28,0,Foul on Derreck Brooks.
SE Louisiana,Central Arkansas,3,8,3,28,0,Jordan Capps missed Free Throw.
SE Louisiana,Central Arkansas,3,8,3,28,0,SE Louisiana Deadball Team Rebound.
SE Louisiana,Central Arkansas,3,8,3,28,0,Jordan Capps missed Free Throw.
SE Louisiana,Central Arkansas,3,8,3,28,0,Jake Zuilhof Defensive Rebound.
SE Louisiana,Central Arkansas,3,8,3,34,0,Mathieu Kamba Turnover.
SE Louisiana,Central Arkansas,3,8,3,34,0,Dimi Cook Steal.
SE Louisiana,Central Arkansas,5,8,3,36,1,Jordan Capps made Layup. Assisted by Dimi Cook.
SE Louisiana,Central Arkansas,5,11,3,49,1,Derreck Brooks made Three Point Jumper. Assisted by Justin Foreman.
SE Louisiana,Central Arkansas,5,11,4,10,0,Joshua Filmore missed Three Point Jumper.
SE Louisiana,Central Arkansas,5,11,4,10,0,Derreck Brooks Defensive Rebound.
SE Louisiana,Central Arkansas,5,14,4,16,1,Derreck Brooks made Three Point Jumper. Assisted by Justin Foreman.
SE Louisiana,Central Arkansas,8,14,4,48,1,Joshua Filmore made Three Point Jumper. Assisted by Zay Jackson.
