Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Temple,Cincinnati,0,0,0,0,0,Jump Ball won by Temple
Temple,Cincinnati,0,0,0,30,0,Devin Coleman missed Jumper.
Temple,Cincinnati,0,0,0,30,0,Jaylen Bond Offensive Rebound.
Temple,Cincinnati,2,0,0,35,1,Jaylen Bond made Layup.
Temple,Cincinnati,2,3,0,45,1,Troy Caupain made Three Point Jumper. Assisted by Coreontae DeBerry.
Temple,Cincinnati,2,3,1,7,0,Jaylen Bond missed Jumper.
Temple,Cincinnati,2,3,1,7,0,Obi Enechionyia Offensive Rebound.
Temple,Cincinnati,2,3,1,13,0,Foul on Gary Clark.
Temple,Cincinnati,2,3,1,13,0,Obi Enechionyia missed Free Throw.
Temple,Cincinnati,2,3,1,13,0,Temple Deadball Team Rebound.
Temple,Cincinnati,2,3,1,13,0,Obi Enechionyia missed Free Throw.
Temple,Cincinnati,2,3,1,13,0,Coreontae DeBerry Defensive Rebound.
Temple,Cincinnati,2,3,1,26,0,Jacob Evans missed Jumper.
Temple,Cincinnati,2,3,1,26,0,Temple Deadball Team Rebound.
Temple,Cincinnati,2,3,2,0,0,Quenton DeCosey Turnover.
Temple,Cincinnati,2,3,2,0,0,Troy Caupain Steal.
Temple,Cincinnati,2,3,2,5,0,Troy Caupain missed Layup.
Temple,Cincinnati,2,3,2,5,0,Jacob Evans Offensive Rebound.
Temple,Cincinnati,2,5,2,5,1,Jacob Evans made Two Point Tip Shot.
Temple,Cincinnati,2,5,2,18,0,Foul on Coreontae DeBerry.
Temple,Cincinnati,2,5,2,18,0,Jaylen Bond missed Free Throw.
Temple,Cincinnati,2,5,2,18,0,Temple Deadball Team Rebound.
Temple,Cincinnati,2,5,2,18,0,Jaylen Bond missed Free Throw.
Temple,Cincinnati,2,5,2,18,0,Obi Enechionyia Offensive Rebound.
Temple,Cincinnati,5,5,2,20,1,Devin Coleman made Three Point Jumper. Assisted by Obi Enechionyia.
Temple,Cincinnati,5,5,2,36,0,Coreontae DeBerry missed Jumper.
Temple,Cincinnati,5,5,2,36,0,Josh Brown Defensive Rebound.
Temple,Cincinnati,5,5,2,43,0,Josh Brown Turnover.
Temple,Cincinnati,5,5,2,51,0,Farad Cobb missed Layup.
Temple,Cincinnati,5,5,2,51,0,Coreontae DeBerry Offensive Rebound.
Temple,Cincinnati,5,7,2,51,1,Coreontae DeBerry made Two Point Tip Shot.
Temple,Cincinnati,5,7,3,15,0,Obi Enechionyia missed Three Point Jumper.
Temple,Cincinnati,5,7,3,15,0,Cincinnati Defensive Rebound.
Temple,Cincinnati,5,7,3,42,0,Shaq Thomas missed Jumper.
Temple,Cincinnati,5,7,3,42,0,Obi Enechionyia Defensive Rebound.
Temple,Cincinnati,7,7,3,55,1,Devin Coleman made Jumper.
Temple,Cincinnati,7,7,4,22,0,Coreontae DeBerry missed Jumper.
Temple,Cincinnati,7,7,4,22,0,Quenton DeCosey Defensive Rebound.
Temple,Cincinnati,7,7,4,42,0,Quenton DeCosey Turnover.
Temple,Cincinnati,7,7,4,42,0,Official TV Timeout
Temple,Cincinnati,7,9,4,49,1,Octavius Ellis made Dunk. Assisted by Jacob Evans.
Temple,Cincinnati,7,9,5,20,0,Devin Coleman missed Jumper.
Temple,Cincinnati,7,9,5,20,0,Troy Caupain Defensive Rebound.
Temple,Cincinnati,7,11,5,26,1,Troy Caupain made Jumper.
Temple,Cincinnati,7,11,5,39,0,Devin Coleman missed Three Point Jumper.
Temple,Cincinnati,7,11,5,39,0,Octavius Ellis Defensive Rebound.
Temple,Cincinnati,7,14,5,48,1,Jacob Evans made Three Point Jumper. Assisted by Troy Caupain.
Temple,Cincinnati,9,14,6,5,1,Quenton DeCosey made Dunk.
Temple,Cincinnati,9,14,6,43,0,Foul on Jaylen Bond.
Temple,Cincinnati,9,15,6,43,1,Octavius Ellis made Free Throw.
Temple,Cincinnati,9,16,6,43,1,Octavius Ellis made Free Throw.
Temple,Cincinnati,11,16,7,6,1,Josh Brown made Jumper.
Temple,Cincinnati,11,16,7,19,0,Kevin Johnson missed Jumper.
Temple,Cincinnati,11,16,7,19,0,Devin Coleman Block.
Temple,Cincinnati,11,16,7,19,0,Jaylen Bond Defensive Rebound.
Temple,Cincinnati,14,16,7,36,1,Devin Coleman made Three Point Jumper. Assisted by Jaylen Bond.
Temple,Cincinnati,14,16,8,3,0,Shaq Thomas Turnover.
Temple,Cincinnati,14,16,8,3,0,Official TV Timeout
Temple,Cincinnati,14,16,8,23,0,Jaylen Bond missed Jumper.
Temple,Cincinnati,14,16,8,23,0,Shaq Thomas Defensive Rebound.
Temple,Cincinnati,14,18,8,40,1,Justin Jenifer made Jumper.
Temple,Cincinnati,17,18,9,5,1,Devin Coleman made Three Point Jumper.
Temple,Cincinnati,17,18,9,14,0,Kevin Johnson missed Three Point Jumper.
Temple,Cincinnati,17,18,9,14,0,Josh Brown Defensive Rebound.
Temple,Cincinnati,19,18,9,22,1,Jaylen Bond made Layup. Assisted by Josh Brown.
Temple,Cincinnati,19,18,9,44,0,Kevin Johnson Turnover.
Temple,Cincinnati,19,18,10,6,0,Obi Enechionyia missed Jumper.
Temple,Cincinnati,19,18,10,6,0,Cincinnati Defensive Rebound.
Temple,Cincinnati,19,18,10,35,0,Shaq Thomas missed Jumper.
Temple,Cincinnati,19,18,10,35,0,Obi Enechionyia Block.
Temple,Cincinnati,19,18,10,35,0,Josh Brown Defensive Rebound.
Temple,Cincinnati,19,18,10,57,0,Josh Brown missed Three Point Jumper.
Temple,Cincinnati,19,18,10,57,0,Quenton DeCosey Offensive Rebound.
Temple,Cincinnati,21,18,11,2,1,Quenton DeCosey made Layup.
