Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Cleveland State,Oakland,0,0,0,26,0,Percy Gibson missed Layup.
Cleveland State,Oakland,0,0,0,26,0,Martez Walker Offensive Rebound.
Cleveland State,Oakland,0,0,0,34,0,Jalen Hayes Turnover.
Cleveland State,Oakland,0,0,0,36,0,Terrell Hales Steal.
Cleveland State,Oakland,0,0,1,2,0,Terrell Hales missed Three Point Jumper.
Cleveland State,Oakland,0,0,1,2,0,Jalen Hayes Defensive Rebound.
Cleveland State,Oakland,0,0,1,9,0,Kahlil Felder missed Three Point Jumper.
Cleveland State,Oakland,0,0,1,9,0,Terrell Hales Defensive Rebound.
Cleveland State,Oakland,0,0,1,31,0,Demonte Flannigan missed Three Point Jumper.
Cleveland State,Oakland,0,0,1,31,0,Vinny Zollo Offensive Rebound.
Cleveland State,Oakland,2,0,1,37,1,Vinny Zollo made Layup.
Cleveland State,Oakland,2,2,1,54,1,Martez Walker made Layup.
Cleveland State,Oakland,2,2,2,17,0,Vinny Zollo missed Three Point Jumper.
Cleveland State,Oakland,2,2,2,17,0,Sherron Dorsey-Walker Defensive Rebound.
Cleveland State,Oakland,2,4,2,26,1,Jalen Hayes made Jumper. Assisted by Sherron Dorsey-Walker.
Cleveland State,Oakland,2,4,2,45,0,Rob Edwards missed Layup.
Cleveland State,Oakland,2,4,2,45,0,Sherron Dorsey-Walker Defensive Rebound.
Cleveland State,Oakland,2,4,2,54,0,Martez Walker Turnover.
Cleveland State,Oakland,2,4,3,9,0,Demonte Flannigan missed Jumper.
Cleveland State,Oakland,2,4,3,9,0,Sherron Dorsey-Walker Defensive Rebound.
Cleveland State,Oakland,2,6,3,17,1,Sherron Dorsey-Walker made Jumper.
Cleveland State,Oakland,2,6,3,31,0,Rob Edwards missed Three Point Jumper.
Cleveland State,Oakland,2,6,3,31,0,Sherron Dorsey-Walker Defensive Rebound.
Cleveland State,Oakland,2,9,3,40,1,Max Hooper made Three Point Jumper. Assisted by Kahlil Felder.
Cleveland State,Oakland,2,9,4,3,0,Andre Yates Turnover.
Cleveland State,Oakland,2,9,4,3,0,Official TV Timeout
Cleveland State,Oakland,2,9,4,14,0,Percy Gibson Turnover.
Cleveland State,Oakland,2,9,4,16,0,Rob Edwards Steal.
Cleveland State,Oakland,2,9,4,19,0,Andre Yates missed Three Point Jumper.
Cleveland State,Oakland,2,9,4,19,0,Demonte Flannigan Offensive Rebound.
Cleveland State,Oakland,2,9,4,24,0,Demonte Flannigan missed Jumper.
Cleveland State,Oakland,2,9,4,24,0,Max Hooper Block.
Cleveland State,Oakland,2,9,4,26,0,Sherron Dorsey-Walker Defensive Rebound.
Cleveland State,Oakland,2,9,4,31,0,Sherron Dorsey-Walker Turnover.
Cleveland State,Oakland,2,9,4,33,0,Terrell Hales Steal.
Cleveland State,Oakland,2,9,4,36,0,Rob Edwards Turnover.
Cleveland State,Oakland,2,9,4,49,0,Sherron Dorsey-Walker missed Three Point Jumper.
Cleveland State,Oakland,2,9,4,49,0,Terrell Hales Defensive Rebound.
Cleveland State,Oakland,2,9,5,0,0,Foul on Sherron Dorsey-Walker.
Cleveland State,Oakland,4,9,5,24,1,Andre Yates made Jumper.
Cleveland State,Oakland,4,11,5,39,1,Kahlil Felder made Jumper.
Cleveland State,Oakland,4,11,5,55,0,Foul on Xavier Hill-Mais.
Cleveland State,Oakland,4,11,5,59,0,Andre Yates missed Three Point Jumper.
Cleveland State,Oakland,4,11,5,59,0,Oakland Defensive Rebound.
Cleveland State,Oakland,4,11,6,15,0,Foul on Jibri Blount.
Cleveland State,Oakland,4,11,6,35,0,Kahlil Felder Turnover.
Cleveland State,Oakland,4,11,6,36,0,Andre Yates Steal.
Cleveland State,Oakland,6,11,6,39,1,Rob Edwards made Dunk. Assisted by Andre Yates.
Cleveland State,Oakland,6,11,6,58,0,Nick Daniels missed Jumper.
Cleveland State,Oakland,6,11,6,58,0,Daniel Levitt Defensive Rebound.
Cleveland State,Oakland,8,11,7,21,1,Kenny Carpenter made Jumper.
Cleveland State,Oakland,8,13,7,32,1,Percy Gibson made Layup. Assisted by Kahlil Felder.
Cleveland State,Oakland,10,13,7,48,1,Kenny Carpenter made Jumper.
Cleveland State,Oakland,10,13,8,0,0,Foul on Daniel Levitt.
Cleveland State,Oakland,10,15,8,21,1,Percy Gibson made Layup. Assisted by Kahlil Felder.
Cleveland State,Oakland,12,15,8,33,1,Kenny Carpenter made Jumper.
Cleveland State,Oakland,12,15,8,44,0,Kahlil Felder missed Three Point Jumper.
Cleveland State,Oakland,12,15,8,44,0,Jibri Blount Defensive Rebound.
Cleveland State,Oakland,12,15,8,52,0,Kenny Carpenter missed Three Point Jumper.
Cleveland State,Oakland,12,15,8,52,0,Jibri Blount Offensive Rebound.
Cleveland State,Oakland,12,15,8,59,0,Jibri Blount missed Jumper.
Cleveland State,Oakland,12,15,8,59,0,Jalen Hayes Block.
Cleveland State,Oakland,12,15,8,59,0,Cleveland St Offensive Rebound.
Cleveland State,Oakland,14,15,9,1,1,Daniel Levitt made Jumper. Assisted by Rob Edwards.
Cleveland State,Oakland,14,15,9,14,0,Foul on Derek Sloan.
Cleveland State,Oakland,14,16,9,14,1,Jalen Hayes made Free Throw.
Cleveland State,Oakland,14,17,9,14,1,Jalen Hayes made Free Throw.
Cleveland State,Oakland,14,17,9,37,0,Daniel Levitt missed Three Point Jumper.
Cleveland State,Oakland,14,17,9,37,0,Oakland Deadball Team Rebound.
Cleveland State,Oakland,14,17,9,39,0,Foul on Derek Sloan.
Cleveland State,Oakland,14,17,9,56,0,Foul on Daniel Levitt.
Cleveland State,Oakland,14,19,10,7,1,Kahlil Felder made Jumper. Assisted by Sherron Dorsey-Walker.
Cleveland State,Oakland,14,19,10,26,0,Kenny Carpenter missed Three Point Jumper.
Cleveland State,Oakland,14,19,10,26,0,Martez Walker Defensive Rebound.
Cleveland State,Oakland,14,19,10,34,0,Foul on Demonte Flannigan.
Cleveland State,Oakland,14,20,10,34,1,Jalen Hayes made Free Throw.
Cleveland State,Oakland,14,21,10,34,1,Jalen Hayes made Free Throw.
Cleveland State,Oakland,14,21,10,50,0,Kenny Carpenter missed Jumper.
Cleveland State,Oakland,14,21,10,50,0,Jalen Hayes Defensive Rebound.
Cleveland State,Oakland,14,21,11,1,0,Foul on Aaron Scales.
Cleveland State,Oakland,14,22,11,1,1,Percy Gibson made Free Throw.
Cleveland State,Oakland,14,23,11,1,1,Percy Gibson made Free Throw.
Cleveland State,Oakland,14,23,11,10,0,Andre Yates Turnover.
Cleveland State,Oakland,14,23,11,30,0,Kahlil Felder Turnover.
Cleveland State,Oakland,14,23,11,48,0,Andre Yates missed Jumper.
Cleveland State,Oakland,14,23,11,48,0,Myles Hamilton Offensive Rebound.
Cleveland State,Oakland,14,23,11,55,0,Kenny Carpenter missed Jumper.
Cleveland State,Oakland,14,23,11,55,0,Jalen Hayes Defensive Rebound.
Cleveland State,Oakland,14,25,12,7,1,Kahlil Felder made Layup.
Cleveland State,Oakland,14,25,12,20,0,Foul on Kahlil Felder.
Cleveland State,Oakland,14,25,12,20,0,Official TV Timeout
Cleveland State,Oakland,15,25,12,20,1,Jibri Blount made Free Throw.
