Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Cleveland State,Toledo,0,0,0,19,0,Foul on Vinny Zollo.
Cleveland State,Toledo,0,0,0,19,0,Vinny Zollo Turnover.
Cleveland State,Toledo,0,3,0,29,1,Nate Navigato made Three Point Jumper. Assisted by Jonathan Williams.
Cleveland State,Toledo,0,3,0,54,0,Andre Yates missed Three Point Jumper.
Cleveland State,Toledo,0,3,0,54,0,Nathan Boothe Defensive Rebound.
Cleveland State,Toledo,0,3,1,8,0,Nathan Boothe missed Jumper.
Cleveland State,Toledo,0,3,1,8,0,Andre Yates Defensive Rebound.
Cleveland State,Toledo,2,3,1,24,1,Andre Yates made Layup.
Cleveland State,Toledo,2,3,1,32,0,Nate Navigato Turnover.
Cleveland State,Toledo,2,3,1,34,0,Rob Edwards Steal.
Cleveland State,Toledo,2,3,1,48,0,Demonte Flannigan missed Three Point Jumper.
Cleveland State,Toledo,2,3,1,48,0,Vinny Zollo Offensive Rebound.
Cleveland State,Toledo,4,3,1,53,1,Vinny Zollo made Layup.
Cleveland State,Toledo,4,5,2,5,1,Nate Navigato made Layup. Assisted by Nathan Boothe.
Cleveland State,Toledo,4,5,2,6,0,Foul on Andre Yates.
Cleveland State,Toledo,4,6,2,6,1,Nate Navigato made Free Throw.
Cleveland State,Toledo,4,6,2,31,0,Terrell Hales missed Jumper.
Cleveland State,Toledo,4,6,2,31,0,Nathan Boothe Defensive Rebound.
Cleveland State,Toledo,4,6,2,41,0,Foul on Nathan Boothe.
Cleveland State,Toledo,4,6,2,41,0,Nathan Boothe Turnover.
Cleveland State,Toledo,4,6,3,10,0,Demonte Flannigan Turnover.
Cleveland State,Toledo,4,6,3,17,0,Foul on Vinny Zollo.
Cleveland State,Toledo,4,9,3,32,1,Nathan Boothe made Three Point Jumper.
Cleveland State,Toledo,4,9,4,3,0,Terrell Hales missed Three Point Jumper.
Cleveland State,Toledo,4,9,4,3,0,Jonathan Williams Defensive Rebound.
Cleveland State,Toledo,4,9,4,9,0,Jonathan Williams missed Layup.
Cleveland State,Toledo,4,9,4,9,0,Demonte Flannigan Defensive Rebound.
Cleveland State,Toledo,4,9,4,16,0,Rob Edwards missed Layup.
Cleveland State,Toledo,4,9,4,16,0,Jaelan Sanford Defensive Rebound.
Cleveland State,Toledo,4,11,4,25,1,Jonathan Williams made Layup. Assisted by Jaelan Sanford.
Cleveland State,Toledo,4,11,4,32,0,Official TV Timeout
Cleveland State,Toledo,4,11,4,47,0,Foul on Jordan Lauf.
Cleveland State,Toledo,5,11,4,47,1,Demonte Flannigan made Free Throw.
Cleveland State,Toledo,5,11,4,47,0,Demonte Flannigan missed Free Throw.
Cleveland State,Toledo,5,11,4,47,0,Taylor Adway Defensive Rebound.
