Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Cornell,Columbia,0,0,0,31,0,Columbia  Turnover.
Cornell,Columbia,0,0,0,43,0,David Onuorah missed Layup.
Cornell,Columbia,0,0,0,43,0,Luke Petrasek Defensive Rebound.
Cornell,Columbia,0,0,1,9,0,Foul on Jordan Abdur-Ra'oof.
Cornell,Columbia,0,1,1,9,1,Maodo Lo made Free Throw.
Cornell,Columbia,0,2,1,9,1,Maodo Lo made Free Throw.
Cornell,Columbia,0,2,1,22,0,Matt Morgan Turnover.
Cornell,Columbia,0,2,1,24,0,Chris McComber Steal.
Cornell,Columbia,0,2,1,26,0,Maodo Lo Turnover.
Cornell,Columbia,0,2,1,44,0,Foul on Grant Mullins.
Cornell,Columbia,0,2,1,49,0,Matt Morgan missed Three Point Jumper.
Cornell,Columbia,0,2,1,49,0,Luke Petrasek Defensive Rebound.
Cornell,Columbia,0,2,2,16,0,Kyle Castlin missed Layup.
Cornell,Columbia,0,2,2,16,0,Troy Whiteside Defensive Rebound.
Cornell,Columbia,0,2,2,24,0,Foul on Darryl Smith.
Cornell,Columbia,0,2,2,24,0,Darryl Smith Turnover.
Cornell,Columbia,0,2,2,32,0,Maodo Lo Turnover.
Cornell,Columbia,3,2,2,42,1,Jordan Abdur-Ra'oof made Three Point Jumper. Assisted by Matt Morgan.
Cornell,Columbia,3,4,3,4,1,Kyle Castlin made Dunk.
Cornell,Columbia,3,4,3,14,0,Foul on Chris McComber.
Cornell,Columbia,3,4,3,14,0,Jordan Abdur-Ra'oof missed Free Throw.
Cornell,Columbia,3,4,3,14,0,Cornell Deadball Team Rebound.
Cornell,Columbia,4,4,3,14,1,Jordan Abdur-Ra'oof made Free Throw.
Cornell,Columbia,4,6,3,30,1,Maodo Lo made Layup.
Cornell,Columbia,7,6,3,39,1,Matt Morgan made Three Point Jumper.
Cornell,Columbia,7,6,3,51,0,Alex Rosenberg missed Layup.
Cornell,Columbia,7,6,3,51,0,Troy Whiteside Defensive Rebound.
Cornell,Columbia,10,6,3,57,1,Matt Morgan made Three Point Jumper. Assisted by Darryl Smith.
Cornell,Columbia,10,6,4,15,0,Chris McComber missed Three Point Jumper.
Cornell,Columbia,10,6,4,15,0,Alex Rosenberg Offensive Rebound.
Cornell,Columbia,10,8,4,17,1,Alex Rosenberg made Layup.
Cornell,Columbia,10,8,4,17,0,Foul on David Onuorah.
Cornell,Columbia,10,8,4,17,0,Official TV Timeout
Cornell,Columbia,10,9,4,17,1,Alex Rosenberg made Free Throw.
Cornell,Columbia,10,9,4,34,0,Matt Morgan missed Three Point Jumper.
Cornell,Columbia,10,9,4,34,0,CJ Davis Defensive Rebound.
Cornell,Columbia,10,9,4,59,0,Grant Mullins missed Three Point Jumper.
Cornell,Columbia,10,9,4,59,0,Alex Rosenberg Offensive Rebound.
Cornell,Columbia,10,9,5,3,0,Foul on Stone Gettings.
Cornell,Columbia,10,11,5,12,1,Alex Rosenberg made Layup. Assisted by Maodo Lo.
Cornell,Columbia,10,11,5,22,0,Matt Morgan missed Layup.
Cornell,Columbia,10,11,5,22,0,Jeff Coby Defensive Rebound.
Cornell,Columbia,10,11,5,28,0,Alex Rosenberg missed Layup.
Cornell,Columbia,10,11,5,28,0,Wil Bathurst Defensive Rebound.
Cornell,Columbia,10,11,5,35,0,Wil Bathurst missed Three Point Jumper.
Cornell,Columbia,10,11,5,35,0,Alex Rosenberg Defensive Rebound.
Cornell,Columbia,10,11,5,57,0,Grant Mullins missed Jumper.
Cornell,Columbia,10,11,5,57,0,Stone Gettings Defensive Rebound.
Cornell,Columbia,12,11,6,4,1,Matt Morgan made Layup.
Cornell,Columbia,12,11,6,34,0,CJ Davis missed Three Point Jumper.
Cornell,Columbia,12,11,6,34,0,Nate Hickman Offensive Rebound.
Cornell,Columbia,12,11,6,35,0,Foul on Wil Bathurst.
Cornell,Columbia,12,13,6,48,1,Grant Mullins made Jumper.
Cornell,Columbia,12,13,6,59,0,Stone Gettings missed Three Point Jumper.
Cornell,Columbia,12,13,6,59,0,Columbia Defensive Rebound.
Cornell,Columbia,12,13,7,27,0,Luke Petrasek Turnover.
Cornell,Columbia,12,13,7,28,0,Jordan Abdur-Ra'oof Steal.
