Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Villanova,Creighton,0,0,0,0,0,Jump Ball won by Villanova
Villanova,Creighton,0,0,0,15,0,Ryan Arcidiacono missed Three Point Jumper.
Villanova,Creighton,0,0,0,15,0,Khyri Thomas Defensive Rebound.
Villanova,Creighton,0,0,0,22,0,Khyri Thomas Turnover.
Villanova,Creighton,0,0,0,22,0,Josh Hart Steal.
Villanova,Creighton,0,0,0,27,0,Ryan Arcidiacono Turnover.
Villanova,Creighton,0,0,0,27,0,Maurice Watson Jr. Steal.
Villanova,Creighton,0,0,0,36,0,Isaiah Zierden missed Three Point Jumper.
Villanova,Creighton,0,0,0,36,0,Ryan Arcidiacono Defensive Rebound.
Villanova,Creighton,2,0,0,48,1,Daniel Ochefu made Jumper. Assisted by Kris Jenkins.
Villanova,Creighton,2,2,1,11,1,Maurice Watson Jr. made Layup.
Villanova,Creighton,2,2,1,11,0,Foul on Jalen Brunson.
Villanova,Creighton,2,3,1,11,1,Maurice Watson Jr. made Free Throw.
Villanova,Creighton,4,3,1,26,1,Daniel Ochefu made Layup. Assisted by Kris Jenkins.
Villanova,Creighton,4,3,1,32,0,Khyri Thomas Turnover.
Villanova,Creighton,4,3,1,32,0,Ryan Arcidiacono Steal.
Villanova,Creighton,6,3,1,41,1,Josh Hart made Layup. Assisted by Kris Jenkins.
Villanova,Creighton,6,5,2,2,1,Isaiah Zierden made Layup. Assisted by Maurice Watson Jr..
Villanova,Creighton,8,5,2,31,1,Daniel Ochefu made Dunk. Assisted by Kris Jenkins.
Villanova,Creighton,8,7,2,50,1,Geoffrey Groselle made Layup. Assisted by Isaiah Zierden.
Villanova,Creighton,10,7,3,8,1,Daniel Ochefu made Jumper. Assisted by Kris Jenkins.
Villanova,Creighton,10,7,3,42,0,Maurice Watson Jr. missed Layup.
Villanova,Creighton,10,7,3,42,0,Kris Jenkins Defensive Rebound.
Villanova,Creighton,10,7,3,42,0,Foul on Maurice Watson Jr..
Villanova,Creighton,10,7,3,53,0,Mikal Bridges missed Three Point Jumper.
Villanova,Creighton,10,7,3,53,0,Khyri Thomas Defensive Rebound.
Villanova,Creighton,10,7,4,0,0,Isaiah Zierden missed Three Point Jumper.
Villanova,Creighton,10,7,4,0,0,Mikal Bridges Defensive Rebound.
Villanova,Creighton,10,7,4,13,0,Jalen Brunson Turnover.
Villanova,Creighton,10,7,4,13,0,Maurice Watson Jr. Steal.
Villanova,Creighton,10,9,4,24,1,Cole Huff made Jumper.
Villanova,Creighton,10,9,4,46,0,Kris Jenkins missed Three Point Jumper.
Villanova,Creighton,10,9,4,46,0,Geoffrey Groselle Defensive Rebound.
Villanova,Creighton,10,9,4,57,0,Foul on Mikal Bridges.
Villanova,Creighton,10,9,4,57,0,Official TV Timeout
Villanova,Creighton,10,9,5,23,0,Cole Huff missed Three Point Jumper.
Villanova,Creighton,10,9,5,23,0,Mikal Bridges Defensive Rebound.
Villanova,Creighton,10,9,5,24,0,Foul on Zach Hanson.
Villanova,Creighton,10,9,5,42,0,Foul on Darryl Reynolds.
Villanova,Creighton,10,9,5,42,0,Darryl Reynolds Turnover.
Villanova,Creighton,10,11,5,59,1,Cole Huff made Jumper.
Villanova,Creighton,10,11,6,25,0,Ryan Arcidiacono missed Three Point Jumper.
Villanova,Creighton,10,11,6,25,0,Khyri Thomas Defensive Rebound.
Villanova,Creighton,10,11,6,33,0,Khyri Thomas missed Three Point Jumper.
Villanova,Creighton,10,11,6,33,0,Mikal Bridges Defensive Rebound.
Villanova,Creighton,12,11,6,42,1,Ryan Arcidiacono made Layup.
Villanova,Creighton,12,11,6,52,0,Khyri Thomas missed Jumper.
Villanova,Creighton,12,11,6,52,0,Darryl Reynolds Defensive Rebound.
Villanova,Creighton,12,11,7,2,0,Foul on Maurice Watson Jr..
Villanova,Creighton,14,11,7,6,1,Daniel Ochefu made Layup.
Villanova,Creighton,14,11,7,13,0,Malik Albert Turnover.
Villanova,Creighton,14,11,7,13,0,Daniel Ochefu Steal.
Villanova,Creighton,14,11,7,14,0,Daniel Ochefu Turnover.
Villanova,Creighton,14,13,7,24,1,Cole Huff made Jumper.
Villanova,Creighton,16,13,7,52,1,Josh Hart made Jumper.
Villanova,Creighton,16,15,8,8,1,Cole Huff made Jumper. Assisted by Isaiah Zierden.
