Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Dayton,Saint Louis,0,0,0,23,0,Scoochie Smith missed Three Point Jumper.
Dayton,Saint Louis,0,0,0,23,0,Mike Crawford Defensive Rebound.
Dayton,Saint Louis,0,0,0,57,0,Saint Louis  Turnover.
Dayton,Saint Louis,0,0,1,19,0,Steve McElvene Turnover.
Dayton,Saint Louis,0,0,1,20,0,Aaron Hines Steal.
Dayton,Saint Louis,0,3,1,26,1,Ash Yacoubou made Three Point Jumper. Assisted by Jermaine Bishop.
Dayton,Saint Louis,0,3,1,47,0,Dyshawn Pierre Turnover.
Dayton,Saint Louis,0,3,1,48,0,Ash Yacoubou Steal.
Dayton,Saint Louis,0,5,1,50,1,Ash Yacoubou made Layup.
Dayton,Saint Louis,0,5,2,22,0,Dyshawn Pierre missed Three Point Jumper.
Dayton,Saint Louis,0,5,2,22,0,Aaron Hines Defensive Rebound.
Dayton,Saint Louis,0,7,2,33,1,Aaron Hines made Layup.
Dayton,Saint Louis,0,7,2,34,0,Dayton  Timeout
Dayton,Saint Louis,2,7,2,34,1,Steve McElvene made Layup.
Dayton,Saint Louis,2,7,3,0,0,Foul on Scoochie Smith.
Dayton,Saint Louis,2,7,3,6,0,Reggie Agbeko Turnover.
Dayton,Saint Louis,2,7,3,6,0,Foul on Reggie Agbeko.
Dayton,Saint Louis,2,7,3,29,0,Kyle Davis missed Jumper.
Dayton,Saint Louis,2,7,3,29,0,Reggie Agbeko Defensive Rebound.
Dayton,Saint Louis,2,7,3,55,0,Foul on Steve McElvene.
Dayton,Saint Louis,2,7,3,55,0,Reggie Agbeko missed Free Throw.
Dayton,Saint Louis,2,7,3,55,0,Saint Louis Deadball Team Rebound.
Dayton,Saint Louis,2,8,3,55,1,Reggie Agbeko made Free Throw.
Dayton,Saint Louis,2,8,4,14,0,Sam Miller Turnover.
Dayton,Saint Louis,2,8,4,15,0,Marcus Bartley Steal.
Dayton,Saint Louis,2,8,4,18,0,Marcus Bartley missed Layup.
Dayton,Saint Louis,2,8,4,18,0,Charles Cooke Block.
Dayton,Saint Louis,2,8,4,21,0,Dyshawn Pierre Defensive Rebound.
Dayton,Saint Louis,2,8,4,23,0,Darrell Davis missed Layup.
Dayton,Saint Louis,2,8,4,23,0,Mike Crawford Defensive Rebound.
Dayton,Saint Louis,2,8,4,42,0,Aaron Hines missed Layup.
Dayton,Saint Louis,2,8,4,42,0,Dyshawn Pierre Defensive Rebound.
Dayton,Saint Louis,2,8,4,49,0,Foul on Charles Cooke.
Dayton,Saint Louis,2,8,4,49,0,Charles Cooke Turnover.
Dayton,Saint Louis,2,8,4,49,0,Official TV Timeout
Dayton,Saint Louis,2,8,5,10,0,Reggie Agbeko missed Jumper.
Dayton,Saint Louis,2,8,5,10,0,Dyshawn Pierre Defensive Rebound.
Dayton,Saint Louis,2,8,5,35,0,Dyshawn Pierre Turnover.
Dayton,Saint Louis,2,8,5,36,0,Aaron Hines Steal.
Dayton,Saint Louis,2,8,5,56,0,Marcus Bartley missed Three Point Jumper.
Dayton,Saint Louis,2,8,5,56,0,Dyshawn Pierre Defensive Rebound.
Dayton,Saint Louis,2,8,6,18,0,John Crosby missed Jumper.
Dayton,Saint Louis,2,8,6,18,0,Milik Yarbrough Defensive Rebound.
Dayton,Saint Louis,2,8,6,32,0,Jermaine Bishop Turnover.
Dayton,Saint Louis,2,8,6,33,0,Charles Cooke Steal.
Dayton,Saint Louis,2,8,6,37,0,Charles Cooke Turnover.
Dayton,Saint Louis,2,8,6,38,0,Jermaine Bishop Steal.
Dayton,Saint Louis,2,8,6,40,0,Foul on Kyle Davis.
Dayton,Saint Louis,2,8,6,48,0,Matt Neufeld missed Layup.
Dayton,Saint Louis,2,8,6,48,0,Kyle Davis Block.
Dayton,Saint Louis,2,8,6,51,0,Sam Miller Defensive Rebound.
Dayton,Saint Louis,2,8,7,1,0,Kyle Davis Turnover.
Dayton,Saint Louis,2,8,7,12,0,Ash Yacoubou missed Three Point Jumper.
Dayton,Saint Louis,2,8,7,12,0,Scoochie Smith Defensive Rebound.
Dayton,Saint Louis,2,8,7,32,0,Charles Cooke missed Three Point Jumper.
Dayton,Saint Louis,2,8,7,32,0,Davell Roby Defensive Rebound.
Dayton,Saint Louis,2,8,8,0,0,Jermaine Bishop missed Jumper.
Dayton,Saint Louis,2,8,8,0,0,Steve McElvene Block.
Dayton,Saint Louis,2,8,8,2,0,Charles Cooke Defensive Rebound.
Dayton,Saint Louis,2,8,8,6,0,Darrell Davis missed Three Point Jumper.
Dayton,Saint Louis,2,8,8,6,0,Jermaine Bishop Defensive Rebound.
Dayton,Saint Louis,2,8,8,24,0,Official TV Timeout
Dayton,Saint Louis,2,8,8,38,0,Milik Yarbrough Turnover.
Dayton,Saint Louis,2,8,8,56,0,Foul on Jermaine Bishop.
Dayton,Saint Louis,4,8,9,14,1,Darrell Davis made Layup.
Dayton,Saint Louis,4,10,9,23,1,Milik Yarbrough made Jumper.
Dayton,Saint Louis,4,10,9,29,0,Scoochie Smith Turnover.
Dayton,Saint Louis,4,12,9,39,1,Milik Yarbrough made Jumper.
Dayton,Saint Louis,4,12,9,58,0,Scoochie Smith Turnover.
Dayton,Saint Louis,4,12,9,59,0,Mike Crawford Steal.
Dayton,Saint Louis,4,12,10,7,0,Davell Roby missed Three Point Jumper.
Dayton,Saint Louis,4,12,10,7,0,Darrell Davis Defensive Rebound.
Dayton,Saint Louis,4,12,10,29,0,Scoochie Smith missed Layup.
Dayton,Saint Louis,4,12,10,29,0,Milik Yarbrough Defensive Rebound.
Dayton,Saint Louis,4,12,10,35,0,Milik Yarbrough missed Layup.
Dayton,Saint Louis,4,12,10,35,0,Steve McElvene Defensive Rebound.
Dayton,Saint Louis,4,12,10,47,0,Scoochie Smith Turnover.
Dayton,Saint Louis,4,12,11,2,0,Ash Yacoubou missed Jumper.
Dayton,Saint Louis,4,12,11,2,0,John Crosby Defensive Rebound.
Dayton,Saint Louis,6,12,11,10,1,John Crosby made Layup.
Dayton,Saint Louis,6,12,11,26,0,Foul on Davell Roby.
Dayton,Saint Louis,6,12,11,26,0,Davell Roby Turnover.
Dayton,Saint Louis,9,12,11,42,1,Bobby Wehrli made Three Point Jumper. Assisted by John Crosby.
Dayton,Saint Louis,9,12,11,56,0,Foul on Ryan Mikesell.
Dayton,Saint Louis,9,12,12,12,0,Aaron Hines missed Jumper.
Dayton,Saint Louis,9,12,12,12,0,Charles Cooke Defensive Rebound.
Dayton,Saint Louis,9,12,12,20,0,Darrell Davis Turnover.
Dayton,Saint Louis,9,12,12,20,0,Official TV Timeout
Dayton,Saint Louis,9,12,12,40,0,Matt Neufeld missed Dunk.
Dayton,Saint Louis,9,12,12,40,0,John Crosby Defensive Rebound.
