Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Delaware,Villanova,3,0,0,16,1,Cazmon Hayes made Three Point Jumper. Assisted by Anthony Mosley.
Delaware,Villanova,3,0,0,45,0,Daniel Ochefu Turnover.
Delaware,Villanova,3,0,0,46,0,Cazmon Hayes Steal.
Delaware,Villanova,6,0,0,53,1,Kory Holden made Three Point Jumper. Assisted by Cazmon Hayes.
Delaware,Villanova,6,2,1,17,1,Daniel Ochefu made Jumper. Assisted by Josh Hart.
Delaware,Villanova,9,2,1,32,1,Kory Holden made Three Point Jumper. Assisted by Anthony Mosley.
Delaware,Villanova,9,2,1,59,0,Daniel Ochefu missed Jumper.
Delaware,Villanova,9,2,1,59,0,Anthony Mosley Defensive Rebound.
Delaware,Villanova,9,2,2,6,0,Foul on Anthony Mosley.
Delaware,Villanova,9,2,2,6,0,Anthony Mosley Turnover.
Delaware,Villanova,9,2,2,22,0,Ryan Arcidiacono missed Three Point Jumper.
Delaware,Villanova,9,2,2,22,0,Ryan Arcidiacono Offensive Rebound.
Delaware,Villanova,9,2,2,39,0,Foul on Daniel Ochefu.
Delaware,Villanova,9,2,2,39,0,Daniel Ochefu Turnover.
Delaware,Villanova,12,2,2,52,1,Kory Holden made Three Point Jumper. Assisted by Cazmon Hayes.
Delaware,Villanova,12,2,3,14,0,Kris Jenkins missed Three Point Jumper.
Delaware,Villanova,12,2,3,14,0,Josh Hart Offensive Rebound.
Delaware,Villanova,12,2,3,38,0,Phil Booth missed Three Point Jumper.
Delaware,Villanova,12,2,3,38,0,Josh Hart Offensive Rebound.
Delaware,Villanova,12,4,3,43,1,Ryan Arcidiacono made Jumper. Assisted by Josh Hart.
Delaware,Villanova,12,4,4,2,0,Kory Holden Turnover.
Delaware,Villanova,12,4,4,2,0,Official TV Timeout
Delaware,Villanova,12,7,4,26,1,Josh Hart made Three Point Jumper. Assisted by Phil Booth.
Delaware,Villanova,12,7,4,43,0,Kory Holden Turnover.
Delaware,Villanova,12,10,4,57,1,Jalen Brunson made Three Point Jumper. Assisted by Phil Booth.
Delaware,Villanova,12,10,5,9,0,Cazmon Hayes missed Layup.
Delaware,Villanova,12,10,5,9,0,Daniel Ochefu Defensive Rebound.
Delaware,Villanova,12,13,5,21,1,Jalen Brunson made Three Point Jumper. Assisted by Ryan Arcidiacono.
Delaware,Villanova,12,13,5,41,0,Foul on Kory Holden.
Delaware,Villanova,12,13,5,41,0,Kory Holden Turnover.
Delaware,Villanova,12,16,6,1,1,Jalen Brunson made Three Point Jumper. Assisted by Mikal Bridges.
Delaware,Villanova,12,16,6,28,0,Marvin King-Davis missed Jumper.
