Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Western Kentucky,Drake,0,0,0,17,0,Reed Timmer missed Jumper.
Western Kentucky,Drake,0,0,0,17,0,Chris McNeal Defensive Rebound.
Western Kentucky,Drake,2,0,0,44,1,Justin Johnson made Layup.
Western Kentucky,Drake,2,0,1,0,0,Kale Abrahamson missed Three Point Jumper.
Western Kentucky,Drake,2,0,1,0,0,Jacob Enevold Jensen Offensive Rebound.
Western Kentucky,Drake,2,0,1,12,0,Reed Timmer missed Layup.
Western Kentucky,Drake,2,0,1,12,0,Western Kentucky Defensive Rebound.
Western Kentucky,Drake,4,0,1,33,1,Aaron Cosby made Jumper.
Western Kentucky,Drake,4,2,2,1,1,Kale Abrahamson made Layup.
Western Kentucky,Drake,4,2,2,31,0,Fredrick Edmond missed Jumper.
Western Kentucky,Drake,4,2,2,31,0,Jacob Enevold Jensen Block.
Western Kentucky,Drake,4,2,2,32,0,Jacob Enevold Jensen Defensive Rebound.
Western Kentucky,Drake,4,2,2,35,0,Reed Timmer missed Jumper.
Western Kentucky,Drake,4,2,2,35,0,Western Kentucky Defensive Rebound.
Western Kentucky,Drake,4,2,2,42,0,Chris McNeal missed Three Point Jumper.
Western Kentucky,Drake,4,2,2,42,0,Jacob Enevold Jensen Defensive Rebound.
Western Kentucky,Drake,4,2,2,54,0,Graham Woodward Turnover.
Western Kentucky,Drake,4,2,3,4,0,Aaron Cosby missed Three Point Jumper.
Western Kentucky,Drake,4,2,3,4,0,Kale Abrahamson Defensive Rebound.
Western Kentucky,Drake,4,4,3,28,1,Kale Abrahamson made Layup.
Western Kentucky,Drake,6,4,3,39,1,Fredrick Edmond made Layup.
Western Kentucky,Drake,6,6,4,9,1,Kale Abrahamson made Layup.
Western Kentucky,Drake,8,6,4,30,1,Justin Johnson made Jumper.
Western Kentucky,Drake,8,6,4,55,0,Kale Abrahamson missed Jumper.
Western Kentucky,Drake,8,6,4,55,0,Fredrick Edmond Defensive Rebound.
Western Kentucky,Drake,8,6,5,3,0,Foul on Graham Woodward.
Western Kentucky,Drake,8,6,5,11,0,Justin Johnson missed Jumper.
Western Kentucky,Drake,8,6,5,11,0,C.J. Rivers Defensive Rebound.
Western Kentucky,Drake,8,6,5,17,0,Ben Lawson Block.
Western Kentucky,Drake,8,6,5,17,0,Kale Abrahamson missed Layup.
Western Kentucky,Drake,8,6,5,17,0,Official TV Timeout
Western Kentucky,Drake,8,6,5,20,0,Chris Harrison-Docks Defensive Rebound.
Western Kentucky,Drake,8,6,5,24,0,Nigel Snipes missed Three Point Jumper.
Western Kentucky,Drake,8,6,5,24,0,Kale Abrahamson Defensive Rebound.
Western Kentucky,Drake,8,9,5,53,1,Kale Abrahamson made Three Point Jumper. Assisted by Graham Woodward.
Western Kentucky,Drake,10,9,6,14,1,Fredrick Edmond made Layup.
