Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Belmont,Evansville,0,2,0,12,1,D.J. Balentine made Jumper. Assisted by Blake Simmons.
Belmont,Evansville,0,2,0,26,0,Amanze Egekeze missed Three Point Jumper.
Belmont,Evansville,0,2,0,26,0,Egidijus Mockevicius Defensive Rebound.
Belmont,Evansville,0,2,0,42,0,Egidijus Mockevicius missed Layup.
Belmont,Evansville,0,2,0,42,0,Evan Bradds Defensive Rebound.
Belmont,Evansville,2,2,0,48,1,Amanze Egekeze made Layup. Assisted by Craig Bradshaw.
Belmont,Evansville,2,4,1,18,1,Egidijus Mockevicius made Layup. Assisted by Jaylon Brown.
Belmont,Evansville,2,4,1,30,0,Taylor Barnette missed Three Point Jumper.
Belmont,Evansville,2,4,1,30,0,Evan Bradds Offensive Rebound.
Belmont,Evansville,2,4,1,54,0,Amanze Egekeze missed Three Point Jumper.
Belmont,Evansville,2,4,1,54,0,Egidijus Mockevicius Defensive Rebound.
Belmont,Evansville,2,6,2,1,1,Jaylon Brown made Layup.
Belmont,Evansville,4,6,2,15,1,Taylor Barnette made Layup. Assisted by Austin Luke.
Belmont,Evansville,4,6,2,30,0,Foul on Amanze Egekeze.
Belmont,Evansville,4,7,2,30,1,Egidijus Mockevicius made Free Throw.
Belmont,Evansville,4,8,2,30,1,Egidijus Mockevicius made Free Throw.
Belmont,Evansville,4,8,2,41,0,Foul on Jaylon Brown.
Belmont,Evansville,4,8,2,48,0,Craig Bradshaw missed Jumper.
Belmont,Evansville,4,8,2,48,0,Amanze Egekeze Offensive Rebound.
Belmont,Evansville,4,8,3,4,0,Foul on Egidijus Mockevicius.
Belmont,Evansville,5,8,3,4,1,Amanze Egekeze made Free Throw.
Belmont,Evansville,6,8,3,4,1,Amanze Egekeze made Free Throw.
Belmont,Evansville,6,8,3,19,0,D.J. Balentine missed Jumper.
Belmont,Evansville,6,8,3,19,0,Evan Bradds Defensive Rebound.
Belmont,Evansville,8,8,3,35,1,Evan Bradds made Layup. Assisted by Craig Bradshaw.
Belmont,Evansville,8,8,3,49,0,Adam Wing missed Jumper.
Belmont,Evansville,8,8,3,49,0,Craig Bradshaw Defensive Rebound.
Belmont,Evansville,10,8,3,57,1,Craig Bradshaw made Layup.
Belmont,Evansville,10,8,4,13,0,David Howard missed Jumper.
Belmont,Evansville,10,8,4,13,0,Craig Bradshaw Defensive Rebound.
Belmont,Evansville,10,8,4,21,0,Craig Bradshaw Turnover.
Belmont,Evansville,10,8,4,23,0,David Howard Steal.
Belmont,Evansville,10,8,4,26,0,Official TV Timeout
Belmont,Evansville,10,8,4,35,0,David Howard missed Jumper.
Belmont,Evansville,10,8,4,35,0,Kevin McClain Defensive Rebound.
Belmont,Evansville,10,8,4,51,0,Foul on David Howard.
Belmont,Evansville,10,8,5,8,0,Kevin McClain Turnover.
Belmont,Evansville,10,8,5,10,0,Mislav Brzoja Steal.
Belmont,Evansville,10,8,5,15,0,Foul on Dylan Windler.
Belmont,Evansville,10,9,5,15,1,Mislav Brzoja made Free Throw.
Belmont,Evansville,10,10,5,15,1,Mislav Brzoja made Free Throw.
Belmont,Evansville,10,10,5,28,0,Dylan Windler missed Three Point Jumper.
Belmont,Evansville,10,10,5,28,0,Adam Wing Defensive Rebound.
Belmont,Evansville,10,12,5,56,1,D.J. Balentine made Layup.
Belmont,Evansville,12,12,6,19,1,Evan Bradds made Layup.
Belmont,Evansville,12,12,6,27,0,D.J. Balentine missed Three Point Jumper.
Belmont,Evansville,12,12,6,27,0,Kevin McClain Defensive Rebound.
