Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fordham,Massachusetts,2,0,0,26,1,Christian Sengfelder made Layup. Assisted by Joseph Chartouny.
Fordham,Massachusetts,2,2,0,52,1,Tyler Bergantino made Dunk. Assisted by Antwan Space.
Fordham,Massachusetts,2,2,1,23,0,Christian Sengfelder missed Three Point Jumper.
Fordham,Massachusetts,2,2,1,23,0,C.J. Anderson Defensive Rebound.
Fordham,Massachusetts,2,2,1,50,0,Trey Davis missed Three Point Jumper.
Fordham,Massachusetts,2,2,1,50,0,C.J. Anderson Offensive Rebound.
Fordham,Massachusetts,2,2,1,59,0,Foul on Joseph Chartouny.
Fordham,Massachusetts,2,2,2,9,0,C.J. Anderson missed Three Point Jumper.
Fordham,Massachusetts,2,2,2,9,0,Ryan Rhoomes Defensive Rebound.
Fordham,Massachusetts,2,2,2,24,0,Ryan Rhoomes missed Jumper.
Fordham,Massachusetts,2,2,2,24,0,C.J. Anderson Defensive Rebound.
Fordham,Massachusetts,2,2,2,33,0,Donte Clark missed Three Point Jumper.
Fordham,Massachusetts,2,2,2,33,0,Joseph Chartouny Defensive Rebound.
Fordham,Massachusetts,5,2,2,42,1,Christian Sengfelder made Three Point Jumper. Assisted by Joseph Chartouny.
Fordham,Massachusetts,5,4,2,58,1,Donte Clark made Layup. Assisted by C.J. Anderson.
Fordham,Massachusetts,5,4,3,20,0,Ryan Rhoomes missed Jumper.
Fordham,Massachusetts,5,4,3,20,0,Antwan Space Defensive Rebound.
Fordham,Massachusetts,5,4,3,31,0,Donte Clark missed Three Point Jumper.
Fordham,Massachusetts,5,4,3,31,0,Ryan Rhoomes Defensive Rebound.
Fordham,Massachusetts,5,4,3,42,0,Christian Sengfelder missed Three Point Jumper.
Fordham,Massachusetts,5,4,3,42,0,Tyler Bergantino Defensive Rebound.
Fordham,Massachusetts,5,4,3,51,0,Foul on Mandell Thomas.
Fordham,Massachusetts,5,4,4,7,0,Donte Clark missed Three Point Jumper.
Fordham,Massachusetts,5,4,4,7,0,Joseph Chartouny Defensive Rebound.
Fordham,Massachusetts,5,4,4,23,0,Mandell Thomas missed Three Point Jumper.
Fordham,Massachusetts,5,4,4,23,0,Donte Clark Defensive Rebound.
Fordham,Massachusetts,5,4,4,31,0,Donte Clark Turnover.
Fordham,Massachusetts,5,4,4,33,0,Christian Sengfelder Steal.
Fordham,Massachusetts,5,4,4,36,0,Christian Sengfelder missed Layup.
Fordham,Massachusetts,5,4,4,36,0,Mandell Thomas Offensive Rebound.
Fordham,Massachusetts,7,4,4,41,1,Mandell Thomas made Layup.
Fordham,Massachusetts,7,4,5,5,0,Foul on Antwan Space.
Fordham,Massachusetts,7,4,5,5,0,Antwan Space Turnover.
Fordham,Massachusetts,7,4,5,5,0,Official TV Timeout
Fordham,Massachusetts,7,4,5,33,0,Christian Sengfelder missed Jumper.
Fordham,Massachusetts,7,4,5,33,0,Trey Davis Defensive Rebound.
Fordham,Massachusetts,7,4,5,47,0,C.J. Anderson missed Jumper.
Fordham,Massachusetts,7,4,5,47,0,Mandell Thomas Block.
Fordham,Massachusetts,7,4,5,50,0,C.J. Anderson Offensive Rebound.
Fordham,Massachusetts,7,6,5,52,1,C.J. Anderson made Jumper.
Fordham,Massachusetts,7,6,6,14,0,Ryan Rhoomes Turnover.
Fordham,Massachusetts,7,6,6,24,0,Seth Berger missed Layup.
Fordham,Massachusetts,7,6,6,24,0,Rashaan Holloway Offensive Rebound.
Fordham,Massachusetts,7,6,6,41,0,Jabarie Hinds missed Three Point Jumper.
Fordham,Massachusetts,7,6,6,41,0,Rashaan Holloway Offensive Rebound.
Fordham,Massachusetts,7,9,6,45,1,Trey Davis made Three Point Jumper. Assisted by C.J. Anderson.
Fordham,Massachusetts,7,9,6,55,0,Foul on Trey Davis.
Fordham,Massachusetts,10,9,7,12,1,David Pekarek made Three Point Jumper. Assisted by Joseph Chartouny.
Fordham,Massachusetts,10,11,7,22,1,Rashaan Holloway made Dunk. Assisted by Seth Berger.
Fordham,Massachusetts,10,11,7,41,0,Foul on Donte Clark.
Fordham,Massachusetts,11,11,7,41,1,Nemanja Zarkovic made Free Throw.
Fordham,Massachusetts,11,11,7,41,0,Nemanja Zarkovic missed Free Throw.
Fordham,Massachusetts,11,11,7,41,0,Seth Berger Defensive Rebound.
Fordham,Massachusetts,11,11,7,46,0,Foul on Jon Severe.
Fordham,Massachusetts,11,14,8,5,1,Donte Clark made Three Point Jumper. Assisted by C.J. Anderson.
Fordham,Massachusetts,11,14,8,10,0,Official TV Timeout
Fordham,Massachusetts,14,14,8,32,1,David Pekarek made Three Point Jumper. Assisted by Mandell Thomas.
Fordham,Massachusetts,14,14,8,53,0,Donte Clark Turnover.
Fordham,Massachusetts,14,14,8,54,0,David Pekarek Steal.
Fordham,Massachusetts,14,14,9,4,0,Foul on Rashaan Holloway.
Fordham,Massachusetts,16,14,9,7,1,Jon Severe made Layup. Assisted by Mandell Thomas.
Fordham,Massachusetts,16,14,9,18,0,Donte Clark missed Three Point Jumper.
Fordham,Massachusetts,16,14,9,18,0,Zach Coleman Offensive Rebound.
Fordham,Massachusetts,16,14,9,29,0,Foul on David Pekarek.
Fordham,Massachusetts,16,15,9,29,1,Zach Coleman made Free Throw.
Fordham,Massachusetts,16,15,9,29,0,Zach Coleman missed Free Throw.
Fordham,Massachusetts,16,15,9,29,0,David Pekarek Defensive Rebound.
