Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Richmond,Fordham,0,0,0,0,0,Jump Ball won by Fordham
Richmond,Fordham,0,2,0,15,1,Joseph Chartouny made Layup.
Richmond,Fordham,0,2,0,43,0,T.J. Cline missed Jumper.
Richmond,Fordham,0,2,0,43,0,Antwoine Anderson Defensive Rebound.
Richmond,Fordham,0,2,1,8,0,Antwoine Anderson missed Three Point Jumper.
Richmond,Fordham,0,2,1,8,0,Ryan Rhoomes Offensive Rebound.
Richmond,Fordham,0,2,1,25,0,Joseph Chartouny missed Layup.
Richmond,Fordham,0,2,1,25,0,Ryan Rhoomes Offensive Rebound.
Richmond,Fordham,0,4,1,28,1,Ryan Rhoomes made Layup.
Richmond,Fordham,0,4,1,41,0,Trey Davis missed Three Point Jumper.
Richmond,Fordham,0,4,1,41,0,Ryan Rhoomes Defensive Rebound.
Richmond,Fordham,0,4,1,55,0,Joseph Chartouny missed Layup.
Richmond,Fordham,0,4,1,55,0,Khwan Fore Defensive Rebound.
Richmond,Fordham,2,4,2,1,1,Khwan Fore made Layup.
Richmond,Fordham,2,4,2,1,0,Foul on Antwoine Anderson.
Richmond,Fordham,3,4,2,1,1,Khwan Fore made Free Throw.
Richmond,Fordham,3,6,2,31,1,Antwoine Anderson made Layup. Assisted by Ryan Rhoomes.
Richmond,Fordham,5,6,2,39,1,T.J. Cline made Layup. Assisted by Trey Davis.
Richmond,Fordham,5,6,3,0,0,Christian Sengfelder missed Three Point Jumper.
Richmond,Fordham,5,6,3,0,0,T.J. Cline Defensive Rebound.
Richmond,Fordham,7,6,3,25,1,ShawnDre' Jones made Jumper. Assisted by Terry Allen.
Richmond,Fordham,7,6,3,38,0,Antwoine Anderson Turnover.
Richmond,Fordham,7,6,3,50,0,Foul on Ryan Rhoomes.
Richmond,Fordham,9,6,3,55,1,Khwan Fore made Layup. Assisted by T.J. Cline.
Richmond,Fordham,9,6,4,29,0,Ryan Rhoomes missed Jumper.
Richmond,Fordham,9,6,4,29,0,Khwan Fore Defensive Rebound.
Richmond,Fordham,11,6,4,36,1,T.J. Cline made Layup. Assisted by Khwan Fore.
Richmond,Fordham,11,6,4,58,0,Christian Sengfelder missed Three Point Jumper.
Richmond,Fordham,11,6,4,58,0,T.J. Cline Defensive Rebound.
Richmond,Fordham,11,6,5,22,0,Khwan Fore missed Layup.
Richmond,Fordham,11,6,5,22,0,Christian Sengfelder Defensive Rebound.
Richmond,Fordham,11,6,5,41,0,David Pekarek missed Three Point Jumper.
Richmond,Fordham,11,6,5,41,0,ShawnDre' Jones Defensive Rebound.
Richmond,Fordham,11,6,5,50,0,ShawnDre' Jones missed Jumper.
Richmond,Fordham,11,6,5,50,0,Fordham Deadball Team Rebound.
Richmond,Fordham,11,6,5,54,0,Official TV Timeout
Richmond,Fordham,11,8,6,23,1,Christian Sengfelder made Layup. Assisted by Joseph Chartouny.
Richmond,Fordham,11,8,6,34,0,Deion Taylor missed Three Point Jumper.
Richmond,Fordham,11,8,6,34,0,Christian Sengfelder Defensive Rebound.
Richmond,Fordham,11,8,6,52,0,Foul on ShawnDre' Jones.
