Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Nevada,Fresno State,0,3,0,17,1,Cezar Guerrero made Three Point Jumper. Assisted by Paul Watson.
Nevada,Fresno State,0,3,0,32,0,Marqueze Coleman Turnover.
Nevada,Fresno State,0,3,0,34,0,Marvelle Harris Steal.
Nevada,Fresno State,0,3,0,46,0,Terrell Carter II Turnover.
Nevada,Fresno State,0,3,0,48,0,Elijah Foster Steal.
Nevada,Fresno State,0,3,0,58,0,Cameron Oliver missed Jumper.
Nevada,Fresno State,0,3,0,58,0,Cezar Guerrero Defensive Rebound.
Nevada,Fresno State,0,3,1,5,0,Paul Watson missed Jumper.
Nevada,Fresno State,0,3,1,5,0,Cameron Oliver Defensive Rebound.
Nevada,Fresno State,0,3,1,14,0,Marqueze Coleman missed Jumper.
Nevada,Fresno State,0,3,1,14,0,Karachi Edo Defensive Rebound.
Nevada,Fresno State,0,5,1,27,1,Paul Watson made Layup. Assisted by Cezar Guerrero.
Nevada,Fresno State,0,5,1,54,0,D.J. Fenner missed Jumper.
Nevada,Fresno State,0,5,1,54,0,Karachi Edo Defensive Rebound.
Nevada,Fresno State,0,8,2,7,1,Cezar Guerrero made Three Point Jumper. Assisted by Marvelle Harris.
Nevada,Fresno State,0,8,2,34,0,Cameron Oliver missed Jumper.
Nevada,Fresno State,0,8,2,34,0,Marvelle Harris Defensive Rebound.
Nevada,Fresno State,0,8,2,45,0,Marvelle Harris missed Layup.
Nevada,Fresno State,0,8,2,45,0,Cezar Guerrero Offensive Rebound.
Nevada,Fresno State,0,10,2,50,1,Cezar Guerrero made Layup.
Nevada,Fresno State,0,10,2,51,0,Nevada  Timeout
Nevada,Fresno State,0,10,3,5,0,Lindsey Drew missed Three Point Jumper.
Nevada,Fresno State,0,10,3,5,0,Karachi Edo Defensive Rebound.
Nevada,Fresno State,0,10,3,29,0,Foul on Terrell Carter II.
Nevada,Fresno State,0,10,3,29,0,Terrell Carter II Turnover.
Nevada,Fresno State,0,10,3,36,0,Foul on Cameron Oliver.
Nevada,Fresno State,0,10,3,36,0,Cameron Oliver Turnover.
Nevada,Fresno State,0,12,3,51,1,Marvelle Harris made Layup.
Nevada,Fresno State,0,12,4,21,0,Foul on Terrell Carter II.
Nevada,Fresno State,0,12,4,21,0,Official TV Timeout
Nevada,Fresno State,0,12,4,26,0,Elijah Foster missed Jumper.
