Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Georgia State,Ole Miss,0,0,0,20,0,Jeremy Hollowell missed Jumper.
Georgia State,Ole Miss,0,0,0,20,0,Tomasz Gielo Defensive Rebound.
Georgia State,Ole Miss,0,0,0,27,0,Stefan Moody Turnover.
Georgia State,Ole Miss,2,0,0,40,1,Kevin Ware made Jumper.
Georgia State,Ole Miss,2,3,1,1,1,Rasheed Brooks made Three Point Jumper. Assisted by Stefan Moody.
Georgia State,Ole Miss,2,3,1,23,0,Isaiah Williams Turnover.
Georgia State,Ole Miss,2,3,1,24,0,Stefan Moody Steal.
Georgia State,Ole Miss,2,3,1,28,0,Foul on Jeremy Hollowell.
Georgia State,Ole Miss,2,4,1,28,1,Tomasz Gielo made Free Throw.
Georgia State,Ole Miss,2,5,1,28,1,Tomasz Gielo made Free Throw.
Georgia State,Ole Miss,4,5,1,42,1,T.J. Shipes made Layup. Assisted by Markus Crider.
Georgia State,Ole Miss,4,5,1,56,0,Foul on Tomasz Gielo.
Georgia State,Ole Miss,4,5,1,56,0,Tomasz Gielo Turnover.
Georgia State,Ole Miss,4,5,2,14,0,Jeremy Hollowell missed Layup.
Georgia State,Ole Miss,4,5,2,14,0,Jeremy Hollowell Offensive Rebound.
Georgia State,Ole Miss,4,5,2,19,0,Jeremy Hollowell Turnover.
Georgia State,Ole Miss,4,5,2,20,0,Stefan Moody Steal.
Georgia State,Ole Miss,4,7,2,24,1,Stefan Moody made Layup.
Georgia State,Ole Miss,4,7,2,51,0,Kevin Ware Turnover.
Georgia State,Ole Miss,4,7,3,5,0,Anthony Perez missed Layup.
Georgia State,Ole Miss,4,7,3,5,0,Georgia St Defensive Rebound.
Georgia State,Ole Miss,4,7,3,6,0,Foul on Anthony Perez.
Georgia State,Ole Miss,4,7,3,26,0,Markus Crider missed Jumper.
Georgia State,Ole Miss,4,7,3,26,0,Tomasz Gielo Defensive Rebound.
Georgia State,Ole Miss,4,7,3,43,0,Sebastian Saiz Turnover.
Georgia State,Ole Miss,4,7,3,43,0,Foul on Sebastian Saiz.
Georgia State,Ole Miss,4,7,4,1,0,Markus Crider missed Layup.
Georgia State,Ole Miss,4,7,4,1,0,T.J. Shipes Offensive Rebound.
Georgia State,Ole Miss,6,7,4,8,1,T.J. Shipes made Layup.
Georgia State,Ole Miss,6,7,4,28,0,Foul on Markus Crider.
Georgia State,Ole Miss,6,7,4,28,0,Official TV Timeout
Georgia State,Ole Miss,6,8,4,28,1,Stefan Moody made Free Throw.
Georgia State,Ole Miss,6,9,4,28,1,Stefan Moody made Free Throw.
Georgia State,Ole Miss,8,9,4,48,1,Jeremy Hollowell made Layup. Assisted by Jeff Thomas.
Georgia State,Ole Miss,8,9,5,6,0,Foul on Isaiah Dennis.
Georgia State,Ole Miss,8,11,5,6,1,Tomasz Gielo made Layup. Assisted by Rasheed Brooks.
Georgia State,Ole Miss,8,11,5,7,0,Foul on T.J. Shipes.
Georgia State,Ole Miss,8,12,5,7,1,Tomasz Gielo made Free Throw.
Georgia State,Ole Miss,11,12,5,17,1,Jeff Thomas made Three Point Jumper. Assisted by Kevin Ware.
Georgia State,Ole Miss,11,15,5,34,1,Stefan Moody made Three Point Jumper.
Georgia State,Ole Miss,11,15,6,12,0,T.J. Shipes missed Layup.
Georgia State,Ole Miss,11,15,6,12,0,Stefan Moody Defensive Rebound.
Georgia State,Ole Miss,11,18,6,17,1,Tomasz Gielo made Three Point Jumper. Assisted by Stefan Moody.
Georgia State,Ole Miss,11,18,6,48,0,Kevin Ware missed Three Point Jumper.
Georgia State,Ole Miss,11,18,6,48,0,Marcanvis Hymon Defensive Rebound.
Georgia State,Ole Miss,11,18,7,9,0,Marcanvis Hymon missed Layup.
Georgia State,Ole Miss,11,18,7,9,0,T.J. Shipes Block.
Georgia State,Ole Miss,11,18,7,9,0,Marcanvis Hymon Offensive Rebound.
Georgia State,Ole Miss,11,18,7,21,0,Stefan Moody missed Three Point Jumper.
Georgia State,Ole Miss,11,18,7,21,0,Markus Crider Defensive Rebound.
Georgia State,Ole Miss,11,18,7,39,0,Isaiah Dennis missed Jumper.
Georgia State,Ole Miss,11,18,7,39,0,Tomasz Gielo Defensive Rebound.
Georgia State,Ole Miss,11,18,7,55,0,Tomasz Gielo Turnover.
Georgia State,Ole Miss,11,18,8,7,0,Isaiah Williams missed Layup.
Georgia State,Ole Miss,11,18,8,7,0,Sam Finley Defensive Rebound.
Georgia State,Ole Miss,11,18,8,34,0,Foul on Markus Crider.
Georgia State,Ole Miss,11,18,8,34,0,Official TV Timeout
Georgia State,Ole Miss,11,18,8,34,0,Martavious Newby Turnover.
Georgia State,Ole Miss,11,18,8,35,0,Markus Crider Steal.
Georgia State,Ole Miss,11,18,8,36,0,Isaiah Williams missed Layup.
Georgia State,Ole Miss,11,18,8,36,0,Anthony Perez Defensive Rebound.
Georgia State,Ole Miss,11,18,8,51,0,Martavious Newby Turnover.
Georgia State,Ole Miss,13,18,8,56,1,Isaiah Dennis made Layup.
Georgia State,Ole Miss,13,18,9,17,0,Sam Finley missed Jumper.
Georgia State,Ole Miss,13,18,9,17,0,Georgia St Defensive Rebound.
Georgia State,Ole Miss,13,18,9,23,0,Foul on Marcanvis Hymon.
Georgia State,Ole Miss,13,18,9,48,0,Kevin Ware missed Jumper.
Georgia State,Ole Miss,13,18,9,48,0,Stefan Moody Defensive Rebound.
Georgia State,Ole Miss,13,18,9,54,0,Foul on Isaiah Dennis.
Georgia State,Ole Miss,13,18,10,15,0,Foul on T.J. Shipes.
Georgia State,Ole Miss,13,19,10,15,1,Anthony Perez made Free Throw.
Georgia State,Ole Miss,13,20,10,15,1,Anthony Perez made Free Throw.
Georgia State,Ole Miss,13,20,10,42,0,Jeremy Hollowell Turnover.
Georgia State,Ole Miss,13,20,10,43,0,Sam Finley Steal.
Georgia State,Ole Miss,13,20,10,46,0,Foul on Kevin Ware.
Georgia State,Ole Miss,13,20,10,46,0,Sam Finley missed Free Throw.
Georgia State,Ole Miss,13,20,10,46,0,T.J. Shipes Defensive Rebound.
Georgia State,Ole Miss,13,20,11,2,0,Foul on Sebastian Saiz.
Georgia State,Ole Miss,13,20,11,13,0,Foul on Marcanvis Hymon.
Georgia State,Ole Miss,14,20,11,13,1,Markus Crider made Free Throw.
Georgia State,Ole Miss,15,20,11,13,1,Markus Crider made Free Throw.
Georgia State,Ole Miss,15,23,11,32,1,Tomasz Gielo made Three Point Jumper. Assisted by Stefan Moody.
Georgia State,Ole Miss,15,23,12,5,0,Kevin Ware missed Layup.
Georgia State,Ole Miss,15,23,12,5,0,Stefan Moody Defensive Rebound.
Georgia State,Ole Miss,15,23,12,10,0,Stefan Moody missed Layup.
Georgia State,Ole Miss,15,23,12,10,0,Georgia St Defensive Rebound.
Georgia State,Ole Miss,15,23,12,13,0,Official TV Timeout
Georgia State,Ole Miss,18,23,12,27,1,Malik Benlevi made Three Point Jumper. Assisted by Isaiah Dennis.
Georgia State,Ole Miss,18,25,12,54,1,Rasheed Brooks made Jumper. Assisted by Marcanvis Hymon.
Georgia State,Ole Miss,18,25,13,21,0,Jeremy Hollowell Turnover.
Georgia State,Ole Miss,18,25,13,32,0,Stefan Moody Turnover.
Georgia State,Ole Miss,18,25,13,33,0,Jeremy Hollowell Steal.
Georgia State,Ole Miss,20,25,13,35,1,Jeremy Hollowell made Layup.
Georgia State,Ole Miss,20,25,14,0,0,Marcanvis Hymon missed Jumper.
Georgia State,Ole Miss,20,25,14,0,0,Isaiah Williams Defensive Rebound.
Georgia State,Ole Miss,20,25,14,19,0,Jeremy Hollowell missed Jumper.
