Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Green Bay,Wright State,0,0,0,0,0,Jump Ball won by Green Bay
Green Bay,Wright State,0,0,0,8,0,Charles Cooper missed Layup.
Green Bay,Wright State,0,0,0,8,0,Mark Hughes Block.
Green Bay,Wright State,0,0,0,8,0,Jordan Fouse Offensive Rebound.
Green Bay,Wright State,2,0,0,26,1,Khalil Small made Jumper. Assisted by Kenneth Lowe.
Green Bay,Wright State,2,0,0,49,0,JT Yoho Turnover.
Green Bay,Wright State,2,0,0,49,0,Kenneth Lowe Steal.
Green Bay,Wright State,2,0,0,55,0,Kenneth Lowe Turnover.
Green Bay,Wright State,2,0,1,12,0,Joe Thomasson missed Jumper.
Green Bay,Wright State,2,0,1,12,0,Khalil Small Defensive Rebound.
Green Bay,Wright State,2,0,1,24,0,Foul on Mark Alstork.
Green Bay,Wright State,3,0,1,24,1,Kenneth Lowe made Free Throw.
Green Bay,Wright State,4,0,1,24,1,Kenneth Lowe made Free Throw.
Green Bay,Wright State,4,2,1,38,1,Michael Karena made Layup. Assisted by Mark Hughes.
Green Bay,Wright State,4,2,1,58,0,Jordan Fouse missed Jumper.
Green Bay,Wright State,4,2,1,58,0,Mark Alstork Defensive Rebound.
Green Bay,Wright State,4,2,2,4,0,Michael Karena missed Layup.
Green Bay,Wright State,4,2,2,4,0,Michael Karena Offensive Rebound.
Green Bay,Wright State,4,4,2,9,1,Michael Karena made Layup.
Green Bay,Wright State,4,4,2,31,0,Khalil Small missed Three Point Jumper.
Green Bay,Wright State,4,4,2,31,0,Joe Thomasson Defensive Rebound.
Green Bay,Wright State,4,6,2,41,1,Mark Hughes made Layup. Assisted by Joe Thomasson.
Green Bay,Wright State,4,6,2,45,0,Green Bay  Timeout
Green Bay,Wright State,6,6,2,54,1,Kenneth Lowe made Layup.
Green Bay,Wright State,6,6,3,26,0,Michael Karena missed Layup.
Green Bay,Wright State,6,6,3,26,0,JT Yoho Offensive Rebound.
Green Bay,Wright State,6,6,3,26,0,JT Yoho missed Two Point Tip Shot.
Green Bay,Wright State,6,6,3,26,0,Kenneth Lowe Defensive Rebound.
Green Bay,Wright State,8,6,3,37,1,Carrington Love made Layup.
Green Bay,Wright State,8,6,3,58,0,Mark Alstork missed Three Point Jumper.
Green Bay,Wright State,8,6,3,58,0,Wright St Offensive Rebound.
Green Bay,Wright State,8,6,4,5,0,Official TV Timeout
Green Bay,Wright State,8,6,4,10,0,Grant Benzinger missed Three Point Jumper.
Green Bay,Wright State,8,6,4,10,0,Jordan Fouse Defensive Rebound.
Green Bay,Wright State,8,6,4,17,0,Charles Cooper missed Jumper.
Green Bay,Wright State,8,6,4,17,0,Daniel Mortensen Block.
Green Bay,Wright State,8,6,4,17,0,Joe Thomasson Defensive Rebound.
Green Bay,Wright State,8,6,4,42,0,Grant Benzinger missed Three Point Jumper.
Green Bay,Wright State,8,6,4,42,0,Khalil Small Defensive Rebound.
Green Bay,Wright State,8,6,4,59,0,Foul on Daniel Mortensen.
Green Bay,Wright State,9,6,4,59,1,Jordan Fouse made Free Throw.
Green Bay,Wright State,9,6,4,59,0,Jordan Fouse missed Free Throw.
Green Bay,Wright State,9,6,4,59,0,Joe Thomasson Defensive Rebound.
Green Bay,Wright State,9,6,5,0,0,Joe Thomasson Turnover.
Green Bay,Wright State,9,6,5,0,0,Charles Cooper Steal.
Green Bay,Wright State,12,6,5,9,1,Jordan Fouse made Three Point Jumper. Assisted by Charles Cooper.
Green Bay,Wright State,12,6,5,33,0,Biggie Minnis missed Dunk.
Green Bay,Wright State,12,6,5,33,0,Jamar Hurdle Block.
Green Bay,Wright State,12,6,5,33,0,Khalil Small Defensive Rebound.
Green Bay,Wright State,15,6,5,50,1,Jamar Hurdle made Three Point Jumper.
Green Bay,Wright State,15,6,5,54,0,Wright St  Timeout
Green Bay,Wright State,15,6,6,8,0,Grant Benzinger missed Jumper.
Green Bay,Wright State,15,6,6,8,0,Jordan Fouse Defensive Rebound.
Green Bay,Wright State,17,6,6,26,1,Jamar Hurdle made Jumper.
Green Bay,Wright State,17,6,6,39,0,Grant Benzinger missed Three Point Jumper.
Green Bay,Wright State,17,6,6,39,0,Turner Botz Defensive Rebound.
Green Bay,Wright State,17,6,6,55,0,Carrington Love missed Layup.
Green Bay,Wright State,17,6,6,55,0,Joe Thomasson Defensive Rebound.
Green Bay,Wright State,17,6,7,11,0,Biggie Minnis missed Layup.
Green Bay,Wright State,17,6,7,11,0,Joe Thomasson Offensive Rebound.
Green Bay,Wright State,17,9,7,16,1,Joe Thomasson made Three Point Jumper. Assisted by Mark Hughes.
Green Bay,Wright State,19,9,7,23,1,Jordan Fouse made Layup.
Green Bay,Wright State,19,9,7,44,0,Foul on Jordan Fouse.
Green Bay,Wright State,19,9,7,54,0,Joe Thomasson missed Jumper.
Green Bay,Wright State,19,9,8,1,0,Kenneth Lowe Defensive Rebound.
Green Bay,Wright State,19,9,8,8,0,Khalil Small missed Layup.
Green Bay,Wright State,19,9,8,8,0,Wright St Defensive Rebound.
Green Bay,Wright State,19,9,8,12,0,Official TV Timeout
Green Bay,Wright State,19,9,8,24,0,JT Yoho missed Layup.
Green Bay,Wright State,19,9,8,24,0,Tevin Findlay Block.
Green Bay,Wright State,19,9,8,24,0,JT Yoho Offensive Rebound.
Green Bay,Wright State,19,9,8,28,0,JT Yoho missed Layup.
Green Bay,Wright State,19,9,8,28,0,Michael Karena Offensive Rebound.
Green Bay,Wright State,19,9,8,29,0,Foul on Kenneth Lowe.
Green Bay,Wright State,19,10,8,29,1,Michael Karena made Free Throw.
Green Bay,Wright State,19,11,8,29,1,Michael Karena made Free Throw.
Green Bay,Wright State,19,11,8,48,0,Foul on JT Yoho.
Green Bay,Wright State,22,11,9,2,1,Charles Cooper made Three Point Jumper. Assisted by Jamar Hurdle.
Green Bay,Wright State,22,11,9,20,0,Biggie Minnis missed Jumper.
Green Bay,Wright State,22,11,9,20,0,Turner Botz Defensive Rebound.
Green Bay,Wright State,22,11,9,30,0,Tevin Findlay missed Layup.
Green Bay,Wright State,22,11,9,30,0,Biggie Minnis Defensive Rebound.
Green Bay,Wright State,22,11,9,47,0,Mark Hughes missed Three Point Jumper.
Green Bay,Wright State,22,11,9,47,0,Jamar Hurdle Defensive Rebound.
Green Bay,Wright State,22,11,9,55,0,Foul on Michael Karena.
Green Bay,Wright State,23,11,9,55,1,Kenneth Lowe made Free Throw.
Green Bay,Wright State,24,11,9,55,1,Kenneth Lowe made Free Throw.
Green Bay,Wright State,24,11,10,13,0,Foul on Carrington Love.
Green Bay,Wright State,24,11,10,16,0,JT Yoho missed Jumper.
Green Bay,Wright State,24,11,10,16,0,Jordan Fouse Defensive Rebound.
Green Bay,Wright State,24,11,10,25,0,Foul on Mark Alstork.
Green Bay,Wright State,24,11,10,25,0,Kenneth Lowe missed Free Throw.
Green Bay,Wright State,24,11,10,25,0,Green Bay Deadball Team Rebound.
Green Bay,Wright State,24,11,10,25,0,Kenneth Lowe missed Free Throw.
Green Bay,Wright State,24,11,10,25,0,Joe Thomasson Defensive Rebound.
Green Bay,Wright State,24,13,10,36,1,Joe Thomasson made Jumper.
Green Bay,Wright State,26,13,10,57,1,Carrington Love made Jumper.
Green Bay,Wright State,26,13,11,19,0,Biggie Minnis missed Layup.
Green Bay,Wright State,26,13,11,19,0,Khalil Small Block.
Green Bay,Wright State,26,13,11,19,0,Green Bay Defensive Rebound.
Green Bay,Wright State,28,13,11,32,1,Jordan Fouse made Layup. Assisted by Kenneth Lowe.
Green Bay,Wright State,28,15,12,3,1,Grant Benzinger made Jumper.
Green Bay,Wright State,28,15,12,10,0,Carrington Love missed Layup.
