Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UT Rio Grande Valley,Houston,0,0,0,11,0,Kyle Meyer missed Jumper.
UT Rio Grande Valley,Houston,0,0,0,11,0,J.J. Thompson Defensive Rebound.
UT Rio Grande Valley,Houston,0,0,0,32,0,Dakota Slaughter missed Three Point Jumper.
UT Rio Grande Valley,Houston,0,0,0,32,0,Damyean Dotson Defensive Rebound.
UT Rio Grande Valley,Houston,0,0,0,40,0,Foul on J.J. Thompson.
UT Rio Grande Valley,Houston,0,0,0,59,0,Damyean Dotson missed Three Point Jumper.
UT Rio Grande Valley,Houston,0,0,0,59,0,Houston Offensive Rebound.
UT Rio Grande Valley,Houston,0,2,1,8,1,Ronnie Johnson made Layup.
UT Rio Grande Valley,Houston,0,2,1,23,0,Antonio Green missed Three Point Jumper.
UT Rio Grande Valley,Houston,0,2,1,23,0,LeRon Barnes Defensive Rebound.
UT Rio Grande Valley,Houston,0,2,1,35,0,Kyle Meyer missed Three Point Jumper.
UT Rio Grande Valley,Houston,0,2,1,35,0,Shaquille Hines Defensive Rebound.
UT Rio Grande Valley,Houston,0,2,1,55,0,Dakota Slaughter missed Jumper.
UT Rio Grande Valley,Houston,0,2,1,55,0,Kyle Meyer Defensive Rebound.
UT Rio Grande Valley,Houston,0,5,2,25,1,Ronnie Johnson made Three Point Jumper. Assisted by LeRon Barnes.
UT Rio Grande Valley,Houston,0,5,2,49,0,Dan Kimasa missed Jumper.
UT Rio Grande Valley,Houston,0,5,2,49,0,Damyean Dotson Defensive Rebound.
UT Rio Grande Valley,Houston,0,5,2,56,0,Ronnie Johnson missed Jumper.
UT Rio Grande Valley,Houston,0,5,2,56,0,Shaquille Hines Defensive Rebound.
UT Rio Grande Valley,Houston,0,5,3,4,0,Foul on Damyean Dotson.
UT Rio Grande Valley,Houston,1,5,3,4,1,Shaquille Hines made Free Throw.
UT Rio Grande Valley,Houston,2,5,3,4,1,Shaquille Hines made Free Throw.
UT Rio Grande Valley,Houston,2,5,3,14,0,Devonta Pollard missed Jumper.
UT Rio Grande Valley,Houston,2,5,3,14,0,Shaquille Hines Defensive Rebound.
UT Rio Grande Valley,Houston,4,5,3,24,1,J.J. Thompson made Layup.
UT Rio Grande Valley,Houston,4,5,3,24,0,Foul on LeRon Barnes.
