Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Idaho State,Northern Colorado,0,3,0,21,1,Jordan Wilson made Three Point Jumper. Assisted by Jordan Davis.
Idaho State,Northern Colorado,0,3,0,42,0,Ethan Telfair missed Jumper.
Idaho State,Northern Colorado,0,3,0,42,0,Kyle Ingram Offensive Rebound.
Idaho State,Northern Colorado,2,3,0,49,1,Kyle Ingram made Layup.
Idaho State,Northern Colorado,2,3,1,1,0,Anthony Johnson missed Three Point Jumper.
Idaho State,Northern Colorado,2,3,1,1,0,Geno Luzcando Defensive Rebound.
Idaho State,Northern Colorado,4,3,1,33,1,Geno Luzcando made Jumper.
Idaho State,Northern Colorado,4,5,1,57,1,Jordan Davis made Layup. Assisted by Tanner Morgan.
Idaho State,Northern Colorado,4,5,2,20,0,Kyle Ingram missed Jumper.
Idaho State,Northern Colorado,4,5,2,20,0,Ben Wilson Offensive Rebound.
Idaho State,Northern Colorado,7,5,2,25,1,Gary Chivichyan made Three Point Jumper. Assisted by Ben Wilson.
Idaho State,Northern Colorado,7,5,2,40,0,Foul on Gary Chivichyan.
Idaho State,Northern Colorado,7,7,2,42,1,Tanner Morgan made Jumper. Assisted by Anthony Johnson.
Idaho State,Northern Colorado,9,7,3,2,1,Kyle Ingram made Jumper.
Idaho State,Northern Colorado,9,10,3,20,1,Anthony Johnson made Three Point Jumper. Assisted by Jordan Davis.
Idaho State,Northern Colorado,9,10,3,41,0,Geno Luzcando missed Jumper.
Idaho State,Northern Colorado,9,10,3,41,0,Jordan Davis Block.
Idaho State,Northern Colorado,9,10,3,43,0,Jordan Davis Defensive Rebound.
Idaho State,Northern Colorado,9,10,3,48,0,Foul on Gary Chivichyan.
Idaho State,Northern Colorado,9,12,3,57,1,Ibrahim Sylla made Layup.
Idaho State,Northern Colorado,12,12,4,14,1,Geno Luzcando made Three Point Jumper. Assisted by Kyle Ingram.
Idaho State,Northern Colorado,12,12,4,21,0,Anthony Johnson Turnover.
Idaho State,Northern Colorado,12,12,4,21,0,Idaho State  Timeout
Idaho State,Northern Colorado,14,12,4,40,1,Kyle Ingram made Jumper.
Idaho State,Northern Colorado,14,12,4,53,0,Anthony Johnson missed Three Point Jumper.
Idaho State,Northern Colorado,14,12,4,53,0,Ibrahim Sylla Offensive Rebound.
Idaho State,Northern Colorado,14,12,4,57,0,Ibrahim Sylla Turnover.
Idaho State,Northern Colorado,14,12,4,57,0,Evann Hall missed Jumper.
Idaho State,Northern Colorado,14,12,4,57,0,Ibrahim Sylla Defensive Rebound.
Idaho State,Northern Colorado,14,12,4,57,0,Jordan Wilson missed Three Point Jumper.
Idaho State,Northern Colorado,14,12,4,57,0,Evann Hall Defensive Rebound.
Idaho State,Northern Colorado,14,12,5,12,0,Foul on Ibrahim Sylla.
Idaho State,Northern Colorado,14,12,5,12,0,Kyle Ingram missed Free Throw.
Idaho State,Northern Colorado,14,12,5,12,0,Idaho State Deadball Team Rebound.
Idaho State,Northern Colorado,15,12,5,12,1,Kyle Ingram made Free Throw.
Idaho State,Northern Colorado,15,12,5,31,0,Jon'te Dotson Turnover.
Idaho State,Northern Colorado,15,12,5,31,0,Foul on Jon'te Dotson.
Idaho State,Northern Colorado,15,12,6,3,0,Ethan Telfair Turnover.
Idaho State,Northern Colorado,15,12,6,5,0,Jordan Davis Steal.
Idaho State,Northern Colorado,15,12,6,17,0,Dallas Anglin Turnover.
Idaho State,Northern Colorado,15,12,6,18,0,Kyle Ingram Steal.
Idaho State,Northern Colorado,15,12,6,24,0,Foul on Ibrahim Sylla.
Idaho State,Northern Colorado,15,12,6,25,0,Ben Wilson missed Jumper.
Idaho State,Northern Colorado,15,12,6,25,0,Jordan Davis Block.
Idaho State,Northern Colorado,15,12,6,27,0,Jordan Wilson Defensive Rebound.
Idaho State,Northern Colorado,15,12,6,31,0,Foul on Ben Wilson.
Idaho State,Northern Colorado,15,12,6,55,0,Anthony Johnson Turnover.
Idaho State,Northern Colorado,15,12,7,19,0,Evann Hall missed Jumper.
Idaho State,Northern Colorado,15,12,7,19,0,Anthony Johnson Defensive Rebound.
Idaho State,Northern Colorado,15,12,7,31,0,Foul on Evann Hall.
Idaho State,Northern Colorado,15,12,7,31,0,Dallas Anglin missed Free Throw.
Idaho State,Northern Colorado,15,12,7,31,0,Northern Colorado Offensive Rebound.
Idaho State,Northern Colorado,15,12,7,31,0,Dallas Anglin missed Free Throw.
Idaho State,Northern Colorado,15,12,7,31,0,Novak Topalovic Defensive Rebound.
Idaho State,Northern Colorado,15,12,7,45,0,Geno Luzcando missed Jumper.
Idaho State,Northern Colorado,15,12,7,45,0,Tanner Morgan Defensive Rebound.
Idaho State,Northern Colorado,15,12,8,10,0,Dallas Anglin missed Three Point Jumper.
Idaho State,Northern Colorado,15,12,8,10,0,Novak Topalovic Defensive Rebound.
Idaho State,Northern Colorado,18,12,8,21,1,Erik Nakken made Three Point Jumper. Assisted by Ethan Telfair.
Idaho State,Northern Colorado,18,12,8,42,0,Northern Colorado  Timeout
Idaho State,Northern Colorado,18,12,8,47,0,Jeremy Verhagen missed Jumper.
Idaho State,Northern Colorado,18,12,8,47,0,Novak Topalovic Defensive Rebound.
Idaho State,Northern Colorado,18,12,9,5,0,Geno Luzcando missed Three Point Jumper.
Idaho State,Northern Colorado,18,12,9,5,0,Jordan Davis Defensive Rebound.
Idaho State,Northern Colorado,18,12,9,26,0,Tanner Morgan missed Jumper.
Idaho State,Northern Colorado,18,12,9,26,0,Novak Topalovic Defensive Rebound.
Idaho State,Northern Colorado,18,12,9,45,0,Ethan Telfair missed Jumper.
Idaho State,Northern Colorado,18,12,9,45,0,Evann Hall Offensive Rebound.
Idaho State,Northern Colorado,18,12,9,50,0,Foul on Jeremy Verhagen.
Idaho State,Northern Colorado,19,12,9,50,1,Ethan Telfair made Free Throw.
Idaho State,Northern Colorado,20,12,9,50,1,Ethan Telfair made Free Throw.
Idaho State,Northern Colorado,20,12,10,0,0,Anthony Johnson missed Three Point Jumper.
Idaho State,Northern Colorado,20,12,10,0,0,Evann Hall Defensive Rebound.
Idaho State,Northern Colorado,20,12,10,10,0,Geno Luzcando missed Jumper.
Idaho State,Northern Colorado,20,12,10,10,0,Jordan Wilson Defensive Rebound.
Idaho State,Northern Colorado,20,14,10,24,1,Tanner Morgan made Layup.
Idaho State,Northern Colorado,20,14,10,33,0,Ethan Telfair missed Three Point Jumper.
Idaho State,Northern Colorado,20,14,10,33,0,Anthony Johnson Defensive Rebound.
Idaho State,Northern Colorado,20,14,10,42,0,Jordan Davis missed Layup.
Idaho State,Northern Colorado,20,14,10,42,0,Novak Topalovic Block.
Idaho State,Northern Colorado,20,14,10,44,0,Evann Hall Defensive Rebound.
Idaho State,Northern Colorado,22,14,10,56,1,Geno Luzcando made Layup.
Idaho State,Northern Colorado,22,14,11,20,0,Jordan Wilson missed Three Point Jumper.
