Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
North Dakota,Idaho State,0,0,0,15,0,Ethan Telfair missed Jumper.
North Dakota,Idaho State,0,0,0,15,0,Drick Bernstine Defensive Rebound.
North Dakota,Idaho State,0,0,0,47,0,Conner Avants missed Layup.
North Dakota,Idaho State,0,0,0,47,0,Drick Bernstine Offensive Rebound.
North Dakota,Idaho State,0,0,0,50,0,Drick Bernstine missed Two Point Tip Shot.
North Dakota,Idaho State,0,0,0,50,0,Kyle Ingram Defensive Rebound.
North Dakota,Idaho State,0,3,1,17,1,Ethan Telfair made Three Point Jumper. Assisted by Geno Luzcando.
North Dakota,Idaho State,3,3,1,42,1,Corey Baldwin made Three Point Jumper. Assisted by Conner Avants.
North Dakota,Idaho State,3,3,1,55,0,Ethan Telfair Turnover.
North Dakota,Idaho State,3,3,1,56,0,Geno Crandall Steal.
North Dakota,Idaho State,5,3,1,59,1,Geno Crandall made Layup.
North Dakota,Idaho State,5,3,1,59,0,Foul on Kyle Ingram.
North Dakota,Idaho State,6,3,1,59,1,Geno Crandall made Free Throw.
North Dakota,Idaho State,6,3,2,20,0,Foul on Conner Avants.
North Dakota,Idaho State,6,3,2,26,0,Ethan Telfair Turnover.
North Dakota,Idaho State,6,3,2,27,0,Corey Baldwin Steal.
North Dakota,Idaho State,8,3,2,30,1,Geno Crandall made Dunk. Assisted by Drick Bernstine.
North Dakota,Idaho State,8,3,2,58,0,Kyle Ingram missed Jumper.
North Dakota,Idaho State,8,3,2,58,0,Drick Bernstine Defensive Rebound.
North Dakota,Idaho State,8,3,3,4,0,Drick Bernstine Turnover.
North Dakota,Idaho State,8,3,3,5,0,Geno Luzcando Steal.
North Dakota,Idaho State,8,5,3,7,1,Geno Luzcando made Dunk.
North Dakota,Idaho State,8,5,3,27,0,Corey Baldwin missed Three Point Jumper.
North Dakota,Idaho State,8,5,3,27,0,Geno Luzcando Defensive Rebound.
North Dakota,Idaho State,8,5,3,35,0,Foul on Geno Crandall.
North Dakota,Idaho State,8,5,3,51,0,Geno Luzcando missed Layup.
North Dakota,Idaho State,8,5,3,51,0,Conner Avants Defensive Rebound.
North Dakota,Idaho State,10,5,4,3,1,Conner Avants made Layup.
North Dakota,Idaho State,10,7,4,18,1,Ben Wilson made Layup. Assisted by Ethan Telfair.
North Dakota,Idaho State,12,7,4,34,1,Drick Bernstine made Layup.
North Dakota,Idaho State,12,7,4,34,0,Foul on Ben Wilson.
North Dakota,Idaho State,12,7,4,34,0,Drick Bernstine missed Free Throw.
North Dakota,Idaho State,12,7,4,34,0,North Dakota Offensive Rebound.
North Dakota,Idaho State,12,7,4,57,0,Adam McDermott Turnover.
North Dakota,Idaho State,12,7,4,59,0,Ethan Telfair Steal.
North Dakota,Idaho State,12,7,5,12,0,Ethan Telfair missed Three Point Jumper.
North Dakota,Idaho State,12,7,5,12,0,Carson Shanks Defensive Rebound.
North Dakota,Idaho State,14,7,5,28,1,Cortez Seales made Jumper.
