Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Linfield College,Idaho,0,0,0,20,0,Perrion Callandret missed Three Point Jumper.
Linfield College,Idaho,0,0,0,20,0,Nahshon George Offensive Rebound.
Linfield College,Idaho,0,0,0,23,0,Foul on Chase Walker.
Linfield College,Idaho,0,2,0,32,1,Chris Sarbaugh made Jumper. Assisted by Perrion Callandret.
Linfield College,Idaho,2,2,1,2,1,Cameron Frank made Jumper.
Linfield College,Idaho,2,5,1,18,1,Victor Sanders made Three Point Jumper. Assisted by Jordan Scott.
Linfield College,Idaho,5,5,1,33,1,Kyle Maloof made Three Point Jumper. Assisted by Riley Bruil.
Linfield College,Idaho,5,5,2,0,0,Nahshon George Turnover.
Linfield College,Idaho,5,5,2,2,0,Riley Bruil Steal.
Linfield College,Idaho,8,5,2,23,1,Kyle Maloof made Three Point Jumper. Assisted by Cameron Frank.
Linfield College,Idaho,8,8,2,48,1,Victor Sanders made Three Point Jumper. Assisted by Jordan Scott.
Linfield College,Idaho,8,8,3,3,0,Chase Walker missed Jumper.
Linfield College,Idaho,8,8,3,3,0,Victor Sanders Defensive Rebound.
Linfield College,Idaho,8,8,3,9,0,Chris Sarbaugh missed Layup.
Linfield College,Idaho,8,8,3,9,0,Linfield College Defensive Rebound.
Linfield College,Idaho,8,8,3,25,0,Jordan Clark Turnover.
Linfield College,Idaho,8,8,3,25,0,Foul on Jordan Clark.
Linfield College,Idaho,8,8,3,33,0,Victor Sanders missed Three Point Jumper.
Linfield College,Idaho,8,8,3,33,0,Tanner Autencio Defensive Rebound.
Linfield College,Idaho,8,8,3,44,0,Tyler Ryan missed Three Point Jumper.
Linfield College,Idaho,8,8,3,44,0,Perrion Callandret Defensive Rebound.
Linfield College,Idaho,8,8,4,4,0,Foul on Vince Romeo.
Linfield College,Idaho,8,8,4,4,0,Official TV Timeout
Linfield College,Idaho,8,10,4,7,1,Jordan Scott made Layup. Assisted by Perrion Callandret.
Linfield College,Idaho,8,10,4,27,0,Vince Romeo missed Three Point Jumper.
Linfield College,Idaho,8,10,4,27,0,Tanner Autencio Offensive Rebound.
Linfield College,Idaho,8,10,4,33,0,Tanner Autencio missed Three Point Jumper.
Linfield College,Idaho,8,10,4,33,0,Linfield College Offensive Rebound.
Linfield College,Idaho,8,10,4,44,0,Cameron Frank missed Jumper.
Linfield College,Idaho,8,10,4,44,0,Nahshon George Defensive Rebound.
Linfield College,Idaho,8,10,4,55,0,Perrion Callandret Turnover.
Linfield College,Idaho,8,10,5,16,0,Jordan Clark Turnover.
Linfield College,Idaho,8,10,5,17,0,Victor Sanders Steal.
Linfield College,Idaho,8,10,5,20,0,Perrion Callandret Turnover.
Linfield College,Idaho,8,10,5,22,0,Austin Daniels Steal.
Linfield College,Idaho,10,10,5,24,1,Austin Daniels made Layup.
Linfield College,Idaho,10,13,5,56,1,Victor Sanders made Three Point Jumper. Assisted by Nate Sherwood.
Linfield College,Idaho,13,13,6,15,1,Tanner Autencio made Three Point Jumper. Assisted by Vince Romeo.
Linfield College,Idaho,13,13,6,45,0,Victor Sanders missed Three Point Jumper.
Linfield College,Idaho,13,13,6,45,0,Nate Sherwood Offensive Rebound.
Linfield College,Idaho,13,16,6,50,1,Jordan Scott made Three Point Jumper. Assisted by Nate Sherwood.
Linfield College,Idaho,13,16,7,9,0,Vince Romeo missed Layup.
Linfield College,Idaho,13,16,7,9,0,Jordan Scott Block.
Linfield College,Idaho,13,16,7,12,0,Nahshon George Defensive Rebound.
Linfield College,Idaho,13,16,7,15,0,Perrion Callandret Turnover.
Linfield College,Idaho,13,16,7,15,0,Foul on Perrion Callandret.
Linfield College,Idaho,13,16,7,33,0,Eric Daul missed Three Point Jumper.
Linfield College,Idaho,13,16,7,33,0,Victor Sanders Defensive Rebound.
Linfield College,Idaho,13,16,7,42,0,Chad Sherwood missed Three Point Jumper.
Linfield College,Idaho,13,16,7,42,0,Linfield College Defensive Rebound.
Linfield College,Idaho,13,16,8,0,0,Austin Daniels Turnover.
Linfield College,Idaho,13,16,8,1,0,Perrion Callandret Steal.
Linfield College,Idaho,13,16,8,4,0,Foul on Austin Daniels.
Linfield College,Idaho,13,16,8,4,0,Official TV Timeout
Linfield College,Idaho,13,16,8,13,0,Ty Egbert missed Layup.
Linfield College,Idaho,13,16,8,13,0,Jordan Clark Defensive Rebound.
Linfield College,Idaho,13,16,8,32,0,Austin Daniels Turnover.
Linfield College,Idaho,13,16,8,34,0,Ty Egbert Steal.
Linfield College,Idaho,13,16,8,37,0,Foul on Chase Walker.
Linfield College,Idaho,13,17,8,37,1,Victor Sanders made Free Throw.
Linfield College,Idaho,13,18,8,37,1,Victor Sanders made Free Throw.
Linfield College,Idaho,16,18,9,1,1,Eric Daul made Three Point Jumper. Assisted by Kyle Maloof.
Linfield College,Idaho,16,20,9,23,1,Chris Sarbaugh made Layup. Assisted by Nate Sherwood.
Linfield College,Idaho,18,20,9,33,1,Kyle Maloof made Jumper.
Linfield College,Idaho,18,23,9,58,1,Chad Sherwood made Three Point Jumper. Assisted by Nate Sherwood.
Linfield College,Idaho,20,23,10,12,1,Austin Daniels made Layup.
Linfield College,Idaho,20,26,10,33,1,Victor Sanders made Three Point Jumper. Assisted by Ty Egbert.
Linfield College,Idaho,20,26,10,48,0,Foul on Nate Sherwood.
Linfield College,Idaho,20,26,11,0,0,Tanner Autencio missed Three Point Jumper.
Linfield College,Idaho,20,26,11,0,0,Perrion Callandret Defensive Rebound.
Linfield College,Idaho,20,26,11,11,0,Chris Sarbaugh Turnover.
Linfield College,Idaho,20,26,11,12,0,Tanner Autencio Steal.
Linfield College,Idaho,20,26,11,19,0,Cameron Frank Turnover.
Linfield College,Idaho,20,26,11,19,0,Chris Sarbaugh Steal.
Linfield College,Idaho,20,26,11,19,0,Foul on Cameron Frank.
