Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
South Carolina Upstate,Jacksonville,0,0,0,15,0,Deion Holmes missed Three Point Jumper.
South Carolina Upstate,Jacksonville,0,0,0,15,0,Josh Adeyeye Defensive Rebound.
South Carolina Upstate,Jacksonville,0,2,0,30,1,Marcel White made Jumper.
South Carolina Upstate,Jacksonville,0,2,0,30,0,Foul on Deion Holmes.
South Carolina Upstate,Jacksonville,0,3,0,30,1,Marcel White made Free Throw.
South Carolina Upstate,Jacksonville,2,3,0,52,1,Michael Buchanan made Layup.
South Carolina Upstate,Jacksonville,2,3,1,4,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,2,3,1,4,0,Michael Buchanan Defensive Rebound.
South Carolina Upstate,Jacksonville,4,3,1,29,1,Mike Cunningham made Jumper.
South Carolina Upstate,Jacksonville,4,3,1,44,0,Foul on Mike Cunningham.
South Carolina Upstate,Jacksonville,4,3,1,47,0,Josh Adeyeye missed Jumper.
South Carolina Upstate,Jacksonville,4,3,1,47,0,Antwon Clayton Offensive Rebound.
South Carolina Upstate,Jacksonville,4,6,1,52,1,Josh Adeyeye made Three Point Jumper. Assisted by Kori Babineaux.
South Carolina Upstate,Jacksonville,4,6,2,16,0,Josh Cuthbertson missed Three Point Jumper.
South Carolina Upstate,Jacksonville,4,6,2,16,0,Kori Babineaux Defensive Rebound.
South Carolina Upstate,Jacksonville,4,8,2,22,1,Kori Babineaux made Layup.
South Carolina Upstate,Jacksonville,4,8,2,38,0,Deion Holmes missed Layup.
South Carolina Upstate,Jacksonville,4,8,2,38,0,Michael Buchanan Offensive Rebound.
South Carolina Upstate,Jacksonville,6,8,2,43,1,Michael Buchanan made Layup.
South Carolina Upstate,Jacksonville,6,10,2,55,1,Kori Babineaux made Layup.
South Carolina Upstate,Jacksonville,6,10,3,8,0,Mike Cunningham missed Three Point Jumper.
South Carolina Upstate,Jacksonville,6,10,3,8,0,Josh Adeyeye Defensive Rebound.
South Carolina Upstate,Jacksonville,6,10,3,17,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,6,10,3,17,0,Michael Buchanan Defensive Rebound.
South Carolina Upstate,Jacksonville,6,10,3,28,0,Foul on Antwon Clayton.
South Carolina Upstate,Jacksonville,6,10,3,28,0,Deion Holmes missed Free Throw.
South Carolina Upstate,Jacksonville,6,10,3,28,0,South Carolina Upstate Deadball Team Rebound.
South Carolina Upstate,Jacksonville,7,10,3,28,1,Deion Holmes made Free Throw.
South Carolina Upstate,Jacksonville,7,10,3,39,0,J.R. Holder missed Layup.
South Carolina Upstate,Jacksonville,7,10,3,39,0,J.R. Holder Offensive Rebound.
South Carolina Upstate,Jacksonville,7,10,3,43,0,J.R. Holder Turnover.
South Carolina Upstate,Jacksonville,9,10,4,4,1,Malik Moore made Layup.
South Carolina Upstate,Jacksonville,9,10,4,4,0,Foul on Josh Adeyeye.
South Carolina Upstate,Jacksonville,9,10,4,4,0,South Carolina Upstate  Timeout
South Carolina Upstate,Jacksonville,10,10,4,4,1,Malik Moore made Free Throw.
South Carolina Upstate,Jacksonville,10,10,4,15,0,Marcel White missed Three Point Jumper.
South Carolina Upstate,Jacksonville,10,10,4,15,0,Philip Whittington Defensive Rebound.
South Carolina Upstate,Jacksonville,10,10,4,40,0,Philip Whittington missed Jumper.
South Carolina Upstate,Jacksonville,10,10,4,40,0,Deion Holmes Offensive Rebound.
South Carolina Upstate,Jacksonville,12,10,4,44,1,Deion Holmes made Layup.
South Carolina Upstate,Jacksonville,12,12,4,52,1,J.R. Holder made Layup.
South Carolina Upstate,Jacksonville,12,12,5,4,0,Jure Span missed Three Point Jumper.
South Carolina Upstate,Jacksonville,12,12,5,4,0,Marcel White Defensive Rebound.
South Carolina Upstate,Jacksonville,12,12,5,15,0,Foul on Malik Moore.
South Carolina Upstate,Jacksonville,12,15,5,20,1,Josh Adeyeye made Three Point Jumper. Assisted by Darien Fernandez.
South Carolina Upstate,Jacksonville,12,15,5,42,0,Malik Moore missed Three Point Jumper.
South Carolina Upstate,Jacksonville,12,15,5,42,0,Josh Adeyeye Defensive Rebound.
South Carolina Upstate,Jacksonville,12,15,5,55,0,J.R. Holder missed Jumper.
South Carolina Upstate,Jacksonville,12,15,5,55,0,Philip Whittington Defensive Rebound.
South Carolina Upstate,Jacksonville,12,15,6,3,0,Jure Span Turnover.
South Carolina Upstate,Jacksonville,12,15,6,5,0,Darien Fernandez Steal.
South Carolina Upstate,Jacksonville,12,15,6,7,0,Darien Fernandez missed Layup.
South Carolina Upstate,Jacksonville,12,15,6,7,0,Deion Holmes Block.
South Carolina Upstate,Jacksonville,12,15,6,8,0,South Carolina Upstate Defensive Rebound.
South Carolina Upstate,Jacksonville,12,15,6,28,0,Michael Buchanan Turnover.
South Carolina Upstate,Jacksonville,12,17,6,51,1,Antwon Clayton made Jumper. Assisted by Kori Babineaux.
South Carolina Upstate,Jacksonville,12,17,7,3,0,Foul on Marcel White.
South Carolina Upstate,Jacksonville,12,17,7,3,0,Michael Buchanan missed Free Throw.
South Carolina Upstate,Jacksonville,12,17,7,3,0,South Carolina Upstate Deadball Team Rebound.
South Carolina Upstate,Jacksonville,12,17,7,3,0,Michael Buchanan missed Free Throw.
South Carolina Upstate,Jacksonville,12,17,7,3,0,Antwon Clayton Defensive Rebound.
South Carolina Upstate,Jacksonville,12,17,7,15,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,12,17,7,15,0,Kori Babineaux Offensive Rebound.
South Carolina Upstate,Jacksonville,12,17,7,22,0,Antwon Clayton missed Jumper.
South Carolina Upstate,Jacksonville,12,17,7,22,0,Malik Moore Defensive Rebound.
South Carolina Upstate,Jacksonville,14,17,7,32,1,Michael Buchanan made Layup. Assisted by Mike Cunningham.
South Carolina Upstate,Jacksonville,14,20,7,43,1,Marcel White made Three Point Jumper. Assisted by Kori Babineaux.
South Carolina Upstate,Jacksonville,14,20,8,0,0,Jure Span Turnover.
South Carolina Upstate,Jacksonville,14,20,8,1,0,Darien Fernandez Steal.
South Carolina Upstate,Jacksonville,14,20,8,3,0,Foul on Malik Moore.
South Carolina Upstate,Jacksonville,14,20,8,3,0,Jacksonville  Timeout
South Carolina Upstate,Jacksonville,14,21,8,3,1,Marcel White made Free Throw.
South Carolina Upstate,Jacksonville,14,22,8,3,1,Marcel White made Free Throw.
South Carolina Upstate,Jacksonville,14,22,8,25,0,Jacob Schulte missed Layup.
South Carolina Upstate,Jacksonville,14,22,8,25,0,Marcel White Block.
South Carolina Upstate,Jacksonville,14,22,8,27,0,Darien Fernandez Defensive Rebound.
South Carolina Upstate,Jacksonville,14,22,8,43,0,Antwon Clayton missed Layup.
South Carolina Upstate,Jacksonville,14,22,8,43,0,Josh Cuthbertson Defensive Rebound.
South Carolina Upstate,Jacksonville,14,22,8,52,0,Mike Cunningham missed Three Point Jumper.
South Carolina Upstate,Jacksonville,14,22,8,52,0,Jacob Schulte Offensive Rebound.
South Carolina Upstate,Jacksonville,14,22,9,4,0,Jure Span missed Three Point Jumper.
South Carolina Upstate,Jacksonville,14,22,9,4,0,Darien Fernandez Defensive Rebound.
South Carolina Upstate,Jacksonville,14,22,9,11,0,Darien Fernandez Turnover.
South Carolina Upstate,Jacksonville,14,22,9,32,0,Deion Holmes missed Jumper.
South Carolina Upstate,Jacksonville,14,22,9,32,0,Kori Babineaux Defensive Rebound.
South Carolina Upstate,Jacksonville,14,22,9,42,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,14,22,9,42,0,Deion Holmes Defensive Rebound.
South Carolina Upstate,Jacksonville,14,22,9,45,0,Foul on Antwon Clayton.
South Carolina Upstate,Jacksonville,14,22,10,1,0,Marvin Smith Turnover.
South Carolina Upstate,Jacksonville,14,22,10,11,0,Foul on Josh Cuthbertson.
South Carolina Upstate,Jacksonville,14,23,10,15,1,Kori Babineaux made Free Throw.
South Carolina Upstate,Jacksonville,14,24,10,15,1,Kori Babineaux made Free Throw.
South Carolina Upstate,Jacksonville,17,24,10,31,1,Deion Holmes made Three Point Jumper. Assisted by Mike Cunningham.
South Carolina Upstate,Jacksonville,17,26,10,49,1,Kori Babineaux made Jumper.
South Carolina Upstate,Jacksonville,17,26,10,58,0,Philip Whittington Turnover.
South Carolina Upstate,Jacksonville,17,26,10,58,0,Omar El Manasterly Steal.
South Carolina Upstate,Jacksonville,17,26,11,16,0,Kori Babineaux missed Layup.
South Carolina Upstate,Jacksonville,17,26,11,16,0,Josh Cuthbertson Block.
South Carolina Upstate,Jacksonville,17,26,11,17,0,South Carolina Upstate Defensive Rebound.
South Carolina Upstate,Jacksonville,17,26,11,31,0,Mike Cunningham missed Three Point Jumper.
South Carolina Upstate,Jacksonville,17,26,11,31,0,Josh Cuthbertson Offensive Rebound.
South Carolina Upstate,Jacksonville,17,26,11,32,0,Foul on J.R. Holder.
South Carolina Upstate,Jacksonville,17,26,11,45,0,Deion Holmes missed Jumper.
South Carolina Upstate,Jacksonville,17,26,11,45,0,Kori Babineaux Defensive Rebound.
South Carolina Upstate,Jacksonville,17,26,11,54,0,Kori Babineaux Turnover.
South Carolina Upstate,Jacksonville,17,26,11,55,0,Mike Cunningham Steal.
South Carolina Upstate,Jacksonville,20,26,12,3,1,Deion Holmes made Three Point Jumper. Assisted by Mike Cunningham.
South Carolina Upstate,Jacksonville,20,26,12,27,0,J.R. Holder Turnover.
South Carolina Upstate,Jacksonville,20,26,12,27,0,Foul on J.R. Holder.
South Carolina Upstate,Jacksonville,20,26,12,27,0,South Carolina Upstate  Timeout
South Carolina Upstate,Jacksonville,20,26,12,59,0,Malik Moore missed Three Point Jumper.
South Carolina Upstate,Jacksonville,20,26,12,59,0,Kori Babineaux Defensive Rebound.
South Carolina Upstate,Jacksonville,20,28,13,14,1,Kori Babineaux made Jumper.
South Carolina Upstate,Jacksonville,20,28,13,40,0,Deion Holmes missed Jumper.
South Carolina Upstate,Jacksonville,20,28,13,40,0,South Carolina Upstate Offensive Rebound.
South Carolina Upstate,Jacksonville,20,28,13,53,0,Foul on Omar El Manasterly.
South Carolina Upstate,Jacksonville,21,28,13,53,1,Michael Buchanan made Free Throw.
South Carolina Upstate,Jacksonville,21,28,13,53,0,Michael Buchanan missed Free Throw.
South Carolina Upstate,Jacksonville,21,28,13,53,0,Marcel White Defensive Rebound.
South Carolina Upstate,Jacksonville,21,31,14,1,1,Darien Fernandez made Three Point Jumper.
South Carolina Upstate,Jacksonville,21,31,14,24,0,Deion Holmes missed Three Point Jumper.
South Carolina Upstate,Jacksonville,21,31,14,24,0,Josh Adeyeye Defensive Rebound.
South Carolina Upstate,Jacksonville,21,33,14,32,1,Marcel White made Layup. Assisted by Kori Babineaux.
South Carolina Upstate,Jacksonville,21,33,14,52,0,Michael Buchanan missed Layup.
South Carolina Upstate,Jacksonville,21,33,14,52,0,Darien Fernandez Defensive Rebound.
South Carolina Upstate,Jacksonville,21,33,15,6,0,Darien Fernandez Turnover.
South Carolina Upstate,Jacksonville,21,33,15,6,0,Foul on Darien Fernandez.
South Carolina Upstate,Jacksonville,23,33,15,23,1,Michael Buchanan made Layup.
South Carolina Upstate,Jacksonville,23,35,15,31,1,Kori Babineaux made Jumper.
South Carolina Upstate,Jacksonville,23,35,15,41,0,Foul on Omar El Manasterly.
South Carolina Upstate,Jacksonville,24,35,15,41,1,Michael Buchanan made Free Throw.
South Carolina Upstate,Jacksonville,25,35,15,41,1,Michael Buchanan made Free Throw.
South Carolina Upstate,Jacksonville,25,35,15,55,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,25,35,15,55,0,Michael Buchanan Defensive Rebound.
South Carolina Upstate,Jacksonville,25,35,16,15,0,Foul on Marcel White.
South Carolina Upstate,Jacksonville,25,35,16,15,0,South Carolina Upstate  Timeout
South Carolina Upstate,Jacksonville,25,35,16,15,0,Josh Cuthbertson missed Free Throw.
South Carolina Upstate,Jacksonville,25,35,16,15,0,South Carolina Upstate Deadball Team Rebound.
South Carolina Upstate,Jacksonville,26,35,16,15,1,Josh Cuthbertson made Free Throw.
South Carolina Upstate,Jacksonville,27,35,16,15,1,Josh Cuthbertson made Free Throw.
South Carolina Upstate,Jacksonville,27,35,16,35,0,Kori Babineaux Turnover.
South Carolina Upstate,Jacksonville,27,35,16,37,0,Michael Buchanan Steal.
South Carolina Upstate,Jacksonville,29,35,16,59,1,Michael Buchanan made Layup.
South Carolina Upstate,Jacksonville,29,35,17,16,0,Darien Fernandez missed Three Point Jumper.
South Carolina Upstate,Jacksonville,29,35,17,16,0,Josh Cuthbertson Defensive Rebound.
South Carolina Upstate,Jacksonville,32,35,17,37,1,Josh Cuthbertson made Three Point Jumper. Assisted by Mike Cunningham.
South Carolina Upstate,Jacksonville,32,35,17,55,0,Foul on Jure Span.
South Carolina Upstate,Jacksonville,32,35,17,56,0,Josh Adeyeye missed Three Point Jumper.
South Carolina Upstate,Jacksonville,32,35,17,56,0,South Carolina Upstate Defensive Rebound.
South Carolina Upstate,Jacksonville,32,35,18,21,0,Michael Buchanan Turnover.
South Carolina Upstate,Jacksonville,32,35,18,41,0,Kori Babineaux missed Jumper.
South Carolina Upstate,Jacksonville,32,35,18,41,0,Demontrez Austin Offensive Rebound.
South Carolina Upstate,Jacksonville,32,37,18,45,1,Demontrez Austin made Two Point Tip Shot.
South Carolina Upstate,Jacksonville,32,37,18,51,0,Josh Cuthbertson missed Three Point Jumper.
South Carolina Upstate,Jacksonville,32,37,18,51,0,Darien Fernandez Defensive Rebound.
South Carolina Upstate,Jacksonville,32,39,18,58,1,Kori Babineaux made Layup. Assisted by Darien Fernandez.
South Carolina Upstate,Jacksonville,32,39,19,8,0,Michael Buchanan missed Layup.
South Carolina Upstate,Jacksonville,32,39,19,8,0,Demontrez Austin Defensive Rebound.
South Carolina Upstate,Jacksonville,32,39,19,19,0,Josh Adeyeye missed Three Point Jumper.
South Carolina Upstate,Jacksonville,32,39,19,19,0,Kori Babineaux Offensive Rebound.
South Carolina Upstate,Jacksonville,32,41,19,24,1,Kori Babineaux made Jumper.
