Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
LIU Brooklyn,St. Francis (PA),2,0,0,14,1,Nura Zanna made Layup. Assisted by Martin Hermannsson.
LIU Brooklyn,St. Francis (PA),2,0,0,31,0,Ronnie Drinnon missed Jumper.
LIU Brooklyn,St. Francis (PA),2,0,0,31,0,Joel Hernandez Defensive Rebound.
LIU Brooklyn,St. Francis (PA),2,0,0,48,0,Joel Hernandez missed Three Point Jumper.
LIU Brooklyn,St. Francis (PA),2,0,0,48,0,Josh Nebo Defensive Rebound.
LIU Brooklyn,St. Francis (PA),2,0,1,7,0,Ronnie Drinnon missed Layup.
LIU Brooklyn,St. Francis (PA),2,0,1,7,0,Nura Zanna Block.
LIU Brooklyn,St. Francis (PA),2,0,1,10,0,Martin Hermannsson Defensive Rebound.
LIU Brooklyn,St. Francis (PA),2,0,1,32,0,Nura Zanna missed Layup.
LIU Brooklyn,St. Francis (PA),2,0,1,32,0,Ronnie Drinnon Defensive Rebound.
LIU Brooklyn,St. Francis (PA),2,3,1,44,1,Ben Millaud-Meunier made Three Point Jumper. Assisted by Ronnie Drinnon.
LIU Brooklyn,St. Francis (PA),5,3,2,2,1,Jerome Frink made Three Point Jumper. Assisted by Martin Hermannsson.
LIU Brooklyn,St. Francis (PA),5,3,2,26,0,Malik Harmon missed Jumper.
LIU Brooklyn,St. Francis (PA),5,3,2,26,0,Joel Hernandez Defensive Rebound.
LIU Brooklyn,St. Francis (PA),5,3,2,42,0,Joel Hernandez missed Jumper.
LIU Brooklyn,St. Francis (PA),5,3,2,42,0,Josh Nebo Defensive Rebound.
LIU Brooklyn,St. Francis (PA),5,3,2,43,0,Foul on Joel Hernandez.
LIU Brooklyn,St. Francis (PA),5,3,2,58,0,Malik Harmon Turnover.
LIU Brooklyn,St. Francis (PA),5,3,3,13,0,Foul on Greg Brown.
LIU Brooklyn,St. Francis (PA),5,3,3,20,0,Nura Zanna missed Layup.
LIU Brooklyn,St. Francis (PA),5,3,3,20,0,Josh Nebo Block.
LIU Brooklyn,St. Francis (PA),5,3,3,22,0,Greg Brown Defensive Rebound.
LIU Brooklyn,St. Francis (PA),5,5,3,26,1,Greg Brown made Layup.
LIU Brooklyn,St. Francis (PA),5,5,3,34,0,Aakim Saintil missed Jumper.
LIU Brooklyn,St. Francis (PA),5,5,3,34,0,Ronnie Drinnon Defensive Rebound.
LIU Brooklyn,St. Francis (PA),5,5,3,38,0,Foul on Nura Zanna.
LIU Brooklyn,St. Francis (PA),5,8,3,45,1,Ronnie Drinnon made Three Point Jumper. Assisted by Malik Harmon.
LIU Brooklyn,St. Francis (PA),5,8,4,4,0,Martin Hermannsson missed Layup.
LIU Brooklyn,St. Francis (PA),5,8,4,4,0,Josh Nebo Block.
LIU Brooklyn,St. Francis (PA),5,8,4,5,0,LIU Brooklyn Offensive Rebound.
LIU Brooklyn,St. Francis (PA),5,8,4,5,0,Official TV Timeout
LIU Brooklyn,St. Francis (PA),5,11,4,18,1,Greg Brown made Three Point Jumper. Assisted by Ben Millaud-Meunier.
LIU Brooklyn,St. Francis (PA),7,11,4,26,1,Martin Hermannsson made Layup. Assisted by Aakim Saintil.
LIU Brooklyn,St. Francis (PA),7,14,4,35,1,Ronnie Drinnon made Three Point Jumper. Assisted by Malik Harmon.
LIU Brooklyn,St. Francis (PA),9,14,4,51,1,Nura Zanna made Dunk. Assisted by Aakim Saintil.
