Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Liberty,Notre Dame,0,0,0,0,0,Jump Ball won by Liberty
Liberty,Notre Dame,0,0,0,15,0,Evan Maxwell Turnover.
Liberty,Notre Dame,0,0,0,39,0,Steve Vasturia Turnover.
Liberty,Notre Dame,0,0,0,39,0,Lovell Cabbil Steal.
Liberty,Notre Dame,2,0,0,46,1,Lovell Cabbil made Layup.
Liberty,Notre Dame,2,2,0,57,1,Zach Auguste made Layup. Assisted by V.J. Beachem.
Liberty,Notre Dame,4,2,1,27,1,Evan Maxwell made Jumper.
Liberty,Notre Dame,4,2,1,49,0,V.J. Beachem missed Three Point Jumper.
Liberty,Notre Dame,4,2,1,49,0,Ryan Kemrite Defensive Rebound.
Liberty,Notre Dame,4,2,2,14,0,Foul on John Dawson.
Liberty,Notre Dame,4,2,2,14,0,John Dawson Turnover.
Liberty,Notre Dame,4,2,2,35,0,Demetrius Jackson missed Three Point Jumper.
Liberty,Notre Dame,4,2,2,35,0,Zach Auguste Offensive Rebound.
Liberty,Notre Dame,4,4,2,42,1,Zach Auguste made Layup.
Liberty,Notre Dame,4,4,3,15,0,Evan Maxwell Turnover.
Liberty,Notre Dame,4,4,3,28,0,Zach Auguste missed Jumper.
Liberty,Notre Dame,4,4,3,28,0,John Dawson Defensive Rebound.
Liberty,Notre Dame,4,4,3,39,0,John Dawson Turnover.
Liberty,Notre Dame,4,4,3,39,0,Bonzie Colson Steal.
Liberty,Notre Dame,4,4,3,45,0,Steve Vasturia Turnover.
Liberty,Notre Dame,4,4,3,45,0,Ryan Hiepler Steal.
Liberty,Notre Dame,4,4,3,58,0,Evan Maxwell missed Jumper.
Liberty,Notre Dame,4,4,3,58,0,Demetrius Jackson Defensive Rebound.
Liberty,Notre Dame,4,4,4,6,0,Foul on Ryan Hiepler.
Liberty,Notre Dame,4,4,4,6,0,Official TV Timeout
Liberty,Notre Dame,4,5,4,6,1,Demetrius Jackson made Free Throw.
Liberty,Notre Dame,4,5,4,6,0,Demetrius Jackson missed Free Throw.
Liberty,Notre Dame,4,5,4,6,0,John Dawson Defensive Rebound.
Liberty,Notre Dame,6,5,4,24,1,Lovell Cabbil made Jumper.
Liberty,Notre Dame,6,5,4,40,0,Zach Auguste Turnover.
Liberty,Notre Dame,6,5,5,1,0,Foul on Bonzie Colson.
Liberty,Notre Dame,6,5,5,11,0,Ryan Kemrite missed Three Point Jumper.
Liberty,Notre Dame,6,5,5,11,0,Demetrius Jackson Defensive Rebound.
Liberty,Notre Dame,6,7,5,20,1,Steve Vasturia made Jumper.
Liberty,Notre Dame,6,7,5,41,0,Evan Maxwell missed Jumper.
Liberty,Notre Dame,6,7,5,41,0,V.J. Beachem Defensive Rebound.
Liberty,Notre Dame,6,7,5,45,0,Foul on Evan Maxwell.
Liberty,Notre Dame,6,7,5,57,0,Matt Ryan missed Three Point Jumper.
Liberty,Notre Dame,6,7,5,57,0,Zach Auguste Offensive Rebound.
Liberty,Notre Dame,6,7,6,0,0,Foul on Ezra Talbert.
Liberty,Notre Dame,6,7,6,9,0,Foul on Ezra Talbert.
Liberty,Notre Dame,6,7,6,27,0,Steve Vasturia missed Three Point Jumper.
Liberty,Notre Dame,6,7,6,27,0,Notre Dame Offensive Rebound.
Liberty,Notre Dame,6,9,6,37,1,Zach Auguste made Layup.
Liberty,Notre Dame,8,9,6,54,1,John Dawson made Jumper.
Liberty,Notre Dame,8,12,7,18,1,Matt Farrell made Three Point Jumper. Assisted by Matt Ryan.
Liberty,Notre Dame,8,12,7,48,0,A.C. Reid missed Three Point Jumper.
Liberty,Notre Dame,8,12,7,48,0,Matt Ryan Defensive Rebound.
Liberty,Notre Dame,8,12,8,2,0,Matt Ryan missed Three Point Jumper.
Liberty,Notre Dame,8,12,8,2,0,Ryan Kemrite Defensive Rebound.
Liberty,Notre Dame,8,12,8,28,0,Foul on Steve Vasturia.
Liberty,Notre Dame,8,12,8,28,0,Official TV Timeout
Liberty,Notre Dame,9,12,8,28,1,Ryan Kemrite made Free Throw.
Liberty,Notre Dame,10,12,8,28,1,Ryan Kemrite made Free Throw.
Liberty,Notre Dame,10,12,8,39,0,John Dawson missed Layup.
Liberty,Notre Dame,10,12,8,39,0,Bonzie Colson Defensive Rebound.
Liberty,Notre Dame,10,15,9,4,1,Matt Ryan made Three Point Jumper. Assisted by Matt Farrell.
Liberty,Notre Dame,10,15,9,29,0,Caleb Homesley missed Jumper.
Liberty,Notre Dame,10,15,9,29,0,Zach Auguste Defensive Rebound.
Liberty,Notre Dame,10,15,9,41,0,Matt Farrell Turnover.
Liberty,Notre Dame,10,15,9,55,0,John Dawson Turnover.
Liberty,Notre Dame,10,15,9,55,0,Bonzie Colson Steal.
Liberty,Notre Dame,10,15,10,5,0,Zach Auguste Turnover.
Liberty,Notre Dame,10,15,10,5,0,Caleb Homesley Steal.
Liberty,Notre Dame,10,15,10,20,0,Evan Maxwell missed Jumper.
Liberty,Notre Dame,10,15,10,20,0,Zach Auguste Defensive Rebound.
Liberty,Notre Dame,10,15,10,29,0,Matt Ryan missed Three Point Jumper.
Liberty,Notre Dame,10,15,10,29,0,Caleb Homesley Defensive Rebound.
Liberty,Notre Dame,10,15,10,49,0,Evan Maxwell missed Jumper.
Liberty,Notre Dame,10,15,10,49,0,Bonzie Colson Defensive Rebound.
