Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Louisiana,Alabama,0,2,0,15,1,Jimmie Taylor made Jumper. Assisted by Shannon Hale.
Louisiana,Alabama,0,2,0,41,0,Hayward Register missed Three Point Jumper.
Louisiana,Alabama,0,2,0,41,0,Shawn Long Offensive Rebound.
Louisiana,Alabama,2,2,0,45,1,Shawn Long made Two Point Tip Shot.
Louisiana,Alabama,2,4,0,58,1,Jimmie Taylor made Layup. Assisted by Arthur Edwards.
Louisiana,Alabama,5,4,1,19,1,Shawn Long made Three Point Jumper. Assisted by Johnathan Stove.
Louisiana,Alabama,5,7,1,36,1,Shannon Hale made Three Point Jumper.
Louisiana,Alabama,5,7,1,58,0,Jay Wright Turnover.
Louisiana,Alabama,5,7,2,18,0,Shannon Hale missed Jumper.
Louisiana,Alabama,5,7,2,18,0,Shawn Long Block.
Louisiana,Alabama,5,7,2,20,0,Dazon Ingram Offensive Rebound.
Louisiana,Alabama,5,10,2,25,1,Retin Obasohan made Three Point Jumper.
Louisiana,Alabama,8,10,2,52,1,Shawn Long made Three Point Jumper.
Louisiana,Alabama,8,10,3,14,0,Foul on Jay Wright.
Louisiana,Alabama,8,11,3,14,1,Dazon Ingram made Free Throw.
Louisiana,Alabama,8,11,3,14,0,Dazon Ingram missed Free Throw.
Louisiana,Alabama,8,11,3,14,0,UL Lafayette Defensive Rebound.
Louisiana,Alabama,8,11,3,25,0,Foul on Dazon Ingram.
Louisiana,Alabama,8,11,3,38,0,Shawn Long Turnover.
Louisiana,Alabama,8,11,3,57,0,Dazon Ingram missed Jumper.
Louisiana,Alabama,8,11,3,57,0,Shawn Long Block.
Louisiana,Alabama,8,11,3,58,0,Jay Wright Defensive Rebound.
Louisiana,Alabama,8,11,4,2,0,Hayward Register missed Three Point Jumper.
Louisiana,Alabama,8,11,4,2,0,Shawn Long Offensive Rebound.
Louisiana,Alabama,10,11,4,7,1,Shawn Long made Two Point Tip Shot.
Louisiana,Alabama,10,13,4,15,1,Jimmie Taylor made Jumper. Assisted by Arthur Edwards.
Louisiana,Alabama,10,13,4,45,0,Johnathan Stove missed Three Point Jumper.
Louisiana,Alabama,10,13,4,45,0,Dazon Ingram Defensive Rebound.
Louisiana,Alabama,10,13,4,52,0,Retin Obasohan Turnover.
Louisiana,Alabama,10,13,4,53,0,Official TV Timeout
Louisiana,Alabama,10,13,5,3,0,Jay Wright missed Jumper.
Louisiana,Alabama,10,13,5,3,0,Jimmie Taylor Block.
Louisiana,Alabama,10,13,5,5,0,Retin Obasohan Defensive Rebound.
Louisiana,Alabama,10,15,5,16,1,Retin Obasohan made Jumper.
Louisiana,Alabama,10,15,5,35,0,Shawn Long missed Three Point Jumper.
Louisiana,Alabama,10,15,5,35,0,Bryce Washington Offensive Rebound.
Louisiana,Alabama,10,15,5,37,0,Foul on Retin Obasohan.
Louisiana,Alabama,10,15,5,56,0,Johnathan Stove missed Jumper.
Louisiana,Alabama,10,15,5,56,0,Shannon Hale Block.
Louisiana,Alabama,10,15,5,59,0,Dazon Ingram Defensive Rebound.
Louisiana,Alabama,10,17,6,4,1,Shannon Hale made Layup. Assisted by Retin Obasohan.
Louisiana,Alabama,10,17,6,13,0,Johnathan Stove Turnover.
Louisiana,Alabama,10,19,6,23,1,Dazon Ingram made Layup.
Louisiana,Alabama,10,19,6,37,0,Shawn Long missed Three Point Jumper.
