Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Manhattan,Canisius,0,0,0,22,0,Phil Valenti Turnover.
Manhattan,Canisius,0,0,0,23,0,Shane Richards Steal.
Manhattan,Canisius,0,0,0,40,0,Shane Richards missed Three Point Jumper.
Manhattan,Canisius,0,0,0,40,0,Kassius Robertson Defensive Rebound.
Manhattan,Canisius,0,0,0,48,0,Foul on Zane Waterman.
Manhattan,Canisius,0,0,0,48,0,Phil Valenti missed Free Throw.
Manhattan,Canisius,0,0,0,48,0,Canisius Deadball Team Rebound.
Manhattan,Canisius,0,1,0,48,1,Phil Valenti made Free Throw.
Manhattan,Canisius,2,1,0,55,1,RaShawn Stores made Layup.
Manhattan,Canisius,2,1,1,8,0,Kevin Bleeker Turnover.
Manhattan,Canisius,2,1,1,8,0,Shane Richards Turnover.
Manhattan,Canisius,2,1,1,8,0,Jamal Reynolds Steal.
Manhattan,Canisius,2,1,1,8,0,Foul on Shane Richards.
Manhattan,Canisius,2,1,1,18,0,Foul on Samson Akilo.
Manhattan,Canisius,2,1,1,18,0,Jamal Reynolds missed Free Throw.
Manhattan,Canisius,2,1,1,18,0,Canisius Deadball Team Rebound.
Manhattan,Canisius,2,2,1,18,1,Jamal Reynolds made Free Throw.
Manhattan,Canisius,2,2,1,47,0,RaShawn Stores missed Jumper.
Manhattan,Canisius,2,2,1,47,0,Jamal Reynolds Defensive Rebound.
Manhattan,Canisius,2,5,1,56,1,Malcolm McMillan made Three Point Jumper. Assisted by Jamal Reynolds.
Manhattan,Canisius,2,5,2,16,0,Foul on Phil Valenti.
Manhattan,Canisius,3,5,2,16,1,Zane Waterman made Free Throw.
Manhattan,Canisius,4,5,2,16,1,Zane Waterman made Free Throw.
Manhattan,Canisius,4,5,2,23,0,Malcolm McMillan Turnover.
Manhattan,Canisius,6,5,2,30,1,Shane Richards made Jumper. Assisted by Tyler Wilson.
Manhattan,Canisius,6,5,2,47,0,Kevin Bleeker missed Layup.
Manhattan,Canisius,6,5,2,47,0,Calvin Crawford Defensive Rebound.
