Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
McNeese,Northwestern State,0,0,0,13,0,James Harvey missed Three Point Jumper.
McNeese,Northwestern State,0,0,0,13,0,Austin Lewis Offensive Rebound.
McNeese,Northwestern State,0,0,0,17,0,Austin Lewis missed Layup.
McNeese,Northwestern State,0,0,0,17,0,Devonte Hall Defensive Rebound.
McNeese,Northwestern State,0,0,0,26,0,Devonte Hall missed Layup.
McNeese,Northwestern State,0,0,0,26,0,Austin Lewis Block.
McNeese,Northwestern State,0,0,0,27,0,Northwestern St Offensive Rebound.
McNeese,Northwestern State,0,2,0,29,1,Zeek Woodley made Jumper. Assisted by Devonte Hall.
McNeese,Northwestern State,0,2,0,59,0,Jamaya Burr Turnover.
McNeese,Northwestern State,0,2,1,11,0,Ishmael Lane missed Layup.
McNeese,Northwestern State,0,2,1,11,0,Craig McFerrin Defensive Rebound.
McNeese,Northwestern State,0,2,1,16,0,Craig McFerrin Turnover.
McNeese,Northwestern State,0,2,1,20,0,Zeek Woodley Steal.
McNeese,Northwestern State,0,4,1,20,1,Zeek Woodley made Layup. Assisted by Sabri Thompson.
McNeese,Northwestern State,0,4,1,45,0,Jamaya Burr missed Three Point Jumper.
McNeese,Northwestern State,0,4,1,45,0,Ta'Jon Welcome Defensive Rebound.
McNeese,Northwestern State,0,4,1,52,0,Ta'Jon Welcome Turnover.
McNeese,Northwestern State,0,4,1,52,0,James Harvey Steal.
McNeese,Northwestern State,0,4,1,56,0,Jamaya Burr missed Layup.
McNeese,Northwestern State,0,4,1,56,0,Ta'Jon Welcome Defensive Rebound.
McNeese,Northwestern State,0,4,2,16,0,Ta'Jon Welcome missed Three Point Jumper.
McNeese,Northwestern State,0,4,2,16,0,Jamaya Burr Defensive Rebound.
McNeese,Northwestern State,2,4,2,24,1,Jamaya Burr made Layup.
McNeese,Northwestern State,2,7,2,40,1,Sabri Thompson made Three Point Jumper. Assisted by Devonte Hall.
McNeese,Northwestern State,2,7,3,13,0,Jarren Greenwood missed Three Point Jumper.
McNeese,Northwestern State,2,7,3,13,0,Ishmael Lane Defensive Rebound.
McNeese,Northwestern State,2,9,3,20,1,Zeek Woodley made Dunk. Assisted by Sabri Thompson.
McNeese,Northwestern State,2,9,3,29,0,McNeese St  Timeout
