Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Maryland,Michigan,0,0,0,0,0,Jump Ball won by Maryland
Maryland,Michigan,0,0,0,7,0,Robert Carter missed Three Point Jumper.
Maryland,Michigan,0,0,0,7,0,Jake Layman Offensive Rebound.
Maryland,Michigan,2,0,0,13,1,Jake Layman made Layup.
Maryland,Michigan,2,2,0,35,1,Zak Irvin made Jumper. Assisted by Derrick Walton Jr..
Maryland,Michigan,2,2,1,5,0,Melo Trimble missed Three Point Jumper.
Maryland,Michigan,2,2,1,5,0,Melo Trimble Offensive Rebound.
Maryland,Michigan,4,2,1,20,1,Melo Trimble made Jumper.
Maryland,Michigan,4,5,1,34,1,Derrick Walton Jr. made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.
Maryland,Michigan,4,5,1,54,0,Rasheed Sulaimon missed Three Point Jumper.
Maryland,Michigan,4,5,1,54,0,Zak Irvin Defensive Rebound.
Maryland,Michigan,4,8,2,13,1,Zak Irvin made Three Point Jumper.
Maryland,Michigan,4,8,2,36,0,Jake Layman Turnover.
Maryland,Michigan,4,8,2,36,0,Mark Donnal Steal.
Maryland,Michigan,4,8,2,53,0,Mark Donnal missed Three Point Jumper.
Maryland,Michigan,4,8,2,53,0,Rasheed Sulaimon Defensive Rebound.
Maryland,Michigan,4,8,3,6,0,Foul on Mark Donnal.
Maryland,Michigan,4,8,3,12,0,Rasheed Sulaimon Turnover.
Maryland,Michigan,4,8,3,28,0,Derrick Walton Jr. missed Jumper.
Maryland,Michigan,4,8,3,28,0,Damonte Dodd Defensive Rebound.
Maryland,Michigan,4,8,3,39,0,Melo Trimble missed Jumper.
Maryland,Michigan,4,8,3,39,0,Damonte Dodd Offensive Rebound.
Maryland,Michigan,6,8,3,43,1,Damonte Dodd made Layup.
Maryland,Michigan,6,11,4,3,1,Duncan Robinson made Three Point Jumper.
Maryland,Michigan,6,11,4,24,0,Melo Trimble Turnover.
Maryland,Michigan,6,11,4,24,0,Official TV Timeout
Maryland,Michigan,6,11,4,35,0,Duncan Robinson Turnover.
Maryland,Michigan,6,11,4,35,0,Rasheed Sulaimon Steal.
Maryland,Michigan,8,11,4,53,1,Robert Carter made Jumper.
Maryland,Michigan,8,11,5,13,0,D.J. Wilson missed Three Point Jumper.
Maryland,Michigan,8,11,5,13,0,Robert Carter Defensive Rebound.
Maryland,Michigan,8,11,5,23,0,Melo Trimble Turnover.
Maryland,Michigan,8,11,5,23,0,Duncan Robinson Steal.
Maryland,Michigan,8,11,5,23,0,Foul on Melo Trimble.
Maryland,Michigan,8,11,5,45,0,Foul on Jared Nickens.
Maryland,Michigan,8,12,5,45,1,D.J. Wilson made Free Throw.
Maryland,Michigan,8,13,5,45,1,D.J. Wilson made Free Throw.
Maryland,Michigan,8,13,5,56,0,Foul on Duncan Robinson.
Maryland,Michigan,8,13,5,56,0,Jake Layman missed Free Throw.
Maryland,Michigan,8,13,5,56,0,Maryland Deadball Team Rebound.
Maryland,Michigan,9,13,5,56,1,Jake Layman made Free Throw.
Maryland,Michigan,9,13,6,3,0,Muhammad-Ali Abdur-Rahkman Turnover.
Maryland,Michigan,9,13,6,3,0,Foul on Ricky Doyle.
Maryland,Michigan,9,13,6,16,0,Jake Layman Turnover.
Maryland,Michigan,9,13,6,16,0,Aubrey Dawkins Steal.
Maryland,Michigan,9,13,6,32,0,Derrick Walton Jr. missed Three Point Jumper.
Maryland,Michigan,9,13,6,32,0,Muhammad-Ali Abdur-Rahkman Offensive Rebound.
Maryland,Michigan,9,13,7,4,0,Zak Irvin missed Three Point Jumper.
Maryland,Michigan,9,13,7,5,0,Robert Carter Block.
Maryland,Michigan,9,13,7,6,0,Diamond Stone Defensive Rebound.
Maryland,Michigan,9,13,7,10,0,Diamond Stone Turnover.
Maryland,Michigan,9,13,7,10,0,Zak Irvin Steal.
Maryland,Michigan,9,16,7,12,1,Muhammad-Ali Abdur-Rahkman made Three Point Jumper. Assisted by Zak Irvin.
Maryland,Michigan,9,16,7,40,0,Diamond Stone missed Layup.
Maryland,Michigan,9,16,7,40,0,Diamond Stone Offensive Rebound.
Maryland,Michigan,11,16,7,45,1,Diamond Stone made Layup.
Maryland,Michigan,11,16,7,45,0,Foul on Ricky Doyle.
Maryland,Michigan,12,16,7,45,1,Diamond Stone made Free Throw.
Maryland,Michigan,12,16,7,51,0,Zak Irvin missed Jumper.
Maryland,Michigan,12,16,7,51,0,Diamond Stone Defensive Rebound.
Maryland,Michigan,12,16,8,0,0,Rasheed Sulaimon missed Layup.
Maryland,Michigan,12,16,8,0,0,Derrick Walton Jr. Defensive Rebound.
Maryland,Michigan,12,18,8,6,1,Aubrey Dawkins made Dunk. Assisted by Derrick Walton Jr..
Maryland,Michigan,12,18,8,22,0,Diamond Stone Turnover.
Maryland,Michigan,12,18,8,22,0,Official TV Timeout
Maryland,Michigan,12,18,8,54,0,Michigan  Turnover.
Maryland,Michigan,14,18,9,12,1,Jake Layman made Jumper.
Maryland,Michigan,14,18,9,42,0,Foul on Michal Cekovsky.
Maryland,Michigan,14,18,9,43,0,Aubrey Dawkins missed Jumper.
Maryland,Michigan,14,18,9,43,0,Derrick Walton Jr. Offensive Rebound.
Maryland,Michigan,14,18,10,5,0,Duncan Robinson missed Three Point Jumper.
Maryland,Michigan,14,18,10,5,0,Aubrey Dawkins Offensive Rebound.
Maryland,Michigan,14,18,10,15,0,Jump Ball won by Michigan
Maryland,Michigan,14,18,10,30,0,Foul on Melo Trimble.
Maryland,Michigan,14,18,10,52,0,Derrick Walton Jr. missed Jumper.
Maryland,Michigan,14,18,10,52,0,Robert Carter Defensive Rebound.
Maryland,Michigan,14,18,11,3,0,Rasheed Sulaimon Turnover.
Maryland,Michigan,14,18,11,3,0,Zak Irvin Steal.
Maryland,Michigan,14,18,11,22,0,Foul on Derrick Walton Jr..
Maryland,Michigan,14,18,11,22,0,Derrick Walton Jr. Turnover.
Maryland,Michigan,16,18,11,35,1,Robert Carter made Jumper.
Maryland,Michigan,16,20,11,58,1,Zak Irvin made Jumper.
Maryland,Michigan,19,20,12,29,1,Jake Layman made Three Point Jumper. Assisted by Robert Carter.
Maryland,Michigan,19,20,12,55,0,Zak Irvin missed Three Point Jumper.
Maryland,Michigan,19,20,12,55,0,Rasheed Sulaimon Defensive Rebound.
Maryland,Michigan,19,20,13,15,0,Rasheed Sulaimon missed Three Point Jumper.
Maryland,Michigan,19,20,13,15,0,Derrick Walton Jr. Defensive Rebound.
Maryland,Michigan,19,20,13,28,0,Foul on Varun Ram.
Maryland,Michigan,19,20,13,28,0,Official TV Timeout
Maryland,Michigan,19,20,13,42,0,Foul on Robert Carter.
Maryland,Michigan,19,21,13,42,1,Zak Irvin made Free Throw.
