Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Milwaukee,Wisconsin,0,0,0,17,0,Vitto Brown missed Jumper.
Milwaukee,Wisconsin,0,0,0,17,0,Ethan Happ Offensive Rebound.
Milwaukee,Wisconsin,0,3,0,32,1,Bronson Koenig made Three Point Jumper. Assisted by Zak Showalter.
Milwaukee,Wisconsin,0,3,0,58,0,J.J. Panoske missed Jumper.
Milwaukee,Wisconsin,0,3,0,58,0,Zak Showalter Defensive Rebound.
Milwaukee,Wisconsin,0,5,1,25,1,Ethan Happ made Layup. Assisted by Zak Showalter.
Milwaukee,Wisconsin,0,5,1,37,0,Austin Arians missed Three Point Jumper.
Milwaukee,Wisconsin,0,5,1,37,0,Bronson Koenig Defensive Rebound.
Milwaukee,Wisconsin,0,5,1,51,0,Nigel Hayes missed Jumper.
Milwaukee,Wisconsin,0,5,1,56,0,Matt Tiby Defensive Rebound.
Milwaukee,Wisconsin,0,5,2,21,0,Akeem Springs missed Three Point Jumper.
Milwaukee,Wisconsin,0,5,2,28,0,Ethan Happ Block.
Milwaukee,Wisconsin,0,5,2,29,0,Vitto Brown Defensive Rebound.
Milwaukee,Wisconsin,0,7,2,32,1,Bronson Koenig made Layup.
Milwaukee,Wisconsin,3,7,2,48,1,Jordan Johnson made Three Point Jumper. Assisted by Austin Arians.
Milwaukee,Wisconsin,3,9,3,11,1,Vitto Brown made Jumper. Assisted by Bronson Koenig.
Milwaukee,Wisconsin,3,9,3,27,0,J.J. Panoske Turnover.
Milwaukee,Wisconsin,3,9,3,27,0,Zak Showalter Steal.
Milwaukee,Wisconsin,3,12,3,48,1,Nigel Hayes made Three Point Jumper. Assisted by Zak Showalter.
Milwaukee,Wisconsin,3,12,4,9,0,Matt Tiby missed Jumper.
Milwaukee,Wisconsin,3,12,4,9,0,Bronson Koenig Defensive Rebound.
Milwaukee,Wisconsin,3,12,4,17,0,Ethan Happ missed Layup.
Milwaukee,Wisconsin,3,12,4,17,0,Matt Tiby Defensive Rebound.
