Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Missouri,Arkansas,0,0,0,0,0,Jump Ball won by Arkansas
Missouri,Arkansas,0,3,0,5,1,Jabril Durham made Three Point Jumper. Assisted by Anthlon Bell.
Missouri,Arkansas,0,3,0,30,0,Namon Wright missed Three Point Jumper.
Missouri,Arkansas,0,3,0,30,0,Moses Kingsley Defensive Rebound.
Missouri,Arkansas,0,3,0,42,0,Anthlon Bell missed Three Point Jumper.
Missouri,Arkansas,0,3,0,42,0,Namon Wright Defensive Rebound.
Missouri,Arkansas,0,3,0,57,0,Ryan Rosburg missed Layup.
Missouri,Arkansas,0,3,0,57,0,Dusty Hannahs Defensive Rebound.
Missouri,Arkansas,0,3,1,9,0,Jabril Durham missed Three Point Jumper.
Missouri,Arkansas,0,3,1,9,0,Keaton Miles Offensive Rebound.
Missouri,Arkansas,0,3,1,23,0,Moses Kingsley missed Jumper.
Missouri,Arkansas,0,3,1,23,0,Namon Wright Defensive Rebound.
Missouri,Arkansas,0,3,1,38,0,Namon Wright missed Jumper.
Missouri,Arkansas,0,3,1,38,0,Moses Kingsley Defensive Rebound.
Missouri,Arkansas,0,3,1,48,0,Foul on Terrence Phillips.
Missouri,Arkansas,0,4,1,48,1,Jabril Durham made Free Throw.
Missouri,Arkansas,0,4,1,48,0,Jabril Durham missed Free Throw.
Missouri,Arkansas,0,4,1,48,0,Kevin Puryear Defensive Rebound.
Missouri,Arkansas,0,4,2,0,0,Namon Wright Turnover.
Missouri,Arkansas,0,4,2,3,0,Anthlon Bell missed Layup.
Missouri,Arkansas,0,4,2,3,0,Kevin Puryear Defensive Rebound.
Missouri,Arkansas,0,4,2,11,0,Terrence Phillips missed Jumper.
Missouri,Arkansas,0,4,2,11,0,Missouri Offensive Rebound.
Missouri,Arkansas,3,4,2,23,1,Cullen VanLeer made Three Point Jumper. Assisted by Terrence Phillips.
Missouri,Arkansas,3,7,2,46,1,Jabril Durham made Three Point Jumper. Assisted by Dusty Hannahs.
Missouri,Arkansas,3,7,3,4,0,Foul on Keaton Miles.
Missouri,Arkansas,4,7,3,4,1,Kevin Puryear made Free Throw.
Missouri,Arkansas,5,7,3,4,1,Kevin Puryear made Free Throw.
Missouri,Arkansas,5,10,3,10,1,Dusty Hannahs made Three Point Jumper.
Missouri,Arkansas,5,10,3,28,0,Ryan Rosburg missed Layup.
Missouri,Arkansas,5,10,3,28,0,Keaton Miles Block.
Missouri,Arkansas,5,10,3,28,0,Keaton Miles Defensive Rebound.
Missouri,Arkansas,5,10,3,38,0,Jabril Durham missed Three Point Jumper.
Missouri,Arkansas,5,10,3,38,0,Namon Wright Defensive Rebound.
Missouri,Arkansas,5,10,3,41,0,Foul on Moses Kingsley.
Missouri,Arkansas,5,10,3,57,0,Kevin Puryear missed Jumper.
